"Charlie Blackmon_COL","Nolan Arenado_COL","Mookie Betts_BOS","Andrew McCutchen_PIT","Mike Trout_LAA","Josh Bell_PIT","Starling Marte_PIT","Mark Reynolds_COL","Gerardo Parra_COL","Josh Harrison_PIT","Gregory Polanco_PIT","Trevor Story_COL","Dustin Pedroia_BOS","DJ LeMahieu_COL","Adam Frazier_PIT","Ian Desmond_COL","David Freese_PIT","Jordy Mercer_PIT","David Dahl_COL","Xander Bogaerts_BOS","Andrew Benintendi_BOS","Hanley Ramirez_BOS","Carlos Gonzalez_COL","Jose Osuna_PIT","Jackie Bradley_BOS","Francisco Cervelli_PIT","Raimel Tapia_COL","Pat Valaika_COL","Cameron Maybin_LAA","Mitch Moreland_BOS","Chris Young_BOS","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Pujols_LAA","Jefry Marte_LAA","Andrelton Simmons_LAA","Jordan Patterson_COL","Jhonny Peralta_BOS","Mike Tauchman_COL","Ben Revere_LAA","Nick Franklin_LAA","Brock Holt_BOS","CJ Cron_LAA","Alexi Amarista_COL","Stephen Cardullo_COL","Jacob Stallings_PIT","Tom Murphy_COL","Max Moroff_PIT","Yunel Escobar_LAA","Kole Calhoun_LAA","Gift Ngoepe_PIT","Cristhian Adames_COL","Martin Maldonado_LAA","Pablo Sandoval_BOS","Luis Valbuena_LAA","Danny Espinosa_LAA","Ryan Hanigan_COL","John Jaso_PIT","Tony Wolters_COL","Kevin Newman_PIT","John Bormann_PIT","Steve Selsky_BOS","Marco Hernandez_BOS","Chris Stewart_PIT","Eric Young_LAA","Deven Marrero_BOS","Josh Rutledge_BOS","Sam Travis_BOS","Tzu-Wei Lin_BOS","David Fletcher_LAA","Dustin Garneau_COL","Phil Gosselin_PIT","Chris Bostick_PIT","Sandy Leon_BOS","Christian Vazquez_BOS","Nolan Fontana_LAA","Cliff Pennington_LAA","Carlos Perez_LAA","Juan Graterol_LAA","Shane Robinson_LAA","Kaleb Cowart_LAA"
0,0,-17.6452347083926,0,0,0,0,0,0,0,0,0,19.3947916666667,0,0,0,0,0,0,15.5666666666667,7.60396825396825,9.51693121693122,0,0,8.97780797101449,0,0,0,0,7.13931623931624,49.9652307692308,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,5.21969696969697,0,0,0,0,0,0,0,0,13.6333333333333,0,0,8.13245614035088,8.5625,4.27777777777778,7.5,0,0,0,0,33.7622282608696,35.6060416666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.03333333333333,0,20.030303030303,0,0,0,30.7714285714286,-2.18589743589744,0,0,0,33,0,1.31410256410256,2.75,0,0,0,0,0,32.8666666666667,0,0,0,0,0,0,0,0,67.352380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,15.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.59800664451827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4032258064516,0,0,0,0,39.7992947399353,0.285714285714286,7.89490740740741,0,0,0,5.23707664884135,-2.33333333333333,0,-4.28062678062678,0,0,0,0,0,7.82396839332748,-0.403762903762904,0,0,-0.807660455486542,0,7.25462304409673,2.16498316498316,0,0,0,0,0,0,0,0,8.21739130434783,0,0,0,0,0,0,0,0,0,0,0,-1.96296296296296,0,1.35555555555556,-5.5,0
0,0,0,0,13.5281385281385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28458498023715,0,0,0,0,0.285714285714286,33.2103174603175,15.1481481481481,0,0,0,2.80952380952381,0,0,65,0,0,0,0,0,12.7789473684211,5.30461538461538,0,0,15.6688311688312,0,-4.4,10.6086956521739,0,0,0,0,0,0,0,0,9.83333333333333,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,2.5,0,0
0,0,0,0,11.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4526854219949,0,0,0,0,7.89490740740741,15.1481481481481,41.0964590964591,0,0,0,-0.266531713900135,9.25,0,16.7064516129032,0,0,0,0,0,-2.18840579710145,5.20875512995896,0,0,10.3280266567938,0,5.25410628019324,1.37931034482759,0,0,0,0,0,0,0,0,30.5066666666667,0,0,0,0,0,0,0,0,0,0,-15.1666666666667,-0.428571428571429,0,2.41428571428571,8.5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23.1241830065359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104761904761905,0,0,0,0,5.23707664884135,2.80952380952381,-0.266531713900135,0,0,0,32.9839743589744,-3,0,6.86813186813187,0,0,0,0,0,6.77016129032258,3.06984126984127,0,0,-2.36752136752137,0,11.7463768115942,6.19047619047619,0,0,0,0,0,0,0,0,-7.92857142857143,0,0,0,0,0,0,0,0,0,0,0,6.64052287581699,0,0.0454545454545455,0,0
0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83333333333333,0,0,0,0,-2.33333333333333,0,9.25,0,0,0,-3,4.25,0,0,0,0,0,0,0,13.5,-5.5,0,0,-10.1666666666667,0,-0.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
