P,P,C,1B,2B,3B,SS,OF,OF,OF
Julio Teheran,James Paxton,Robinson Chirinos,Anthony Rizzo,DJ LeMahieu,Kris Bryant,Addison Russell,Adam Eaton,Kyle Schwarber,Jason Heyward
Jon Lester,Cole Hamels,Austin Hedges,Matt Holliday,Cory Spangenberg,Chase Headley,Ronald Torreyes,Kyle Schwarber,Brett Gardner,Jacoby Ellsbury
James Paxton,Dylan Bundy,Willson Contreras,Anthony Rizzo,Brian Dozier,Kris Bryant,Addison Russell,Mike Trout,David Peralta,Jason Heyward
Cole Hamels,Dylan Bundy,Martin Maldonado,Anthony Rizzo,Danny Espinosa,Yunel Escobar,Andrelton Simmons,Bryce Harper,Adam Eaton,Cameron Maybin
Jon Lester,Luis Severino,Mike Zunino,Ryan Zimmerman,Robinson Cano,Nolan Arenado,Jean Segura,Manuel Margot,Jarrod Dyson,Guillermo Heredia
Cole Hamels,Dylan Bundy,Buster Posey,Wil Myers,Joe Panik,Eduardo Nunez,Christian Arroyo,Bryce Harper,Adam Eaton,Gorkys Hernandez
Dylan Bundy,Tyler Glasnow,Austin Hedges,Kennys Vargas,Brian Dozier,Miguel Sano,Jorge Polanco,Bryce Harper,Adam Eaton,Robbie Grossman
Cole Hamels,Matt Shoemaker,Derek Norris,Logan Morrison,Daniel Murphy,Anthony Rendon,Tim Beckham,Bryce Harper,Corey Dickerson,Shane Peterson
James Paxton,Luis Severino,Willson Contreras,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Taylor Motter,Carlos Gonzalez,Gerardo Parra,Manuel Margot
Jon Lester,Cole Hamels,Austin Romine,Greg Bird,Yangervis Solarte,Chase Headley,Ronald Torreyes,Adam Eaton,Brett Gardner,Hunter Renfroe
Dylan Bundy,Luis Severino,JT Realmuto,Justin Bour,Daniel Murphy,Nolan Arenado,Elvis Andrus,Giancarlo Stanton,Christian Yelich,Marcell Ozuna
Cole Hamels,Julio Teheran,Robinson Chirinos,Anthony Rizzo,Yangervis Solarte,Joey Gallo,Elvis Andrus,Adam Eaton,Shin-Soo Choo,Delino DeShields
Julio Teheran,Dylan Bundy,Jose Lobaton,Wil Myers,Robinson Cano,Nolan Arenado,Jean Segura,Nelson Cruz,Jarrod Dyson,Guillermo Heredia
Jon Lester,Cole Hamels,Yasmani Grandal,Adrian Gonzalez,Cory Spangenberg,Justin Turner,Corey Seager,Giancarlo Stanton,Manuel Margot,Yasiel Puig
Sean Manaea,Alex Wood,JT Realmuto,Anthony Rizzo,Yangervis Solarte,Kris Bryant,Addison Russell,Bryce Harper,Kyle Schwarber,Jon Jay
Jon Lester,Cole Hamels,Mike Zunino,Danny Valencia,DJ LeMahieu,Manny Machado,Taylor Motter,Giancarlo Stanton,Jarrod Dyson,Ben Gamel
Jon Lester,Tyler Glasnow,Sandy Leon,Ryan Zimmerman,Marco Hernandez,Anthony Rendon,Xander Bogaerts,Mookie Betts,Nelson Cruz,Andrew Benintendi
Jon Lester,Cole Hamels,James McCann,John Hicks,Dixon Machado,Anthony Rendon,Andrew Romine,Bryce Harper,Justin Upton,Manuel Margot
James Paxton,Robert Gsellman,Chris Gimenez,Kennys Vargas,Daniel Murphy,Eduardo Escobar,Trea Turner,Bryce Harper,Robbie Grossman,Eddie Rosario
Cole Hamels,Luis Severino,Austin Hedges,Anthony Rizzo,Brad Miller,Evan Longoria,Jean Segura,Steven Souza,Corey Dickerson,Kevin Kiermaier
Jon Lester,Wei-Yin Chen,JT Realmuto,Justin Bour,Yangervis Solarte,Anthony Rendon,Taylor Motter,Giancarlo Stanton,Christian Yelich,Marcell Ozuna
Cole Hamels,Julio Teheran,Jose Lobaton,Mike Napoli,Cory Spangenberg,Anthony Rendon,Elvis Andrus,Shin-Soo Choo,Carlos Gomez,Delino DeShields
Sean Manaea,Alex Wood,Austin Hedges,Wil Myers,Yangervis Solarte,Miguel Sano,Erick Aybar,Mookie Betts,Andrew Benintendi,Hunter Renfroe
Jon Lester,Cole Hamels,Austin Hedges,Jay Bruce,Neil Walker,Jake Lamb,Asdrubal Cabrera,Yoenis Cespedes,Manuel Margot,Curtis Granderson
Jon Lester,James Paxton,Mike Zunino,Danny Valencia,Yangervis Solarte,Anthony Rendon,Jean Segura,Mike Trout,Jarrod Dyson,Ben Gamel
Cole Hamels,James Paxton,Austin Hedges,Matt Holliday,Starlin Castro,Chase Headley,Jean Segura,Adam Eaton,Jacoby Ellsbury,Aaron Judge
Dylan Bundy,Tyler Glasnow,Tony Wolters,Mark Reynolds,Yangervis Solarte,Manny Machado,Trevor Story,Mike Trout,Carlos Gonzalez,Gerardo Parra
Jon Lester,Cole Hamels,Austin Hedges,Yonder Alonso,Adam Rosales,Trevor Plouffe,Trea Turner,Adam Eaton,Matt Joyce,Jaff Decker
James Paxton,Robert Gsellman,Jose Lobaton,Wil Myers,Brian Dozier,Miguel Sano,Jorge Polanco,Bryce Harper,Robbie Grossman,Byron Buxton
Cole Hamels,James Paxton,Derek Norris,Anthony Rizzo,Daniel Murphy,Evan Longoria,Elvis Andrus,Corey Dickerson,Kevin Kiermaier,Shane Peterson
Jon Lester,Dylan Bundy,Jose Lobaton,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,Nelson Cruz,Yasmany Tomas,Hunter Renfroe
Cole Hamels,Dylan Bundy,Robinson Chirinos,Ryan Rua,Rougned Odor,Joey Gallo,Jean Segura,Adam Eaton,Mike Trout,Shin-Soo Choo
Jon Lester,Matt Shoemaker,JT Realmuto,Justin Bour,Cory Spangenberg,Nolan Arenado,Adeiny Hechavarria,Giancarlo Stanton,Marcell Ozuna,Manuel Margot
Cole Hamels,James Paxton,Austin Hedges,Logan Morrison,Brad Miller,Evan Longoria,Tim Beckham,Adam Eaton,Steven Souza,Manuel Margot
James Paxton,Sean Manaea,Robinson Chirinos,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Erick Aybar,Charlie Blackmon,Carlos Gonzalez,Guillermo Heredia
Cole Hamels,Luis Severino,Jose Lobaton,Logan Morrison,Brad Miller,Nolan Arenado,Tim Beckham,Bryce Harper,Steven Souza,Shane Peterson
