"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Matt Wieters","C","WSH","vs MIA",5.57,"O'Grady, L 5.40","B",0.242,0.293,0.137,0,0,0,7,2400,18.2,5.9,4.95,4.95,"%",44,2.1,5,2.1
"Tomas Telis","C","MIA","@ WSH",2.93,"Scherzer, R 2.20","B",0.174,0.192,0.13,0,0,0,7,2400,10.1,2.2,2.64,2.64,"%",15,1.1,7,2.9
"Drew Butera","C","KC","vs STL",4.38,"Martinez, R 3.54","R",0.245,0.294,0.117,0,0,0,9,2300,12.9,3.3,2.26,2.26,"%",19,1,0,NA
"Kaleb Cowart","2B/3B","LAA","vs BAL",4.89,"Bundy, R 4.24","L",0.378,0.436,0.243,0,0,0,9,2300,15.6,8.4,3,3,"%",63,1.3,7,3
"Martin Maldonado","C","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.233,0.3,0.16,0,0,0,8,2300,16,5.2,3.48,3.48,"%",40,1.5,0,NA
"Luis Valbuena","1B/3B","LAA","vs BAL",4.89,"Bundy, R 4.24","L",0.19,0.277,0.181,0,0,0,6,2300,18.5,5.2,4.98,4.98,"%",35,2.2,0,NA
"Dusty Coleman","3B","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.308,0.436,0.423,0,0,0,8,2200,24.4,7.8,3.34,3.34,"%",32,1.5,5,2.3
"Alcides Escobar","SS","KC","vs STL",4.38,"Martinez, R 3.54","R",0.224,0.239,0.076,0,0,0,7,2100,13.6,5,3.48,3.48,"%",49,1.7,0,NA
"Joey Rickard","OF","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.256,0.289,0.121,0,0,0,9,2100,14.2,4.1,2.3,2.3,"%",27,1.1,10,4.8
"Mike Aviles","2B/OF","MIA","@ WSH",2.93,"Scherzer, R 2.20","R",0.25,0.293,0.125,0,0,0,8,2100,12.4,3.9,2.26,2.26,"%",35,1.1,0,NA
"Ryder Jones","3B","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.083,0.11,0,0,0,0,7,2000,9.6,1.9,2.37,2.37,"%",4,1.2,21,10.5
"Carlos Moncrief","OF","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.429,0.47,0.143,0,0,0,8,2000,10,3,2.58,2.58,"%",39,1.3,0,NA
