Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Kyle Rudolph,TE,MIN,vs DET,26th,3500,3.4,22.3,8.2,9.68,9.68,100,40,2.8,14,4
Tavon Austin,WR,STL,@ WAS,11th,3500,1.9,18.7,12.5,7.5,7.5,100,0,2.1,5.6,1.6
Marquess Wilson,WR,CHI,vs ARI,32nd,3400,0.4,26,7.6,8.95,8.95,100,0,2.6,2,0.6
Theo Riddick,RB,DET,@ MIN,7th,3400,0,16.8,11.3,0,0,100,70,0,8.6,2.5
Charles Clay,TE,BUF,vs NE,9th,3400,3.2,22.4,9.6,9.58,9.58,100,0,2.8,10.9,3.2
Travis Benjamin,WR,CLE,vs TEN,10th,3400,0,15,13.1,0,0,100,26,0,35.5,10.4
Marcel Reece,RB,OAK,vs BAL,23rd,3400,1.4,8.6,,5.75,5.75,100,0,1.7,,
Duke Johnson,RB,CLE,vs TEN,10th,3400,0,9.2,10.3,0,0,100,43,0,4.3,1.3
Dion Lewis,RB,NE,@ BUF,21st,3400,7.7,15.8,17.3,10.41,10.41,100,0,3.1,24.8,7.3
Tyler Lockett,WR,SEA,@ GB,29th,3400,2.4,26.7,10.6,10.48,10.48,100,0,3.1,3.7,1.1
Justin Hunter,WR,TEN,@ CLE,24th,3400,1.9,16,6,6.63,6.63,100,0,2,5.4,1.6
Owen Daniels,TE,DEN,@ KC,18th,3300,4,20.5,7.4,9.46,9.46,100,0,2.9,4.9,1.5
Mohamed Sanu,WR,CIN,vs SD,14th,3300,0,21.6,5.7,6.61,6.61,100,64,2,2.5,0.8
Phillip Dorsett,WR,IND,vs NYJ,2nd,3300,4.4,16.1,4.3,8.32,8.32,100,71,2.5,3.5,1.1
Andrew Hawkins,WR,CLE,vs TEN,10th,3300,0,19.8,7,6.21,6.21,100,0,1.9,7.3,2.2
Brandon Coleman,WR,NO,vs TB,12th,3300,8.4,20.1,5.5,12.27,12.27,100,0,3.7,6.3,1.9
Eric Ebron,TE,DET,@ MIN,3rd,3300,4.6,19,9.3,9.36,9.36,100,69,2.8,15.3,4.6
Fred Jackson,RB,SEA,@ GB,29th,3300,0,10.6,5.2,0,0,100,0,0,8.6,2.6
Jerricho Cotchery,WR,CAR,vs HOU,28th,3300,4.9,15.1,7.7,8.31,8.31,100,0,2.5,2.1,0.6
Jaelen Strong,WR,HOU,@ CAR,20th,3300,3.1,12.4,4.8,6.16,6.16,100,0,1.9,,
Karlos Williams,RB,BUF,vs NE,5th,3300,1.6,9.9,11.9,6.57,6.57,100,0,2,11.7,3.5
Devin Funchess,WR,CAR,vs HOU,28th,3300,4.7,18.2,6.9,9.22,9.22,100,0,2.8,2.5,0.8
Branden Oliver,RB,SD,@ CIN,19th,3300,0,24.9,5,5.31,5.31,100,0,1.6,0.2,0.1
Dwayne Allen,TE,IND,vs NYJ,5th,3300,2.6,23.3,2.8,9.49,9.49,100,60,2.9,,
Danny Amendola,WR,NE,@ BUF,21st,3300,4.1,22.1,11.1,10.08,10.08,100,23,3.1,4.2,1.3
Cole Beasley,WR,DAL,@ PHI,8th,3300,4.8,21.6,8.5,10.39,10.39,100,61,3.1,5.4,1.6
Darrius Heyward-Bey,WR,PIT,vs SF,13th,3300,1.8,14.7,5.9,6.13,6.13,100,0,1.9,17.7,5.4
James White,RB,NE,@ BUF,21st,3300,1.2,18.6,10.5,7,7,100,38,2.1,,
Cody Latimer,WR,DEN,@ KC,17th,3300,4.4,9.5,2.6,6.09,6.09,100,0,1.8,,
Dolphins,DST,MIA,@ JAC,27th,3300,3.2,24.5,5.8,10.35,10.35,100,45,3.1,0,
Cecil Shorts III,WR,HOU,@ CAR,20th,3300,1.9,20.8,10.1,8.15,8.15,100,0,2.5,9.4,2.8
Dorial Green-Beckham,WR,TEN,@ CLE,24th,3300,5,19.1,8.5,9.74,9.74,100,0,3,8.3,2.5
Mike Davis,RB,SF,@ PIT,9th,3200,0,5.2,3.3,0,0,100,0,0,3.8,1.2
Marlon Brown,WR,BAL,@ OAK,3rd,3200,2.8,12.4,2.8,6,6,100,0,1.9,3.2,1
Jerick McKinnon,RB,MIN,vs DET,31st,3200,0,18.1,5.2,5.32,5.32,100,0,1.7,0.6,0.2
Ted Ginn Jr.,WR,CAR,vs HOU,28th,3100,0,18.8,12.5,6.16,6.16,100,0,2,14.1,4.5
Panthers,DST,CAR,vs HOU,28th,3100,2.6,24.5,10.3,9.95,9.95,100,9,3.2,4,1.3
Larry Donnell,TE,NYG,vs ATL,23rd,3100,3.1,23.5,7.9,9.89,9.89,100,20,3.2,12.8,4.1
Seahawks,DST,SEA,@ GB,29th,3100,4.6,20.5,9.9,9.88,9.88,100,52,3.2,4,1.3
Rams,DST,STL,@ WAS,11th,3100,2.7,25.2,8.4,10.19,10.19,100,0,3.3,4,1.3
Robert Woods,WR,BUF,vs NE,5th,3100,0,21.1,8.7,6.29,6.29,100,0,2,15,4.8
Willie Snead,WR,NO,vs TB,12th,3000,0,15.8,12.7,0,0,100,78,0,13.4,4.5
Ty Montgomery,WR,GB,vs SEA,15th,3000,0,25.4,7,6.98,6.98,100,0,2.3,7.7,2.6
Cameron Artis-Payne,RB,CAR,vs HOU,28th,3000,0,21.5,5.9,5.33,5.33,100,0,1.8,,
Josh Robinson,RB,IND,vs NYJ,2nd,3000,0,0,2.4,0,0,100,0,0,8.9,3
Taylor Gabriel,WR,CLE,vs TEN,10th,3000,0.7,20.5,4.4,7.26,7.26,100,0,2.4,0.7,0.2
Jordan Norwood,WR,DEN,@ KC,17th,3000,0,7.8,4.3,0,0,100,0,0,4.4,1.5
Seth Roberts,WR,OAK,vs BAL,23rd,3000,0,8.6,7.2,0,0,100,57,0,8.2,2.7
Vernon Davis,TE,SF,@ PIT,17th,3000,2.5,18.1,6,7.69,7.69,100,0,2.6,11.2,3.7
Antonio Andrews,RB,TEN,@ CLE,24th,3000,5.2,8.5,8.1,6.32,6.32,100,0,2.1,,
Stedman Bailey,WR,STL,@ WAS,11th,3000,0,19.4,4.5,6.37,6.37,100,0,2.1,1,0.3
Titans,DST,TEN,@ CLE,24th,3000,5.2,17.8,5.1,9.37,9.37,100,0,3.1,1,0.3
Louis Murphy,WR,TB,@ NO,4th,3000,0,20.9,6,5.74,5.74,100,0,1.9,11.2,3.7
Bengals,DST,CIN,vs SD,14th,3000,5.1,19.2,8.6,9.79,9.79,100,6,3.3,11,3.7
Quincy Enunwa,WR,NYJ,@ IND,26th,3000,0,13,4.9,0,0,100,65,0,3.7,1.2
Mike Campanaro,WR,BAL,@ OAK,3rd,3000,2.4,12.6,4.1,5.8,5.8,100,0,1.9,0,
Jeremy Langford,RB,CHI,vs ARI,32nd,3000,0,13.5,10,4.33,4.33,100,68,1.4,8.1,2.7
Cameron Meredith,WR,CHI,vs ARI,32nd,3000,0,19.8,3.8,0,0,100,0,0,6.6,2.2
Leonard Hankerson,WR,ATL,@ NYG,1st,3000,2,12,11.4,8,8,100,0,2.7,19.7,6.6
Chris Matthews,WR,SEA,@ GB,29th,3000,1.4,8.4,3.1,5.57,5.57,100,0,1.9,2.3,0.8
DeAndrew White,WR,SF,@ PIT,9th,3000,0,0,1.9,0,0,100,0,0,3.8,1.3
Packers,DST,GB,vs SEA,15th,3000,3.1,22.9,7.3,9.69,9.69,100,0,3.2,7,2.3
Jacquizz Rodgers,RB,CHI,vs ARI,32nd,3000,0,16.5,1.2,5.33,5.33,100,0,1.8,0.8,0.3
Harry Douglas,WR,TEN,@ CLE,24th,3000,0,19,6.3,6.17,6.17,100,0,2.1,1.3,0.4
