"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
11154,"Don Carey","FS","DET","BAL",15,30,48,0,0,0,0,0,18.3
8507,"Evander Hood","NT","PIT","CIN",15,62,90,0,0,0,0,0,18.2
1750,"Trent Cole","OLB","PHI","MIN",15,55,73,0,0,0,0,0,18.2
13472,"Byron Maxwell","CB","SEA","NYG",15,55,100,0,0,0,0,0,18.2
722,"Jason Witten","TE","DAL","GB",15,73,100,0,11,6,11,17.1,17.9
9108,"Tony Gonzalez","TE","ATL","WAS",15,68,100,0,10,9,10,18.2,17.9
11317,"Clay Harbor","TE","JAX","BUF",15,29,39,0,14,10,14,8.2,17.9
13999,"Jerrell Freeman","ILB","IND","HOU",15,65,100,0,0,0,0,0,17.7
9555,"Sen'Derrick Marks","DE","JAX","BUF",15,61,80,0,0,0,0,0,17.7
11759,"Will Allen","SS","PIT","CIN",15,34,49,0,0,0,0,0,17.6
13718,"Brandon Boykin","CB","PHI","MIN",15,17,23,0,0,0,0,0,17.6
292,"Brandon Mebane","NT","SEA","NYG",15,17,31,0,0,0,0,0,17.6
14888,"Logan Ryan","CB","NE","MIA",15,17,27,0,0,0,0,0,17.6
4556,"Jordy Nelson","WR","GB","DAL",15,69,95,0,13,7,13,17.1,17.5
11271,"Barry Church","SS","DAL","GB",15,60,82,0,0,0,0,0,17.5
11731,"Adam Jones","CB","CIN","PIT",15,60,97,0,0,0,0,0,17.5
11165,"Deji Karim","RB","HOU","IND",15,12,19,33,8,33,42,2.1,17.5
14269,"Alfred Morris","RB","WAS","ATL",15,38,56,47,3,50,50,9.6,17.4
12323,"Joique Bell","RB","DET","BAL",15,27,42,33,7,37,41,5.7,17.4
13808,"Quinton Coples","DE","NYJ","CAR",15,64,100,0,0,0,0,0,17.3
8593,"Glover Quin","FS","DET","BAL",15,62,100,0,0,0,0,0,17.3
14141,"Cole Beasley","WR","DAL","GB",15,11,15,0,36,27,36,4.9,17.3
11916,"Antrel Rolle","SS","NYG","SEA",15,67,100,0,0,0,0,0,17.2
1986,"Jason Avant","WR","PHI","MIN",15,58,84,0,9,5,9,13,17.2
14894,"Sheldon Richardson","OLB","NYJ","CAR",15,51,80,4,0,4,4,6.2,17.1
7680,"Haloti Ngata","DT","BAL","DET",15,38,59,0,0,0,0,0,17.1
15041,"Kayvon Webster","CB","DEN","SD",15,35,49,0,0,0,0,0,17.1
6458,"Ronnie Brown","RB","SD","DEN",15,7,10,43,0,43,43,1.2,17.1
6302,"James Jones","WR","GB","DAL",15,64,88,0,11,5,11,13.9,17
5701,"Fred Jackson","RB","BUF","JAX",15,52,68,33,4,35,37,9.8,16.9
2933,"Calvin Pace","OLB","NYJ","CAR",15,48,75,0,0,0,0,0,16.9
14280,"Mike Daniels","DT","GB","DAL",15,42,58,0,0,0,0,0,16.9
1903,"Pat Sims","NT","OAK","KC",15,53,98,0,0,0,0,0,16.8
8343,"Cameron Wake","DE","MIA","NE",15,70,88,0,0,0,0,0,16.7
13104,"Shareece Wright","CB","SD","DEN",15,54,100,0,0,0,0,0,16.7
12554,"Andrew Sendejo","SS","MIN","PHI",15,30,44,0,0,0,0,0,16.7
14983,"Blidi Wreh-Wilson","CB","TEN","ARI",15,21,31,0,0,0,0,0,16.7
14641,"Michael Egnew","TE","MIA","NE",15,15,23,0,20,13,20,4.5,16.7
14381,"Leonard Johnson","CB","TB","SF",15,12,16,0,0,0,0,0,16.7
12704,"Jaiquawn Jarrett","SS","NYJ","CAR",15,12,19,0,0,0,0,0,16.7
15203,"Steven Means","DE","TB","SF",15,6,8,0,0,0,0,0,16.7
11589,"Chris Maragos","S","SEA","NYG",15,6,11,0,0,0,0,0,16.7
6029,"Calvin Johnson","WR","DET","BAL",15,59,91,0,24,10,24,15.8,16.6
13386,"Lance Kendricks","TE","LA","NO",15,44,82,0,7,5,7,9.3,16.6
611,"Joe Flacco","QB","BAL","DET",15,62,100,3,0,65,65,10.18,16.4
15019,"Ace Sanders","WR","JAX","BUF",15,47,63,0,6,4,6,9.7,16.4
12424,"Erik Walden","OLB","IND","HOU",15,49,75,0,0,0,0,0,16.3
5035,"Leodis McKelvin","CB","BUF","JAX",15,74,99,0,0,0,0,0,16.2
9118,"William Moore","SS","ATL","WAS",15,68,100,0,0,0,0,0,16.2
12880,"Jabaal Sheard","DE","CLE","CHI",15,50,75,0,0,0,0,0,16.2
13911,"Billy Winn","DE","CLE","CHI",15,37,55,0,0,0,0,0,16.2
13451,"Sealver Siliga","DT","NE","MIA",15,41,64,0,0,0,0,0,16.1
14275,"Jarrett Boykin","WR","GB","DAL",15,52,71,0,12,12,12,14.3,16
1141,"Manny Lawson","OLB","BUF","JAX",15,50,67,0,0,0,0,0,16
14819,"Saalim Hakim","WR","NYJ","CAR",15,5,8,20,20,20,40,0.8,16
12063,"Dekoda Watson","OLB","TB","SF",15,63,85,0,0,0,0,0,15.9
15042,"Sylvester Williams","NT","DEN","SD",15,44,61,0,0,0,0,0,15.9
7389,"Eddie Royal","WR","SD","DEN",15,29,40,0,21,10,21,7.6,15.9
13749,"Chandler Jones","OLB","NE","MIA",15,62,97,0,0,0,0,0,15.8
3382,"Marcel Reece","FB","OAK","KC",15,50,63,10,14,16,26,9.88,15.8
725,"Shaun Phillips","OLB","DEN","SD",15,42,58,0,0,0,0,0,15.7
8699,"Knowshon Moreno","RB","DEN","SD",15,35,65,23,17,37,40,10.5,15.7
15697,"Chase Ford","TE","MIN","PHI",15,35,47,0,6,6,6,7.5,15.7
4399,"Cliff Avril","DE","SEA","NYG",15,41,75,0,0,0,0,0,15.6
13791,"Lamar Miller","RB","MIA","NE",15,39,61,39,3,41,41,7.1,15.6
3807,"Ben Roethlisberger","QB","PIT","CIN",15,62,100,0,0,40,40,10.64,15.5
2677,"Jameel McClain","ILB","BAL","DET",15,42,65,0,0,0,0,0,15.5
9704,"Darius Butler","CB","IND","HOU",15,65,100,0,0,0,0,0,15.4
11722,"Cory Redding","DE","IND","HOU",15,36,55,0,0,0,0,0,15.3
15746,"Matt McGloin","QB","OAK","KC",15,65,82,2,0,55,55,14.88,15.2
13299,"Jacquizz Rodgers","RB","ATL","WAS",15,27,40,15,15,30,30,8.1,15.2
11402,"Sam Shields","CB","GB","DAL",15,73,100,0,0,0,0,0,15.1
5100,"Jacoby Jones","WR","BAL","DET",15,53,86,0,17,11,17,14,15.1
12195,"Frank Zombo","OLB","KC","OAK",15,74,97,0,0,0,0,0,14.9
12178,"Jason Hunter","DE","OAK","KC",15,49,91,0,0,0,0,0,14.9
13070,"Sterling Moore","CB","DAL","GB",15,47,64,0,0,0,0,0,14.9
14523,"Jeremy Lane","CB","SEA","NYG",15,37,67,0,0,0,0,0,14.9
15178,"Malliciah Goodman","DE","ATL","WAS",15,27,40,0,0,0,0,0,14.8
7175,"Delanie Walker","TE","TEN","ARI",15,77,90,0,14,10,14,19.3,14.7
15183,"Desmond Trufant","CB","ATL","WAS",15,68,100,0,0,0,0,0,14.7
13147,"Spencer Paysinger","OLB","NYG","SEA",15,48,72,0,0,0,0,0,14.6
13860,"Vontaze Burfict","OLB","CIN","PIT",15,62,100,0,0,0,0,0,14.5
547,"Ray Rice","RB","BAL","DET",15,44,71,27,9,30,36,7.4,14.5
12317,"Danny Woodhead","RB","SD","DEN",15,29,40,31,3,35,35,5.2,14.5
5984,"Cullen Jenkins","DE","NYG","SEA",15,50,75,0,0,0,0,0,14.4
6198,"Darren Sproles","RB","NO","LA",15,43,50,16,23,35,40,14.2,14.4
12845,"AJ Green","WR","CIN","PIT",15,65,94,0,28,14,28,18.3,14.3
