"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
2104,"Mike Adams","SS","DEN","NYG",2,36,46,0,0,0,0,0,12.5
14972,"Shamarko Thomas","SS","PIT","CIN",2,28,34,0,0,0,0,0,12.5
1171,"Trevor Scott","DE","TB","NO",2,16,22,0,0,0,0,0,12.5
9095,"Jamarca Sanford","SS","MIN","CHI",2,65,97,0,0,0,0,0,12.3
7534,"Justin Smith","DT","SF","SEA",2,61,80,0,0,0,0,0,12.3
12040,"Jabari Greer","CB","NO","TB",2,57,97,0,0,0,0,0,12.3
13860,"Vontaze Burfict","OLB","CIN","PIT",2,57,100,0,0,0,0,0,12.3
4738,"Mike Tolbert","FB","CAR","BUF",2,35,44,17,9,23,26,6.3,12.3
11382,"Ndamukong Suh","DT","DET","ARI",2,58,82,0,0,0,0,0,12.1
13731,"Mychal Kendricks","OLB","PHI","SD",2,83,100,0,0,0,0,0,12
14918,"Tyler Eifert","TE","CIN","PIT",2,55,67,0,9,6,9,9.6,12
7191,"Terrell Thomas","CB","NYG","DEN",2,46,62,0,0,0,0,0,12
1750,"Trent Cole","OLB","PHI","SD",2,67,81,0,0,0,0,0,11.9
1061,"Charles Johnson","DE","CAR","BUF",2,59,79,0,0,0,0,0,11.9
7175,"Delanie Walker","TE","TEN","HOU",2,59,84,0,3,2,3,8,11.9
3785,"Curtis Lofton","ILB","NO","TB",2,59,100,0,0,0,0,0,11.9
14970,"Jarvis Jones","OLB","PIT","CIN",2,59,72,0,0,0,0,0,11.9
13460,"Doug Baldwin","WR","SEA","SF",2,43,57,0,2,2,2,6.1,11.9
12763,"Jimmy Wilson","SS","MIA","IND",2,42,58,0,0,0,0,0,11.9
12830,"Torrey Smith","WR","BAL","CLE",2,72,100,0,18,10,18,15.5,11.8
13162,"Leonard Hankerson","WR","WAS","GB",2,30,49,0,10,10,10,6.5,11.7
13748,"Dont'a Hightower","ILB","NE","NYJ",2,69,97,0,0,0,0,0,11.6
9739,"Hakeem Nicks","WR","NYG","DEN",2,72,91,0,10,6,10,12.3,11.5
8330,"Brian Hartline","WR","MIA","IND",2,59,89,0,14,9,14,11.8,11.5
4104,"Jerricho Cotchery","WR","PIT","CIN",2,47,83,2,19,9,21,8.4,11.5
8840,"Mike Jenkins","CB","OAK","JAX",2,57,85,0,0,0,0,0,11.4
12293,"George Selvie","DE","DAL","KC",2,44,66,0,0,0,0,0,11.4
12762,"Daniel Thomas","RB","MIA","IND",2,35,53,23,3,26,26,5,11.4
15072,"Mychal Rivera","TE","OAK","JAX",2,28,44,0,11,11,11,6.2,11.4
