"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27"
"Addison Russell_CHC",3,NA,7,NA,NA,3,19,16,5,NA,0,14,NA,21,0,2,NA,30,NA,7,4,10,20,7,0,NA,6,0,0,NA,7,0,11,0,10,6,NA,6,NA,NA,NA,NA,3,NA,14,4,8,NA,NA,7,3,0,7,NA,2,3,5,12,2,NA,NA,0,NA,7,NA,0,NA,NA,NA,0,17,16,9,NA,NA,11,17,NA,NA,8,0,33,0,12,0,NA,NA,2,3,5,8,NA,3,2,NA,0,NA,21,23,NA,0,20,NA,NA,0,7,NA,9,17,0
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2,7,NA,7,8,5,18,NA,NA,12,6,0,12,0,2,NA,3,7,2,0,18,2,NA,14,NA,14,NA,NA,2,NA,2,2,2,NA,19,9,NA,0,NA,9,NA,14,NA,0,NA,2,NA,2,16,0,NA,0,20,8,0,NA,28,2,NA,0,NA,NA,5,19,NA,2,4,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,19,14,NA,0,NA,8,NA,NA,0,14,3,NA,9,40
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5,0,4,0,16,7,30,2,18,12,14,15,NA,0,0,8,2,14,0,23,0,14,NA,0,25,2,NA,20,8,2,NA,0,9,2,16,2,NA,NA,21,5,0,5,3,16,23,10,0,NA,NA,0,7,NA,16,0,NA,7,NA,2,12,0,16,NA,NA,NA,0,2,NA,28,0,0,NA,NA,20,2,2,21,NA,NA,4,NA,3,NA,NA,NA,0,NA,2,2,14,NA,7,0,22,NA,32,9,NA
"Melky Cabrera_CWS",NA,NA,NA,NA,NA,6,2,4,NA,NA,3,14,NA,NA,NA,8,2,3,NA,3,0,7,13,4,5,NA,6,14,10,0,3,5,10,9,2,5,NA,0,NA,18,0,5,NA,3,5,10,0,7,14,NA,0,17,NA,NA,NA,2,17,23,9,0,NA,2,0,12,NA,2,3,8,8,11,4,15,5,7,NA,33,NA,8,NA,10,0,5,3,5,14,11,2,0,14,10,20,15,23,5,NA,3,0,0,27,NA,0,14,NA,10,27,0,5,3,0,3
"Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8,NA,10,NA,18,3,5,NA,NA,3,17,7,7,2,NA,NA,NA,6,0,NA,20,16,10,NA,8,26,21,16,18,5,7,NA,2,0,18,NA,5,2,NA,2,5,16,NA,0,10,2,3,NA,0,10,5,0,3,0,NA,4,3,0,16,19,8,9,5,NA,26,14,16,21,8,8,NA,15,0,2,2,14,5,NA,8,4,9,NA,5,7,8,4,8,8,9,3,15,9,20,0,4,NA,0,0,NA,5,16,3
"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24,7,3,4,0,NA,0,0,0,NA,12,8,10,0,23,NA,NA,9,NA,8,3,NA,NA,27,5,2,12,NA,42,12,5,5,15,16,0,5,3,NA,5,NA,10,NA,NA,NA,3,2,0,14,2,6,16,NA,5,7,0,NA,6,0,0,NA,NA,14,NA,28,4,16,18,16,3,5,NA,12,2,18,13,31,NA,12,NA,0,0,0,NA,10,16,13,2,0,7,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA,5,NA,NA,NA,9,NA,14,NA,4,2,NA,NA,0,NA,NA,18,3,3,NA,NA,NA,12,NA,9,NA,NA,7,0,NA,0,7,0,NA,NA,NA,2,NA,NA,NA,3,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,17,7,NA,NA,NA,3,NA,NA,17,6,NA,0,NA,0,11,NA,2,0,3,7,NA,11,NA,0,0,0,NA,NA,NA,3,NA,NA,NA,NA,24,NA,5,NA,NA,NA,NA,NA,NA,9,NA,10
"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,18,NA,NA,NA,NA,NA,0,NA,30,NA,18,NA,NA,7,NA,NA,NA,0,NA,NA,NA,6,NA,3,NA,NA,18,NA,NA,NA,7,NA,NA,2,NA,7,NA,NA,NA,NA,NA,0,NA,NA,3,NA,10,NA,NA,NA,0,NA,0,NA,NA,16,NA,NA,18,NA,0,NA,NA,NA,14,NA,6,NA,2,NA,26,NA,18,NA,NA,16,0,NA,4,10,NA,2,NA,NA,NA,NA,3,NA,NA,NA,5,12,NA,NA,0,NA,NA,NA,NA
"Seth Smith_BAL",NA,7,NA,NA,NA,23,8,NA,NA,NA,4,NA,16,7,NA,NA,4,NA,NA,NA,NA,NA,13,0,12,NA,NA,0,NA,2,NA,NA,29,8,5,NA,NA,19,7,NA,NA,5,5,NA,NA,3,NA,NA,5,NA,5,0,NA,NA,0,NA,5,NA,0,15,NA,14,NA,NA,NA,14,2,3,NA,0,12,18,NA,NA,NA,7,2,26,3,5,3,14,3,4,NA,NA,0,NA,0,NA,11,NA,0,5,0,19,NA,NA,3,14,21,NA,NA,NA,8,NA,NA,4,10,NA
"Trey Mancini_BAL",NA,NA,NA,0,NA,NA,NA,4,NA,5,34,5,NA,NA,35,NA,NA,3,NA,0,16,0,NA,NA,NA,NA,5,NA,4,NA,7,8,NA,NA,23,11,21,0,NA,NA,3,2,NA,NA,13,8,NA,5,NA,10,11,0,NA,NA,NA,2,NA,5,15,0,10,NA,7,3,NA,0,NA,0,0,3,7,21,5,21,NA,17,16,24,0,5,11,3,12,25,14,NA,3,2,0,0,2,NA,3,6,14,8,3,9,4,3,19,19,2,3,0,16,0,21,0,NA
"Francisco Mejia_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yadier Molina_STL",10,NA,3,NA,NA,0,9,3,10,4,NA,NA,2,0,14,NA,0,3,5,3,11,NA,NA,8,NA,NA,7,NA,0,3,6,NA,12,5,NA,2,9,7,13,NA,3,10,30,NA,3,7,NA,7,3,3,NA,3,16,8,3,5,NA,0,21,0,0,2,16,10,15,0,NA,6,NA,NA,NA,NA,NA,5,3,3,17,14,NA,16,5,3,NA,NA,NA,3,3,NA,16,5,0,21,3,0,2,0,10,3,0,8,7,3,NA,NA,2,5,15,11,14,NA
"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0,NA,3,8,NA,NA,14,7,NA,NA,2,28,8,14,NA,NA,13,NA,NA,19,NA,8,34,0,NA,3,12,NA,9,7,7,22,NA,2,14,5,NA,3,6,NA,10,6,NA,NA,0,15,14,0,2,16,2,NA,0,11,NA,NA,10,0,6,5,0,8,13,2,NA,NA,4,3,16,6,0,NA,14,24,2,6,5,NA,23,11,10,16,0,2,19,NA,NA,8,19,2,16,7,3,10,3,NA,NA,2,8,2,NA,4,NA
"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA,NA,NA,26,2,NA,NA,5,2,NA,NA,NA,32,38,7,NA,20,2,2,NA,3,NA,13,3,14,0,NA,NA,10,0,22,7,16,15,5,3,NA,NA,NA,8,NA,5,NA,0,8,NA,2,NA,8,7,13,0,14,NA,7,14,5,NA,23,16,8,NA,6,5,8,NA,3,14,2,NA,10,8,NA,2,7,NA,NA,14,3,NA,3,NA,4,NA,10,13,NA,NA,14,NA,8,0,7,0,NA,NA,NA,NA,NA,0
"Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA,0,17,2,28,4,NA,0,0,5,10,6,5,11,4,16,8,NA,5,17,0,23,0,NA,0,8,0,10,NA,9,NA,10,9,15,23,2,0,NA,NA,2,NA,20,NA,24,NA,0,4,NA,8,2,2,NA,5,10,7,NA,0,NA,22,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5,7,NA,NA,0,5,16,7,6,5,13,0,NA,NA,8,7,NA,14,NA,NA,10,0
"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,9,5,NA,7,4,2,0,NA,4,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA,5,NA,NA,2,NA,9,NA,2,NA,NA,NA,NA,7,NA,8,NA,14,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,16,NA,0,NA,3,5,13,NA,NA,8,NA,NA,0,7,NA,3,NA,NA,0,5,NA,18,9,0,22,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,26,NA,3,5,NA,NA,NA,10,NA,NA,NA,3,2,NA,7,7,NA,10,NA,NA,0,NA,NA,3,14,NA,NA,0,2,25,22,0,7,NA,16,19,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,14,NA,NA,NA,NA,0,NA,12,0,2,17,8,12,NA,3,3,8,19,5,NA,NA,7,24,NA,0,6,11,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,2,8,NA,2,11,NA,NA,NA,4,2,NA,NA,6,14,3,6,22,NA,0,0,NA,0,0,2,0,5,0,NA,NA,0,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,6,NA,NA,NA,NA,NA,0,NA,31,0,7,7,NA,NA,NA
"Bobby Bradley_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoan Moncada_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,2,0,3,4,18,0
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,0,4,NA,0,NA,NA,NA,NA,2,0,NA,14,NA,NA,0,NA,22,NA,NA,NA,2,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,12,NA,NA,3,NA,NA,NA,18,NA,7,0,21,2,2,5,NA,2,NA,NA,2,16,NA,NA,5,0,NA,10,13,10,12,16,NA,7,10,NA,NA,18,NA,NA,NA,0,13,NA,NA,15,NA,6,0,2,9,10,NA,14,NA
"Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA,9,NA,0,NA,0,NA,NA,14,5,0,14,14,5,23,NA,5,NA,3,13,NA,3,7,10,NA,20,7,5,7,7,4,9,NA,0,NA,9,NA,5,13,NA,12,0,NA,NA,NA,9,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,14,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,7,6,NA,NA,NA,2,12,6,10,0
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10,4,NA,0,NA,6,0,23,NA,3,11,32,NA,12,10,0,23,0,9,NA,NA,2,4,NA,2,3,NA,NA,7,16,NA,7,2,NA,20,16,7,NA,7,7,NA,NA,8,NA,NA,2,0,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jon Jay_CHC",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,16,4,NA,NA,NA,3,NA,NA,12,NA,NA,9,7,2,NA,NA,10,2,11,7,NA,NA,0,NA,NA,NA,NA,NA,NA,9,NA,7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,10,0,NA,11,NA,NA,NA,15,5,4,NA,NA,0,8,5,NA,0,9,3,17,0,NA,12,NA,5,NA,NA,NA,0,NA,NA,3,NA,NA,5,NA,14,NA,14,2
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,18,17,NA,8,5,0,NA,NA,NA,NA,NA,30,2,0,NA,4,NA,NA,0,NA,NA,21,0,NA,NA,NA,0,NA,18,2,0,3,0,NA,5,16,3,23,NA,NA,NA,NA,NA,NA,10,14,3,0,3,NA,12,0,NA,NA,2,0,NA,0,9,0,19,20,19,NA,7,NA,0,NA,19,0,28,6,0,0,0,0,NA,NA,0,2,9,6,16,NA,NA,NA,7,0,NA,3,3,NA,9,6,5,14,2,2,0
"Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA,6,NA,NA,NA,14,NA,0,0,7,NA,NA,NA,3,7,NA,NA,3,NA,11,0,0,NA,NA,8,8,NA,NA,4,7,NA,25,5,NA,5,0,NA,7,10,NA,NA,NA,3,31,0,14,NA,NA,0,2,NA,9,NA,0,NA,5,3,NA,NA,3,NA,NA,11,0,NA,NA,NA,2,NA,14,0,NA,12,2,NA,5,NA,5,0,NA,2,5,NA,NA,8,NA,2,NA,16,8,2,3,0,14,3,NA,NA,NA,4,5,NA,9,14,NA
"Greg Allen_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA,3,13,12,NA,28,19,2,35,10,5,NA,NA,12,17,3,3,NA,0,NA,6,8,7,5,NA,8,8,13,7,NA,15,8,NA,7,NA,NA,14,12,5,NA,2,7,10,0,0,NA,2,NA,22,7,16,2,10,NA,NA,5,5,NA,5,3,16,NA,5,NA,18,8,9,5,14,NA,5,28,9,18,NA,3,0,0,5,0,17,5,NA,10,0,0,NA,0,0,0,7,NA,0
"Jeimer Candelario_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Victor Caratini_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA
"Mark Zagunis_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Welington Castillo_BAL",NA,8,NA,3,NA,0,7,NA,NA,6,19,5,NA,3,0,NA,10,5,NA,0,NA,7,7,NA,6,NA,20,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,NA,35,20,0,2,3,NA,NA,0,5,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,2,22,NA,0,4,17,0,0,NA,6,5,16,NA,NA,0,NA,2,5,NA,NA,NA,2,3,NA,0,16,NA,10,3,NA,13,NA,0,NA,5,12,NA,NA
"Caleb Joseph_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,10,NA,NA,0,NA,NA,NA,19,NA,7,0,3,3,0,3,NA,14,3,7,NA,24,NA,23,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4,NA,5,NA,7,0,6,0,NA,NA,3,10,0,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24,NA,NA,NA,NA,NA,13,NA,0,NA,NA,0,NA,NA,21,NA,NA,10,NA,6,NA,6,3,NA,3,NA
"Erik Gonzalez_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,3,0,NA,NA,5,NA,14,NA,NA,NA,NA,10,NA
"Alen Hanson_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,24,NA,NA,NA,NA,7,NA,NA,6,8,NA,NA,0,7,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,16,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7,3,NA,4,3,3,16,NA,0,10,11,7,NA,3,17,10,NA,8,0,NA,0,7,NA,NA,12,21,5,26,3,NA,7,5,0,NA,19,2,NA,NA,7,NA,3,0,NA,13,0,5,NA,3,2,0,NA,NA,5,18,4,NA,16,16,NA,31,5,NA,3,5,10,NA,0,28,NA,3,8,0,NA,2,NA,5,0,12,NA,5,3,0,20,4,3,3,NA,7,2,NA,7,NA,3,NA,0,NA,NA
"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,3,NA,9,NA,2,20,5,NA,6,12,5,NA,4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,13,41,5,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,0,NA
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7,NA,0,3,11,0,0,NA,5,NA,2,NA,3,3,NA,NA,3,7,NA,2,22,2,NA,2,NA,10,0,NA,8,9,6,NA,3,NA,10,11,NA,5,14,NA,NA,5,0,0,16,NA,8,0,3,0,NA,3,3,NA,NA,5,NA,NA,26,NA,0,5,10,10,NA,10,NA,NA,6,9,0,NA,6,NA,5,0,NA,NA,7,15,7,0,NA,2,NA,9,7,NA,3,7,0,NA,2,2,0,NA,7,9,12,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA,0,NA,NA,0,NA,4,NA,3,NA,NA,NA,NA,16,NA,0,NA,0,NA,NA,0,NA,NA,5,NA,0,NA,NA,2,8,NA,NA,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA,NA,11,NA,NA,NA,7
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5,31,7,NA,NA,7,19,6,2,25,5,18,4,NA,0,0,7,5,17,16,NA,24,10,0,NA,16,0,12,5,3,0,NA,0,NA,10,8,16,7,2,12,17,11,0,48,NA,0,NA,NA,NA,NA,0,NA,2,10,13,NA,0,5,11,NA,19,0,23,3,10,7,21,13,13,NA,2,NA,0,NA,26,8,10,3,0,0,0,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,20,5,NA,8,0,NA,9,3,3,0,0,NA,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA,7,NA,NA,NA,NA,16,NA,14,NA,10,NA,NA,0,NA,0,NA,NA,3,NA,0,NA,NA,NA,3,NA,3,NA,NA,NA,3,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,7,NA,NA,2,NA,14,NA,4,NA,NA,NA,40,NA,5,NA,NA,NA,0,NA,NA,0,NA,NA,NA,18,NA,5,NA,NA,NA,11,0,NA,NA,5,NA,7,NA,7,NA,NA,NA,6,NA,NA,NA,12,NA,7,NA,NA,4,NA,3
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,16,NA,5,NA,NA,0,NA,NA,NA,NA,21,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,21,NA,NA,21,NA,NA,14,NA,2,NA,NA,2,NA,2,NA,NA,NA,2,0,NA,4,NA,NA,NA,NA,25,NA,NA,3,NA,NA,NA,0,NA,NA,NA,10,NA,16,NA,20,NA,0,5,NA,0,NA,NA,0,NA,NA,0,NA,7,NA,20,NA,9,NA,0,0,NA,NA,NA,NA
"Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,NA,NA,0,NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
