"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Adam Eaton",3700,"WAS@OAK 04:05PM ET",10.13,"WAS","OAK",NA,0,NA,NA,"x","x",NA
"3B/OF","Hernan Perez",3700,"LAD@MIL 04:10PM ET",6.75,"MIL","LAD",5.72,6,7.33,NA,"5","5",14
"OF/SS","Kike Hernandez",3700,"LAD@MIL 04:10PM ET",5.306,"LAD","MIL",NA,6.1,6.91,NA,"x","7",NA
"C","Yasmani Grandal",3700,"LAD@MIL 04:10PM ET",6.673,"LAD","MIL",7.36,10.1,8.46,NA,"3","3",2
"OF","Franklin Gutierrez",3700,"LAD@MIL 04:10PM ET",3.174,"LAD","MIL",NA,0,1.78,NA,"x","x",NA
"1B","Mike Napoli",3700,"HOU@TEX 07:15PM ET",6.48,"TEX","HOU",5.84,5.9,7.24,NA,"8","8",0
"C","Brian McCann",3700,"HOU@TEX 07:15PM ET",7.794,"HOU","TEX",7.41,7.9,1.73,NA,"6","7",0
"2B/OF","Scooter Gennett",3700,"ATL@CIN 04:10PM ET",4.791,"CIN","ATL",NA,0,1.85,NA,"x","x",NA
"OF","Phillip Ervin",3700,"ATL@CIN 04:10PM ET",0.667,"CIN","ATL",NA,0,NA,NA,"x","x",NA
"OF","David Peralta",3700,"ARI@MIA 04:10PM ET",7.292,"ARI","MIA",8.45,7.7,8.15,NA,"2","2",0
"OF","Carlos Gonzalez",3700,"COL@SD 04:10PM ET",6.132,"COL","SD",7.23,7.6,7.56,NA,"5","4",6
"OF","Leury Garcia",3600,"CWS@DET 04:10PM ET",7.191,"CWS","DET",6.55,7.9,8.73,NA,"1","1",5
"1B","Victor Martinez",3600,"CWS@DET 04:10PM ET",6.755,"DET","CWS",6.67,7.3,8.57,NA,"4","4",0
"2B/SS","Javier Baez",3600,"STL@CHC 02:20PM ET",6.543,"CHC","STL",6.48,7.1,6.87,NA,"x","7",17
"OF","Kyle Schwarber",3600,"STL@CHC 02:20PM ET",6.204,"CHC","STL",6.22,7.5,6.4,NA,"7","9",20
"SS","Andrelton Simmons",3600,"MIN@LAA 10:07PM ET",6.69,"LAA","MIN",6.26,6.5,6.88,NA,"1","1",16
"OF","Eddie Rosario",3600,"MIN@LAA 10:07PM ET",5.939,"MIN","LAA",5.09,5.8,6.54,NA,"7","8",2
"OF","Max Kepler",3600,"MIN@LAA 10:07PM ET",7.694,"MIN","LAA",7.19,7.1,7.28,NA,"5","5",19
"OF","Robbie Grossman",3600,"MIN@LAA 10:07PM ET",7.683,"MIN","LAA",6.5,6.5,7.42,NA,"2","2",4
"C","Austin Barnes",3600,"LAD@MIL 04:10PM ET",5.741,"LAD","MIL",NA,0,1.73,NA,"x","x",NA
"2B","Brad Miller",3600,"TB@SEA 10:10PM ET",6.366,"TB","SEA",NA,NA,NA,NA,"8","x",NA
"2B","Brandon Phillips",3600,"ATL@CIN 04:10PM ET",6.848,"ATL","CIN",6.6,7.9,7.97,NA,"2","2",12
"SS","Asdrubal Cabrera",3600,"PIT@NYM 07:15PM ET",6.805,"NYM","PIT",7.43,6.6,1.9,NA,"7","2",2
"3B","David Wright",3600,"PIT@NYM 07:15PM ET",0,"NYM","PIT",NA,0,NA,NA,"x","x",NA
"C","JT Realmuto",3600,"ARI@MIA 04:10PM ET",7.217,"MIA","ARI",5.9,6.3,6.88,NA,"6","6",7
"1B/OF","Ian Desmond",3600,"COL@SD 04:10PM ET",6.667,"COL","SD",7.27,5.9,6.73,NA,"6","5",20
"2B","DJ LeMahieu",3600,"COL@SD 04:10PM ET",6.517,"COL","SD",7.44,6,7.3,NA,"2","2",17
"3B","Todd Frazier",3500,"CWS@DET 04:10PM ET",6.426,"CWS","DET",7.95,8,8.67,NA,"4","5",9
"SS","Tim Anderson",3500,"CWS@DET 04:10PM ET",6.913,"CWS","DET",NA,6.9,7.52,NA,"7","7",3
"1B/C","Alex Avila",3500,"CWS@DET 04:10PM ET",7.5,"DET","CWS",6.38,7.9,8.68,NA,"2","2",21
"C","Willson Contreras",3500,"STL@CHC 02:20PM ET",5.957,"CHC","STL",6.65,7.2,7.1,NA,"6","6",5
"2B/OF","Brock Holt",3500,"BOS@BAL 07:15PM ET",3.333,"BOS","BAL",NA,0,NA,NA,"x","x",NA
"OF","Jacoby Ellsbury",3500,"NYY@TOR 01:07PM ET",7.25,"NYY","TOR",NA,0,NA,NA,"x","x",NA
"OF","Keon Broxton",3500,"LAD@MIL 04:10PM ET",7.54,"MIL","LAD",5.37,7,6.71,NA,"1","1",7
"OF","Yasiel Puig",3500,"LAD@MIL 04:10PM ET",7.415,"LAD","MIL",6.52,7.6,6.89,NA,"8","8",22
"1B","Adrian Gonzalez",3500,"LAD@MIL 04:10PM ET",4.977,"LAD","MIL",7.15,9.6,7.83,NA,"4","4",7
"1B","Yuli Gurriel",3500,"HOU@TEX 07:15PM ET",6.064,"HOU","TEX",NA,NA,NA,NA,"7","x",NA
"OF","Mitch Haniger",3500,"TB@SEA 10:10PM ET",11.429,"SEA","TB",NA,0,NA,NA,"x","x",NA
"OF","Colby Rasmus",3500,"TB@SEA 10:10PM ET",8.16,"TB","SEA",6.02,6.6,6.74,NA,"6","6",0
"OF","Ben Gamel",3500,"TB@SEA 10:10PM ET",7.879,"SEA","TB",NA,6.5,7.81,NA,"1","1",11
"1B/OF","Matt Adams",3500,"ATL@CIN 04:10PM ET",3.905,"ATL","CIN",7.52,8.7,7.63,NA,"5","5",37
"OF","Curtis Granderson",3500,"PIT@NYM 07:15PM ET",5.75,"NYM","PIT",7.06,7,7.54,NA,"6","7",0
"OF","Aaron Altherr",3500,"SF@PHI 04:05PM ET",8.267,"PHI","SF",NA,NA,NA,NA,"3","x",NA
"3B","Martin Prado",3500,"ARI@MIA 04:10PM ET",6.588,"MIA","ARI",NA,0,NA,NA,"x","x",NA
"OF","Yasmany Tomas",3500,"ARI@MIA 04:10PM ET",6.896,"ARI","MIA",6.81,0,6.69,NA,"x","x",NA
"OF","Gregor Blanco",3500,"ARI@MIA 04:10PM ET",4.826,"ARI","MIA",NA,NA,NA,NA,"1","x",NA
"2B/3B","Yoan Moncada",3400,"CWS@DET 04:10PM ET",0,"CWS","DET",NA,0,NA,NA,"x","x",NA
"1B","Eric Hosmer",3400,"CLE@KC 02:15PM ET",7.245,"KC","CLE",6.94,7.8,7.24,NA,"4","4",12
"C","Salvador Perez",3400,"CLE@KC 02:15PM ET",7,"KC","CLE",6.12,6.9,6.52,NA,"5","5",7
"OF","Tommy Pham",3400,"STL@CHC 02:20PM ET",9.435,"STL","CHC",NA,8.4,NA,NA,"5","2",7
"C","Yadier Molina",3400,"STL@CHC 02:20PM ET",6.522,"STL","CHC",5.33,6.9,6.32,NA,"4","5",16
"1B/OF","Trey Mancini",3400,"BOS@BAL 07:15PM ET",7.077,"BAL","BOS",6.31,6.7,6.73,NA,"6","6",7
"C","Welington Castillo",3400,"BOS@BAL 07:15PM ET",7.533,"BAL","BOS",NA,0,NA,NA,"x","x",NA
"OF","Chris Young",3400,"BOS@BAL 07:15PM ET",5.432,"BOS","BAL",NA,0,1.7,NA,"x","x",NA
"C","Christian Vazquez",3400,"BOS@BAL 07:15PM ET",6.103,"BOS","BAL",5.52,5.4,5.68,NA,"8","7",3
"OF","Steve Pearce",3400,"NYY@TOR 01:07PM ET",4.778,"TOR","NYY",NA,0,NA,NA,"x","x",NA
"1B/3B","Ryon Healy",3400,"WAS@OAK 04:05PM ET",6.698,"OAK","WAS",6.43,6,7.11,NA,"5","6",40
"OF","Michael Taylor",3400,"WAS@OAK 04:05PM ET",6.333,"WAS","OAK",5.85,6.4,6.36,NA,"9","6",2
"3B","Yunel Escobar",3400,"MIN@LAA 10:07PM ET",7.415,"LAA","MIN",7,5.5,1.59,NA,"5","4",6
"1B","CJ Cron",3400,"MIN@LAA 10:07PM ET",4.48,"LAA","MIN",NA,0,NA,NA,"x","x",NA
"1B","Kennys Vargas",3400,"MIN@LAA 10:07PM ET",7.333,"MIN","LAA",NA,0,NA,NA,"x","x",NA
"2B","Jonathan Villar",3400,"LAD@MIL 04:10PM ET",7.222,"MIL","LAD",6.41,6.5,8.55,NA,"6","7",7
"OF","Trayce Thompson",3400,"LAD@MIL 04:10PM ET",0,"LAD","MIL",NA,0,NA,NA,"x","x",NA
"OF","Peter O'Brien",3400,"HOU@TEX 07:15PM ET",0,"TEX","HOU",NA,0,NA,NA,"x","x",NA
"OF","Jake Marisnick",3400,"HOU@TEX 07:15PM ET",5.179,"HOU","TEX",6.85,0,NA,NA,"x","x",NA
"OF","Norichika Aoki",3400,"HOU@TEX 07:15PM ET",4.605,"HOU","TEX",4.88,6.5,6.52,NA,"x","9",3
"C","Wilson Ramos",3400,"TB@SEA 10:10PM ET",0,"TB","SEA",NA,0,NA,NA,"x","x",NA
"OF","Nick Markakis",3400,"ATL@CIN 04:10PM ET",6.885,"ATL","CIN",7.79,8,7.51,NA,"3","3",6
"2B/OF","Arismendy Alcantara",3400,"ATL@CIN 04:10PM ET",2.313,"CIN","ATL",NA,0,1.95,NA,"x","x",NA
"1B/3B","Wilmer Flores",3400,"PIT@NYM 07:15PM ET",5.568,"NYM","PIT",6.55,6.3,1.73,NA,"x","6",14
"SS","Jordy Mercer",3400,"PIT@NYM 07:15PM ET",6.132,"PIT","NYM",5.7,5.7,5.69,NA,"8","7",13
"OF","Denard Span",3400,"SF@PHI 04:05PM ET",6.469,"SF","PHI",7.68,8.9,8.13,NA,"1","1",5
"2B","Brandon Drury",3400,"ARI@MIA 04:10PM ET",6.4,"ARI","MIA",5.85,6,6.31,NA,"6","6",0
"OF","Manuel Margot",3400,"COL@SD 04:10PM ET",6.553,"SD","COL",NA,0,NA,NA,"x","x",NA
"SS","Pat Valaika",3400,"COL@SD 04:10PM ET",4,"COL","SD",NA,0,NA,NA,"x","x",NA
"1B/3B","Matt Davidson",3300,"CWS@DET 04:10PM ET",7.071,"CWS","DET",6.14,6.7,6.9,NA,"6","6",0
"OF","Tyler Naquin",3300,"CLE@KC 02:15PM ET",3.667,"CLE","KC",NA,0,NA,NA,"x","x",NA
"OF","Bradley Zimmer",3300,"CLE@KC 02:15PM ET",7.4,"CLE","KC",5.69,7.5,7.44,NA,"7","8",16
"OF","Jorge Bonifacio",3300,"CLE@KC 02:15PM ET",6.829,"KC","CLE",4.94,6.1,6.12,NA,"6","6",12
