"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"2B","Yangervis Solarte",3500,"COL@SD 10:10PM ET",7.185,"SD","COL",6.09,6.1,7.07,NA,"4","4",16
"OF","Gerardo Parra",3500,"COL@SD 10:10PM ET",6.364,"COL","SD",5.99,6,1.51,NA,"x","6",0
"OF","Mitch Haniger",3400,"LAA@SEA 10:10PM ET",11.429,"SEA","LAA",NA,0,NA,NA,"x","x",NA
"OF","Kole Calhoun",3400,"LAA@SEA 10:10PM ET",6.111,"LAA","SEA",4.98,6.9,6.54,NA,"2","2",16
"2B","Joe Panik",3400,"SF@LAD 10:10PM ET",6.269,"SF","LAD",5.15,5.3,5.75,NA,"7","7",5
"OF","Manuel Margot",3400,"COL@SD 10:10PM ET",7.296,"SD","COL",5.83,6.9,7.56,NA,"1","1",16
"OF","Cameron Maybin",3300,"LAA@SEA 10:10PM ET",6.3,"LAA","SEA",4.63,5.3,5.64,NA,"8","8",18
"C","Yasmani Grandal",3300,"SF@LAD 10:10PM ET",5.36,"LAD","SF",NA,0,6.92,NA,"x","x",NA
"2B","Chase Utley",3300,"SF@LAD 10:10PM ET",2.381,"LAD","SF",NA,0,1.38,NA,"x","x",NA
"SS","Brandon Crawford",3300,"SF@LAD 10:10PM ET",6.238,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Franklin Gutierrez",3300,"SF@LAD 10:10PM ET",3.143,"LAD","SF",5.79,7.4,NA,NA,"5","4",18
"OF","Alex Dickerson",3300,"COL@SD 10:10PM ET",0,"SD","COL",NA,0,NA,NA,"x","x",NA
"OF","Hunter Renfroe",3300,"COL@SD 10:10PM ET",5.692,"SD","COL",5.59,6,6.66,NA,"6","6",0
"1B","Danny Valencia",3200,"LAA@SEA 10:10PM ET",4.545,"SEA","LAA",NA,5.4,1.56,NA,"6","6",14
"1B","CJ Cron",3200,"LAA@SEA 10:10PM ET",3.778,"LAA","SEA",NA,0,NA,NA,"x","x",NA
"OF","Andrew Toles",3200,"SF@LAD 10:10PM ET",5.885,"LAD","SF",NA,0,1.7,NA,"x","x",NA
