Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
WR,Davante Adams (7852308),Davante Adams,7852308,5500,SEA@GB,GB,Davante,Adams,Sea,13.51,11.6,2,0.197580645
QB,Eli Manning (7852117),Eli Manning,7852117,5500,DAL@NYG,NYG,Eli,Manning,Dal,18.25,18.6,0,0
TE,Jimmy Graham (7852491),Jimmy Graham,7852491,5500,SEA@GB,Sea,Jimmy,Graham,GB,14.1,12.6,2,0.209302326
RB,Theo Riddick (7852151),Theo Riddick,7852151,5500,CHI@DET,Det,Theo,Riddick,Chi,0,0,4,0.156108597
RB,Jonathan Stewart (7852247),Jonathan Stewart,7852247,5400,SD@CAR,Car,Jonathan,Stewart,SD,13.49,11.6,7,0.037037037
WR,Jordan Matthews (7852317),Jordan Matthews,7852317,5400,WAS@PHI,Phi,Jordan,Matthews,Was,13.86,16.6,1,0.204954955
QB,Tyrod Taylor (7852111),Tyrod Taylor,7852111,5400,PIT@BUF,Buf,Tyrod,Taylor,PIT,18.84,16.8,0,0
QB,Brock Osweiler (7852093),Brock Osweiler,7852093,5300,HOU@IND,Hou,Brock,Osweiler,Ind,14.94,15.2,14,0.002277904
WR,DeVante Parker (7852331),DeVante Parker,7852331,5300,ARI@MIA,Mia,DeVante,Parker,Ari,12.29,11.1,2,0.181571816
RB,Mark Ingram (7852150),Mark Ingram,7852150,5300,NO@TB,NO,Mark,Ingram,TB,11.03,13,5,0.081673307
WR,Sammy Watkins (7852356),Sammy Watkins,7852356,5300,PIT@BUF,Buf,Sammy,Watkins,PIT,12.26,15,6,0.06162465
WR,DeSean Jackson (7852372),DeSean Jackson,7852372,5200,WAS@PHI,Was,DeSean,Jackson,Phi,12.75,13.7,4,0.163934426
WR,Kenny Britt (7852281),Kenny Britt,7852281,5200,ATL@LA,LA,Kenny,Britt,Atl,12.65,13.9,1,0.225490196
QB,Ryan Tannehill (7852104),Ryan Tannehill,7852104,5200,ARI@MIA,Mia,Ryan,Tannehill,Ari,0,14,0,0
WR,Willie Snead (7852273),Willie Snead,7852273,5200,NO@TB,NO,Willie,Snead,TB,10.31,13,3,0.153386454
QB,Carson Wentz (7852100),Carson Wentz,7852100,5100,WAS@PHI,Phi,Carson,Wentz,Was,15.1,15.9,0,0
RB,Lamar Miller (7852178),Lamar Miller,7852178,5100,HOU@IND,Hou,Lamar,Miller,Ind,14.27,13,5,0.08428246
QB,Trevor Siemian (7852087),Trevor Siemian,7852087,5100,DEN@TEN,Den,Trevor,Siemian,Ten,16.71,16.3,0,0
QB,AJ McCarron (7852098),AJ McCarron,7852098,5000,CIN@CLE,Cin,AJ,McCarron,Cle,0,0,0,0
WR,Allen Robinson (7852301),Allen Robinson,7852301,5000,MIN@JAX,Jax,Allen,Robinson,Min,11.72,13.7,1,0.244444444
RB,Ameer Abdullah (7852155),Ameer Abdullah,7852155,5000,CHI@DET,Det,Ameer,Abdullah,Chi,0,0,9,0.011312217
QB,Austin Davis (7852086),Austin Davis,7852086,5000,DEN@TEN,Den,Austin,Davis,Ten,0,0,0,0
QB,Blaine Gabbert (7852108),Blaine Gabbert,7852108,5000,NYJ@SF,SF,Blaine,Gabbert,NYJ,0,0,14,0.002666667
QB,Blake Bortles (7852088),Blake Bortles,7852088,5000,MIN@JAX,Jax,Blake,Bortles,Min,16.2,14.3,0,0
QB,Brandon Allen (7852089),Brandon Allen,7852089,5000,MIN@JAX,Jax,Brandon,Allen,Min,0,0,0,0
