"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Ryan Schimpf",3700,"SD@ARI 09:40PM ET",6.627,"SD","ARI",NA,NA,NA,NA,"5","x",NA
"OF","Yasiel Puig",3700,"WAS@LAD 10:10PM ET",7.482,"LAD","WAS",5.45,5.4,6.24,NA,"8","8",5
"OF","Jarrod Dyson",3600,"MIN@SEA 10:10PM ET",6.611,"SEA","MIN",5.43,6.3,6.8,NA,"9","9",4
"3B","Kyle Seager",3600,"MIN@SEA 10:10PM ET",6.618,"SEA","MIN",6.21,7.8,8.08,NA,"5","5",25
"OF","Mitch Haniger",3600,"MIN@SEA 10:10PM ET",11.429,"SEA","MIN",NA,0,NA,NA,"x","x",NA
"OF","Matt Joyce",3500,"TOR@OAK 10:05PM ET",5.804,"OAK","TOR",NA,NA,NA,NA,"1","x",NA
"OF","Robbie Grossman",3500,"MIN@SEA 10:10PM ET",7.512,"MIN","SEA",6,5.8,7.34,NA,"3","4",9
"2B","Brian Dozier",3500,"MIN@SEA 10:10PM ET",8.408,"MIN","SEA",7.73,7.6,8.76,NA,"1","1",16
"OF","Ben Gamel",3500,"MIN@SEA 10:10PM ET",7.829,"SEA","MIN",NA,6,6.68,NA,"x","7",3
"2B/SS","Taylor Motter",3500,"MIN@SEA 10:10PM ET",6.041,"SEA","MIN",6.21,7,7.55,NA,"6","6",13
"2B","Brandon Drury",3500,"SD@ARI 09:40PM ET",6.275,"ARI","SD",5.81,6.6,7.37,NA,"7","6",5
"OF","Jayson Werth",3500,"WAS@LAD 10:10PM ET",7.894,"WAS","LAD",NA,0,NA,NA,"x","x",NA
"C","Mike Zunino",3400,"MIN@SEA 10:10PM ET",4.833,"SEA","MIN",5.83,6.3,1.49,NA,"8","8",5
"OF","Jeremy Hazelbaker",3400,"SD@ARI 09:40PM ET",2.952,"ARI","SD",NA,0,NA,NA,"x","x",NA
"OF","Hunter Renfroe",3400,"SD@ARI 09:40PM ET",6.772,"SD","ARI",7.05,8.2,7.67,NA,"4","4",28
"C","Austin Hedges",3400,"SD@ARI 09:40PM ET",5.87,"SD","ARI",6.09,6.8,6.22,NA,"6","5",0
"OF","Manuel Margot",3400,"SD@ARI 09:40PM ET",6.553,"SD","ARI",NA,0,NA,NA,"x","x",NA
"OF","Yasmany Tomas",3400,"SD@ARI 09:40PM ET",6.896,"ARI","SD",NA,NA,NA,NA,"5","x",NA
"C","Matt Wieters",3400,"WAS@LAD 10:10PM ET",6.63,"WAS","LAD",6,6.2,6.18,NA,"6","7",0
"SS","Corey Seager",3400,"WAS@LAD 10:10PM ET",8.121,"LAD","WAS",6.71,7.5,8.12,NA,"2","2",0
"2B","Devon Travis",3300,"TOR@OAK 10:05PM ET",6.9,"TOR","OAK",NA,NA,NA,NA,"8","x",NA
"OF","Leonys Martin",3300,"MIN@SEA 10:10PM ET",3.867,"SEA","MIN",NA,0,NA,NA,"x","x",NA
"2B","Yangervis Solarte",3300,"SD@ARI 09:40PM ET",6.158,"SD","ARI",6.23,7.4,7.85,NA,"2","2",0
"OF","Rey Fuentes",3300,"SD@ARI 09:40PM ET",3,"ARI","SD",NA,0,NA,NA,"x","x",NA
"OF","Alex Dickerson",3300,"SD@ARI 09:40PM ET",0,"SD","ARI",NA,0,NA,NA,"x","x",NA
"OF","Joc Pederson",3300,"WAS@LAD 10:10PM ET",5.389,"LAD","WAS",NA,0,NA,NA,"x","x",NA
