"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Zach Miller","TE",2900,"CHI","@DAL",9.8,27.8,0.60154736113465
"Jared Cook","TE",2900,"GB","DET",7.6,2.5,2.97302429671436
"Clive Walford","TE",2800,"OAK","@TEN",8.5,4.7,3.0257056338402
"Brent Celek","TE",2800,"PHI","PIT",5.3,9.1,0.202149316878243
"Vernon Davis","TE",2700,"WAS","@NYG",3.6,0,0.124760841022835
"Larry Donnell","TE",2700,"NYG","WAS",4.3,4.1,0.407974075881545
"Lance Kendricks","TE",2700,"LA","@TB",6.5,0,0.0679956793135908
"Richard Rodgers","TE",2700,"GB","DET",4.4,8.9,0.299344341963135
"Will Tye","TE",2600,"NYG","WAS",5.8,4.4,0.0583986915426035
"Clay Harbor","TE",2500,"NE","HOU",0,0,0
"Ryan Griffin","TE",2500,"HOU","@NE",3.5,13.2,0
"A.J. Derby","TE",2500,"NE","HOU",0,0,0
"C.J. Fiedorowicz","TE",2500,"HOU","@NE",1.7,0,0
"Stephen Anderson","TE",2500,"HOU","@NE",2.2,0,0
"Darren Fells","TE",2500,"ARI","@BUF",3.6,3.5,0.0675872968552509
"Jim Dray","TE",2500,"BUF","ARI",0,0,0.00224610352086936
"Jermaine Gresham","TE",2500,"ARI","@BUF",2.7,0,0.0473723651674266
"Nick O'Leary","TE",2500,"BUF","ARI",0,3.8,0.00326705966671908
"Troy Niklas","TE",2500,"ARI","@BUF",0,1,0.00183772106252948
"Anthony Fasano","TE",2500,"TEN","OAK",3.7,0,0.216238511690969
"Lee Smith","TE",2500,"OAK","@TEN",3,1.4,0.00837184039596763
"Mychal Rivera","TE",2500,"OAK","@TEN",2,0,0.00306286843754913
"Jace Amaro","TE",2500,"TEN","OAK",3.9,8.9,0.0110263263751769
"Phillip Supernaw","TE",2500,"TEN","OAK",4.6,0,0.0014293386041896
"Niles Paul","TE",2500,"WAS","@NYG",0,0,0.00122514737501965
"Jerell Adams","TE",2500,"NYG","WAS",0,0,0.00122514737501965
"MarQueis Gray","TE",2500,"MIA","CLE",0,0,0.00163352983335954
"Dion Sims","TE",2500,"MIA","CLE",2.7,8.6,0.00816764916679769
"Randall Telfer","TE",2500,"CLE","@MIA",0,0,0.000204191229169942
"Seth DeValve","TE",2500,"CLE","@MIA",0,0,0.000408382458339884
"Marcedes Lewis","TE",2500,"JAX","BAL",2.8,5,0.0373669949380994
"Crockett Gillmore","TE",2500,"BAL","@JAX",4.3,0,0.0077592667084578
"Neal Sterling","TE",2500,"JAX","BAL",0,0,0.000612573687509827
"Ben Koyack","TE",2500,"JAX","BAL",0,0,0.000204191229169942
"Maxx Williams","TE",2500,"BAL","@JAX",0,0,0.00102095614584971
"Andrew Quarless","TE",2500,"DET","@GB",0,0,0.00694250179177804
"Justin Perillo","TE",2500,"GB","DET",0,2.3,0.00163352983335954
"Orson Charles","TE",2500,"DET","@GB",0,0,0.00102095614584971
"Cole Wick","TE",2500,"DET","@GB",0,2.3,0.0014293386041896
"Khari Lee","TE",2500,"DET","@GB",0,0,0
"John Phillips","TE",2500,"DEN","@CIN",1.9,8.9,0.00755507547928786
"Ryan Hewitt","TE",2500,"CIN","DEN",0,0,0
"Tyler Kroft","TE",2500,"CIN","DEN",6,0,0.0149059597294058
"C.J. Uzomah","TE",2500,"CIN","DEN",3,5.1,0.120472825210266
"Jeff Heuerman","TE",2500,"DEN","@CIN",6,3.9,0.0245029475003931
"Ed Dickson","TE",2500,"CAR","MIN",2.4,3.3,0.00245029475003931
"Rhett Ellison","TE",2500,"MIN","@CAR",1.1,2.8,0.000408382458339884
"MyCole Pruitt","TE",2500,"MIN","@CAR",2.2,0,0.000204191229169942
"Scott Simonson","TE",2500,"CAR","MIN",0,0,0.000612573687509827
"David Morgan","TE",2500,"MIN","@CAR",0,0,0.00204191229169942
"Brandon Myers","TE",2500,"TB","LA",1.3,1.7,0.0326705966671908
"Luke Stocker","TE",2500,"TB","LA",0,0,0.000408382458339884
"Cory Harkey","TE",2500,"LA","@TB",0,0,0.000612573687509827
"Cameron Brate","TE",2500,"TB","LA",9.1,21.6,0.437581804111186
"Tyler Higbee","TE",2500,"LA","@TB",2.3,0,0.00183772106252948
"Temarrick Hemingway","TE",2500,"LA","@TB",0,0,0.000612573687509827
"Garrett Celek","TE",2500,"SF","@SEA",2.4,5.5,0.00347125089588902
"Luke Willson","TE",2500,"SEA","SF",3.5,2.9,0.00837184039596763
"Brandon Williams","TE",2500,"SEA","SF",0,0,0.0014293386041896
"Blake Bell","TE",2500,"SF","@SEA",2.2,0,0.00122514737501965
"Nick Vannett","TE",2500,"SEA","SF",1.1,0,0.000612573687509827
"Kellen Davis","TE",2500,"NYJ","@KC",1.5,0,0.00245029475003931
"Brandon Bostick","TE",2500,"NYJ","@KC",1.7,0,0.00183772106252948
"James O'Shaughnessy","TE",2500,"KC","NYJ",0,0,0.000612573687509827
"Ross Travis","TE",2500,"KC","NYJ",0,3,0.000204191229169942
"Demetrius Harris","TE",2500,"KC","NYJ",0,9.4,0.0014293386041896
"Sean McGrath","TE",2500,"SD","@IND",3,2.3,0.00571735441675838
"Jack Doyle","TE",2500,"IND","SD",7.7,12.5,2.23732329801506
"Erik Swoope","TE",2500,"IND","SD",0,0,0.00102095614584971
"Hunter Henry","TE",2500,"SD","@IND",9.4,11.6,2.54013889087408
"David Johnson","TE",2500,"PIT","@PHI",1.3,0,3.07818277973688
"Trey Burton","TE",2500,"PHI","PIT",5.4,3.9,5.2029967104793
"Xavier Grimble","TE",2500,"PIT","@PHI",1.4,0,0.0189897843128046
"Logan Paulsen","TE",2500,"CHI","@DAL",0,0,0.000816764916679769
"Greg Scruggs","TE",2500,"CHI","@DAL",0,0,0.00163352983335954
"Gavin Escobar","TE",2500,"DAL","CHI",0,0,0.00469639827090867
"Geoff Swaim","TE",2500,"DAL","CHI",1.2,0,0.0100053702293272
"Josh Hill","TE",2500,"NO","ATL",1.1,0,0
"Levine Toilolo","TE",2500,"ATL","@NO",1,0,0
"Chris Manhertz","TE",2500,"NO","ATL",0,0,0
"Joshua Perkins","TE",2500,"ATL","@NO",0,0,0
"Austin Hooper","TE",2500,"ATL","@NO",2.5,0,0
