"Charlie Blackmon_COL","Nelson Cruz_SEA","Nolan Arenado_COL","Jean Segura_SEA","Robinson Cano_SEA","Trevor Story_COL","Cody Bellinger_LAD","Mark Reynolds_COL","Kyle Seager_SEA","Carlos Gonzalez_COL","Corey Seager_LAD","DJ LeMahieu_COL","David Dahl_COL","Mitch Haniger_SEA","Chase Utley_LAD","Tommy Pham_STL","Ian Desmond_COL","Gerardo Parra_COL","Dexter Fowler_STL","Chris Taylor_LAD","Logan Forsythe_LAD","Randal Grichuk_STL","Stephen Piscotty_STL","Joc Pederson_LAD","Justin Turner_LAD","Kike Hernandez_LAD","Matt Carpenter_STL","Adrian Gonzalez_LAD","Yadier Molina_STL","Jedd Gyorko_STL","Leonys Martin_SEA","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Aledmys Diaz_STL","Jarrod Dyson_SEA","Pat Valaika_COL","Guillermo Heredia_SEA","Austin Barnes_LAD","Yasiel Puig_LAD","Stephen Cardullo_COL","Raimel Tapia_COL","Dustin Garneau_COL","Ben Gamel_SEA","Jhonny Peralta_STL","Trayce Thompson_LAD","Tony Wolters_COL","Taylor Motter_SEA","Tom Murphy_COL","Kolten Wong_STL","Andrew Toles_LAD","Alexi Amarista_COL","Rob Segedin_LAD","Harrison Bader_STL","Shawn O'Malley_SEA","Danny Valencia_SEA","Andre Ethier_LAD","Scott Van Slyke_LAD","Jose Martinez_STL","Greg Garcia_STL","Carlos Ruiz_SEA","Boog Powell_SEA","Magneuris Sierra_STL","Tuffy Gosewisch_SEA","Mike Zunino_SEA","Carson Kelly_STL","Ryan Hanigan_COL","Cristhian Adames_COL","Eric Fryer_STL","Paul DeJong_STL","Daniel Vogelbach_SEA","Mike Freeman_LAD","Brett Eibner_LAD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-6.56833333333333,0,0,0,19.5345345345345,0,0,0,0.477207977207977,0,0,0,0,8.80994152046784,0,0,0,19.8868421052632,11.5753846153846,0,0,8.53940886699507,0,0,0,0,44.2726045883941,0,0,0,0,0,1.26666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78095238095238,0,0,13.9428571428571,-6.66798418972332,0,0,0,20.3490990990991,0,4.14912280701754,20.7121212121212,0,0,0,62.9825783972125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00246305418719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.96219512195122,0,18.8092691622103,13.35,0,0,0,-7.24024390243902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6919191919192,0,10.9632183908046,0,0,0,0,0,0.825,0,0,0,7.74501424501424,0,0,0,0,0,0,0,4.85238095238095,0,0,0,0,0,0,0,0,-3.50769230769231,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12.2849462365591,0,14.1465517241379,6.91168091168091,0,0,0,14.0387096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9632183908046,0,35.0084033613445,0,0,0,0,0,9.71920289855072,0,0,0,2.11255411255411,0,0,0,0,0,0,0,17.7936507936508,0,0,0,0,0,0,0,0,5.27573529411765,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24.46,0,0,0,9.70426829268293,0,0,0,7.80833333333333,0,0,0,0,-0.978260869565217,0,0,0,8.68577075098814,13.9933712121212,0,0,0.91256157635468,0,0,0,0,1.26666666666667,0,0,0,0,0,56.1737373737374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
