"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
82,792977828,"mattmarsh",0,161.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez OF Carlos González C Jonathan Lucroy 2B Brandon Drury",NA,"","",NA
83,792907142,"getchia (5/17)",0,160.35,"P Michael Wacha P Matt Garza 1B Paul Goldschmidt OF Yoenis Céspedes 2B Asdrúbal Cabrera OF A.J. Pollock OF J.D. Martinez SS Amed Rosario 3B Jake Lamb C Jeff Mathis",NA,"","",NA
84,792994364,"thejuguar (2/6)",0,160.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Jay Bruce 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 2B Brandon Drury C René Rivera",NA,"","",NA
84,793024085,"jae686 (44/60)",0,160.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Anthony Rizzo OF Gerardo Parra OF J.D. Martinez C Willson Contreras SS Adam Rosales 2B Brandon Drury",NA,"","",NA
84,793025257,"thejuguar (4/6)",0,160.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Jay Bruce 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 2B Brandon Drury C René Rivera",NA,"","",NA
87,792871997,"mtrealtalk22 (1/2)",0,160.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez OF Eric Thames 3B Jake Lamb 2B Brandon Drury C René Rivera",NA,"","",NA
88,792956920,"petteytheft89 (1/21)",0,159.35,"P Michael Wacha P Rafael Montero OF Michael Conforto 1B Paul Goldschmidt OF Yoenis Céspedes OF Curtis Granderson 2B Asdrúbal Cabrera SS José Reyes C Willson Contreras 3B Jedd Gyorko",NA,"","",NA
88,792964270,"petteytheft89 (14/21)",0,159.35,"P Michael Wacha P Rafael Montero OF Jay Bruce 1B Paul Goldschmidt OF Yoenis Céspedes OF Curtis Granderson SS Asdrúbal Cabrera 3B José Reyes C Willson Contreras 2B Kolten Wong",NA,"","",NA
90,792789577,"AAnicete (1/2)",0,159.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF J.D. Martinez SS Amed Rosario OF Carlos González C Yadier Molina 2B Kolten Wong",NA,"","",NA
90,792847821,"mtcart8177",0,159.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Yadier Molina 2B Kolten Wong SS Adam Rosales",NA,"","",NA
90,792851893,"shawnzhan (19/60)",0,159.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF A.J. Pollock OF J.D. Martinez C Jeff Mathis 2B Brandon Drury",NA,"","",NA
90,792855434,"LuckSac",0,159.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF A.J. Pollock OF J.D. Martinez C Jeff Mathis 2B Brandon Drury",NA,"","",NA
