"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Andre Roberts","WR","DET","vs JAC","14th",3000,0,9.7,3.8,2.54,2.54,100,0,0.8,10.4,3.5
"Darrius Heyward-Bey","WR","PIT","@ CLE","29th",3000,0,14.4,5.9,4.45,4.45,100,17,1.5,NA,NA
"Markus Wheaton","WR","PIT","@ CLE","29th",3000,0,18,9.6,3.76,3.76,100,0,1.3,NA,NA
"Cobi Hamilton","WR","PIT","@ CLE","29th",3000,0.4,2.6,NA,1.76,1.76,100,0,0.6,3.1,1
"Lance Dunbar","RB","DAL","vs BAL","5th",3000,0,13.5,13.1,2.31,2.31,100,0,0.8,3.6,1.2
"Kyle Juszczyk","RB","BAL","@ DAL","6th",3000,0.9,5.1,NA,3.41,3.41,100,0,1.1,NA,NA
"Dolphins","DST","MIA","@ LA","29th",2900,0,23.8,5.8,7.85,7.85,100,0,2.7,7,2.4
"Dwayne Allen","TE","IND","vs TEN","24th",2900,0.7,17.4,2.8,6.25,6.25,100,27,2.2,0,NA
"Packers","DST","GB","@ WAS","13th",2800,0,20.2,7.3,6.15,6.15,100,0,2.2,10,3.6
"Vernon Davis","TE","WAS","vs GB","15th",2800,0.7,15.4,6,5.63,5.63,100,48,2,NA,NA
"Raiders","DST","OAK","vs HOU","21st",2800,2.8,14.8,6.7,6.83,6.83,100,22,2.4,NA,NA
"Will Tye","TE","NYG","vs CHI","8th",2700,0,16.8,8.1,5.42,5.42,100,0,2,9.2,3.4
"Richard Rodgers","TE","GB","@ WAS","23rd",2700,0,17.4,10.2,4.04,4.04,100,0,1.5,NA,NA
"Vance McDonald","TE","SF","vs NE","2nd",2700,0,17.1,5.8,5.1,5.1,100,31,1.9,13.6,5
"Josh Hill","TE","NO","@ CAR","29th",2700,0.1,13,3.1,4.36,4.36,100,0,1.6,0,NA
"Panthers","DST","CAR","vs NO","1st",2700,0,23.8,10.3,7.23,7.23,100,0,2.7,10,3.7
"Bills","DST","BUF","@ CIN","10th",2700,0.7,18.4,5.7,6.58,6.58,100,34,2.4,9,3.3
"Colts","DST","IND","vs TEN","6th",2700,1.2,16.5,7.6,6.29,6.29,100,0,2.3,6,2.2
"Charles Clay","TE","BUF","@ CIN","30th",2600,0.1,18.7,9.6,6.31,6.31,100,3,2.4,7.3,2.8
"Texans","DST","HOU","@ OAK","26th",2600,0,18.7,9.4,5.34,5.34,100,0,2.1,NA,NA
"Garrett Celek","TE","SF","vs NE","2nd",2600,0.2,13,5.6,4.45,4.45,100,20,1.7,7.1,2.7
"Buccaneers","DST","TB","@ KC","14th",2600,2.1,17.7,6.4,7.26,7.26,100,27,2.8,5,1.9
"Redskins","DST","WAS","vs GB","18th",2600,2.3,15.8,7.6,6.8,6.8,100,35,2.6,10,3.8
"Cowboys","DST","DAL","vs BAL","20th",2600,3.1,16.8,4.6,7.65,7.65,100,10,2.9,2,0.8
"Jermaine Gresham","TE","ARI","@ MIN","25th",2500,0,14.6,3.6,4.2,4.2,100,0,1.7,11.3,4.5
"Demetrius Harris","TE","KC","vs TB","28th",2500,1.2,8.4,3.4,3.55,3.55,100,0,1.4,NA,NA
"Alan Cross","TE","TB","@ KC","6th",2500,0.1,0.5,NA,0.34,0.34,100,0,0.1,7.3,2.9
"Bears","DST","CHI","@ NYG","9th",2500,1.1,16.1,4.5,6.12,6.12,100,24,2.4,0,NA
"Darren Fells","TE","ARI","@ MIN","25th",2500,0,10.7,6.4,1.71,1.71,100,0,0.7,3.2,1.3
"Dion Sims","TE","MIA","@ LA","3rd",2500,0.2,11.6,3,4.04,4.04,100,0,1.6,5,2
"Trey Burton","TE","PHI","@ SEA","13th",2500,0.4,8.5,2.8,3.1,3.1,100,43,1.2,2.4,1
"Eagles","DST","PHI","@ SEA","31st",2500,0,23.6,7.5,7.79,7.79,100,26,3.1,3,1.2
"Ryan Griffin","TE","HOU","@ OAK","7th",2500,0.6,12.6,6.3,4.56,4.56,100,34,1.8,NA,NA
"Clive Walford","TE","OAK","vs HOU","21st",2500,1.2,12,5.3,4.8,4.8,100,39,1.9,NA,NA
"Jared Cook","TE","GB","@ WAS","23rd",2500,1,16,5.5,5.98,5.98,100,0,2.4,NA,NA
"Ed Dickson","TE","CAR","vs NO","27th",2500,0.6,9.3,2.9,3.46,3.46,100,33,1.4,0,NA
"Ladarius Green","TE","PIT","@ CLE","32nd",2500,0.8,17,8.3,6.15,6.15,100,10,2.5,0,NA
"Gavin Escobar","TE","DAL","vs BAL","12th",2500,0,14.6,2.8,4.36,4.36,100,29,1.7,4.1,1.6
"Crockett Gillmore","TE","BAL","@ DAL","16th",2500,0,15.4,10.1,3.25,3.25,100,0,1.3,NA,NA
"Ravens","DST","BAL","@ DAL","8th",2500,0.3,15,5.4,5.2,5.2,100,47,2.1,1,0.4
"Marcedes Lewis","TE","JAC","@ DET","18th",2500,0.2,11.9,2.6,4.08,4.08,100,11,1.6,3.6,1.4
"Jaguars","DST","JAC","@ DET","12th",2400,0,18.8,5.6,5.37,5.37,100,0,2.2,10,4.2
"Titans","DST","TEN","@ IND","15th",2200,3.2,15.2,5.1,7.25,7.25,100,29,3.3,4,1.8
"Browns","DST","CLE","vs PIT","16th",2100,0,16.8,5.3,5.21,5.21,100,0,2.5,1,0.5
"Saints","DST","NO","@ CAR","3rd",2000,3.7,17.8,4.6,8.38,8.38,100,0,4.2,2,1
"49ers","DST","SF","vs NE","19th",2000,0.1,15.7,4.3,5.28,5.28,100,0,2.6,0,NA
