"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
73,745713657,"dont-buy-leace (1/2)",0,152.65,"1B Albert Pujols 3B Justin Turner OF Khris Davis P Kenta Maeda C Yasmani Grandal OF Mike Trout P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Martín Maldonado","0.68%",19
73,745744649,"BrianRogers11 (2/3)",0,152.65,"1B Albert Pujols C Brian McCann 3B Justin Turner P Kenta Maeda OF George Springer OF Joc Pederson P Michael Fulmer 2B Rougned Odor SS Carlos Correa OF Yasiel Puig",NA,"Carlos Ruiz","0.58%",0
75,745580335,"ScottNicolaus88",0,152.6,"OF Nelson Cruz C Brian McCann SS Elvis Andrus 2B José Altuve 3B Kyle Seager 1B Wil Myers P Dallas Keuchel OF George Springer P Michael Fulmer OF Cody Bellinger",NA,"Jarrod Dyson","0.56%",2
75,745738022,"SanAntonioRaider (2/4)",0,152.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Justin Upton 3B Marwin González 1B Wil Myers P Dallas Keuchel P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"Evan Gattis","0.54%",0
77,745649402,"Tliag123 (1/2)",0,152.4,"C Brian McCann 2B Jed Lowrie 3B Justin Turner OF Josh Reddick P Kenta Maeda P Yu Darvish OF Joc Pederson SS Carlos Correa OF Cody Bellinger 1B Yuli Gurriel",NA,"Norichika Aoki","0.49%",0
77,745702133,"nydru18",0,152.4,"1B Victor Martinez SS Elvis Andrus 3B Justin Turner P Kenta Maeda P Yu Darvish C Yasmani Grandal OF Joc Pederson 2B Rougned Odor OF Nomar Mazara OF Cody Bellinger",NA,"Ben Revere","0.35%",0
77,745731573,"trulydevoted (1/2)",0,152.4,"C Brian McCann 2B Jed Lowrie 3B Justin Turner OF Josh Reddick P Kenta Maeda P Yu Darvish OF Joc Pederson SS Carlos Correa OF Cody Bellinger 1B Yuli Gurriel",NA,"Guillermo Heredia","0.33%",7
80,745732721,"realtor61",0,152.25,"2B Robinson Canó C Brian McCann 1B Miguel Cabrera 3B Justin Turner P Kenta Maeda P Dallas Keuchel OF Andrew Toles OF Ben Gamel SS Corey Seager OF Cody Bellinger",NA,"Alex Avila","0.28%",0
80,745737132,"Savan1986 (2/25)",0,152.25,"1B Victor Martinez 2B Robinson Canó OF Nelson Cruz C Brian McCann OF Josh Reddick P Kenta Maeda SS Jean Segura 3B Kyle Seager P Dallas Keuchel OF Delino DeShields",NA,"Alex Bregman","0.28%",0
80,745760002,"TeamSmiley5",0,152.25,"3B Justin Turner OF Josh Reddick P Kenta Maeda C Yasmani Grandal 1B Yonder Alonso P Dallas Keuchel OF Andrew Toles 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Robinson Chirinos","0.12%",0
