"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Alex Verdugo",3000,"SF@LAD 08:08PM ET",0,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Danny Ortiz",3000,"PIT@SD 04:40PM ET",0.778,"PIT","SD",NA,0,NA,NA,"x","x",NA
"SS","Kevin Newman",3000,"PIT@SD 04:40PM ET",0,"PIT","SD",NA,0,NA,NA,"x","x",NA
"C","Matt Wieters",3000,"COL@WAS 07:05PM ET",5.864,"WAS","COL",NA,NA,NA,NA,"8","x",0
"C","Dustin Garneau",3000,"COL@WAS 07:05PM ET",4.318,"COL","WAS",NA,0,NA,NA,"x","x",NA
"OF","Robbie Grossman",2900,"MIN@OAK 04:05PM ET",6.571,"MIN","OAK",6.69,6.5,5.71,NA,"6","2",10
"OF","Byron Buxton",2900,"MIN@OAK 04:05PM ET",5.333,"MIN","OAK",NA,0,NA,NA,"x","x",NA
"2B","Joey Wendle",2900,"MIN@OAK 04:05PM ET",0,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"3B","Matt Chapman",2900,"MIN@OAK 04:05PM ET",6.385,"OAK","MIN",6.45,6.4,7.45,NA,"8","8",12
"1B","Danny Valencia",2900,"NYM@SEA 04:10PM ET",6.653,"SEA","NYM",6.51,6.2,8.37,NA,"6","6",2
"OF","Jarrod Dyson",2900,"NYM@SEA 04:10PM ET",6.602,"SEA","NYM",5.12,6.8,8.2,NA,"8","7",5
"C","Travis d'Arnaud",2900,"NYM@SEA 04:10PM ET",5.803,"NYM","SEA",6.01,6,4.64,NA,"8","8",3
"2B","Danny Espinosa",2900,"NYM@SEA 04:10PM ET",4.363,"SEA","NYM",NA,0,1.86,NA,"x","x",NA
"1B/3B","TJ Rivera",2900,"NYM@SEA 04:10PM ET",5.384,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"OF","Andre Ethier",2900,"SF@LAD 08:08PM ET",0,"LAD","SF",NA,0,NA,NA,"x","x",NA
"2B","Carlos Asuaje",2900,"PIT@SD 04:40PM ET",5.75,"SD","PIT",5.57,6.5,6.64,NA,"2","2",3
"C","Jose Lobaton",2900,"COL@WAS 07:05PM ET",4.467,"WAS","COL",3.59,5.6,5.56,NA,"x","8",NA
"C","Tom Murphy",2900,"COL@WAS 07:05PM ET",1.625,"COL","WAS",NA,0,NA,NA,"x","x",NA
"OF","Jordan Patterson",2900,"COL@WAS 07:05PM ET",0,"COL","WAS",NA,0,NA,NA,"x","x",NA
"1B","Chris Carter",2800,"MIN@OAK 04:05PM ET",5.129,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"OF","Mitch Haniger",2800,"NYM@SEA 04:10PM ET",7.672,"SEA","NYM",NA,0,8.15,NA,"x","x",NA
"1B/OF","Scott Van Slyke",2800,"SF@LAD 08:08PM ET",2.267,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Gorkys Hernandez",2800,"SF@LAD 08:08PM ET",4.221,"SF","LAD",5.48,6.1,4.91,NA,"8","8",3
"OF","Mac Williamson",2800,"SF@LAD 08:08PM ET",4.083,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Matt Szczur",2800,"PIT@SD 04:40PM ET",3.26,"SD","PIT",NA,5.4,1.54,NA,"x","6",2
"OF","Travis Jankowski",2800,"PIT@SD 04:40PM ET",3.765,"SD","PIT",NA,0,1.57,NA,"x","x",NA
"C","Ryan Hanigan",2800,"COL@WAS 07:05PM ET",5,"COL","WAS",NA,5,5.76,NA,"x","8",NA
"OF","Jake Smolinski",2700,"MIN@OAK 04:05PM ET",0,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"OF","Ryan LaMarre",2700,"MIN@OAK 04:05PM ET",0.667,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"C","Bruce Maxwell",2700,"MIN@OAK 04:05PM ET",4.389,"OAK","MIN",6.09,6.1,6.72,NA,"7","7",2
"SS","Amed Rosario",2700,"NYM@SEA 04:10PM ET",0,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"3B/SS","Kelby Tomlinson",2700,"SF@LAD 08:08PM ET",2.614,"SF","LAD",5.71,0,1.43,NA,"x","x",NA
"OF","Jabari Blash",2700,"PIT@SD 04:40PM ET",5.467,"SD","PIT",NA,NA,NA,NA,"6","x",NA
"SS","Chase d'Arnaud",2700,"PIT@SD 04:40PM ET",2.914,"SD","PIT",NA,0,NA,NA,"x","x",NA
"C","Hector Sanchez",2700,"PIT@SD 04:40PM ET",4.366,"SD","PIT",NA,NA,NA,NA,"4","x",NA
"C","Elias Diaz",2700,"PIT@SD 04:40PM ET",4.767,"PIT","SD",NA,0,NA,NA,"x","x",NA
"2B","Phil Gosselin",2700,"PIT@SD 04:40PM ET",1.214,"PIT","SD",NA,0,NA,NA,"x","x",NA
"2B","Chris Bostick",2700,"PIT@SD 04:40PM ET",0.667,"PIT","SD",NA,0,NA,NA,"x","x",NA
"2B/SS","Shawn O'Malley",2600,"NYM@SEA 04:10PM ET",0,"SEA","NYM",NA,0,NA,NA,"x","x",NA
