"Paul Goldschmidt_ARI","Jake Lamb_ARI","Nelson Cruz_SEA","Miguel Sano_MIN","AJ Pollock_ARI","Robinson Cano_SEA","Jean Segura_SEA","Max Kepler_MIN","Danny Valencia_SEA","David Peralta_ARI","Joe Mauer_MIN","Chris Owings_ARI","Nick Ahmed_ARI","Wil Myers_SD","Ryan Schimpf_SD","Austin Hedges_SD","Robbie Grossman_MIN","Kyle Seager_SEA","Brian Dozier_MIN","Jarrod Dyson_SEA","Mike Zunino_SEA","Mitch Haniger_SEA","Ben Gamel_SEA","Taylor Motter_SEA","Jeremy Hazelbaker_ARI","Manuel Margot_SD","Yasmany Tomas_ARI","Jason Castro_MIN","Leonys Martin_SEA","Kennys Vargas_MIN","Yangervis Solarte_SD","Rey Fuentes_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Eddie Rosario_MIN","Gregor Blanco_ARI","Chris Iannetta_ARI","Chris Herrmann_ARI","Socrates Brito_ARI","Guillermo Heredia_SEA","Daniel Descalso_ARI","Brandon Drury_ARI","Byron Buxton_MIN","Travis Jankowski_SD","Jorge Polanco_MIN","Matt Szczur_SD","Chase d'Arnaud_SD","Shawn O'Malley_SEA","Eduardo Escobar_MIN","Christian Bethancourt_SD","Carlos Ruiz_SEA","Boog Powell_SEA","Cory Spangenberg_SD","Allen Cordoba_SD","Chris Gimenez_MIN","Tuffy Gosewisch_SEA","Jabari Blash_SD","Franchy Cordero_SD","Ehire Adrianza_MIN","Daniel Vogelbach_SEA","Tyler Smith_SEA","Hector Sanchez_SD","Erick Aybar_SD","Jeff Mathis_ARI","Luis Torrens_SD"
0,0,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,6,0,0,0,0,2,0,0
0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,34,0,0,0,0,0,0,0,0,0,36,0,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,19,13,0,0,7,2,0,0,0,2,42,0,6
26,25,0,0,16,0,0,0,0,20,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,8,0,5,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,8
