"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Joey Gallo","3B","TEX","vs KC",4.53,"Kennedy, R 2.37","L",0.214,0.367,0.357,0,0,0,8,3700,22.9,9.2,5.29,5.29,"%",52,1.4,2,0.5
"Scooter Gennett","2B/3B","CIN","vs CHC",3.27,"Arrieta, R 2.89","L",0.273,0.372,0.333,0,0,0,2,3700,23.1,6.5,5.74,5.74,"%",33,1.6,10,2.7
"Scott Schebler","OF","CIN","vs CHC",3.27,"Arrieta, R 2.89","L",0.164,0.274,0.2,0,0,0,6,3700,17,6.1,4.76,4.76,"%",50,1.3,0,NA
"Albert Almora","OF","CHC","@ CIN",4.23,"Reed, L 0.00","R",0.333,0.387,0.185,0,0,0,9,3700,14.5,5.5,3.56,3.56,"%",50,1,2,0.5
"Justin Turner","3B","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.358,0.432,0.17,0,0,0,3,3700,21.4,8,10.44,10.44,"%",66,2.8,8,2.2
"Gorkys Hernandez","OF","SF","@ COL",5.18,"Senzatela, R 2.37","R",0.065,0.108,0.032,0,0,0,8,3700,16.7,1.7,6.07,6.07,"%",0,1.6,5,1.4
"Stephen Cardullo","OF","COL","vs SF",5.32,"Moore, L 4.26","R",0.148,0.193,0,0,0,0,7,3700,12.1,1.9,6.66,6.66,"%",29,1.8,4,1.1
"Jorge Polanco","SS","MIN","vs DET",4.56,"Boyd, L 3.77","B",0.278,0.321,0.111,0,0,0,2,3600,18.1,7,8,8,"%",64,2.2,9,2.5
"Mitch Moreland","1B","BOS","@ BAL",4.13,"Aquino, L","L",0.323,0.404,0.215,0,0,0,5,3600,22.3,8.4,8.61,8.61,"%",59,2.4,2,0.6
"Kevin Kiermaier","OF","TB","vs HOU",4.19,"Morton, R 2.81","L",0.294,0.354,0.118,0,0,0,2,3600,23.8,8.3,8.66,8.66,"%",54,2.4,0,NA
"Ryon Healy","1B/3B","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.25,0.31,0.167,0,0,0,3,3600,21.7,5.9,8.38,8.38,"%",44,2.3,21,5.8
"Mitch Haniger","OF","SEA","@ OAK",3.77,"Cotton, R 5.40","R",0.3,0.42,0.271,0,0,0,2,3600,21.8,11.3,7.38,7.38,"%",68,2.1,9,2.5
"C.J. Cron","1B","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.213,0.212,0.021,0,0,0,5,3600,13.4,3.4,7.31,7.31,"%",55,2,9,2.5
"Travis Shaw","3B","MIL","vs STL",4.67,"Lynn, R 3.12","L",0.254,0.378,0.358,0,0,0,4,3600,27.4,10.1,9.39,9.39,"%",55,2.6,7,1.9
"Neil Walker","2B","NYM","vs WSH",3.34,"Gonzalez, L 1.33","B",0.21,0.275,0.097,0,0,0,5,3600,16.4,5.8,5.61,5.61,"%",54,1.6,0,NA
"Jay Bruce","OF","NYM","vs WSH",3.34,"Gonzalez, L 1.33","L",0.286,0.408,0.318,0,0,0,4,3600,29.4,10.6,6.98,6.98,"%",47,1.9,2,0.6
"Michael Conforto","OF","NYM","vs WSH",3.34,"Gonzalez, L 1.33","L",0.345,0.448,0.345,0,0,0,2,3600,21.3,6.5,6.42,6.42,"%",43,1.8,2,0.6
"Alcides Escobar","SS","KC","@ TEX",4.48,"Martinez, R","R",0.207,0.223,0.069,0,0,0,7,3600,12,3.4,5.16,5.16,"%",50,1.4,0,NA
"Eugenio Suarez","3B","CIN","vs CHC",3.27,"Arrieta, R 2.89","R",0.345,0.451,0.291,0,0,0,5,3600,22.6,9.9,6,6,"%",58,1.7,31,8.6
"Nick Markakis","OF","ATL","@ PHI",3.57,"Eickhoff, R 3.20","L",0.283,0.356,0.15,0,0,0,5,3600,16.1,7.4,6.83,6.83,"%",69,1.9,0,NA
"Michael Saunders","OF","PHI","vs ATL",3.94,"Garcia, L 4.67","L",0.264,0.294,0.094,0,0,0,6,3600,18.2,5.1,5.23,5.23,"%",36,1.5,0,NA
"David Peralta","OF","ARI","vs LAD",4.5,"Maeda, R 7.07","L",0.254,0.306,0.143,0,0,0,2,3600,24.3,7.4,8.18,8.18,"%",46,2.3,26,7.2
"Dustin Garneau","C","COL","vs SF",5.32,"Moore, L 4.26","R",0.138,0.235,0.172,0,0,0,8,3600,15.9,3.7,5.95,5.95,"%",33,1.7,7,1.9
"Starlin Castro","2B","NYY","@ PIT",3.55,"Taillon, R 0.90","R",0.371,0.42,0.194,0,0,0,4,3500,19.4,8.8,7.26,7.26,"%",66,2.1,20,5.7
"Corey Dickerson","OF","TB","vs HOU",4.19,"Morton, R 2.81","L",0.317,0.405,0.286,0,0,0,1,3500,19.7,8.4,7.94,7.94,"%",65,2.3,10,2.9
"Devon Travis","2B","TOR","@ LAA",3.99,"Skaggs, L 5.19","R",0.098,0.134,0,0,0,0,7,3500,8.4,2.5,4,4,"%",56,1.1,3,0.9
"Orlando Arcia","SS","MIL","vs STL",4.67,"Lynn, R 3.12","R",0.214,0.246,0.107,0,0,0,8,3500,13.9,4.8,4.46,4.46,"%",51,1.3,3,0.9
"Mike Moustakas","3B","KC","@ TEX",4.48,"Martinez, R","L",0.291,0.388,0.291,0,0,0,2,3500,21.4,8.3,9.02,9.02,"%",63,2.6,5,1.4
"Zack Cozart","SS","CIN","vs CHC",3.27,"Arrieta, R 2.89","R",0.38,0.462,0.26,0,0,0,7,3500,14.3,9.3,4.03,4.03,"%",72,1.2,5,1.4
"Brandon Phillips","2B","ATL","@ PHI",3.57,"Eickhoff, R 3.20","R",0.323,0.354,0.113,0,0,0,6,3500,20.8,8.4,5.99,5.99,"%",56,1.7,21,6
"Aaron Altherr","OF","PHI","vs ATL",3.94,"Garcia, L 4.67","R",0.36,0.431,0.24,0,0,0,2,3500,18.5,7.3,7.07,7.07,"%",61,2,17,4.9
"J.T. Realmuto","C","MIA","@ SD",4.17,"Weaver, R 4.24","R",0.346,0.408,0.192,0,0,0,6,3500,22.7,8.2,6.2,6.2,"%",50,1.8,6,1.7
"Ryan Schimpf","3B","SD","vs MIA",3.83,"Straily, R 4.61","L",0.12,0.289,0.18,0,0,0,6,3500,18.6,5.5,5.34,5.34,"%",40,1.5,0,NA
"Marcell Ozuna","OF","MIA","@ SD",4.17,"Weaver, R 4.24","R",0.333,0.422,0.302,0,0,0,5,3500,29.4,10.8,8.22,8.22,"%",51,2.3,0,NA
"Tim Anderson","SS","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.186,0.2,0.068,0,0,0,2,3400,14.4,4.6,5.52,5.52,"%",52,1.6,0,NA
"Chris Young","OF","BOS","@ BAL",4.13,"Aquino, L","R",0.24,0.29,0.04,0,0,0,6,3400,15.3,4.8,6.19,6.19,"%",53,1.8,10,2.9
"Gregory Bird","1B","NYY","@ PIT",3.55,"Taillon, R 0.90","L",0.122,0.221,0.146,0,0,0,6,3400,20.5,4,5.22,5.22,"%",4,1.5,4,1.2
"Logan Morrison","1B","TB","vs HOU",4.19,"Morton, R 2.81","L",0.273,0.355,0.236,0,0,0,6,3400,21.4,7.1,5.42,5.42,"%",44,1.6,6,1.8
"Danny Valencia","1B","SEA","@ OAK",3.77,"Cotton, R 5.40","R",0.153,0.214,0.085,0,0,0,6,3400,11.6,3.6,5.37,5.37,"%",57,1.6,0,NA
"Kendrys Morales","1B","TOR","@ LAA",3.99,"Skaggs, L 5.19","B",0.238,0.32,0.175,0,0,0,4,3400,19.8,7.3,7.99,7.99,"%",60,2.4,6,1.8
"Kolten Wong","2B","STL","@ MIL",4.33,"Anderson, R 1.50","L",0.214,0.316,0.191,0,0,0,8,3400,15.2,5.1,4.83,4.83,"%",49,1.4,5,1.5
"Michael Taylor","OF","WSH","@ NYM",3.17,"deGrom, R 1.89","R",0.111,0.09,0,0,0,0,8,3400,6.9,1.2,3.14,3.14,"%",23,0.9,0,NA
"Adonis Garcia","3B","ATL","@ PHI",3.57,"Eickhoff, R 3.20","R",0.197,0.241,0.115,0,0,0,2,3400,17.6,4.8,6.49,6.49,"%",42,1.9,5,1.5
"Yangervis Solarte","2B","SD","vs MIA",3.83,"Straily, R 4.61","B",0.234,0.296,0.141,0,0,0,4,3400,20.7,6.6,6.65,6.65,"%",47,2,11,3.2
"Chris Owings","OF/SS","ARI","vs LAD",4.5,"Maeda, R 7.07","R",0.3,0.336,0.117,0,0,0,7,3400,22.6,7.8,4.99,4.99,"%",44,1.5,12,3.5
"Trey Mancini","1B/OF","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.29,0.427,0.419,0,0,0,6,3300,31.4,8.1,6.24,6.24,"%",22,1.9,16,4.8
"Yulieski Gurriel","1B","HOU","@ TB",4.31,"Snell, L 2.76","R",0.319,0.355,0.149,0,0,0,7,3300,17.3,5.9,5.14,5.14,"%",48,1.6,0,NA
"Taylor Motter","SS","SEA","@ OAK",3.77,"Cotton, R 5.40","R",0.256,0.397,0.395,0,0,0,5,3300,23.6,8.4,6.54,6.54,"%",49,2,2,0.6
"Ryan Zimmerman","1B","WSH","@ NYM",3.17,"deGrom, R 1.89","R",0.382,0.493,0.382,0,0,0,4,3300,24.2,10.6,6.48,6.48,"%",58,2,7,2.1
"Jurickson Profar","OF","TEX","vs KC",4.53,"Kennedy, R 2.37","B",0.138,0.234,0,0,0,0,9,3300,8.8,3.6,3.19,3.19,"%",61,1,0,NA
"Freddy Galvis","SS","PHI","vs ATL",3.94,"Garcia, L 4.67","B",0.22,0.268,0.17,0,0,0,7,3300,18.8,6.4,4.37,4.37,"%",44,1.3,5,1.5
"Cesar Hernandez","2B","PHI","vs ATL",3.94,"Garcia, L 4.67","B",0.324,0.388,0.211,0,0,0,1,3300,23,10.9,7.51,7.51,"%",65,2.3,10,3
"Dansby Swanson","SS","ATL","@ PHI",3.57,"Eickhoff, R 3.20","R",0.125,0.152,0.063,0,0,0,8,3300,11.1,2.9,3.7,3.7,"%",36,1.1,5,1.5
"Chris Taylor","2B/SS","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.75,1.108,1.25,0,0,0,2,3300,10.2,13,8.19,8.19,"%",0,2.5,10,3
"Martin Prado","2B/3B","MIA","@ SD",4.17,"Weaver, R 4.24","R",0.3,0.345,0,0,0,0,2,3300,10.4,5,7.59,7.59,"%",86,2.3,17,5.2
"Manuel Margot","OF","SD","vs MIA",3.83,"Straily, R 4.61","R",0.261,0.332,0.217,0,0,0,1,3300,22.2,7.5,6.33,6.33,"%",47,1.9,8,2.4
"Tyler Saladino","2B","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.184,0.282,0.053,0,0,0,1,3200,14.8,4.7,5.52,5.52,"%",51,1.7,6,1.9
"Lonnie Chisenhall","3B/OF","CLE","@ CWS",4.75,"TBD","L",0.308,0.382,0.308,0,0,0,7,3200,23.7,9,5.87,5.87,"%",51,1.8,10,3.1
"Abraham Almonte","OF","CLE","@ CWS",4.75,"TBD","B",0.278,0.359,0.083,0,0,0,8,3200,14.8,5.4,4.82,4.82,"%",54,1.5,4,1.3
"Sandy Leon","C","BOS","@ BAL",4.13,"Aquino, L","B",0.225,0.257,0.125,0,0,0,7,3200,20.1,5.5,4.74,4.74,"%",30,1.5,0,NA
"Marco Hernandez","3B/SS","BOS","@ BAL",4.13,"Aquino, L","B",0.286,0.285,0.036,0,0,0,9,3200,10.8,3.8,3.03,3.03,"%",49,0.9,5,1.6
"Craig Gentry","OF","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.15,0.24,0.2,0,0,0,1,3200,18.8,2.6,7.11,7.11,"%",0,2.2,3,0.9
"Josh Bell","1B","PIT","vs NYY",3.45,"Pineda, R 3.44","B",0.213,0.287,0.17,0,0,0,2,3200,16,4.5,5.47,5.47,"%",42,1.7,5,1.6
"Chase Headley","3B","NYY","@ PIT",3.55,"Taillon, R 0.90","B",0.377,0.472,0.245,0,0,0,3,3200,20.2,10.3,7.37,7.37,"%",69,2.3,7,2.2
"Josh Phegley","C","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.222,0.238,0.111,0,0,0,6,3200,13.8,4,5.2,5.2,"%",47,1.6,0,NA
"Yunel Escobar","3B","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.296,0.333,0.085,0,0,0,1,3200,21.8,6.9,8.55,8.55,"%",52,2.7,0,NA
"Hunter Renfroe","OF","SD","vs MIA",3.83,"Straily, R 4.61","R",0.25,0.288,0.162,0,0,0,7,3200,17.3,5.6,4.18,4.18,"%",41,1.3,5,1.6
"James McCann","C","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.162,0.333,0.324,0,0,0,6,3100,20,6.8,5.79,5.79,"%",48,1.9,4,1.3
"JaCoby Jones","OF","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.154,0.24,0.154,0,0,0,8,3100,17.3,4.1,4.08,4.08,"%",20,1.3,2,0.6
"Avisail Garcia","OF","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.4,0.464,0.218,0,0,0,6,3100,22.7,10,5.1,5.1,"%",56,1.6,0,NA
"J.J. Hardy","SS","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.24,0.261,0.12,0,0,0,8,3100,16.4,5.1,4.43,4.43,"%",41,1.4,3,1
"Francisco Cervelli","C","PIT","vs NYY",3.45,"Pineda, R 3.44","R",0.212,0.298,0.192,0,0,0,7,3100,13.8,5.6,3.68,3.68,"%",55,1.2,7,2.3
"Adam Frazier","2B/OF","PIT","vs NYY",3.45,"Pineda, R 3.44","L",0.289,0.347,0.156,0,0,0,1,3100,20.5,5.8,5.47,5.47,"%",35,1.8,10,3.2
"David Freese","3B","PIT","vs NYY",3.45,"Pineda, R 3.44","R",0.34,0.434,0.192,0,0,0,5,3100,17.1,7.3,4.93,4.93,"%",58,1.6,14,4.5
"Jordy Mercer","SS","PIT","vs NYY",3.45,"Pineda, R 3.44","R",0.218,0.278,0.073,0,0,0,8,3100,12.3,4.9,3.06,3.06,"%",53,1,7,2.3
"Tim Beckham","SS","TB","vs HOU",4.19,"Morton, R 2.81","R",0.218,0.245,0.127,0,0,0,9,3100,14.8,4.6,2.84,2.84,"%",35,0.9,20,6.5
"Jarrod Dyson","OF","SEA","@ OAK",3.77,"Cotton, R 5.40","L",0.228,0.27,0.053,0,0,0,1,3100,15.6,6.3,7.15,7.15,"%",66,2.3,11,3.5
"Andrelton Simmons","SS","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.274,0.33,0.113,0,0,0,6,3100,17.2,6.4,6.64,6.64,"%",59,2.1,23,7.4
"Steve Pearce","OF","TOR","@ LAA",3.99,"Skaggs, L 5.19","R",0.154,0.18,0,0,0,0,6,3100,13,2.7,6.21,6.21,"%",37,2,3,1
"Jose Martinez","1B/OF","STL","@ MIL",4.33,"Anderson, R 1.50","R",0.417,0.439,0.083,0,0,0,2,3100,10.7,4.3,7.11,7.11,"%",79,2.3,8,2.6
"Matt Wieters","C","WSH","@ NYM",3.17,"deGrom, R 1.89","B",0.277,0.368,0.17,0,0,0,7,3100,16.5,6.7,3.83,3.83,"%",53,1.2,5,1.6
"Cameron Rupp","C","PHI","vs ATL",3.94,"Garcia, L 4.67","R",0.2,0.306,0.175,0,0,0,8,3100,13.1,5.9,3.65,3.65,"%",60,1.2,2,0.6
"Austin Barnes","2B/C","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.167,0.293,0.278,0,0,0,7,3100,19.6,5.7,5.31,5.31,"%",37,1.7,16,5.2
"Chris Herrmann","C/OF","ARI","vs LAD",4.5,"Maeda, R 7.07","L",0.15,0.163,0,0,0,0,8,3100,10.7,1.6,3.88,3.88,"%",0,1.3,16,5.2
"Derek Dietrich","3B","MIA","@ SD",4.17,"Weaver, R 4.24","L",0.229,0.317,0.086,0,0,0,7,3100,15.8,4.5,4.33,4.33,"%",37,1.4,3,1
"Chris Gimenez","C","MIN","vs DET",4.56,"Boyd, L 3.77","R",0.286,0.398,0.143,0,0,0,6,3000,13.1,4.7,5.3,5.3,"%",59,1.8,0,NA
"Dixon Machado","2B/SS","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.1,0.09,0,0,0,0,9,3000,5.2,0.5,2.92,2.92,"%",0,1,5,1.7
"Mikie Mahtook","OF","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.158,0.215,0.053,0,0,0,2,3000,11.5,2.1,6.92,6.92,"%",46,2.3,9,3
"Eduardo Escobar","SS","MIN","vs DET",4.56,"Boyd, L 3.77","B",0.273,0.386,0.182,0,0,0,7,3000,19.6,6.6,4.68,4.68,"%",43,1.6,3,1
"John Jaso","1B","PIT","vs NYY",3.45,"Pineda, R 3.44","L",0.091,0.158,0,0,0,0,6,3000,9.4,1.2,4.02,4.02,"%",0,1.3,0,NA
"Aaron Hicks","OF","NYY","@ PIT",3.55,"Taillon, R 0.90","R",0.321,0.497,0.464,0,0,0,2,3000,24.8,10,6.72,6.72,"%",55,2.2,18,6
"Marwin Gonzalez","1B/3B","HOU","@ TB",4.31,"Snell, L 2.76","B",0.158,0.29,0.237,0,0,0,8,3000,15.9,5.6,3.99,3.99,"%",47,1.3,2,0.7
"Mike Zunino","C","SEA","@ OAK",3.77,"Cotton, R 5.40","R",0.205,0.248,0.091,0,0,0,9,3000,9.6,3.6,2.63,2.63,"%",52,0.9,0,NA
"Jed Lowrie","2B","OAK","vs SEA",4.23,"Miranda, L 3.06","B",0.281,0.352,0.158,0,0,0,2,3000,18.7,6.7,6.34,6.34,"%",54,2.1,13,4.3
"Danny Espinosa","2B","LAA","vs TOR",5.01,"Lawrence, R 13.50","B",0.206,0.278,0.175,0,0,0,8,3000,18.8,6.1,4.79,4.79,"%",43,1.6,0,NA
"Kevin Pillar","OF","TOR","@ LAA",3.99,"Skaggs, L 5.19","R",0.323,0.34,0.123,0,0,0,1,3000,19.6,6.6,6.9,6.9,"%",52,2.3,16,5.3
"T.J. Rivera","2B/3B","NYM","vs WSH",3.34,"Gonzalez, L 1.33","R",0.143,0.234,0,0,0,0,8,3000,6.2,1.8,2.95,2.95,"%",56,1,0,NA
"Greg Garcia","2B/3B","STL","@ MIL",4.33,"Anderson, R 1.50","L",0.25,0.323,0.042,0,0,0,1,3000,14,2.6,6.98,6.98,"%",32,2.3,10,3.3
"Tyler Flowers","C","ATL","@ PHI",3.57,"Eickhoff, R 3.20","R",0.367,0.396,0.033,0,0,0,7,3000,11.5,4.4,4.14,4.14,"%",58,1.4,2,0.7
"Yan Gomes","C","CLE","@ CWS",4.75,"TBD","R",0.135,0.21,0.108,0,0,0,9,2900,11.4,3.7,3.21,3.21,"%",44,1.1,7,2.4
"Derek Norris","C","TB","vs HOU",4.19,"Morton, R 2.81","R",0.167,0.177,0.021,0,0,0,7,2900,13,3.9,4.13,4.13,"%",43,1.4,3,1
"Christian Colon","2B/SS","KC","@ TEX",4.48,"Martinez, R","R",0,0.144,0,0,0,0,8,2900,5.8,0.7,3.89,3.89,"%",33,1.3,0,NA
"Travis Jankowski","OF","SD","vs MIA",3.83,"Straily, R 4.61","L",0.17,0.229,0.021,0,0,0,8,2900,11.3,4,3.35,3.35,"%",50,1.2,0,NA
"Chris Marrero","OF","SF","@ COL",5.18,"Senzatela, R 2.37","R",0.152,0.194,0.091,0,0,0,7,2900,16.4,3.1,5.87,5.87,"%",15,2,0,NA
"Guillermo Heredia","OF","SEA","@ OAK",3.77,"Cotton, R 5.40","B",0.333,0.358,0.167,0,0,0,7,2800,20.6,6.2,3.8,3.8,"%",32,1.4,5,1.8
"Jett Bandy","C","MIL","vs STL",4.67,"Lynn, R 3.12","R",0.314,0.447,0.4,0,0,0,6,2800,20.3,8.6,5.87,5.87,"%",58,2.1,3,1.1
"Juan Lagares","OF","NYM","vs WSH",3.34,"Gonzalez, L 1.33","R",0.091,0.18,0,0,0,0,1,2800,6.8,1.5,4.53,4.53,"%",63,1.6,3,1.1
"Tucker Barnhart","C","CIN","vs CHC",3.27,"Arrieta, R 2.89","B",0.302,0.318,0.07,0,0,0,8,2800,11.8,5.3,2.73,2.73,"%",57,1,3,1.1
"Scott Van Slyke","1B/OF","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.143,0.296,0.191,0,0,0,5,2800,14.9,2.8,6.48,6.48,"%",25,2.3,5,1.8
"Enrique Hernandez","3B/OF","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.24,0.38,0.36,0,0,0,1,2800,19.8,5.3,8.33,8.33,"%",46,3,18,6.4
"Austin Romine","C","NYY","@ PIT",3.55,"Taillon, R 0.90","R",0.313,0.368,0.156,0,0,0,7,2700,14.8,6.7,3.79,3.79,"%",59,1.4,8,3
"Jake Marisnick","OF","HOU","@ TB",4.31,"Snell, L 2.76","R",0.294,0.451,0.353,0,0,0,9,2700,12.6,3.4,2.74,2.74,"%",27,1,3,1.1
"Matt Joyce","OF","OAK","vs SEA",4.23,"Miranda, L 3.06","L",0.167,0.225,0.095,0,0,0,7,2700,14.3,3.7,3.71,3.71,"%",29,1.4,3,1.1
"Justin Smoak","1B","TOR","@ LAA",3.99,"Skaggs, L 5.19","B",0.245,0.321,0.245,0,0,0,5,2700,17.6,5.6,4,4,"%",39,1.5,21,7.8
"Austin Hedges","C","SD","vs MIA",3.83,"Straily, R 4.61","R",0.176,0.284,0.275,0,0,0,5,2700,21.4,5.9,5.12,5.12,"%",31,1.9,18,6.7
"Leury Garcia","OF","CWS","vs CLE",3.25,"Carrasco, R 2.33","B",0.241,0.328,0.241,0,0,0,9,2600,10.5,4.4,1.93,1.93,"%",51,0.7,0,NA
"Caleb Joseph","C","BAL","vs BOS",4.37,"Wright, R 8.36","R",0,0,0,0,0,0,9,2600,2.6,0,2.6,2.6,"%",0,1,10,3.8
"Jarrod Saltalamacchia","C","TOR","@ LAA",3.99,"Skaggs, L 5.19","B",0.071,0.064,0,0,0,0,8,2600,7.2,0.7,3.68,3.68,"%",0,1.4,0,NA
"Erick Aybar","SS","SD","vs MIA",3.83,"Straily, R 4.61","B",0.174,0.274,0.13,0,0,0,2,2600,14.3,3.8,5.36,5.36,"%",41,2.1,0,NA
"Cody Asche","1B","CWS","vs CLE",3.25,"Carrasco, R 2.33","L",0.063,0.114,0,0,0,0,7,2500,8.1,2,2.78,2.78,"%",34,1.1,0,NA
"Ronald Torreyes","SS","NYY","@ PIT",3.55,"Taillon, R 0.90","R",0.245,0.269,0.143,0,0,0,8,2500,14.3,5.5,3.2,3.2,"%",49,1.3,20,8
"Adam Rosales","2B/3B","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.31,0.331,0.172,0,0,0,1,2500,16,5.8,5.98,5.98,"%",57,2.4,14,5.6
"Daniel Descalso","2B/OF","ARI","vs LAD",4.5,"Maeda, R 7.07","L",0.167,0.26,0.042,0,0,0,6,2500,12.5,3.4,4.51,4.51,"%",41,1.8,2,0.8
"Geovany Soto","C","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.267,0.495,0.6,0,0,0,8,2400,27.4,11,2.71,2.71,"%",44,1.1,0,NA
"Juan Graterol","C","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0,0,0,0,0,0,9,2400,3.7,0,3.7,3.7,"%",0,1.5,3,1.3
"Drew Butera","C","KC","@ TEX",4.48,"Martinez, R","R",0.1,0.113,0.1,0,0,0,9,2400,6.6,1,2.55,2.55,"%",0,1.1,8,3.3
"Shane Peterson","OF","TB","vs HOU",4.19,"Morton, R 2.81","L",0.333,0.377,0.222,0,0,0,8,2300,17.9,6.5,3.26,3.26,"%",44,1.4,7,3
"Chad Pinder","2B","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.333,0.532,0.667,0,0,0,8,2300,21.1,6.3,3.18,3.18,"%",29,1.4,0,NA
"Darwin Barney","2B/3B","TOR","@ LAA",3.99,"Skaggs, L 5.19","R",0.269,0.251,0,0,0,0,2,2300,11.2,3.6,4.31,4.31,"%",53,1.9,7,3
"Rene Rivera","C","NYM","vs WSH",3.34,"Gonzalez, L 1.33","R",0.269,0.273,0.039,0,0,0,7,2300,8.2,3,2.74,2.74,"%",55,1.2,0,NA
"Mike Freeman","2B/OF","SEA","@ OAK",3.77,"Cotton, R 5.40","L",0.2,0.358,0.3,0,0,0,8,2200,14.9,4.2,2.86,2.86,"%",28,1.3,0,NA
"Jaff Decker","OF","OAK","vs SEA",4.23,"Miranda, L 3.06","L",0.375,0.443,0.188,0,0,0,9,2200,17,7.7,2.37,2.37,"%",53,1.1,2,0.9
"Ryan Goins","2B/3B","TOR","@ LAA",3.99,"Skaggs, L 5.19","L",0.231,0.299,0.077,0,0,0,9,2100,8.3,1.9,2.19,2.19,"%",20,1,7,3.3
"Miguel Rojas","3B/SS","MIA","@ SD",4.17,"Weaver, R 4.24","R",0.308,0.328,0.051,0,0,0,8,2200,14.5,4.9,3.72,3.72,"%",45,1.7,0,NA
"Brett Eibner","OF","LAD","@ ARI",4.5,"Ray, L 1.96","R",0,0,0,0,0,0,8,2100,3.9,0,3.91,3.91,"%",0,1.9,3,1.4
