Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
QB,Dane Evans (9385649),Dane Evans,9385649,4000,PHI@WAS 01:00PM ET,PHI
QB,Nate Sudfeld (9385861),Nate Sudfeld,9385861,4000,PHI@WAS 01:00PM ET,WAS
QB,Dan Orlovsky (9384638),Dan Orlovsky,9384638,4000,IND@LAR 04:05PM ET,LAR
RB,Robert Turbin (9384882),Robert Turbin,9384882,4000,IND@LAR 04:05PM ET,IND
QB,Stephen Morris (9385140),Stephen Morris,9385140,4000,IND@LAR 04:05PM ET,IND
WR,Robert Woods (9385237),Robert Woods,9385237,4000,IND@LAR 04:05PM ET,LAR
QB,Brandon Allen (9385435),Brandon Allen,9385435,4000,IND@LAR 04:05PM ET,LAR
QB,Phillip Walker (9386124),Phillip Walker,9386124,4000,IND@LAR 04:05PM ET,IND
QB,Austin Davis (9384874),Austin Davis,9384874,4000,SEA@GB 04:25PM ET,SEA
QB,Joe Callahan (9385610),Joe Callahan,9385610,4000,SEA@GB 04:25PM ET,GB
QB,Matt Barkley (9385018),Matt Barkley,9385018,4000,CAR@SF 04:25PM ET,SF
QB,Garrett Gilbert (9385063),Garrett Gilbert,9385063,4000,CAR@SF 04:25PM ET,CAR
QB,C.J. Beathard (9385759),C.J. Beathard,9385759,4000,CAR@SF 04:25PM ET,SF
QB,Nick Mullens (9386106),Nick Mullens,9386106,4000,CAR@SF 04:25PM ET,SF
QB,Brad Kaaya (9386234),Brad Kaaya,9386234,4000,CAR@SF 04:25PM ET,CAR
RB,Joe Williams (9386278),Joe Williams,9386278,4000,CAR@SF 04:25PM ET,SF
QB,Luke McCown (9384692),Luke McCown,9384692,4000,NYG@DAL 08:30PM ET,DAL
QB,Josh Johnson (9384717),Josh Johnson,9384717,4000,NYG@DAL 08:30PM ET,NYG
QB,Cooper Rush (9385820),Cooper Rush,9385820,4000,NYG@DAL 08:30PM ET,DAL
QB,Davis Webb (9385983),Davis Webb,9385983,4000,NYG@DAL 08:30PM ET,NYG
QB,Ryan Nassib (9384987),Ryan Nassib,9384987,4000,NO@MIN 07:10PM ET,NO
QB,Taysom Hill (9385051),Taysom Hill,9385051,4000,NO@MIN 07:10PM ET,NO
QB,Garrett Grayson (9385141),Garrett Grayson,9385141,4000,NO@MIN 07:10PM ET,NO
QB,Teddy Bridgewater (9385355),Teddy Bridgewater,9385355,4000,NO@MIN 07:10PM ET,MIN
QB,Taylor Heinicke (9385403),Taylor Heinicke,9385403,4000,NO@MIN 07:10PM ET,MIN
QB,Mitch Leidner (9385634),Mitch Leidner,9385634,4000,NO@MIN 07:10PM ET,MIN
QB,Kellen Clemens (9384641),Kellen Clemens,9384641,4000,LAC@DEN 10:20PM ET,LAC
RB,Branden Oliver (9385061),Branden Oliver,9385061,4000,LAC@DEN 10:20PM ET,LAC
QB,Mike Bercovici (9385358),Mike Bercovici,9385358,4000,LAC@DEN 10:20PM ET,LAC
QB,Chad Kelly (9385665),Chad Kelly,9385665,4000,LAC@DEN 10:20PM ET,DEN
QB,Kyle Sloter (9385793),Kyle Sloter,9385793,4000,LAC@DEN 10:20PM ET,DEN
DST,Bills  (9384601),Bills ,9384601,3900,NYJ@BUF 01:00PM ET,BUF
RB,Jeremy Langford (9385263),Jeremy Langford,9385263,3900,BAL@CIN 01:00PM ET,BAL
WR,Eli Rogers (9385501),Eli Rogers,9385501,3900,PIT@CLE 01:00PM ET,PIT
RB,Chris Johnson (9384711),Chris Johnson,9384711,3900,ARI@DET 01:00PM ET,ARI
WR,Braxton Miller (9385376),Braxton Miller,9385376,3900,JAX@HOU 01:00PM ET,HOU
RB,T.J. Yeldon (9385626),T.J. Yeldon,9385626,3900,JAX@HOU 01:00PM ET,JAX
RB,Charles Sims (9385072),Charles Sims,9385072,3900,Postponed,TB
RB,Jalen Richard (9385791),Jalen Richard,9385791,3900,OAK@TEN 01:00PM ET,OAK
RB,Darren Sproles (9384639),Darren Sproles,9384639,3900,PHI@WAS 01:00PM ET,PHI
RB,Malcolm Brown (9385436),Malcolm Brown,9385436,3900,IND@LAR 04:05PM ET,LAR
RB,Jamaal Williams (9385843),Jamaal Williams,9385843,3900,SEA@GB 04:25PM ET,GB
TE,Jason Witten (9384647),Jason Witten,9384647,3900,NYG@DAL 08:30PM ET,DAL
RB,Rod Smith (9385209),Rod Smith,9385209,3900,NYG@DAL 08:30PM ET,DAL
RB,Jonathan Williams (9385802),Jonathan Williams,9385802,3900,LAC@DEN 10:20PM ET,DEN
WR,Jeremy Kerley (9384864),Jeremy Kerley,9384864,3800,NYJ@BUF 01:00PM ET,NYJ
WR,Robby Anderson (9385554),Robby Anderson,9385554,3800,NYJ@BUF 01:00PM ET,NYJ
WR,Sammie Coates (9385366),Sammie Coates,9385366,3800,PIT@CLE 01:00PM ET,CLE
RB,Kerwynn Williams (9385070),Kerwynn Williams,9385070,3800,ARI@DET 01:00PM ET,ARI
RB,Zach Zenner (9385320),Zach Zenner,9385320,3800,ARI@DET 01:00PM ET,DET
DST,Texans  (9384602),Texans ,9384602,3800,JAX@HOU 01:00PM ET,HOU
WR,Marqise Lee (9385399),Marqise Lee,9385399,3800,JAX@HOU 01:00PM ET,JAX
WR,Will Fuller V (9386139),Will Fuller V,9386139,3800,JAX@HOU 01:00PM ET,HOU
WR,Kenny Stills (9385151),Kenny Stills,9385151,3800,Postponed,MIA
RB,Damien Williams (9385730),Damien Williams,9385730,3800,Postponed,MIA
WR,Nelson Agholor (9385723),Nelson Agholor,9385723,3800,PHI@WAS 01:00PM ET,PHI
RB,Wendell Smallwood (9385939),Wendell Smallwood,9385939,3800,PHI@WAS 01:00PM ET,PHI
WR,Tavon Austin (9385121),Tavon Austin,9385121,3800,IND@LAR 04:05PM ET,LAR
RB,Shane Vereen (9384878),Shane Vereen,9384878,3800,NYG@DAL 08:30PM ET,NYG
WR,Terrance Williams (9384937),Terrance Williams,9384937,3800,NYG@DAL 08:30PM ET,DAL
WR,ArDarius Stewart (9386157),ArDarius Stewart,9386157,3700,NYJ@BUF 01:00PM ET,NYJ
WR,Brandon LaFell (9384757),Brandon LaFell,9384757,3700,BAL@CIN 01:00PM ET,CIN
WR,J.J. Nelson (9385269),J.J. Nelson,9385269,3700,ARI@DET 01:00PM ET,ARI
DST,Jaguars  (9384628),Jaguars ,9384628,3700,JAX@HOU 01:00PM ET,JAX
RB,Jeremy McNichols (9386257),Jeremy McNichols,9386257,3700,Postponed,TB
WR,Torrey Smith (9384853),Torrey Smith,9384853,3700,PHI@WAS 01:00PM ET,PHI
RB,Chris Thompson (9385089),Chris Thompson,9385089,3700,PHI@WAS 01:00PM ET,WAS
TE,Jack Doyle (9385012),Jack Doyle,9385012,3700,IND@LAR 04:05PM ET,IND
WR,Cooper Kupp (9385890),Cooper Kupp,9385890,3700,IND@LAR 04:05PM ET,LAR
