"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"QB","Tyrod Taylor (7769872)","Tyrod Taylor",7769872,5600,"Buf@Cin 01:00PM ET","Buf","Tyrod","Taylor","Cin",18.07,17.5,NA,NA,0,17.6670336629302,5.5,25.4,17.4,16.6,15.8,21,24.3,18.1,26.9,NA,"Taylor, Tyrod",NA,NA,NA,NA,NA
"WR","Jeremy Maclin (7770072)","Jeremy Maclin",7770072,5600,"TB@KC 01:00PM ET","KC","Jeremy","Maclin","TB",0,0,2,0.170212765957447,0,0,17.2,12.8,7.5,12.8,NA,7.9,8,13.3,NA,NA,"Maclin, Jeremy",30,56,2,3,3
"QB","Carson Palmer (7769889)","Carson Palmer",7769889,5600,"Ari@Min 01:00PM ET","Ari","Carson","Palmer","Min",17.07,15.8,NA,NA,0,16.2990378895572,18.9,27.3,7.5,13.5,NA,12.4,17.5,27.5,NA,20.6,"Palmer, Carson",NA,NA,NA,NA,NA
"TE","Jimmy Graham (7770230)","Jimmy Graham",7770230,5600,"Phi@Sea 04:25PM ET","Sea","Jimmy","Graham","Phi",13.41,11.8,2,0.212014134275618,1,12.4776630492599,2.1,7.2,24,20.3,NA,14.9,10.3,6.4,33.3,8.8,"Graham, Jimmy",43,60,3,2,2
"QB","Joe Flacco (7769857)","Joe Flacco",7769857,5500,"Bal@Dal 01:00PM ET","Bal","Joe","Flacco","Dal",16.59,15.7,NA,NA,0,16.0244028968338,13,21.2,13.8,23,13,15.3,7.5,NA,15.8,24.1,"Flacco, Joe",NA,NA,NA,NA,NA
"QB","Tony Romo (7769858)","Tony Romo",7769858,5500,"Bal@Dal 01:00PM ET","Dal","Tony","Romo","Bal",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romo, Tony",NA,NA,NA,NA,NA
"WR","Mike Wallace (7770028)","Mike Wallace",7770028,5500,"Bal@Dal 01:00PM ET","Bal","Mike","Wallace","Dal",13.5,10.7,1,0.197368421052632,1,11.9322774564961,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,"Wallace, Mike",44,75,4,2,1
"QB","Blake Bortles (7769865)","Blake Bortles",7769865,5400,"Jax@Det 01:00PM ET","Jax","Blake","Bortles","Det",19.28,18.1,NA,NA,0,18.5449644988956,19,24.6,14.5,25.9,NA,12.9,15.1,32.7,22.5,19.7,"Bortles, Blake",NA,NA,NA,NA,NA
"TE","Tyler Eifert (7770183)","Tyler Eifert",7770183,5400,"Buf@Cin 01:00PM ET","Cin","Tyler","Eifert","Buf",15.17,11.1,6,0.0611620795107034,1,12.915566062064,NA,NA,NA,NA,NA,NA,1.9,28.2,NA,12.6,"Eifert, Tyler",14,20,1,6,3
"RB","Doug Martin (7769955)","Doug Martin",7769955,5400,"TB@KC 01:00PM ET","TB","Doug","Martin","KC",12.83,13.2,9,0.0198300283286119,0,12.9572130798804,14.6,2.3,NA,NA,NA,NA,NA,NA,NA,11.6,"Martin, Doug",6,7,0,8,8
