"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Team","LastName","Opponent","FirstName","Projection","Projection_dfn"
"WR","Matthew Slater",3000,"NE@Buf 01:00PM ET",0.071,"NE","","Slater","NE","Matthew",0,0
"WR","Brandon Tate",3000,"NE@Buf 01:00PM ET",0.786,"Buf","","Tate","NE","Brandon",0,3.1
"WR","Walt Powell",3000,"NE@Buf 01:00PM ET",2.717,"Buf","","Powell","NE","Walt",0,6.6
"WR","Malcolm Mitchell",3000,"NE@Buf 01:00PM ET",2.029,"NE","","Mitchell","NE","Malcolm",4.29,2.4
"RB","Dexter McCluster",3000,"SD@Den 04:05PM ET",1.9,"SD","","McCluster","SD","Dexter",2.98,3.3
"RB","Kapri Bibbs",3000,"SD@Den 04:05PM ET",0.529,"Den","","Bibbs","SD","Kapri",3.46,4.5
"RB","Derek Watt",3000,"SD@Den 04:05PM ET",0.514,"SD","","Watt","SD","Derek",0,0
"RB","Kenneth Farrow",3000,"SD@Den 04:05PM ET",0.62,"SD","","Farrow","SD","Kenneth",1.52,3
"RB","Andy Janovich",3000,"SD@Den 04:05PM ET",2.271,"Den","","Janovich","SD","Andy",0,0
"WR","Jordan Norwood",3000,"SD@Den 04:05PM ET",3.571,"Den","","Norwood","SD","Jordan",3.19,2.9
"WR","Griff Whalen",3000,"SD@Den 04:05PM ET",0.44,"SD","","Whalen","SD","Griff",0,3.2
"WR","Bennie Fowler",3000,"SD@Den 04:05PM ET",3.7,"Den","","Fowler","SD","Bennie",2.22,1.9
"WR","Jordan Taylor",3000,"SD@Den 04:05PM ET",0.714,"Den","","Taylor","SD","Jordan",0,0
"WR","Cody Latimer",3000,"SD@Den 04:05PM ET",0.867,"Den","","Latimer","SD","Cody",0,1.9
"RB","Mike Tolbert",3000,"Ari@Car 01:00PM ET",1.733,"Car","","Tolbert","Ari","Mike",0,3.1
"RB","Andre Ellington",3000,"Ari@Car 01:00PM ET",1.629,"Ari","","Ellington","Ari","Andre",2.65,4.6
"RB","Stepfan Taylor",3000,"Ari@Car 01:00PM ET",0.2,"Ari","","Taylor","Ari","Stepfan",0,1.2
"RB","Kerwynn Williams",3000,"Ari@Car 01:00PM ET",0,"Ari","","Williams","Ari","Kerwynn",0,0
"RB","Cameron Artis-Payne",3000,"Ari@Car 01:00PM ET",9.5,"Car","","Artis-Payne","Ari","Cameron",0,0
"WR","Brenton Bersin",3000,"Ari@Car 01:00PM ET",0,"Car","","Bersin","Ari","Brenton",0,0
"WR","J.J. Nelson",3000,"Ari@Car 01:00PM ET",3.867,"Ari","","Nelson","Ari","J.J.",6.32,7.9
"WR","Brittan Golden",3000,"Ari@Car 01:00PM ET",0,"Ari","","Golden","Ari","Brittan",0,0
"RB","Darren McFadden",3000,"Phi@Dal 08:30PM ET",0,"Dal","","McFadden","Phi","Darren",0,0
"RB","Kenjon Barner",3000,"Phi@Dal 08:30PM ET",2.533,"Phi","","Barner","Phi","Kenjon",0,1.1
"RB","Lance Dunbar",3000,"Phi@Dal 08:30PM ET",4.375,"Dal","","Dunbar","Phi","Lance",0,5.7
"RB","Rod Smith",3000,"Phi@Dal 08:30PM ET",0.233,"Dal","","Smith","Phi","Rod",0,0
"RB","Keith Smith",3000,"Phi@Dal 08:30PM ET",0.733,"Dal","","Smith","Phi","Keith",0,0
"RB","Darius Jackson",3000,"Phi@Dal 08:30PM ET",0,"Dal","","Jackson","Phi","Darius",0,0
"RB","Wendell Smallwood",3000,"Phi@Dal 08:30PM ET",4.317,"Phi","","Smallwood","Phi","Wendell",0,2.4
"WR","Josh Huff",3000,"Phi@Dal 08:30PM ET",5.217,"Phi","","Huff","Phi","Josh",8.15,2.3
"WR","Dorial Green-Beckham",3000,"Phi@Dal 08:30PM ET",5.483,"Phi","","Green-Beckham","Phi","Dorial",7.27,5.8
"WR","Bryce Treggs",3000,"Phi@Dal 08:30PM ET",0,"Phi","","Treggs","Phi","Bryce",0,0
"WR","Lucky Whitehead",3000,"Phi@Dal 08:30PM ET",1.517,"Dal","","Whitehead","Phi","Lucky",0,0
"TE","Dwayne Allen",2900,"KC@Ind 01:00PM ET",8.533,"Ind","","Allen","KC","Dwayne",0,0
"TE","Charles Clay",2900,"NE@Buf 01:00PM ET",7.257,"Buf","","Clay","NE","Charles",9.03,10.1
"TE","C.J. Fiedorowicz",2800,"Det@Hou 01:00PM ET",8.086,"Hou","","Fiedorowicz","Det","C.J.",10.04,5.4
"TE","Jacob Tamme",2800,"GB@Atl 04:25PM ET",8.157,"Atl","","Tamme","GB","Jacob",6.82,5.7
"TE","Richard Rodgers",2700,"GB@Atl 04:25PM ET",3.9,"GB","","Rodgers","GB","Richard",6.49,7
"TE","Antonio Gates",2700,"SD@Den 04:05PM ET",7.98,"SD","","Gates","SD","Antonio",7.94,10.6
"TE","Virgil Green",2700,"SD@Den 04:05PM ET",4.875,"Den","","Green","SD","Virgil",6.58,8.2
"TE","Levine Toilolo",2600,"GB@Atl 04:25PM ET",3.071,"Atl","","Toilolo","GB","Levine",0,0
"TE","Chase Coffman",2500,"KC@Ind 01:00PM ET",0,"Ind","","Coffman","KC","Chase",0,0
"TE","James Winchester",2500,"KC@Ind 01:00PM ET",0,"KC","","Winchester","KC","James",0,0
"TE","Erik Swoope",2500,"KC@Ind 01:00PM ET",1.9,"Ind","","Swoope","KC","Erik",6.25,0
"TE","James O'Shaughnessy",2500,"KC@Ind 01:00PM ET",0,"KC","","O'Shaughnessy","KC","James",0,0
"TE","Ross Travis",2500,"KC@Ind 01:00PM ET",0.75,"KC","","Travis","KC","Ross",0,0
"TE","Demetrius Harris",2500,"KC@Ind 01:00PM ET",2.283,"KC","","Harris","KC","Demetrius",0,1.7
"TE","Brandon Myers",2500,"Oak@TB 01:00PM ET",1.883,"TB","","Myers","Oak","Brandon",0,0
"TE","Andrew DePaola",2500,"Oak@TB 01:00PM ET",0,"TB","","DePaola","Oak","Andrew",0,0
"TE","Luke Stocker",2500,"Oak@TB 01:00PM ET",0,"TB","","Stocker","Oak","Luke",2.41,0
"TE","Mychal Rivera",2500,"Oak@TB 01:00PM ET",1.5,"Oak","","Rivera","Oak","Mychal",0,2.3
"TE","Clive Walford",2500,"Oak@TB 01:00PM ET",6.25,"Oak","","Walford","Oak","Clive",6.46,4.5
"TE","Alan Cross",2500,"Oak@TB 01:00PM ET",0.375,"TB","","Cross","Oak","Alan",0,0
"TE","Ryan O'Malley",2500,"Oak@TB 01:00PM ET",0,"Oak","","O'Malley","Oak","Ryan",0,0
"TE","Luke Willson",2500,"Sea@NO 01:00PM ET",2.2,"Sea","","Willson","Sea","Luke",0,0
"TE","Josh Hill",2500,"Sea@NO 01:00PM ET",3.967,"NO","","Hill","Sea","Josh",0,0
"TE","Brandon Williams",2500,"Sea@NO 01:00PM ET",0,"Sea","","Williams","Sea","Brandon",0,0
"TE","Nick Vannett",2500,"Sea@NO 01:00PM ET",0,"Sea","","Vannett","Sea","Nick",0,1
"TE","Clay Harbor",2500,"Det@Hou 01:00PM ET",0.817,"Det","","Harbor","Det","Clay",2.78,0
"TE","Ryan Griffin",2500,"Det@Hou 01:00PM ET",5.571,"Hou","","Griffin","Det","Ryan",5.43,2.3
"TE","Stephen Anderson",2500,"Det@Hou 01:00PM ET",2.25,"Hou","","Anderson","Det","Stephen",0,1.1
"TE","Cole Wick",2500,"Det@Hou 01:00PM ET",0.633,"Det","","Wick","Det","Cole",0,1.1
"TE","Khari Lee",2500,"Det@Hou 01:00PM ET",0,"Det","","Lee","Det","Khari",0,0
"TE","Kellen Davis",2500,"NYJ@Cle 01:00PM ET",0,"NYJ","","Davis","NYJ","Kellen",1.8,0
"TE","Brandon Bostick",2500,"NYJ@Cle 01:00PM ET",0.271,"NYJ","","Bostick","NYJ","Brandon",2.16,1.4
"TE","Randall Telfer",2500,"NYJ@Cle 01:00PM ET",0,"Cle","","Telfer","NYJ","Randall",0,0
"TE","Connor Hamlett",2500,"NYJ@Cle 01:00PM ET",2.9,"Cle","","Hamlett","NYJ","Connor",0,1.3
"TE","Austin Seferian-Jenkins",2500,"NYJ@Cle 01:00PM ET",5.7,"NYJ","","Seferian-Jenkins","NYJ","Austin",0,3.4
"TE","Seth DeValve",2500,"NYJ@Cle 01:00PM ET",0,"Cle","","DeValve","NYJ","Seth",0,0
"TE","Danny Vitale",2500,"NYJ@Cle 01:00PM ET",0,"Cle","","Vitale","NYJ","Danny",0,0
"TE","Jared Cook",2500,"GB@Atl 04:25PM ET",3.767,"GB","","Cook","GB","Jared",0,0
"TE","Justin Perillo",2500,"GB@Atl 04:25PM ET",0.617,"GB","","Perillo","GB","Justin",0,2.9
"TE","Joshua Perkins",2500,"GB@Atl 04:25PM ET",0,"Atl","","Perkins","GB","Joshua",0,0
"TE","Austin Hooper",2500,"GB@Atl 04:25PM ET",3.914,"Atl","","Hooper","GB","Austin",3.45,3.6
"TE","A.J. Derby",2500,"NE@Buf 01:00PM ET",0,"NE","","Derby","NE","A.J.",0,0
"TE","Manasseh Garner",2500,"NE@Buf 01:00PM ET",0,"Buf","","Garner","NE","Manasseh",0,0
"TE","Nick O'Leary",2500,"NE@Buf 01:00PM ET",2.057,"Buf","","O'Leary","NE","Nick",0,1.6
"TE","John Phillips",2500,"SD@Den 04:05PM ET",2.143,"Den","","Phillips","SD","John",0,1.6
"TE","Sean McGrath",2500,"SD@Den 04:05PM ET",0.329,"SD","","McGrath","SD","Sean",0,0
"TE","Asante Cleveland",2500,"SD@Den 04:05PM ET",0,"SD","","Cleveland","SD","Asante",0,0
"TE","Jeff Heuerman",2500,"SD@Den 04:05PM ET",1.7,"Den","","Heuerman","SD","Jeff",1.37,1.1
"TE","Darren Fells",2500,"Ari@Car 01:00PM ET",2.517,"Ari","","Fells","Ari","Darren",4.81,0
"TE","Ed Dickson",2500,"Ari@Car 01:00PM ET",3.05,"Car","","Dickson","Ari","Ed",2.78,2.1
"TE","Jermaine Gresham",2500,"Ari@Car 01:00PM ET",2.2,"Ari","","Gresham","Ari","Jermaine",2.6,2.1
"TE","Ifeanyi Momah",2500,"Ari@Car 01:00PM ET",1.75,"Ari","","Momah","Ari","Ifeanyi",0,0
"TE","Chris Manhertz",2500,"Ari@Car 01:00PM ET",0,"Car","","Manhertz","Ari","Chris",0,0
"TE","Scott Simonson",2500,"Ari@Car 01:00PM ET",0,"Car","","Simonson","Ari","Scott",0,0
"TE","Hakeem Valles",2500,"Ari@Car 01:00PM ET",0,"Ari","","Valles","Ari","Hakeem",0,0
"TE","Brent Celek",2500,"Phi@Dal 08:30PM ET",2.15,"Phi","","Celek","Phi","Brent",0,2.4
"TE","Gavin Escobar",2500,"Phi@Dal 08:30PM ET",0,"Dal","","Escobar","Phi","Gavin",0,0
"TE","Trey Burton",2500,"Phi@Dal 08:30PM ET",4.6,"Phi","","Burton","Phi","Trey",3.35,1.3
"TE","Geoff Swaim",2500,"Phi@Dal 08:30PM ET",1.333,"Dal","","Swaim","Phi","Geoff",1.47,0
