Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
291,15067,DJ Hayden,CB,OAK,DEN,17,78,100,0,0,0,0,0,10.9
292,2104,Mike Adams,SS,IND,TEN,17,55,93,0,0,0,0,0,10.9
293,13460,Doug Baldwin,WR,SEA,LA,17,47,76,2,9,9,11,8.10,10.9
294,9828,Ricky Jean-Francois,DE,IND,TEN,17,37,63,0,0,0,0,0,10.8
295,13753,Tavon Wilson,SS,NE,BUF,17,37,64,0,0,0,0,0,10.8
296,5282,Josh McCown,QB,TB,NO,17,67,100,3,0,37,37,8.20,10.7
297,16003,Sammy Watkins,WR,BUF,NE,17,58,98,2,9,7,10,9.20,10.7
298,7082,Devin Hester,WR,ATL,CAR,17,30,42,0,20,13,20,7.20,10.7
299,13181,Mario Addison,DE,CAR,ATL,17,28,39,0,0,0,0,0,10.7
300,11308,Nate Allen,FS,PHI,NYG,17,80,100,0,0,0,0,0,10.6
