"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09"
"143","Chris Heisey_WAS",NA,NA,NA,NA,NA,NA,NA,NA
"144","Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"145","Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"146","Tucker Barnhart_CIN",NA,5,NA,5,NA,3,7,NA
"147","Stuart Turner_CIN",NA,NA,NA,NA,NA,NA,NA,5
"148","Carson Kelly_STL",NA,NA,NA,NA,NA,NA,NA,NA
"149","Jose Lobaton_WAS",NA,NA,NA,NA,NA,NA,NA,0
"150","Rene Rivera_NYM",NA,3,NA,NA,NA,8,NA,0
"151","Eloy Jimenez_CHC",NA,NA,NA,NA,NA,NA,NA,NA
"152","Chris Stewart_PIT",NA,NA,NA,NA,NA,NA,NA,3
"153","Ty Kelly_NYM",NA,NA,NA,NA,NA,NA,NA,NA
