Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
179,4738,Mike Tolbert,FB,12,CAR,MIA,0,0,0,21,0,2,10,0,5.10
180,10992,Jeff Cumberland,TE,12,NYJ,BAL,0,0,0,0,0,2,29,0,4.90
181,13394,Greg Salas,WR,12,NYJ,BAL,0,0,0,1,0,2,28,0,4.90
182,1577,Joel Dreessen,TE,12,DEN,NE,0,0,0,0,0,3,19,0,4.90
183,14978,Justin Hunter,WR,12,TEN,OAK,0,0,0,0,0,2,28,0,4.80
184,8846,Kevin Ogletree,WR,12,DET,TB,0,0,0,0,0,2,27,0,4.70
185,13992,LaVon Brazill,WR,12,IND,ARI,0,0,0,0,0,2,27,0,4.70
186,15416,Zach Sudfeld,TE,12,NYJ,BAL,0,0,0,0,0,2,26,0,4.60
187,15417,Kenbrell Thompkins,WR,12,NE,DEN,0,0,0,0,0,2,25,0,4.50
188,5741,Robert Meachem,WR,12,NO,ATL,0,0,0,0,0,1,34,0,4.40
189,11317,Clay Harbor,TE,12,JAX,HOU,0,0,0,0,0,2,24,0,4.40
190,14465,Jarius Wright,WR,12,MIN,GB,0,0,0,0,0,2,23,0,4.30
191,11756,Benjamin Watson,TE,12,NO,ATL,0,0,0,0,0,2,23,0,4.30
192,14820,Sean McGrath,TE,12,KC,SD,0,0,0,0,0,2,22,0,4.20
193,8399,Shonn Greene,RB,12,TEN,OAK,0,0,0,22,0,1,9,0,4.10
194,15239,Vance McDonald,TE,12,SF,WAS,0,0,0,0,0,2,21,0,4.10
195,13391,Austin Pettis,WR,12,LA,CHI,0,0,0,0,0,2,21,0,4.10
196,13163,Roy Helu,RB,12,WAS,SF,0,0,0,18,0,1,9,0,3.70
197,14122,Ladarius Green,TE,12,SD,KC,0,0,0,0,0,1,26,0,3.60
198,14424,Brian Quick,WR,12,LA,CHI,0,0,0,0,0,1,23,0,3.30
199,13386,Lance Kendricks,TE,12,LA,CHI,0,0,0,0,0,2,13,0,3.30
200,8967,Earl Bennett,WR,12,CHI,LA,0,0,0,0,0,2,12,0,3.20
201,13974,Keshawn Martin,WR,12,HOU,JAX,0,0,0,0,0,1,21,0,3.10
202,15036,Montee Ball,RB,12,DEN,NE,0,0,0,18,0,1,2,0,3
203,11413,Toby Gerhart,RB,12,MIN,GB,0,0,0,13,0,1,7,0,3
204,13440,Kendall Hunter,RB,12,SF,WAS,0,0,0,28,0,0,0,0,2.80
205,13171,Aldrick Robinson,WR,12,WAS,SF,0,0,0,0,0,1,18,0,2.80
206,13031,Jonathan Baldwin,WR,12,SF,WAS,0,0,0,0,0,1,16,0,2.60
207,244,Dallas Clark,TE,12,BAL,NYJ,0,0,0,0,0,1,15,0,2.50
208,9249,Kellen Winslow,TE,12,NYJ,BAL,0,0,0,0,0,1,15,0,2.50
209,12296,LeGarrette Blount,RB,12,NE,DEN,0,0,0,23,0,0,0,0,2.30
210,15645,Khiry Robinson,RB,12,NO,ATL,0,0,0,21,0,0,0,0,2.10
211,4276,Brandon Bostick,TE,12,GB,MIN,0,0,0,0,0,1,11,0,2.10
212,12506,James Starks,RB,12,GB,MIN,0,0,0,18,0,0,2,0,2
213,2254,Brandon Jacobs,RB,12,NYG,DAL,0,0,0,19,0,0,1,0,2
214,11555,Jim Dray,TE,12,ARI,IND,0,0,0,0,0,1,9,0,1.90
215,15336,Joseph Fauria,TE,12,DET,TB,0,0,0,0,0,1,8,0,1.80
216,12907,Weslye Saunders,TE,12,IND,ARI,0,0,0,0,0,1,8,0,1.80
217,13109,Dan Bailey,K,12,DAL,NYG,0,0,0,0,0,0,0,0,0
218,14688,Justin Tucker,K,12,BAL,NYJ,0,0,0,0,0,0,0,0,0
219,13961,Randy Bullock,K,12,HOU,JAX,0,0,0,0,0,0,0,0,0
220,2695,Josh Brown,K,12,NYG,DAL,0,0,0,0,0,0,0,0,0
221,549,Matt Prater,K,12,DEN,NE,0,0,0,0,0,0,0,0,0
222,5352,David Akers,K,12,DET,TB,0,0,0,0,0,0,0,0,0
223,3258,Adam Vinatieri,K,12,IND,ARI,0,0,0,0,0,0,0,0,0
224,418,Garrett Hartley,K,12,NO,ATL,0,0,0,0,0,0,0,0,0
225,10333,Graham Gano,K,12,CAR,MIA,0,0,0,0,0,0,0,0,0
226,14463,Blair Walsh,K,12,MIN,GB,0,0,0,0,0,0,0,0,0
227,2982,Stephen Gostkowski,K,12,NE,DEN,0,0,0,0,0,0,0,0,0
228,3253,Sebastian Janikowski,K,12,OAK,TEN,0,0,0,0,0,0,0,0,0
229,5714,Phil Dawson,K,12,SF,WAS,0,0,0,0,0,0,0,0,0
230,14740,Kai Forbath,K,12,WAS,SF,0,0,0,0,0,0,0,0,0
231,12088,Jay Feely,K,12,ARI,IND,0,0,0,0,0,0,0,0,0
232,3388,Matt Bryant,K,12,ATL,NO,0,0,0,0,0,0,0,0,0
233,1410,Robbie Gould,K,12,CHI,LA,0,0,0,0,0,0,0,0,0
234,10145,Billy Cundiff,K,12,CLE,PIT,0,0,0,0,0,0,0,0,0
235,1694,Mason Crosby,K,12,GB,MIN,0,0,0,0,0,0,0,0,0
236,8750,Ryan Succop,K,12,KC,SD,0,0,0,0,0,0,0,0,0
237,14877,Caleb Sturgis,K,12,MIA,CAR,0,0,0,0,0,0,0,0,0
238,14697,Greg Zuerlein,K,12,LA,CHI,0,0,0,0,0,0,0,0,0
239,6410,Rian Lindell,K,12,TB,DET,0,0,0,0,0,0,0,0,0
240,2616,Rob Bironas,K,12,TEN,OAK,0,0,0,0,0,0,0,0,0
241,6902,Josh Scobee,K,12,JAX,HOU,0,0,0,0,0,0,0,0,0
242,11694,Nick Folk,K,12,NYJ,BAL,0,0,0,0,0,0,0,0,0
243,12508,Shaun Suisham,K,12,PIT,CLE,0,0,0,0,0,0,0,0,0
244,4354,Nick Novak,K,12,SD,KC,0,0,0,0,0,0,0,0,0
245,15230,Stepfan Taylor,RB,12,ARI,IND,0,0,0,0,0,0,0,0,0
246,15509,Jaron Brown,WR,12,ARI,IND,0,0,0,0,0,0,0,0,0
247,12622,Jake Ballard,TE,12,ARI,IND,0,0,0,0,0,0,0,0,0
248,5412,Jason Snelling,RB,12,ATL,NO,0,0,0,0,0,0,0,0,0
249,11439,Antone Smith,RB,12,ATL,NO,0,0,0,0,0,0,0,0,0
250,15378,Levine Toilolo,TE,12,ATL,NO,0,0,0,0,0,0,0,0,0
251,13282,Kevin Cone,WR,12,ATL,NO,0,0,0,0,0,0,0,0,0
252,13284,Drew Davis,WR,12,ATL,NO,0,0,0,0,0,0,0,0,0
253,8428,Chase Coffman,TE,12,ATL,NO,0,0,0,0,0,0,0,0,0
254,1760,Vonta Leach,RB,12,BAL,NYJ,0,0,0,0,0,0,0,0,0
255,14901,Kyle Juszczyk,FB,12,BAL,NYJ,0,0,0,0,0,0,0,0,0
256,12343,Brandon Stokley,WR,12,BAL,NYJ,0,0,0,0,0,0,0,0,0
257,13653,Richie Brockel,FB,12,CAR,MIA,0,0,0,0,0,0,0,0,0
258,1854,Domenik Hixon,WR,12,CAR,MIA,0,0,0,0,0,0,0,0,0
259,15118,Marquess Wilson,WR,12,CHI,LA,0,0,0,0,0,0,0,0,0
260,3601,Eric Weems,WR,12,CHI,LA,0,0,0,0,0,0,0,0,0
261,2332,Dante Rosario,TE,12,CHI,LA,0,0,0,0,0,0,0,0,0
262,371,Michael Bush,RB,12,CHI,LA,0,0,0,0,0,0,0,0,0
263,13910,Brandon Weeden,QB,12,CLE,PIT,0,0,0,0,0,0,0,0,0
264,4577,Gary Barnidge,TE,12,CLE,PIT,0,0,0,0,0,0,0,0,0
265,15772,Keavon Milton,TE,12,CLE,PIT,0,0,0,0,0,0,0,0,0
266,13117,Dwayne Harris,WR,12,DAL,NYG,0,0,0,0,0,0,0,0,0
267,14731,Lance Dunbar,RB,12,DAL,NYG,0,0,0,0,0,0,0,0,0
268,15082,Gavin Escobar,TE,12,DAL,NYG,0,0,0,0,0,0,0,0,0
269,15085,Joseph Randle,RB,12,DAL,NYG,0,0,0,0,0,0,0,0,0
270,13130,Phillip Tanner,RB,12,DAL,NYG,0,0,0,0,0,0,0,0,0
271,13016,Virgil Green,TE,12,DEN,NE,0,0,0,0,0,0,0,0,0
272,852,Jacob Tamme,TE,12,DEN,NE,0,0,0,0,0,0,0,0,0
273,13555,Trindon Holliday,WR,12,DEN,NE,0,0,0,0,0,0,0,0,0
274,15020,CJ Anderson,RB,12,DEN,NE,0,0,0,0,0,0,0,0,0
275,3989,Andre Caldwell,WR,12,DEN,NE,0,0,0,0,0,0,0,0,0
