QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Russell Wilson (9358965),Jordan Howard (9360049),Todd Gurley (9359771),Julio Jones (9359003),Doug Baldwin (9358950),Marvin Jones Jr. (9359028),Zach Ertz (9359110),Carlos Hyde (9359217),Cowboys  (9358743)
Aaron Rodgers (9358780),Jordan Howard (9360049),Frank Gore (9358765),Antonio Brown (9358987),Terrelle Pryor Sr. (9359005),Stefon Diggs (9358532),Zach Ertz (9359110),Randall Cobb (9359063),Colts  (9358747)
Russell Wilson (9358965),Jordan Howard (9360049),Ameer Abdullah (9359363),Doug Baldwin (9358950),Golden Tate (9358960),Stefon Diggs (9358532),Travis Kelce (9358502),Tyler Lockett (9359463),Bengals  (9358741)
Russell Wilson (9358965),Ezekiel Elliott (9359890),Todd Gurley (9359771),Doug Baldwin (9358950),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Coby Fleener (9358665),Marvin Jones Jr. (9359028),Eagles  (9358753)
Kirk Cousins (9358981),David Johnson (9359235),Carlos Hyde (9359217),Antonio Brown (9358987),Jamison Crowder (9359423),Tyler Lockett (9359463),Zach Ertz (9359110),Marvin Jones Jr. (9359028),Vikings  (9358568)
Russell Wilson (9358965),David Johnson (9359235),Carlos Hyde (9359217),Antonio Brown (9358987),Davante Adams (9359572),Jeremy Maclin (9358902),Zach Ertz (9359110),Paul Richardson (9359329),Cardinals  (9358754)
Drew Brees (9358623),Jordan Howard (9360049),Todd Gurley (9359771),Michael Thomas (9358645),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Zach Ertz (9359110),Marvin Jones Jr. (9359028),Vikings  (9358568)
Matthew Stafford (9358878),Ezekiel Elliott (9359890),Jordan Howard (9360049),Antonio Brown (9358987),Larry Fitzgerald (9358814),Tyler Lockett (9359463),Zach Ertz (9359110),Marvin Jones Jr. (9359028),Cardinals  (9358754)
Russell Wilson (9358965),Ezekiel Elliott (9359890),Frank Gore (9358765),Antonio Brown (9358987),Stefon Diggs (9358532),Davante Adams (9359572),Zach Ertz (9359110),Tyler Lockett (9359463),Ravens  (9358762)
Matthew Stafford (9358878),Le'Veon Bell (9359211),Jordan Howard (9360049),Terrelle Pryor Sr. (9359005),Stefon Diggs (9358532),Davante Adams (9359572),Zach Ertz (9359110),Marvin Jones Jr. (9359028),Cowboys  (9358743)
Russell Wilson (9358965),David Johnson (9359235),Alvin Kamara (9358631),Antonio Brown (9358987),Larry Fitzgerald (9358814),Davante Adams (9359572),Coby Fleener (9358665),Tyler Lockett (9359463),Vikings  (9358568)
Sam Bradford (9358515),David Johnson (9359235),Jordan Howard (9360049),Doug Baldwin (9358950),Adam Thielen (9358534),Tyler Lockett (9359463),Zach Ertz (9359110),Todd Gurley (9359771),Vikings  (9358568)
Kirk Cousins (9358981),David Johnson (9359235),Ezekiel Elliott (9359890),Doug Baldwin (9358950),Terrelle Pryor Sr. (9359005),Marvin Jones Jr. (9359028),Zach Ertz (9359110),Bruce Ellington (9360222),Colts  (9358747)
Matthew Stafford (9358878),Jordan Howard (9360049),Ameer Abdullah (9359363),Julio Jones (9359003),Doug Baldwin (9358950),Golden Tate (9358960),Zach Ertz (9359110),Allen Robinson (9359555),Vikings  (9358568)
Russell Wilson (9358965),Jordan Howard (9360049),Todd Gurley (9359771),Julio Jones (9359003),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Coby Fleener (9358665),Tyler Lockett (9359463),Seahawks  (9358757)
Kirk Cousins (9358981),Jordan Howard (9360049),Todd Gurley (9359771),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Allen Robinson (9359555),Travis Kelce (9358502),Jeremy Maclin (9358902),Cowboys  (9358743)
Aaron Rodgers (9358780),Ezekiel Elliott (9359890),Ameer Abdullah (9359363),Antonio Brown (9358987),Doug Baldwin (9358950),Davante Adams (9359572),Coby Fleener (9358665),Marvin Jones Jr. (9359028),Vikings  (9358568)
Russell Wilson (9358965),Theo Riddick (9359148),Frank Gore (9358765),Antonio Brown (9358987),Doug Baldwin (9358950),Golden Tate (9358960),Coby Fleener (9358665),Larry Fitzgerald (9358814),Bengals  (9358741)
Kirk Cousins (9358981),Jordan Howard (9360049),Frank Gore (9358765),Antonio Brown (9358987),Doug Baldwin (9358950),Stefon Diggs (9358532),Coby Fleener (9358665),Jamison Crowder (9359423),Redskins  (9358759)
Aaron Rodgers (9358780),David Johnson (9359235),Todd Gurley (9359771),Doug Baldwin (9358950),Davante Adams (9359572),Bruce Ellington (9360222),Travis Kelce (9358502),Frank Gore (9358765),Ravens  (9358762)
Aaron Rodgers (9358780),David Johnson (9359235),Jordan Howard (9360049),Demaryius Thomas (9358427),Davante Adams (9359572),Jeremy Maclin (9358902),Zach Ertz (9359110),Ameer Abdullah (9359363),Cowboys  (9358743)
Matthew Stafford (9358878),David Johnson (9359235),Frank Gore (9358765),Doug Baldwin (9358950),Golden Tate (9358960),Stefon Diggs (9358532),Zach Ertz (9359110),Tyler Lockett (9359463),Redskins  (9358759)
Kirk Cousins (9358981),Jordan Howard (9360049),Isaiah Crowell (9359508),Antonio Brown (9358987),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Evan Engram (9360027),Davante Adams (9359572),Cowboys  (9358743)
Kirk Cousins (9358981),Jordan Howard (9360049),Todd Gurley (9359771),Antonio Brown (9358987),Jamison Crowder (9359423),Bruce Ellington (9360222),Travis Kelce (9358502),Lamar Miller (9359144),Bengals  (9358741)
Kirk Cousins (9358981),Ezekiel Elliott (9359890),Ameer Abdullah (9359363),Doug Baldwin (9358950),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Evan Engram (9360027),Larry Fitzgerald (9358814),Bengals  (9358741)
Aaron Rodgers (9358780),David Johnson (9359235),Todd Gurley (9359771),A.J. Green (9359007),Davante Adams (9359572),Tyler Lockett (9359463),Coby Fleener (9358665),Ameer Abdullah (9359363),Cardinals  (9358754)
Russell Wilson (9358965),Todd Gurley (9359771),C.J. Anderson (9358411),Antonio Brown (9358987),Doug Baldwin (9358950),Stefon Diggs (9358532),Coby Fleener (9358665),Allen Robinson (9359555),Vikings  (9358568)
Kirk Cousins (9358981),David Johnson (9359235),Todd Gurley (9359771),Terrelle Pryor Sr. (9359005),DeAndre Hopkins (9359331),Jeremy Maclin (9358902),Zach Ertz (9359110),Carlos Hyde (9359217),Redskins  (9358759)
Kirk Cousins (9358981),Jordan Howard (9360049),Carlos Hyde (9359217),Michael Thomas (9358645),Doug Baldwin (9358950),Golden Tate (9358960),Zach Ertz (9359110),Jamison Crowder (9359423),Eagles  (9358753)
Matthew Stafford (9358878),David Johnson (9359235),Todd Gurley (9359771),Golden Tate (9358960),Stefon Diggs (9358532),Jeremy Maclin (9358902),Coby Fleener (9358665),Lamar Miller (9359144),Vikings  (9358568)
Kirk Cousins (9358981),Todd Gurley (9359771),Ameer Abdullah (9359363),Antonio Brown (9358987),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Travis Kelce (9358502),Taylor Gabriel (9360055),Seahawks  (9358757)
Matthew Stafford (9358878),Ezekiel Elliott (9359890),Jordan Howard (9360049),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Jamison Crowder (9359423),Coby Fleener (9358665),Allen Robinson (9359555),Bengals  (9358741)
Russell Wilson (9358965),David Johnson (9359235),Todd Gurley (9359771),Golden Tate (9358960),Larry Fitzgerald (9358814),Jamison Crowder (9359423),Evan Engram (9360027),Paul Richardson (9359329),Bengals  (9358741)
Kirk Cousins (9358981),David Johnson (9359235),Jordan Howard (9360049),A.J. Green (9359007),Jamison Crowder (9359423),Jeremy Maclin (9358902),Zach Ertz (9359110),Bruce Ellington (9360222),Ravens  (9358762)
Aaron Rodgers (9358780),David Johnson (9359235),Jordan Howard (9360049),Randall Cobb (9359063),Allen Robinson (9359555),Devin Funchess (9359804),Zach Ertz (9359110),Todd Gurley (9359771),Ravens  (9358762)
