"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Phillip Ervin",3600,"LAD@CIN 01:10PM ET",0.667,"CIN","LAD",NA,0,NA,NA,"x","x",NA
"3B","David Wright",3600,"WAS@NYM 01:10PM ET",0,"NYM","WAS",NA,0,NA,NA,"x","x",NA
"SS","Asdrubal Cabrera",3600,"WAS@NYM 01:10PM ET",6.898,"NYM","WAS",NA,0,NA,NA,"x","x",NA
"2B","Cesar Hernandez",3600,"ARI@PHI 01:35PM ET",7.638,"PHI","ARI",NA,0,NA,NA,"x","x",NA
"3B","Adonis Garcia",3600,"MIA@ATL 01:35PM ET",6.632,"ATL","MIA",NA,0,NA,NA,"x","x",NA
"OF","Colby Rasmus",3500,"TB@DET 01:10PM ET",7.886,"TB","DET",6.07,7.6,7.8,NA,"6","6",0
"1B","Joe Mauer",3500,"CLE@MIN 02:10PM ET",6.825,"MIN","CLE",6.12,7.4,7.97,NA,"3","2",2
"1B/OF","Jose Martinez",3500,"STL@BAL 01:35PM ET",5.091,"STL","BAL",NA,NA,NA,NA,"8","x",NA
"2B","Kolten Wong",3500,"STL@BAL 01:35PM ET",6.917,"STL","BAL",NA,0,NA,NA,"x","x",NA
"OF","Leury Garcia",3500,"CWS@TOR 01:07PM ET",6.754,"CWS","TOR",NA,NA,NA,NA,"1","x",NA
"OF","Kevin Pillar",3500,"CWS@TOR 01:07PM ET",7.875,"TOR","CWS",7.44,8.1,9.26,NA,"1","1",5
"3B","David Freese",3500,"CHC@PIT 01:35PM ET",6.571,"PIT","CHC",5.54,6.2,7.53,NA,"4","4",3
"C","Manny Pina",3500,"SD@MIL 02:10PM ET",6.872,"MIL","SD",NA,6.8,NA,NA,"6","5",17
"OF","Alex Dickerson",3500,"SD@MIL 02:10PM ET",0,"SD","MIL",NA,0,NA,NA,"x","x",NA
"1B","Adrian Gonzalez",3500,"LAD@CIN 01:10PM ET",4.9,"LAD","CIN",NA,0,NA,NA,"x","x",NA
"C","Devin Mesoraco",3500,"LAD@CIN 01:10PM ET",6.448,"CIN","LAD",5.01,0,1.79,NA,"x","x",NA
"2B","Jose Peraza",3500,"LAD@CIN 01:10PM ET",6.855,"CIN","LAD",NA,NA,NA,NA,"7","x",NA
"2B","Neil Walker",3500,"WAS@NYM 01:10PM ET",7.883,"NYM","WAS",NA,0,NA,NA,"x","x",NA
"OF","Michael Taylor",3500,"WAS@NYM 01:10PM ET",6.836,"WAS","NYM",6.39,6,1.39,NA,"8","8",0
"C/OF","Chris Herrmann",3500,"ARI@PHI 01:35PM ET",3.894,"ARI","PHI",6.92,6.3,1.71,NA,"8","2",0
"3B","Martin Prado",3500,"MIA@ATL 01:35PM ET",6.588,"MIA","ATL",NA,0,NA,NA,"x","x",NA
"1B","Victor Martinez",3400,"TB@DET 01:10PM ET",6.3,"DET","TB",NA,0,NA,NA,"x","x",NA
"2B","Brad Miller",3400,"TB@DET 01:10PM ET",6.279,"TB","DET",NA,0,1.89,NA,"x","x",NA
"1B","Carlos Santana",3400,"CLE@MIN 02:10PM ET",7.438,"CLE","MIN",8.46,8.8,9.33,NA,"3","6",4
"OF","Abraham Almonte",3400,"CLE@MIN 02:10PM ET",4.515,"CLE","MIN",NA,0,NA,NA,"x","x",NA
"C","Jason Castro",3400,"CLE@MIN 02:10PM ET",6.6,"MIN","CLE",NA,NA,NA,NA,"7","x",NA
"OF","Harrison Bader",3400,"STL@BAL 01:35PM ET",0,"STL","BAL",NA,0,NA,NA,"x","x",NA
"OF","Steve Pearce",3400,"CWS@TOR 01:07PM ET",5.179,"TOR","CWS",6.06,6.4,1.9,NA,"8","8",17
"2B/3B","Yoan Moncada",3400,"CWS@TOR 01:07PM ET",0,"CWS","TOR",NA,0,NA,NA,"x","x",NA
"C","Willson Contreras",3400,"CHC@PIT 01:35PM ET",5.724,"CHC","PIT",5.82,6.9,6.73,NA,"6","3",19
"OF","Nick Franklin",3400,"SD@MIL 02:10PM ET",2.063,"MIL","SD",NA,0,2.04,NA,"x","x",NA
"C","Austin Hedges",3400,"SD@MIL 02:10PM ET",5.774,"SD","MIL",NA,NA,NA,NA,"8","x",NA
"OF","Andrew Toles",3400,"LAD@CIN 01:10PM ET",6.094,"LAD","CIN",NA,0,NA,NA,"x","x",NA
"1B","Adam Lind",3400,"WAS@NYM 01:10PM ET",5.927,"WAS","NYM",7.35,0,5.25,NA,"x","x",NA
"1B","Lucas Duda",3400,"WAS@NYM 01:10PM ET",7.756,"NYM","WAS",7.58,9.6,7.97,NA,"6","5",12
"1B","Tommy Joseph",3400,"ARI@PHI 01:35PM ET",6.774,"PHI","ARI",6.21,8.4,7.7,NA,"4","4",5
"1B/OF","Tyler Moore",3400,"MIA@ATL 01:35PM ET",4.647,"MIA","ATL",4.92,0,6.69,NA,"x","x",NA
"SS","Dansby Swanson",3400,"MIA@ATL 01:35PM ET",5.954,"ATL","MIA",6.04,6,6.22,NA,"8","7",5
"C","Wilson Ramos",3300,"TB@DET 01:10PM ET",0,"TB","DET",NA,0,1.88,NA,"x","x",NA
"OF","Kevin Kiermaier",3300,"TB@DET 01:10PM ET",7.403,"TB","DET",NA,0,NA,NA,"x","x",NA
"C","Chris Gimenez",3300,"CLE@MIN 02:10PM ET",5.033,"MIN","CLE",5.13,5.4,1.52,NA,"x","9",0
"OF","Brandon Guyer",3300,"CLE@MIN 02:10PM ET",3.286,"CLE","MIN",NA,0,NA,NA,"x","x",NA
"OF","Greg Allen",3300,"CLE@MIN 02:10PM ET",0,"CLE","MIN",NA,0,NA,NA,"x","x",NA
"3B/C","Russell Martin",3300,"CWS@TOR 01:07PM ET",6.7,"TOR","CWS",6.71,7,7.4,NA,"7","7",20
"OF","Albert Almora",3300,"CHC@PIT 01:35PM ET",4.091,"CHC","PIT",5.3,5.6,6.15,NA,"9","5",0
"OF","Michael Reed",3300,"SD@MIL 02:10PM ET",0,"MIL","SD",NA,0,NA,NA,"x","x",NA
"C","Yasmani Grandal",3300,"LAD@CIN 01:10PM ET",6.085,"LAD","CIN",NA,NA,NA,NA,"6","x",NA
"2B/3B","Logan Forsythe",3300,"LAD@CIN 01:10PM ET",4.457,"LAD","CIN",7.19,8.2,6.93,NA,"x","6",19
"2B/OF","Arismendy Alcantara",3300,"LAD@CIN 01:10PM ET",2.273,"CIN","LAD",NA,6.7,1.74,NA,"x","7",7
"3B/OF","Rob Segedin",3300,"LAD@CIN 01:10PM ET",2.5,"LAD","CIN",NA,0,NA,NA,"x","x",NA
"C","Matt Wieters",3300,"WAS@NYM 01:10PM ET",6.304,"WAS","NYM",6.89,6.4,4.63,NA,"7","7",0
"OF","Daniel Nava",3300,"ARI@PHI 01:35PM ET",4.923,"PHI","ARI",5.95,6.4,6.48,NA,"7","6",2
"OF","Rey Fuentes",3300,"ARI@PHI 01:35PM ET",3.208,"ARI","PHI",NA,0,NA,NA,"x","x",NA
"OF","Jeremy Hazelbaker",3300,"ARI@PHI 01:35PM ET",3.259,"ARI","PHI",NA,7.2,2.07,NA,"x","7",6
"2B/OF","Jace Peterson",3300,"MIA@ATL 01:35PM ET",3.429,"ATL","MIA",NA,0,NA,NA,"x","x",NA
"C","Yan Gomes",3200,"CLE@MIN 02:10PM ET",5.545,"CLE","MIN",NA,NA,NA,NA,"7","x",NA
"C","Yadier Molina",3200,"STL@BAL 01:35PM ET",6.368,"STL","BAL",6.47,7.5,7.66,NA,"5","5",14
"OF","Hyun Soo Kim",3200,"STL@BAL 01:35PM ET",3.629,"BAL","STL",NA,6.9,6.85,NA,"8","8",NA
"OF","Joey Rickard",3200,"STL@BAL 01:35PM ET",3.977,"BAL","STL",NA,0,1.56,NA,"x","x",NA
"2B/SS","Tyler Saladino",3200,"CWS@TOR 01:07PM ET",5.133,"CWS","TOR",NA,0,NA,NA,"x","x",NA
"1B/OF","John Jaso",3200,"CHC@PIT 01:35PM ET",4.259,"PIT","CHC",NA,0,7.95,NA,"x","x",NA
"OF","Kirk Nieuwenhuis",3200,"SD@MIL 02:10PM ET",2.2,"MIL","SD",NA,0,NA,NA,"x","x",NA
"C","Andrew Susac",3200,"SD@MIL 02:10PM ET",0,"MIL","SD",NA,0,NA,NA,"x","x",NA
"OF","Travis Jankowski",3200,"SD@MIL 02:10PM ET",3.765,"SD","MIL",NA,0,NA,NA,"x","x",NA
"OF","Brett Phillips",3200,"SD@MIL 02:10PM ET",1.6,"MIL","SD",NA,0,NA,NA,"x","x",NA
"OF","Andre Ethier",3200,"LAD@CIN 01:10PM ET",0,"LAD","CIN",NA,0,NA,NA,"x","x",NA
"OF","Jayson Werth",3200,"WAS@NYM 01:10PM ET",7.894,"WAS","NYM",NA,0,NA,NA,"x","x",NA
"3B/SS","Jose Reyes",3200,"WAS@NYM 01:10PM ET",5.844,"NYM","WAS",5.32,6.6,7.59,NA,"8","2",0
"C","Travis d'Arnaud",3200,"WAS@NYM 01:10PM ET",5.974,"NYM","WAS",5.34,5.8,6.1,NA,"7","8",5
"OF","Brian Goodwin",3200,"WAS@NYM 01:10PM ET",5.704,"WAS","NYM",6.48,7.4,5.9,NA,"2","2",2
"3B","Maikel Franco",3200,"ARI@PHI 01:35PM ET",5.968,"PHI","ARI",6.09,8.3,7.62,NA,"5","5",18
"C","Kurt Suzuki",3200,"MIA@ATL 01:35PM ET",6.161,"ATL","MIA",5.92,5.8,1.45,NA,"x","6",7
"2B/OF","Danny Santana",3200,"MIA@ATL 01:35PM ET",3.55,"ATL","MIA",5.46,0,NA,NA,"x","x",NA
"SS","Jose Iglesias",3100,"TB@DET 01:10PM ET",6.222,"DET","TB",NA,NA,NA,NA,"9","x",NA
"2B/3B","Matt Duffy",3100,"TB@DET 01:10PM ET",0,"TB","DET",NA,0,NA,NA,"x","x",NA
"OF","Tyler Naquin",3100,"CLE@MIN 02:10PM ET",3.667,"CLE","MIN",NA,0,NA,NA,"x","x",NA
"SS","Jorge Polanco",3100,"CLE@MIN 02:10PM ET",6.058,"MIN","CLE",5.63,6.8,1.74,NA,"6","1",0
"C","Francisco Mejia",3100,"CLE@MIN 02:10PM ET",0,"CLE","MIN",NA,0,NA,NA,"x","x",NA
"OF","Craig Gentry",3100,"STL@BAL 01:35PM ET",2.303,"BAL","STL",NA,0,NA,NA,"x","x",NA
"3B","Todd Frazier",3100,"CWS@TOR 01:07PM ET",6.833,"CWS","TOR",7.97,8,7.88,NA,"5","5",10
"2B","Alen Hanson",3100,"CWS@TOR 01:07PM ET",2.738,"CWS","TOR",NA,0,1.75,NA,"x","x",NA
"C","Miguel Montero",3100,"CHC@PIT 01:35PM ET",4.385,"CHC","PIT",5.85,0,1.58,NA,"x","x",NA
"OF","Jon Jay",3100,"CHC@PIT 01:35PM ET",4.055,"CHC","PIT",5.82,5.9,1.61,NA,"x","9",15
"SS","Erick Aybar",3100,"SD@MIL 02:10PM ET",4.759,"SD","MIL",4.92,6.9,5.34,NA,"7","7",7
