Sum of  FantasyPoints,Column Labels,,,,,,
Row Labels,DEF,K,QB,RB,TE,WR,Grand Total
WAS,1,4,21,13.1,3.2,37.6,79.9
4,177,167,318.1,554.7,170.4,469,1856.2
ARI,,10,6.4,40.9,4.2,9.7,71.2
ARZ,11,,,,,,11
ATL,14,9,9.2,28,8.5,3.5,72.2
BAL,7,6,10.5,14.6,3.8,16.7,58.6
BUF,8,5,9.9,10.8,0.6,29.7,64
CAR,0,4,9.6,20.3,3.5,16.4,53.8
CHI,5,3,12.6,14.3,1.2,15.2,51.3
CIN,5,5,6.7,27,0.4,12.6,56.7
CLE,4,5,11.3,18.9,10.7,9.9,59.8
DEN,3,10,11.3,11.3,11.6,6.2,53.4
GB,6,1,10.3,13.1,3,16.5,49.9
HOU,17,11,16.6,19.8,2.7,23,90.1
IND,3,6,14.5,20.5,9.3,22.2,75.5
JAC,2,8,16.7,14.2,10,21.3,72.2
KC,4,9,14.6,28.7,12.5,15.2,84
MIA,5,9,1.5,9.6,6.6,12.8,44.5
NE,17,7,20.1,16,11.9,27.6,99.6
NO,4,4,9,7.9,4.1,13,42
NYG,6,-1,11.7,28.8,13.4,10.8,69.7
NYJ,18,5,4,21.9,1.5,7.6,58
OAK,3,4,-0.5,28.9,4.9,17,57.3
PHI,6,11,11.7,21.7,0.9,22.7,74
PIT,13,4,11.2,31.2,0.8,15.7,75.9
SD,3,8,20.7,31.9,18.7,19,101.3
SF,0,0,16,12.5,11.3,23.9,63.7
STL,7,5,11.9,31.6,0.3,21.6,77.4
TB,0,7,11.2,10.5,1.2,18.8,48.7
TEN,1,5,20.8,7.9,9.9,27.6,72.2
WAS,5,7,8.6,11.9,2.9,12.8,48.2
5,188,172,432.7,509.6,210.5,602.2,2115
ARI,,4,20.3,23.8,8.8,23.7,80.6
ARZ,9,,,,,,9
ATL,3,4,4.7,15.5,3.7,15.5,46.4
BAL,19,5,-3.4,16.2,1.7,6.4,44.9
BUF,6,2,14.4,9.9,9.6,19.7,61.6
CAR,5,4,17.2,5.7,1.8,21.9,55.6
CLE,8,11,14.5,8.3,3.5,20.9,66.2
DAL,5,3,7,17.5,1.5,14.2,48.2
DEN,1,8,13.8,30.7,5.1,19,77.6
DET,14,4,10,19.4,2.2,14.9,64.5
GB,0,9,22.3,5.1,13.2,37.2,86.8
HOU,3,4,29,12.2,2.7,49.4,100.3
IND,16,4,17.9,31,6.4,21.4,96.7
JAC,1,3,21.3,21.7,8,23,78
MIA,3,,10.8,6.2,6.2,25.1,51.3
MIN,4,4,38.8,19.1,1.7,58,125.6
NE,7,5,8.9,21,6.1,12.1,60.1
NO,6,5,11.7,12.5,8.4,12.7,56.3
NYG,6,14,12.6,26.2,10.4,7.7,76.9
NYJ,6,9,14.2,13.1,9.3,20.5,72.1
OAK,3,2,8.4,17.1,11,13.1,54.6
PIT,5,10,18.5,27.6,0,29.2,90.3
SD,9,10,16.5,38,21.3,3.3,98.1
SEA,8,8,17.9,24.3,11.5,21.2,90.9
SF,10,9,24.1,7.8,26.3,21.9,99.1
STL,1,9,25.9,13.4,9.8,38.8,97.9
TB,10,7,12.3,10.7,13.1,16.7,69.8
TEN,12,11,19.8,48.5,0,29.5,120.8
WAS,8,4,3.3,7.1,7.2,5.2,34.8
6,190,162,384.6,535.8,172.8,573.8,2019
ATL,3,3,24.2,6.9,11.8,18.9,67.8
BUF,13,7,12.5,16.4,9.6,14.9,73.4
CAR,3,0,4.4,21.3,4.4,16.4,49.5
CHI,9,4,3.8,12.1,0,3.8,32.7
CIN,15,4,7.9,10.1,8.9,7.6,53.5
CLE,5,10,22.5,28,8.5,30.3,104.3
DAL,3,8,13.4,16.1,3.9,30.4,74.8
DEN,8,7,19.1,28.1,20.9,17.9,101
DET,0,4,7.2,5.1,0.4,12.7,29.4
GB,9,8,18.1,31.5,1.9,34.2,102.7
HOU,9,8,10.6,16.2,0.9,31.3,76
JAC,8,1,28.4,20.9,6.5,22,86.8
KC,4,3,18.6,19.2,14.1,17.9,76.8
MIA,1,7,8.4,12.9,4.8,12,46.1
MIN,5,8,34.3,26.6,17.6,45.8,137.3
NE,7,12,9.9,29.8,4.5,18.8,82
NO,8,7,20.5,27.8,1.1,27.4,91.8
NYJ,7,4,10.7,37.3,5.8,10.5,75.3
OAK,2,3,3.4,5.9,4.8,4,23.1
PHI,16,12,7,24.5,0.5,15.4,75.4
PIT,7,6,16.5,17.9,10.5,20.6,78.5
SD,7,8,11.5,15.4,8.8,19.6,70.3
SEA,5,12,10,20.9,6.7,23.5,78.1
SF,0,2,14.5,14.9,2.4,30.1,63.9
STL,16,2,14.5,21.5,0,32.4,86.4
TB,8,1,17.5,19,11.1,17.9,74.5
TEN,6,4,7.7,8.3,1.2,24.3,51.5
WAS,6,7,7.5,21.2,1.2,13.2,56.1
7,180,187,346,578.6,175.7,515.5,1982.8
ARI,,11,8.8,22.8,3.5,19.3,65.4
ARZ,11,,,,,,11
ATL,8,4,7.4,13.7,2.7,2.1,37.9
BAL,20,7,1.9,17.6,1.5,6,54
BUF,6,6,-1.9,11.8,3.6,13.4,38.9
CAR,3,5,4.2,13.3,3.9,9.9,39.3
CHI,5,1,3.4,12.6,3.1,6.8,31.9
CIN,9,11,9.9,20.7,1.4,23,75
CLE,4,7,19.5,25.2,14.7,12.1,82.5
DAL,1,8,16.3,16.2,17.2,16,74.7
DEN,3,3,9.1,11,3.3,23.8,53.2
DET,10,4,17,29.4,5.2,24.1,89.7
GB,2,11,18.5,37.1,7.4,33.9,109.9
IND,7,6,26.7,15.7,12.8,31,99.2
JAC,5,13,18.3,20.1,12,22.4,90.8
KC,8,8,10.8,84.1,1.9,14,126.8
MIA,5,7,15.9,23.4,13.8,23.8,88.9
MIN,10,8,11.7,23.9,5,16.2,74.8
NE,2,7,12.9,18,2.1,21.8,63.8
NO,10,7,15.3,17.9,7.2,25.3,82.7
NYG,3,7,10.8,25.8,3.9,10.8,61.3
NYJ,5,1,14,8.6,3.4,11.3,43.3
OAK,1,14,20.3,11.5,14.9,26.5,88.2
PHI,9,10,31.8,16,16.3,38.6,121.7
SD,3,4,7.6,23.3,6.7,11.2,55.8
SEA,13,5,4.4,8.7,1.7,21.1,53.9
STL,6,2,21.3,19,0.5,24.8,73.6
TB,8,7,10.4,22.7,0.3,15.2,63.6
TEN,3,3,-0.3,8.5,5.7,11.1,31
8,194,179,442.1,535.6,202.6,632.4,2185.7
ARI,,1,8.3,18.6,0.8,15.2,43.9
ARZ,0,,,,,,0
ATL,12,10,29.6,19.9,8.6,29.2,109.3
BAL,4,4,11.6,11.1,9.6,16.2,56.5
BUF,9,8,10.9,26.2,8.1,10.9,73.1
CAR,5,5,17.7,9.7,2.1,32.6,72.1
CHI,13,10,7.6,13,2.1,16.8,62.5
CIN,10,8,5.9,13.4,2.7,20.3,60.3
DAL,3,7,22.4,14.5,15.7,20,82.6
DEN,3,4,30.5,11.2,10.8,58.2,117.7
DET,13,3,16.1,13.2,3.4,24.9,73.6
GB,8,8,9.6,31.2,3.2,19.3,79.3
HOU,11,8,16.5,10.4,0.5,26,72.4
IND,5,4,36.9,12.1,16.9,51.3,126.2
JAC,4,5,6.7,8.4,1.8,18.7,44.6
KC,2,9,27.3,44.2,24.5,24.8,131.8
MIA,1,2,15.3,7.9,13.3,15.8,55.3
MIN,5,0,10.4,15.7,3.5,22,56.6
NE,0,8,12.8,5.7,0,31.9,58.4
NYG,6,10,5.8,42.1,6.5,6.6,77
NYJ,10,11,22.1,41.5,6.6,26.9,118.1
OAK,3,2,10.5,15.5,11,12,54
PHI,6,9,14.4,10.2,6.2,17.7,63.5
PIT,18,10,16.1,29.8,0,29.6,103.5
SD,7,6,33.3,23.5,25.1,28.9,123.8
SEA,2,11,12.4,36.7,3.8,10.9,76.8
SF,17,6,3.4,5.9,1.3,8.7,42.3
TEN,8,9,14.8,35.3,9.9,8.9,85.9
WAS,9,1,13.2,8.7,4.6,28.1,64.6
9,174,189,381,558.3,216.4,534.5,2053.2
ARI,,6,11.4,16.7,0.5,20.2,54.8
ARZ,13,,,,,,13
BAL,13,13,3.8,18.6,0.9,11.2,60.5
BUF,7,8,13,23.6,0,21.5,73.1
CAR,4,6,24.7,20.7,7.5,22.7,85.6
CHI,17,8,7,23.6,0,19.8,75.4
CIN,11,14,18.6,13.5,15.3,9.9,82.3
CLE,9,7,4.3,8.3,5.1,7.8,41.5
DAL,0,3,2.1,11.5,11.1,5.2,32.9
DEN,4,7,25.6,24.5,12.7,23.9,97.7
DET,0,4,14.2,14.8,3.3,19.8,56.1
HOU,1,0,10.8,25.5,0,20.3,57.6
IND,4,7,28.7,18.8,24.7,19.7,102.9
KC,1,7,23.2,18.2,24.4,26.4,100.2
MIA,3,9,11,29.2,1.6,23.2,77
MIN,7,8,13.5,21.6,6.3,12.1,68.5
NE,11,16,15.5,27.4,0,28.8,98.7
NO,1,4,8.4,14.1,15.9,5.5,48.9
NYG,9,3,4.1,26.7,12.4,5.2,60.4
NYJ,0,4,13.8,6.9,2.3,30.7,57.7
OAK,2,9,7.1,28.9,4.1,15.1,66.2
PHI,6,3,2.4,2.7,4.2,6.3,24.6
PIT,6,8,12.3,27,7.9,25.6,86.8
SD,9,11,26.3,21.7,23.6,25.6,117.2
SEA,11,6,23.3,30.8,7.4,38.8,117.3
SF,3,9,16.9,14.5,5.7,30.6,79.7
STL,10,2,16.8,8.9,5.3,31,74
TB,8,3,19.9,41.6,12.9,18,103.4
WAS,4,4,2.3,18,1.3,9.6,39.2
10,246,168,371,553.8,184.8,550.5,2074.1
ARI,,5,3.9,23.7,0.4,7,40
ARZ,6,,,,,,6
ATL,9,6,15.2,25.7,17.8,2.4,76.1
BAL,7,8,17,11.9,2.1,24.4,70.4
BUF,10,0,-5.5,5.4,0.3,6.1,16.3
CAR,14,6,23.9,17.3,0,38.9,100.1
CHI,23,4,-0.5,8.2,2.4,10.2,47.3
CIN,11,5,8.4,16.1,6.4,19.4,66.3
CLE,4,4,8,2.6,7,15.6,41.2
DAL,1,3,16.3,15.2,25.3,7.9,68.7
DET,15,4,2.8,10.1,2.4,7.7,42
GB,4,10,25.4,36.3,11.9,18,105.6
HOU,5,1,1.6,28.5,0.6,16.6,53.3
IND,25,6,28.8,10,23.9,36.7,130.4
JAC,4,5,20.1,36.9,2.9,17.7,86.6
KC,6,8,11.7,28.5,8.2,23.1,85.5
MIN,2,7,32.4,22.9,16.3,26.3,106.9
NE,13,17,15.4,23.7,8.4,23.9,101.4
NO,10,9,18.5,20.6,2.9,27.7,88.7
NYG,2,1,12.5,23.9,8.4,12.9,60.7
NYJ,5,5,9.2,28.6,1.9,12.4,62.1
PHI,13,7,31,31.6,1.2,51.4,135.2
PIT,18,5,7.2,27.6,0,12,69.8
SEA,5,12,6.6,18.7,3.4,12,57.7
SF,5,9,6.3,27.1,7.1,22.3,76.8
STL,5,11,14.6,26.3,2.1,25.9,84.9
TB,7,2,13.1,9,11.1,16,58.2
TEN,11,5,19.9,6.1,3.5,38.5,84
WAS,6,3,7.2,11.3,6.9,17.5,51.9
11,239,164,420.7,521.9,218.4,595.2,2159.2
ARI,,3,11.9,11.4,8.5,26.7,61.5
ARZ,2,,,,,,2
ATL,5,1,23,13.2,16.7,3.3,62.2
BAL,14,6,18.2,13.6,12.3,16.3,80.4
BUF,20,13,17.2,14.1,21.7,12.8,98.8
CAR,12,5,12.7,33.3,0.3,27.8,91.1
CHI,2,4,3.5,12.7,7.6,8.6,38.4
CIN,9,2,12.6,7.2,0,27.5,58.3
CLE,8,-1,8.8,11.2,8.6,6.1,41.7
DAL,5,3,5.1,8.6,9,12.6,43.3
DEN,16,10,16.9,33,6.3,17.7,99.9
DET,13,5,7.3,12.9,10.2,4.9,53.3
GB,2,9,16.9,11.2,4.8,35.7,79.6
HOU,4,6,14.2,16.6,0,12.9,53.7
IND,14,11,22.6,34.4,9.8,34.2,126
JAC,9,6,12.6,12.1,1.2,9.3,50.2
KC,3,7,21.8,9.8,10.3,35.8,87.7
MIA,9,4,11.9,6.8,4.3,24.1,60.1
MIN,5,2,18.8,19.4,11.1,18,74.3
NE,6,9,16.5,23.6,9.7,24.1,88.9
NO,0,7,13.8,13.2,3.5,29.2,66.7
NYG,2,4,6.4,17.4,11.6,5.2,46.6
NYJ,3,3,6.2,18.1,0,15.6,45.9
OAK,2,5,18.2,8.2,9,19.7,62.1
PHI,3,4,23.9,25.8,9.7,20.3,86.7
PIT,13,5,9.1,22,2.6,8.7,60.4
SD,3,4,19.5,21.7,16.1,11.9,76.2
SEA,18,6,8.9,14.6,2.9,22.6,73
SF,6,2,2.5,14.8,1.8,4.7,31.8
STL,3,5,13.5,5.1,0,39.1,65.7
TB,15,5,12.9,28.3,2,30.1,93.3
TEN,6,4,8.8,19,4.6,19.2,61.6
WAS,7,5,4.5,8.6,2.2,10.5,37.8
12,271,183,447.2,595.6,212.3,657.7,2366.8
ARI,,3,2.1,9.9,3.7,8.8,27.5
ARZ,2,,,,,,2
ATL,8,5,27.4,18.4,16.3,8.2,83.3
BAL,1,3,0.7,9.1,3,3.9,20.7
BUF,6,8,9.7,42.5,5.3,26.2,97.7
CAR,14,1,15,12.4,5,26.6,74
CHI,12,0,1.4,11.2,0.6,6.1,31.3
CIN,13,16,21,34.5,0,50.9,135.4
CLE,6,12,32.5,15.2,32.9,36.8,135.4
DAL,14,2,4.6,34.2,1.7,10.1,66.6
DEN,13,5,11.6,14.7,2.4,27.8,74.5
DET,0,8,7.1,18.7,6.5,7.1,47.4
GB,22,9,21.1,30.6,9.6,27.9,120.2
HOU,7,6,15,32,11.4,14.6,86
IND,13,5,34.1,12.9,0.6,57.7,123.3
JAC,8,10,11.4,17.8,9.7,15.4,72.3
KC,7,5,7,31.1,12.1,3.9,66.1
MIA,20,5,10.6,7.5,8.8,16.3,68.2
MIN,12,9,17.2,10.1,5.5,23.3,77.1
NE,14,10,7.1,22,2.4,13,68.5
NO,6,6,14.6,11.6,1.4,25,64.6
NYG,4,6,3.7,14.3,3.1,11.7,42.8
NYJ,9,7,12.1,15.9,0,23.6,67.6
OAK,6,0,26.3,6.8,0.9,53.6,93.6
PHI,9,9,20.6,31.2,3.1,14.5,87.4
PIT,7,10,5.6,20.7,0,8.7,52
SD,5,8,25.4,23,21.6,27.6,110.6
SEA,7,3,8,6.8,4.7,17.9,47.4
SF,11,5,4.1,15.2,5.7,8,49
STL,0,4,24.4,15.6,3.2,38.7,85.9
TB,6,-1,20.8,28.6,2.3,17.1,73.8
TEN,5,3,17.5,12.5,19.1,20.1,77.2
WAS,4,1,7.5,8.6,9.7,6.6,37.4
13,246,240,477.5,654.2,165.5,780.8,2564
ARI,,6,2.7,11.7,10.6,9.9,40.9
ARZ,4,,,,,,4
ATL,5,0,2.7,9.6,1.1,9,27.4
BAL,13,14,5.9,24.9,6.9,7.6,72.3
BUF,27,5,27.8,8.7,13.2,37.6,119.3
CAR,7,20,15.8,24.3,2.1,28.2,97.4
CHI,13,5,19.9,20.1,11.8,20.4,90.2
CIN,5,8,26,8.5,2,52.8,102.3
CLE,8,1,16.2,5.6,0,33.6,64.4
DAL,6,13,13,38.9,6.1,27.3,104.3
DEN,6,4,3.7,22.4,3.9,20.3,60.3
DET,9,14,11.7,31.7,0.5,19,85.9
GB,6,5,13,14.5,0,25.1,63.6
HOU,3,1,3.9,12.5,0,15.9,36.3
IND,11,15,22.3,30.8,3.9,53.5,136.5
JAC,3,8,15.1,13,9.2,20.2,68.5
KC,2,10,24.1,44.9,5.4,23.2,109.6
MIA,5,6,14.1,18.9,8.9,33.1,86
MIN,7,1,18.2,13.6,7.3,26.2,73.3
NE,23,6,10.9,38,4.6,19.2,101.7
NO,4,3,18.8,0.5,3.2,39.6,69.1
NYG,7,1,4.5,5.6,2.3,7.2,27.6
NYJ,6,11,13.8,37.1,6.2,9.6,83.7
OAK,2,9,25.6,12.8,0.9,41.7,92
PHI,9,17,36.6,45.4,10.2,30.1,148.3
PIT,2,5,20.8,9.2,8.6,24.3,69.9
SD,10,8,2.4,26.5,3.7,2.4,53
SEA,7,7,30.2,21.4,8.8,46.5,120.9
SF,7,6,2.9,8.5,2.3,7.5,34.2
STL,6,10,10.4,16.6,0.9,25,68.9
TB,15,9,6.9,28.1,2.7,13.8,75.5
TEN,7,5,18.7,15.3,2.4,38.8,87.2
WAS,1,7,18.9,34.6,15.8,12.2,89.5
14,249,197,379.8,645.5,150.9,678.8,2301
ARI,,7,11,24.9,7.3,21.3,71.5
ARZ,3,,,,,,3
ATL,13,5,8.9,45.8,2.2,9.3,84.2
BAL,14,13,24.6,17.8,20.1,23.1,112.6
BUF,18,13,5.4,35.2,1,19.3,91.9
CAR,17,8,11.1,18.5,0.7,24.4,79.7
CHI,2,2,4.5,12.9,1.9,9.5,32.8
CIN,1,4,23.9,13.1,6.7,40.1,88.8
CLE,7,0,1.8,-2.2,2.4,10.3,19.3
DAL,6,6,2.6,16,5.9,10,46.5
DEN,6,8,5.9,30.1,3,17.3,70.3
DET,1,7,4.8,22.1,0.9,4.1,39.9
GB,2,10,12.3,15.4,2.9,17.3,59.9
HOU,2,2,10.6,33.2,2.3,6.1,56.2
IND,9,11,19.6,15.8,6.8,29.6,91.8
JAC,11,8,16.5,11.8,2.9,29.7,79.9
KC,19,7,17.7,37.6,7.6,29.9,118.8
MIA,6,5,9,12.6,7.2,16,55.8
MIN,7,11,16,20.5,3.3,23.3,81.1
NE,12,5,18.6,24.7,10.7,23.8,94.8
NO,11,9,11.9,25.4,0.8,25.7,83.8
NYG,12,2,0.2,6.4,8.3,5.8,34.7
NYJ,6,6,3.2,12.8,0.9,14.3,43.2
OAK,1,4,4.6,18.1,2.2,11.4,41.3
PHI,5,4,13.2,19.1,7.2,15.6,64.1
PIT,6,5,1.6,23.1,7,9.5,52.2
SD,17,6,12.5,19.2,2.6,29.5,86.8
SEA,5,8,22.7,20.9,4.4,38.6,99.6
SF,5,7,19.8,24.8,3.8,29.1,89.5
STL,6,1,1.9,11,0,23.7,43.6
TB,8,5,20,13.9,4.7,45,96.6
TEN,5,7,35.4,21.4,5.6,51.5,125.9
WAS,6,1,8,23.6,7.6,14.7,60.9
15,276,169,469.3,605.9,189.2,728,2437.4
ARI,,7,32.8,21.9,1.2,27.4,90.3
ARZ,8,,,,,,8
ATL,12,9,21,19.6,1.8,23.6,87
BAL,0,3,8.6,20.4,13.5,8.9,54.4
BUF,17,15,12.6,6.6,0,19.8,71
CAR,18,7,15.6,16.1,14.2,25.8,96.7
CHI,4,2,0.7,12.4,1.4,8.4,28.9
CIN,4,5,4.8,17.9,9.8,11.5,53
CLE,3,-1,2.7,12,1.3,9.7,27.7
DAL,8,0,7,11,6.6,14,46.6
DEN,3,5,14.6,23,3.9,22.6,72.1
DET,7,7,19.7,23.3,2.6,36.2,95.8
GB,11,4,14.6,10.5,2,43.7,85.8
HOU,16,5,13.6,18,0,25.8,78.4
IND,6,7,13.8,15.2,4.7,23.9,70.6
JAC,12,4,11.7,28.6,1.3,23,80.6
KC,18,9,23.1,28.3,5.3,38.8,122.5
MIA,10,5,11.7,28,3.8,15.4,73.9
MIN,8,4,28.4,22.6,6.2,42.5,111.7
NE,6,4,10.6,39.7,9.2,9,78.5
NO,13,2,16.5,13.7,2.2,20.8,68.2
NYG,13,6,15.1,18.9,13.4,11.7,78.1
NYJ,9,6,22,44,1.7,32.6,115.3
OAK,9,8,33.8,10.4,11.3,50.1,122.6
PHI,7,0,9.8,25.5,12.1,5.8,60.2
PIT,2,15,12.5,31.2,0,35.5,96.2
SD,3,3,7.3,29,13.2,1.8,57.3
SEA,0,2,14,9.4,12.6,16.9,54.9
SF,5,2,8.2,7.3,7.3,23.5,53.3
STL,10,1,5.5,3.5,2.6,13,35.6
TB,15,5,6.7,12.5,1,17.2,57.4
TEN,4,4,37.8,12.5,13.7,53,125
WAS,15,14,12.5,12.9,9.3,16.1,79.8
16,219,192,406.5,610.7,163.4,635.6,2227.2
ARI,,2,18.9,9.9,0.5,41.1,72.4
ARZ,3,,,,,,3
ATL,8,7,5.6,21.9,1.2,6.9,50.6
BAL,4,0,7.9,14.8,6.3,6.9,39.9
BUF,11,11,17.6,37.1,0.5,33.7,110.9
CAR,14,7,25.8,17.8,10.1,30.4,105.1
CHI,10,1,8.6,20.8,1.9,5.1,47.4
CIN,4,5,14.8,12.2,1.3,26,63.3
CLE,6,0,6.3,12.7,2.8,16.9,44.7
DAL,8,7,12.8,9.4,5,20.5,62.7
DEN,10,12,20.9,37.9,8.6,22.3,111.7
DET,4,13,7.2,22.4,4,9.4,60
GB,0,10,24.2,22.6,8.2,40.3,105.3
HOU,15,2,8.3,28.3,0.7,15.3,69.6
IND,9,13,21.2,20.9,4.4,35.5,104
JAC,8,-1,2.1,5.6,1.3,2.1,18.1
KC,4,5,19.5,25.7,25.7,17.1,97
MIA,10,4,9,11.4,5.9,17.9,58.2
MIN,9,7,25.5,24,6.1,27.4,99
NE,9,10,18.9,15.5,13.4,20.6,87.4
NO,17,6,16.3,14.8,4,24.7,82.8
NYG,7,16,6,22.3,6.4,11.6,69.3
NYJ,1,1,8.8,11.4,0,23.7,45.9
OAK,8,12,14.7,21.7,6,22,84.4
PHI,4,1,5.9,11.7,0,9.9,32.5
PIT,2,8,15.8,20,8.6,20.8,75.2
SD,6,7,22.8,29.6,10.9,20.6,96.9
SEA,8,6,3.5,35.4,2.1,10.4,65.4
SF,3,1,-3.1,17.3,1.7,7.2,27.1
STL,3,7,13.7,26.6,0.4,25.7,76.4
TB,1,2,19.1,9.3,3.3,41.8,76.5
TEN,4,7,1.4,12.2,2.4,11,38
WAS,9,3,6.5,7.5,9.7,10.8,46.5
17,252,192,418.2,612.5,228.1,570.3,2273.1
ARI,,10,2.4,12.6,1.8,8.5,35.3
ARZ,12,,,,,,12
ATL,12,7,14.7,24.3,0,22.8,80.8
BAL,15,12,11.9,22.8,15.8,4.4,81.9
BUF,14,5,3.6,21.3,2.5,16.7,63.1
CAR,3,3,16.3,8.9,8.5,27.9,67.6
CHI,0,2,5.8,24.2,3.3,15.1,50.4
CIN,19,7,11.5,31.2,0.6,21.9,91.2
CLE,8,16,8.9,15.4,8.5,18.8,75.6
DAL,3,10,11.2,26.1,13.7,10.4,74.4
DEN,3,15,25.3,21.5,14.4,20.6,99.8
DET,0,7,19.1,28,7.1,20.5,81.7
GB,17,7,25.7,22.1,14.6,19.3,105.7
HOU,5,2,12,28.4,2,3.4,52.8
IND,1,2,15.1,2.3,1.6,26.7,48.7
JAC,10,7,8.1,15.3,7.2,2.3,49.9
KC,5,4,11.6,28.9,15.2,11.5,76.2
MIA,8,2,8.6,17.7,3,27.4,66.7
MIN,7,4,22.4,10.3,5.8,28.6,78.1
NE,5,3,14,23.7,9.9,16.7,72.3
NO,12,2,13.7,28.7,1.8,24.4,82.6
NYG,8,4,15.8,23.9,9,15.3,76
NYJ,21,10,12.9,21.2,8.2,11,84.3
OAK,5,6,-2.3,18,3.4,7.5,37.6
PHI,0,3,7.5,15.5,3.7,20.8,50.5
PIT,15,17,4.7,16.2,0,15.6,68.5
SD,8,6,25.7,12.7,15.4,16.5,84.3
SEA,5,4,19.7,17.1,12.5,15.7,74
SF,7,0,11.6,11.6,10.1,12.7,53
STL,6,6,26.6,17.2,3.2,50.7,109.7
TB,2,1,9.1,8.6,2.5,21.4,44.6
TEN,12,5,12.5,18.5,8,16.9,72.9
WAS,4,3,12.5,18.3,14.8,18.3,70.9
2005,3548,3260,6380.6,9440.5,2937.9,9854,35421
1,254,185,376.2,520.6,218.1,650.8,2204.7
ARI,,7,13.8,7.6,1,31,60.4
ARZ,13,,,,,,13
ATL,8,2,13,19.3,6.3,9.2,57.8
BAL,0,-2,10.4,10.1,20.6,18.3,57.4
BUF,15,16,13.9,16.8,1.8,10.4,73.9
CAR,5,8,8.2,22.5,0.2,20.9,64.8
CHI,9,1,1.6,11.6,2.6,10,35.8
CIN,6,9,15.2,32.4,0,28.4,91
CLE,6,7,9.6,11.2,3.2,28.5,65.5
DAL,6,4,19.7,18,1.2,37.6,86.5
DEN,6,4,9.8,14.6,7.5,14.2,56.1
DET,10,5,16.1,10.4,11.8,14.5,67.8
GB,2,3,1.9,13.6,3.3,9,32.8
HOU,1,1,4.8,4.7,3.3,2.5,17.3
IND,17,6,18,11.4,8.6,26.2,87.2
JAC,12,13,19,10.6,4.1,34.1,92.8
KC,9,8,5.9,41,5.1,11.8,80.8
MIA,13,10,17.2,15.6,11.5,29.3,96.6
MIN,12,7,0.5,6.7,7.5,10.5,44.2
NE,3,6,20.1,24.2,7.2,30.6,91.1
NO,9,11,8.9,19.4,7.4,11.3,67
NYG,19,6,10.6,30.4,8.9,14.3,89.2
NYJ,3,0,12.1,12.9,20.2,13.8,62
OAK,0,1,20.8,13,13.8,26.7,75.3
PHI,10,2,8.3,17.6,2.9,16.3,57.1
PIT,11,10,17.2,36.4,9,20.5,104.1
SD,6,6,12.6,16,-0.4,33.4,73.6
SEA,3,2,11.4,5.8,4.1,32.8,59.1
SF,15,4,12.4,11.7,0,27.1,70.2
STL,6,13,21.3,8.9,8,39.4,96.6
TB,12,6,12.3,22.2,16.1,15.8,84.4
TEN,0,0,6.7,7.8,16.8,11.1,42.4
WAS,7,9,2.9,16.2,4.5,11.3,50.9
2,208,167,391.5,535.4,154.4,660.1,2116.4
ARI,,12,9.1,11.2,2.8,26.9,62
ARZ,6,,,,,,6
ATL,4,4,13.2,13.4,5.3,12.8,52.7
BAL,3,4,10.5,4.7,7,14.9,44.1
BUF,1,3,5.8,5.5,0,9.1,24.4
CAR,8,9,4,33.3,1.8,8.9,65
CHI,24,6,10.3,33.7,1.9,17.3,93.2
CIN,16,13,23.8,17.6,10.3,46.2,126.9
CLE,5,8,25.9,9.3,22.4,24.9,95.5
DAL,9,6,14.9,11.4,4.5,24.7,70.5
DEN,14,6,8.1,17.7,2.1,18.6,66.5
DET,2,0,3.1,3.3,4.1,21.6,34.1
GB,0,6,23.6,23,1.5,37.4,91.5
HOU,1,1,13.3,16.4,1.2,11.8,44.7
IND,6,4,2.9,24.5,0.4,7.9,45.7
JAC,2,2,9,13.4,7.8,10.3,44.5
KC,5,10,9.7,25.1,5,15.9,70.7
MIA,2,0,9.1,6.3,15.1,8.9,41.4
MIN,2,0,6.4,3.3,2.3,20.7,34.7
NE,9,5,10.8,6.6,4.8,23.5,59.7
NO,2,3,12,9.1,0,36.6,62.7
NYG,16,9,10.6,27.4,6.4,9.9,79.3
NYJ,4,5,16.8,15.6,0.3,23.7,65.4
OAK,3,4,13.5,17.7,0,26.7,64.9
PHI,9,4,36.3,32.1,19.3,44.5,145.2
PIT,10,9,18.2,21,0.4,35.5,94.1
SD,7,5,3,21,8,8.4,52.4
SEA,3,3,20.1,23.2,10.9,25.4,85.6
SF,4,3,-1.4,8.8,0.3,7.1,21.8
STL,9,5,10.6,19.2,2,23.2,69
TB,4,5,5.2,34.2,0.8,9.9,59.1
TEN,18,11,12,18.5,1.8,12.7,74
WAS,0,2,21.1,7.9,3.9,34.2,69.1
3,194,205,395.3,502,145.9,647.8,2090
ARI,,12,6.4,7.5,0.9,18.5,45.3
ARZ,0,,,,,,0
ATL,8,6,19.1,24.8,10.6,16.5,85
BUF,4,10,1,21.9,0,6.8,43.7
CAR,2,6,19.4,12.7,3.2,34.7,78
CHI,3,0,-4,18.4,0,11.1,28.5
CIN,12,6,18.5,8.5,1,32,78
CLE,2,6,8.3,11.7,1.2,15.4,44.6
DAL,8,2,25,21.8,14.5,31,102.3
DEN,4,11,17,22.8,0.9,24.7,80.4
GB,4,3,10.5,6.9,1,28.4,53.8
IND,4,7,6.8,20.3,4,15.9,58
JAC,10,8,12.3,19.5,10.3,16.6,76.7
