"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","JD Davis",2600,"LAA@HOU 04:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x","x",NA
"3B/OF","Cory Spangenberg",2600,"KC@SD 04:10PM ET",4.514,"SD","KC",6.52,5.6,7.82,NA,"6","5",11
"OF","Allen Cordoba",2600,"KC@SD 04:10PM ET",3.939,"SD","KC",6.59,6.1,8.19,NA,"5","7",4
"2B/OF","Aaron Hill",2600,"MIN@SF 04:05PM ET",3.304,"SF","MIN",NA,5.6,1.33,NA,"x","7",0
"OF","Gorkys Hernandez",2600,"MIN@SF 04:05PM ET",3.02,"SF","MIN",NA,0,1.39,NA,"x","x",NA
"3B/SS","Eduardo Escobar",2600,"MIN@SF 04:05PM ET",5.306,"MIN","SF",4.3,0,1.24,NA,"x","x",NA
"OF","Byron Buxton",2600,"MIN@SF 04:05PM ET",4.889,"MIN","SF",NA,NA,NA,NA,"6","x",NA
"C","Rene Rivera",2600,"NYM@ATL 01:10PM ET",5.4,"NYM","ATL",5.11,5.8,5.58,NA,"8","8",NA
"2B/SS","Cristhian Adames",2500,"COL@CHC 02:20PM ET",0.333,"COL","CHC",NA,0,NA,NA,"x","x",NA
"OF","Jordan Patterson",2500,"COL@CHC 02:20PM ET",0,"COL","CHC",NA,0,NA,NA,"x","x",NA
"SS","Brendan Rodgers",2500,"COL@CHC 02:20PM ET",0,"COL","CHC",NA,NA,NA,NA,NA,NA,NA
"C","Carson Kelly",2500,"PHI@STL 02:15PM ET",0,"STL","PHI",NA,0,NA,NA,"x","x",NA
"SS","JP Crawford",2500,"PHI@STL 02:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x","x",NA
"2B/OF","Mike Aviles",2500,"MIA@PIT 04:05PM ET",1.333,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"1B","Rickie Weeks",2500,"OAK@TB 02:10PM ET",4.486,"TB","OAK",NA,0,NA,NA,"x","x",NA
"C","Josh Phegley",2500,"OAK@TB 02:10PM ET",3.393,"OAK","TB",NA,5.1,5.64,NA,"x","9",5
"OF","Mark Canha",2500,"OAK@TB 02:10PM ET",4.4,"OAK","TB",NA,0,NA,NA,"x","x",NA
"C","Curt Casali",2500,"OAK@TB 02:10PM ET",0,"TB","OAK",NA,0,NA,NA,"x","x",NA
"2B/3B","Daniel Robertson",2500,"OAK@TB 02:10PM ET",4.744,"TB","OAK",6.12,7.9,7.55,NA,"x","9",3
"C","Bruce Maxwell",2500,"OAK@TB 02:10PM ET",2.444,"OAK","TB",NA,0,NA,NA,"x","x",NA
"OF","Eric Young",2500,"LAA@HOU 04:10PM ET",8.5,"LAA","HOU",5.12,6.8,8.73,NA,"x","8",2
"C","Martin Maldonado",2500,"LAA@HOU 04:10PM ET",5.34,"LAA","HOU",5.54,6.3,5.35,NA,"8","6",2
"2B","Nolan Fontana",2500,"LAA@HOU 04:10PM ET",3,"LAA","HOU",NA,0,NA,NA,"x","x",NA
"SS","Erick Aybar",2500,"KC@SD 04:10PM ET",4.778,"SD","KC",5.06,5.3,5.74,NA,"x","8",10
"OF","Franchy Cordero",2500,"KC@SD 04:10PM ET",6.75,"SD","KC",6.34,6.6,1.84,NA,"1","2",4
"2B","Raul Mondesi",2500,"KC@SD 04:10PM ET",4.133,"KC","SD",NA,0,NA,NA,"x","x",NA
"3B","Conor Gillaspie",2500,"MIN@SF 04:05PM ET",1.692,"SF","MIN",NA,0,NA,NA,"x","x",NA
"C","Ryan Hanigan",2400,"COL@CHC 02:20PM ET",5.5,"COL","CHC",5.29,0,1.43,NA,"x","x",NA
"C","Eric Fryer",2400,"PHI@STL 02:15PM ET",2.095,"STL","PHI",4.73,6.2,1.54,NA,"x","8",9
"1B/OF","Brock Stassi",2400,"PHI@STL 02:15PM ET",2.639,"PHI","STL",NA,0,NA,NA,"x","x",NA
"C","Jorge Alfaro",2400,"PHI@STL 02:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x","x",NA
"OF","Roman Quinn",2400,"PHI@STL 02:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x","x",NA
"2B","Gift Ngoepe",2400,"MIA@PIT 04:05PM ET",3.321,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"3B","Brian Anderson",2400,"MIA@PIT 04:05PM ET",0,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"C","Jesus Sucre",2400,"OAK@TB 02:10PM ET",5.625,"TB","OAK",5.17,0,1.66,NA,"x","x",0
"OF","Jaycob Brugman",2400,"OAK@TB 02:10PM ET",0,"OAK","TB",4.77,4.8,1.45,NA,"9","8",8
"SS","Willy Adames",2400,"OAK@TB 02:10PM ET",0,"TB","OAK",NA,0,NA,NA,"x","x",NA
"OF","Shane Robinson",2400,"LAA@HOU 04:10PM ET",2.5,"LAA","HOU",NA,0,NA,NA,"x","x",NA
"C","Juan Graterol",2400,"LAA@HOU 04:10PM ET",3,"LAA","HOU",5,0,1.41,NA,"x","x",NA
"OF","Kyle Tucker",2400,"LAA@HOU 04:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x","x",NA
"OF","Jabari Blash",2400,"KC@SD 04:10PM ET",3.286,"SD","KC",NA,0,NA,NA,"x","x",NA
"2B","Jose Pirela",2400,"KC@SD 04:10PM ET",8,"SD","KC",NA,6.8,1.78,NA,"x","1",30
"2B","Luis Urias",2400,"KC@SD 04:10PM ET",0,"SD","KC",NA,0,NA,NA,"x","x",NA
"OF","Justin Ruggiano",2400,"MIN@SF 04:05PM ET",4,"SF","MIN",NA,0,NA,NA,"x","x",NA
"1B","Dominic Smith",2400,"NYM@ATL 01:10PM ET",0,"NYM","ATL",NA,0,NA,NA,"x","x",NA
"2B/3B","Andres Blanco",2300,"PHI@STL 02:15PM ET",1.935,"PHI","STL",4.63,6.5,1.36,NA,"x","6",3
"OF","Nick Williams",2300,"PHI@STL 02:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x","x",NA
"3B/SS","Miguel Rojas",2300,"MIA@PIT 04:05PM ET",5.333,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"C","Jacob Stallings",2300,"MIA@PIT 04:05PM ET",6,"PIT","MIA",NA,0,1.54,NA,"x","x",NA
"SS","Max Moroff",2300,"MIA@PIT 04:05PM ET",2.5,"PIT","MIA",NA,0,1.63,NA,"x","x",NA
"3B","Renato Nunez",2300,"OAK@TB 02:10PM ET",0,"OAK","TB",NA,0,NA,NA,"x","x",NA
"C","Carlos Perez",2300,"LAA@HOU 04:10PM ET",0.833,"LAA","HOU",NA,0,NA,NA,"x","x",NA
"3B","Colin Moran",2300,"LAA@HOU 04:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x","x",NA
"C","Hector Sanchez",2300,"KC@SD 04:10PM ET",1.389,"SD","KC",NA,0,NA,NA,"x","x",NA
"SS","Ramon Torres",2300,"KC@SD 04:10PM ET",10,"KC","SD",NA,0,1.67,NA,"x","x",NA
"1B/OF","Michael Morse",2300,"MIN@SF 04:05PM ET",1.833,"SF","MIN",NA,0,NA,NA,"x","x",NA
"C","Chris Gimenez",2300,"MIN@SF 04:05PM ET",3.885,"MIN","SF",4.28,4.6,1.04,NA,"x","7",13
"1B/OF","Daniel Palka",2300,"MIN@SF 04:05PM ET",0,"MIN","SF",NA,0,NA,NA,"x","x",NA
"OF","Austin Slater",2300,"MIN@SF 04:05PM ET",6.4,"SF","MIN",5.38,6,5.25,NA,"8","8",8
"SS","Nick Gordon",2300,"MIN@SF 04:05PM ET",0,"MIN","SF",NA,0,NA,NA,"x","x",NA
"C","Anthony Recker",2300,"NYM@ATL 01:10PM ET",0.833,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"2B/SS","Travis Demeritte",2300,"NYM@ATL 01:10PM ET",0,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"OF","Ronald Acuna",2300,"NYM@ATL 01:10PM ET",0,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"OF","Mark Zagunis",2200,"COL@CHC 02:20PM ET",0,"CHC","COL",NA,0,NA,NA,"x","x",NA
"OF","Eloy Jimenez",2200,"COL@CHC 02:20PM ET",0,"CHC","COL",NA,0,NA,NA,"x","x",NA
"OF","Chad Huffman",2200,"PHI@STL 02:15PM ET",0,"STL","PHI",NA,0,1.78,NA,"x","x",NA
"C","Cameron Rupp",2200,"PHI@STL 02:15PM ET",5.632,"PHI","STL",5.08,5.3,4.78,NA,"7","7",0
"2B","Scott Kingery",2200,"PHI@STL 02:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x","x",NA
"C","Chris Stewart",2200,"MIA@PIT 04:05PM ET",3.563,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"C","John Bormann",2200,"MIA@PIT 04:05PM ET",0,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"2B/3B","Michael Martinez",2200,"OAK@TB 02:10PM ET",1.208,"TB","OAK",NA,4.5,1.57,NA,"x","8",NA
"2B","Joey Wendle",2200,"OAK@TB 02:10PM ET",0,"OAK","TB",NA,0,NA,NA,"x","x",NA
"SS","Franklin Barreto",2200,"OAK@TB 02:10PM ET",0,"OAK","TB",NA,0,NA,NA,"x","x",NA
"1B","Casey Gillaspie",2200,"OAK@TB 02:10PM ET",0,"TB","OAK",NA,0,NA,NA,"x","x",NA
"3B","Matt Chapman",2200,"OAK@TB 02:10PM ET",0,"OAK","TB",NA,0,NA,NA,"x","x",NA
"C","Juan Centeno",2200,"LAA@HOU 04:10PM ET",17.5,"HOU","LAA",NA,0,NA,NA,"x","x",NA
"OF","Teoscar Hernandez",2200,"LAA@HOU 04:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x","x",NA
"2B/OF","Tony Kemp",2200,"LAA@HOU 04:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x","x",NA
