"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Name.Clean","FreqInd"
"RB","Jeremy Hill (7769953)","Jeremy Hill",7769953,4400,"Buf@Cin 01:00PM ET","Cin","Jeremy","Hill","Buf",10.36,9.4,7,0.040133779264214,"Jeremy Hill",0
"RB","Rob Kelley (7770009)","Rob Kelley",7770009,4400,"GB@Was 08:30PM ET","Was","Rob","Kelley","GB",0,10.4,11,0.010958904109589,"Rob Kelley",0
"WR","Eli Rogers (7770021)","Eli Rogers",7770021,4300,"Pit@Cle 01:00PM ET","Pit","Eli","Rogers","Cle",11.2,9,5,0.0938337801608579,"Eli Rogers",0
"RB","Thomas Rawls (7770002)","Thomas Rawls",7770002,4300,"Phi@Sea 04:25PM ET","Sea","Thomas","Rawls","Phi",9.7,5.9,9,0.0193548387096774,"Thomas Rawls",0
"WR","Kendall Wright (7770050)","Kendall Wright",7770050,4200,"Ten@Ind 01:00PM ET","Ten","Kendall","Wright","Ind",9.72,7.6,5,0.088145896656535,"Kendall Wright",0
"RB","Ryan Mathews (7769999)","Ryan Mathews",7769999,4200,"Phi@Sea 04:25PM ET","Phi","Ryan","Mathews","Sea",8.74,8.1,7,0.0361842105263158,"Ryan Mathews",0
"RB","C.J. Prosise (7770003)","C.J. Prosise",7770003,4200,"Phi@Sea 04:25PM ET","Sea","C.J.","Prosise","Phi",12.78,12.8,7,0.0548387096774194,"C.J. Prosise",0
"RB","James Starks (7770006)","James Starks",7770006,4200,"GB@Was 08:30PM ET","GB","James","Starks","Was",12.47,13.2,7,0.0362694300518135,"James Starks",0
"WR","Allen Hurns (7770043)","Allen Hurns",7770043,4100,"Jax@Det 01:00PM ET","Jax","Allen","Hurns","Det",11.82,12,2,0.176020408163265,"Allen Hurns",0
"TE","Eric Ebron (7770170)","Eric Ebron",7770170,4100,"Jax@Det 01:00PM ET","Det","Eric","Ebron","Jax",13.41,10.3,5,0.132530120481928,"Eric Ebron",1
"RB","Mike Gillislee (7769951)","Mike Gillislee",7769951,4100,"Buf@Cin 01:00PM ET","Buf","Mike","Gillislee","Cin",5.22,4.6,7,0.036231884057971,"Mike Gillislee",0
"WR","Cameron Meredith (7770090)","Cameron Meredith",7770090,4100,"Chi@NYG 01:00PM ET","Chi","Cameron","Meredith","NYG",13.38,10.1,3,0.138461538461538,"Cameron Meredith",1
