"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Kyle Seager","3B","SEA","@ LAA",4.05,"Nolasco, R 4.33","L",0.274,0.366,0.215,0,0,0,5,3700,22.9,8.3,8.03,8.03,"%",55,2.2,NA,NA
"Curtis Granderson","OF","NYM","vs MIA",4.17,"Conley, L 3.85","L",0.235,0.339,0.218,0,0,0,1,3700,22.6,7.5,7.44,7.44,"%",49,2,NA,NA
"Joey Gallo","3B/OF","TEX","vs OAK",5.08,"Graveman, R 4.02","L",0.079,0.23,0.158,0,0,0,7,3700,16,3.1,6.18,6.18,"%",21,1.7,NA,NA
"Eric Hosmer","1B","KC","@ HOU",3.05,"Keuchel, L 4.42","L",0.267,0.332,0.168,0,0,0,3,3700,19.7,7.7,6.24,6.24,"%",56,1.7,NA,NA
"Carlos Beltran","OF","HOU","vs KC",4.45,"Duffy, L 3.44","B",0.291,0.355,0.207,0,0,0,5,3700,22.5,7.5,7.37,7.37,"%",49,2,NA,NA
"Tommy Joseph","1B","PHI","vs WSH",4.51,"Guthrie, R","R",0.247,0.331,0.238,0,0,0,6,3700,20.7,6,5.75,5.75,"%",38,1.6,NA,NA
"David Peralta","OF","ARI","vs CLE",4.72,"Bauer, R 4.30","L",0.249,0.308,0.185,0,0,0,2,3700,22.2,6.5,8.87,8.87,"%",49,2.4,NA,NA
"Brandon Belt","1B","SF","@ SD",4.32,"Chacin, R 5.25","L",0.27,0.375,0.207,0,0,0,2,3700,23.8,7.9,8.82,8.82,"%",52,2.4,NA,NA
"Eduardo Nunez","3B/SS","SF","@ SD",4.32,"Chacin, R 5.25","R",0.29,0.329,0.141,0,0,0,6,3700,23,8.4,6.76,6.76,"%",52,1.8,NA,NA
"Tyler Saladino","3B/SS","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.281,0.315,0.121,0,0,0,1,3600,21.7,6.1,8.03,8.03,"%",44,2.2,NA,NA
"Jacob May","OF","CWS","vs MIN",4.43,"Mejia, L 7.71","B",0,0.083,0,0,0,0,9,3600,8,2.7,3.02,3.02,"%",54,0.8,NA,NA
"Hyun-Soo Kim","1B/OF","BAL","vs NYY",4.11,"Tanaka, R 3.38","L",0.297,0.354,0.116,0,0,0,7,3600,15.8,5.7,4.75,4.75,"%",51,1.3,NA,NA
"Yadier Molina","C","STL","vs CIN",5.05,"Arroyo, R","R",0.306,0.346,0.117,0,0,0,5,3600,19.2,6.5,7.97,7.97,"%",57,2.2,NA,NA
"Scooter Gennett","2B","CIN","@ STL",3.45,"Wacha, R 5.09","L",0.263,0.318,0.153,0,0,0,1,3600,18.3,6.6,6.33,6.33,"%",55,1.8,NA,NA
"Kevin Kiermaier","OF","TB","vs TOR",3.94,"Sanchez, R 3.26","L",0.247,0.329,0.159,0,0,0,2,3600,22.4,7.5,7.13,7.13,"%",49,2,NA,NA
"Kendrys Morales","1B","TOR","@ TB",3.57,"Archer, R 3.97","B",0.261,0.341,0.205,0,0,0,4,3600,23.2,7.4,7.19,7.19,"%",46,2,NA,NA
"Kole Calhoun","OF","LAA","vs SEA",3.95,"Hernandez, R 3.81","L",0.274,0.348,0.168,0,0,0,2,3600,22,7.6,7.7,7.7,"%",53,2.1,NA,NA
"Jayson Werth","OF","WSH","@ PHI",3.99,"Nola, R 4.95","R",0.25,0.34,0.183,0,0,0,6,3600,19.8,7.7,6.26,6.26,"%",56,1.7,NA,NA
"Dustin Garneau","C","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.257,0.329,0.176,0,0,0,8,3600,15.4,4.9,3.7,3.7,"%",40,1,NA,NA
"Denard Span","OF","SF","@ SD",4.32,"Chacin, R 5.25","L",0.267,0.316,0.117,0,0,0,1,3600,22.1,7.2,8.55,8.55,"%",53,2.4,NA,NA
"Pablo Sandoval","3B","BOS","@ DET",4.14,"Zimmermann, R 4.87","B",0.167,0.277,0.222,0,0,0,5,3500,22.8,6,6.83,6.83,"%",34,2,NA,NA
"Avisail Garcia","OF","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.251,0.31,0.143,0,0,0,6,3500,20.1,6.4,6.34,6.34,"%",46,1.8,NA,NA
"Eddie Rosario","OF","MIN","@ CWS",4.07,"Gonzalez, R 3.67","L",0.265,0.303,0.152,0,0,0,8,3500,17.6,6.6,4.48,4.48,"%",50,1.3,NA,NA
"Byron Buxton","OF","MIN","@ CWS",4.07,"Gonzalez, R 3.67","R",0.215,0.288,0.186,0,0,0,7,3500,18.7,6.3,4.84,4.84,"%",45,1.4,NA,NA
"Aaron Hicks","OF","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.219,0.275,0.119,0,0,0,8,3500,14.2,4,4,4,"%",36,1.1,NA,NA
"Eugenio Suarez","3B/SS","CIN","@ STL",3.45,"Wacha, R 5.09","R",0.248,0.32,0.163,0,0,0,5,3500,21,6.8,5.99,5.99,"%",45,1.7,NA,NA
"Nick Markakis","OF","ATL","@ PIT",3.78,"Kuhl, R 4.20","L",0.268,0.331,0.132,0,0,0,5,3500,18.9,7.1,6.72,6.72,"%",57,1.9,NA,NA
"Russell Martin","C","TOR","@ TB",3.57,"Archer, R 3.97","R",0.222,0.319,0.164,0,0,0,7,3500,18.9,6.6,4.31,4.31,"%",45,1.2,NA,NA
"Corey Dickerson","OF","TB","vs TOR",3.94,"Sanchez, R 3.26","L",0.25,0.326,0.227,0,0,0,1,3500,21.8,6.5,7.02,7.02,"%",43,2,NA,NA
"Cameron Maybin","OF","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.316,0.358,0.106,0,0,0,6,3500,20.2,8.4,5.63,5.63,"%",57,1.6,NA,NA
"Travis Shaw","1B/3B","MIL","vs CHC",3.75,"Hendricks, R 2.13","L",0.248,0.322,0.188,0,0,0,3,3500,22.3,6.5,7.17,7.17,"%",42,2,NA,NA
"Albert Almora","OF","CHC","@ MIL",5.25,"Milone, L 5.80","R",0.271,0.317,0.17,0,0,0,9,3500,15.1,4.1,3.84,3.84,"%",31,1.1,NA,NA
"Asdrubal Cabrera","SS","NYM","vs MIA",4.17,"Conley, L 3.85","B",0.283,0.351,0.189,0,0,0,2,3500,21.7,7.4,7.55,7.55,"%",52,2.2,NA,NA
"Stephen Vogt","1B/C","OAK","@ TEX",3.92,"Darvish, R 3.79","L",0.251,0.31,0.158,0,0,0,5,3500,20.5,6.1,6.64,6.64,"%",43,1.9,NA,NA
"Alex Gordon","OF","KC","@ HOU",3.05,"Keuchel, L 4.42","L",0.218,0.305,0.157,0,0,0,1,3500,18.6,6.3,5.59,5.59,"%",49,1.6,NA,NA
"Michael Saunders","OF","PHI","vs WSH",4.51,"Guthrie, R","L",0.249,0.346,0.22,0,0,0,5,3500,22,6.9,6.89,6.89,"%",45,2,NA,NA
"Brandon Drury","2B/OF","ARI","vs CLE",4.72,"Bauer, R 4.30","R",0.286,0.342,0.175,0,0,0,6,3500,20,6.5,6.58,6.58,"%",48,1.9,NA,NA
"Chris Owings","OF/SS","ARI","vs CLE",4.72,"Bauer, R 4.30","R",0.277,0.311,0.133,0,0,0,1,3500,21.1,7.1,8.2,8.2,"%",55,2.3,NA,NA
"Tyler Naquin","OF","CLE","@ ARI",4.78,"Greinke, R 4.34","L",0.299,0.379,0.21,0,0,0,7,3500,19.8,6.4,5.75,5.75,"%",45,1.6,NA,NA
"Joe Panik","2B","SF","@ SD",4.32,"Chacin, R 5.25","L",0.249,0.315,0.146,0,0,0,7,3500,18.5,7,5.38,5.38,"%",53,1.5,NA,NA
"Jorge Polanco","2B/3B","MIN","@ CWS",4.07,"Gonzalez, R 3.67","B",0.283,0.331,0.146,0,0,0,5,3400,19,6.6,6.72,6.72,"%",53,2,NA,NA
"Zack Cozart","SS","CIN","@ STL",3.45,"Wacha, R 5.09","R",0.258,0.319,0.17,0,0,0,6,3400,18.6,7.2,5.25,5.25,"%",54,1.5,NA,NA
"Brandon Phillips","2B","ATL","@ PIT",3.78,"Kuhl, R 4.20","R",0.288,0.315,0.122,0,0,0,6,3400,19.2,7.2,5.52,5.52,"%",53,1.6,NA,NA
"Josh Harrison","2B","PIT","vs ATL",4.72,"Dickey, R 4.35","R",0.283,0.302,0.104,0,0,0,7,3400,17.3,6.8,5.18,5.18,"%",56,1.5,NA,NA
"Logan Morrison","1B","TB","vs TOR",3.94,"Sanchez, R 3.26","L",0.245,0.325,0.176,0,0,0,6,3400,19.4,6.3,5.1,5.1,"%",43,1.5,NA,NA
"Orlando Arcia","SS","MIL","vs CHC",3.75,"Hendricks, R 2.13","R",0.22,0.279,0.14,0,0,0,8,3400,17.1,6.1,3.6,3.6,"%",45,1.1,NA,NA
"Lucas Duda","1B","NYM","vs MIA",4.17,"Conley, L 3.85","L",0.224,0.305,0.18,0,0,0,7,3400,18.9,6,4.67,4.67,"%",41,1.4,NA,NA
"Neil Walker","2B","NYM","vs MIA",4.17,"Conley, L 3.85","B",0.278,0.348,0.191,0,0,0,5,3400,21.4,7.5,6.37,6.37,"%",50,1.9,NA,NA
"Jay Bruce","OF","NYM","vs MIA",4.17,"Conley, L 3.85","L",0.248,0.344,0.255,0,0,0,6,3400,22.9,7.9,6.15,6.15,"%",47,1.8,NA,NA
"Ryan Zimmerman","1B/3B","WSH","@ PHI",3.99,"Nola, R 4.95","R",0.228,0.292,0.161,0,0,0,5,3400,20.8,6.5,6.8,6.8,"%",46,2,NA,NA
"Yangervis Solarte","2B/3B","SD","vs SF",3.18,"Bumgarner, L 2.76","B",0.29,0.353,0.185,0,0,0,3,3400,20.5,7.8,5.4,5.4,"%",52,1.6,NA,NA
"Brandon Crawford","SS","SF","@ SD",4.32,"Chacin, R 5.25","L",0.277,0.332,0.159,0,0,0,5,3400,22.3,7.2,7.46,7.46,"%",49,2.2,NA,NA
"J.J. Hardy","SS","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.263,0.304,0.135,0,0,0,9,3300,15.3,5.8,2.8,2.8,"%",46,0.8,NA,NA
"Arismendy Alcantara","2B/SS","CIN","@ STL",3.45,"Wacha, R 5.09","B",0.211,0.207,0.053,0,0,0,2,3300,12,2.2,5.6,5.6,"%",27,1.7,NA,NA
"Matt Adams","1B","STL","vs CIN",5.05,"Arroyo, R","L",0.25,0.33,0.22,0,0,0,4,3300,21.1,5,8.14,8.14,"%",35,2.5,NA,NA
"Adonis Garcia","3B/OF","ATL","@ PIT",3.78,"Kuhl, R 4.20","R",0.27,0.309,0.132,0,0,0,4,3300,20.3,6.8,6.75,6.75,"%",50,2,NA,NA
"Steve Pearce","1B/2B","TOR","@ TB",3.57,"Archer, R 3.97","R",0.285,0.37,0.195,0,0,0,6,3300,19.2,6.5,5.34,5.34,"%",47,1.6,NA,NA
"Kevin Pillar","OF","TOR","@ TB",3.57,"Archer, R 3.97","R",0.263,0.295,0.11,0,0,0,9,3300,15.6,6.2,2.53,2.53,"%",47,0.8,NA,NA
"Jefry Marte","1B/3B","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.253,0.338,0.226,0,0,0,7,3300,17.6,6.3,4.33,4.33,"%",47,1.3,NA,NA
"Mitch Haniger","OF","SEA","@ LAA",4.05,"Nolasco, R 4.33","R",0.227,0.315,0.18,0,0,0,2,3300,21,6.2,6.48,6.48,"%",42,2,NA,NA
"Marcell Ozuna","OF","MIA","@ NYM",3.83,"Gsellman, R 2.36","R",0.269,0.335,0.182,0,0,0,6,3300,19,7.3,5.64,5.64,"%",54,1.7,NA,NA
"Mark Canha","1B/OF","OAK","@ TEX",3.92,"Darvish, R 3.79","R",0.109,0.171,0.196,0,0,0,8,3300,11.3,3.2,0.51,0.51,"%",15,0.2,NA,NA
"Brian McCann","C","HOU","vs KC",4.45,"Duffy, L 3.44","L",0.241,0.329,0.173,0,0,0,8,3300,19,6.4,4.39,4.39,"%",43,1.3,NA,NA
"Cesar Hernandez","2B","PHI","vs WSH",4.51,"Guthrie, R","B",0.291,0.339,0.103,0,0,0,1,3300,19.5,6.7,7.4,7.4,"%",55,2.2,NA,NA
"Howie Kendrick","2B/OF","PHI","vs WSH",4.51,"Guthrie, R","R",0.256,0.311,0.112,0,0,0,2,3300,20.3,5.8,7.4,7.4,"%",45,2.2,NA,NA
"Freddy Galvis","3B/SS","PHI","vs WSH",4.51,"Guthrie, R","B",0.242,0.29,0.167,0,0,0,8,3300,17.9,6.6,4.44,4.44,"%",49,1.3,NA,NA
"Jeremy Hazelbaker","OF","ARI","vs CLE",4.72,"Bauer, R 4.30","L",0.247,0.337,0.253,0,0,0,7,3300,17.3,3.9,5.06,5.06,"%",22,1.5,NA,NA
"Manuel Margot","OF","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0.25,0.319,0.232,0,0,0,1,3300,24,7.7,5.31,5.31,"%",39,1.6,NA,NA
"Brock Holt","2B/OF","BOS","@ DET",4.14,"Zimmermann, R 4.87","L",0.265,0.323,0.138,0,0,0,1,3200,18.9,5.9,7.21,7.21,"%",51,2.3,NA,NA
"Matt Davidson","3B","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.6,0.855,1,0,0,0,8,3200,29.1,19.5,4.14,4.14,"%",0,1.3,NA,NA
"Kolten Wong","2B","STL","vs CIN",5.05,"Arroyo, R","L",0.241,0.308,0.115,0,0,0,8,3200,14.7,4.6,4.72,4.72,"%",46,1.5,NA,NA
"Dansby Swanson","SS","ATL","@ PIT",3.78,"Kuhl, R 4.20","R",0.284,0.325,0.122,0,0,0,2,3200,21.2,6.7,6.75,6.75,"%",46,2.1,NA,NA
"Jesus Aguilar","1B","MIL","vs CHC",3.75,"Hendricks, R 2.13","",0.412,0.425,0.059,0,0,0,4,3200,13.2,2.5,5.89,5.89,"%",27,1.8,NA,NA
"Yonder Alonso","1B","OAK","@ TEX",3.92,"Darvish, R 3.79","L",0.254,0.305,0.112,0,0,0,7,3200,14.8,5.2,4.33,4.33,"%",50,1.4,NA,NA
"J.T. Realmuto","C","MIA","@ NYM",3.83,"Gsellman, R 2.36","R",0.31,0.35,0.139,0,0,0,1,3200,20.6,7.2,6.79,6.79,"%",52,2.1,NA,NA
"Salvador Perez","C","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.247,0.314,0.198,0,0,0,4,3200,20,6.6,5.68,5.68,"%",46,1.8,NA,NA
"Yulieski Gurriel","3B","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.241,0.272,0.11,0,0,0,6,3200,16.5,5.4,5.58,5.58,"%",49,1.7,NA,NA
"Matt Wieters","C","WSH","@ PHI",3.99,"Nola, R 4.95","B",0.245,0.313,0.164,0,0,0,8,3200,20.1,6.2,4.39,4.39,"%",37,1.4,NA,NA
"Hunter Renfroe","OF","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0.327,0.42,0.346,0,0,0,4,3200,26.1,9.5,4.96,4.96,"%",44,1.6,NA,NA
"Mitch Moreland","1B","BOS","@ DET",4.14,"Zimmermann, R 4.87","L",0.23,0.309,0.187,0,0,0,4,3100,20.1,5.6,7.21,7.21,"%",43,2.3,NA,NA
"Ronald Torreyes","3B/SS","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.241,0.284,0.127,0,0,0,9,3100,14.1,3.6,2.71,2.71,"%",21,0.9,NA,NA
"Patrick Kivlehan","OF","CIN","@ STL",3.45,"Wacha, R 5.09","R",0.217,0.298,0.13,0,0,0,7,3100,17.1,4.2,3.55,3.55,"%",19,1.1,NA,NA
"Tim Beckham","2B/SS","TB","vs TOR",3.94,"Sanchez, R 3.26","R",0.243,0.307,0.178,0,0,0,9,3100,14.9,5.4,2.44,2.44,"%",43,0.8,NA,NA
"Danny Valencia","3B/OF","SEA","@ LAA",4.05,"Nolasco, R 4.33","R",0.281,0.34,0.153,0,0,0,6,3100,20.2,6.9,5.22,5.22,"%",46,1.7,NA,NA
"Yunel Escobar","3B/SS","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.305,0.333,0.084,0,0,0,1,3100,17.4,6.6,6.57,6.57,"%",59,2.1,NA,NA
"Wilmer Flores","2B/3B","NYM","vs MIA",4.17,"Conley, L 3.85","R",0.267,0.341,0.209,0,0,0,4,3100,22,6.1,6.61,6.61,"%",37,2.1,NA,NA
"Jed Lowrie","2B","OAK","@ TEX",3.92,"Darvish, R 3.79","B",0.268,0.297,0.068,0,0,0,6,3100,15,5.7,4.9,4.9,"%",56,1.6,NA,NA
"Cheslor Cuthbert","3B","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.274,0.321,0.14,0,0,0,5,3100,16.3,6.2,4.61,4.61,"%",53,1.5,NA,NA
"Alcides Escobar","SS","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.259,0.278,0.09,0,0,0,7,3100,14.1,6.1,3.26,3.26,"%",56,1.1,NA,NA
"Cameron Rupp","C","PHI","vs WSH",4.51,"Guthrie, R","R",0.25,0.319,0.19,0,0,0,7,3100,17.9,6.6,4.63,4.63,"%",50,1.5,NA,NA
"Jarrett Parker","OF","SF","@ SD",4.32,"Chacin, R 5.25","L",0.219,0.319,0.146,0,0,0,8,3100,15.1,3.8,4.02,4.02,"%",27,1.3,NA,NA
"Chris Young","OF","BOS","@ DET",4.14,"Zimmermann, R 4.87","R",0.274,0.367,0.217,0,0,0,7,3000,18.6,5.8,4.51,4.51,"%",39,1.5,NA,NA
"Geovany Soto","C","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.274,0.367,0.274,0,0,0,7,3000,19.9,6.8,4.47,4.47,"%",43,1.5,NA,NA
"Jace Peterson","2B/3B","ATL","@ PIT",3.78,"Kuhl, R 4.20","L",0.253,0.321,0.111,0,0,0,7,3000,15.2,5.4,4.07,4.07,"%",48,1.4,NA,NA
"Justin Smoak","1B","TOR","@ TB",3.57,"Archer, R 3.97","B",0.221,0.313,0.173,0,0,0,8,3000,15.1,4.2,3.41,3.41,"%",30,1.1,NA,NA
"Andrelton Simmons","SS","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.287,0.311,0.084,0,0,0,5,3000,16.5,6.2,5.81,5.81,"%",57,1.9,NA,NA
"Leonys Martin","OF","SEA","@ LAA",4.05,"Nolasco, R 4.33","L",0.24,0.292,0.126,0,0,0,7,3000,16.4,6.8,3.05,3.05,"%",51,1,NA,NA
"Kirk Nieuwenhuis","OF","MIL","vs CHC",3.75,"Hendricks, R 2.13","L",0.208,0.316,0.181,0,0,0,5,3000,19.2,5.2,5.3,5.3,"%",33,1.8,NA,NA
"Marwin Gonzalez","1B/3B","HOU","vs KC",4.45,"Duffy, L 3.44","B",0.253,0.303,0.158,0,0,0,7,3000,17.5,6.1,4.66,4.66,"%",47,1.6,NA,NA
"Paulo Orlando","OF","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.3,0.317,0.1,0,0,0,6,3000,17.8,6.3,4.05,4.05,"%",46,1.4,NA,NA
"JaCoby Jones","3B/SS","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.211,0.268,0.158,0,0,0,8,2900,17.1,4.1,3.71,3.71,"%",18,1.3,NA,NA
"James McCann","C","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.221,0.28,0.142,0,0,0,7,2900,17.3,5.3,4.15,4.15,"%",38,1.4,NA,NA
"Jason Castro","C","MIN","@ CWS",4.07,"Gonzalez, R 3.67","L",0.215,0.313,0.167,0,0,0,6,2900,18.8,5.3,5.7,5.7,"%",38,2,NA,NA
"Francisco Cervelli","C","PIT","vs ATL",4.72,"Dickey, R 4.35","R",0.263,0.33,0.068,0,0,0,6,2900,15.2,6.1,5.27,5.27,"%",60,1.8,NA,NA
"Adam Frazier","2B/OF","PIT","vs ATL",4.72,"Dickey, R 4.35","L",0.292,0.332,0.104,0,0,0,1,2900,17,4.1,6.54,6.54,"%",36,2.3,NA,NA
"Jordy Mercer","SS","PIT","vs ATL",4.72,"Dickey, R 4.35","R",0.255,0.3,0.11,0,0,0,8,2900,14.6,5.9,3.86,3.86,"%",55,1.3,NA,NA
"Danny Espinosa","2B/SS","LAA","vs SEA",3.95,"Hernandez, R 3.81","B",0.206,0.294,0.165,0,0,0,8,2900,17.7,6.2,3.74,3.74,"%",44,1.3,NA,NA
"Travis d'Arnaud","C","NYM","vs MIA",4.17,"Conley, L 3.85","R",0.247,0.285,0.077,0,0,0,8,2900,13.7,4.7,3.76,3.76,"%",47,1.3,NA,NA
"Justin Bour","1B","MIA","@ NYM",3.83,"Gsellman, R 2.36","L",0.26,0.345,0.202,0,0,0,5,2900,21.1,6.6,5.9,5.9,"%",42,2,NA,NA
"Ryan Rua","1B/OF","TEX","vs OAK",5.08,"Graveman, R 4.02","R",0.261,0.325,0.139,0,0,0,8,2900,17.3,4.8,4.23,4.23,"%",32,1.5,NA,NA
"Marco Hernandez","2B/3B","BOS","@ DET",4.14,"Zimmermann, R 4.87","B",0.273,0.308,0.073,0,0,0,8,2800,12.2,2.4,3.66,3.66,"%",11,1.3,NA,NA
"Mikie Mahtook","OF","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.195,0.233,0.1,0,0,0,6,2800,14.6,3.4,5.07,5.07,"%",30,1.8,NA,NA
"Eduardo Escobar","SS","MIN","@ CWS",4.07,"Gonzalez, R 3.67","B",0.242,0.281,0.11,0,0,0,9,2800,14.8,5.2,2.94,2.94,"%",43,1.1,NA,NA
"John Jaso","1B","PIT","vs ATL",4.72,"Dickey, R 4.35","L",0.268,0.339,0.144,0,0,0,5,2800,17.7,5.2,6.01,6.01,"%",44,2.1,NA,NA
"Jarrod Dyson","OF","SEA","@ LAA",4.05,"Nolasco, R 4.33","L",0.271,0.311,0.107,0,0,0,9,2800,15.8,6.2,4.36,4.36,"%",54,1.6,NA,NA
"Derek Dietrich","2B/3B","MIA","@ NYM",3.83,"Gsellman, R 2.36","L",0.28,0.356,0.146,0,0,0,7,2800,15.3,5.4,3.86,3.86,"%",47,1.4,NA,NA
"Matt Joyce","OF","OAK","@ TEX",3.92,"Darvish, R 3.79","L",0.247,0.387,0.226,0,0,0,2,2800,17.9,4.3,5.74,5.74,"%",29,2.1,NA,NA
"Yandy Diaz","3B","CLE","@ ARI",4.78,"Greinke, R 4.34","R",0.2,0.235,0.067,0,0,0,6,2800,13.3,5.3,5.85,5.85,"%",65,2.1,NA,NA
"Jose Iglesias","3B/SS","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.251,0.279,0.078,0,0,0,9,2700,12.2,5.2,2.55,2.55,"%",54,0.9,NA,NA
"Tucker Barnhart","C","CIN","@ STL",3.45,"Wacha, R 5.09","B",0.261,0.312,0.121,0,0,0,8,2700,13.9,5.6,2.99,2.99,"%",52,1.1,NA,NA
"Derek Norris","C","TB","vs TOR",3.94,"Sanchez, R 3.26","R",0.186,0.256,0.138,0,0,0,7,2700,17,5.4,3.82,3.82,"%",39,1.4,NA,NA
"Mike Zunino","C","SEA","@ LAA",4.05,"Nolasco, R 4.33","R",0.204,0.327,0.243,0,0,0,8,2700,18,6,3.53,3.53,"%",40,1.3,NA,NA
"Jett Bandy","C","MIL","vs CHC",3.75,"Hendricks, R 2.13","R",0.236,0.288,0.15,0,0,0,7,2700,15.1,4.9,3.53,3.53,"%",41,1.3,NA,NA
"Jake Marisnick","OF","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.205,0.253,0.12,0,0,0,9,2700,12.3,3.8,2.55,2.55,"%",36,0.9,NA,NA
"Austin Hedges","C","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0.083,0.113,0.028,0,0,0,7,2700,7,1.9,2.75,2.75,"%",44,1,NA,NA
"Christian Vazquez","C","BOS","@ DET",4.14,"Zimmermann, R 4.87","R",0.227,0.26,0.081,0,0,0,9,2600,11.4,4.1,2.5,2.5,"%",45,1,NA,NA
"Roberto Perez","C","CLE","@ ARI",4.78,"Greinke, R 4.34","R",0.187,0.266,0.121,0,0,0,8,2600,14.8,4,4.11,4.11,"%",33,1.6,NA,NA
"Christian Colon","2B/SS","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.231,0.268,0.061,0,0,0,8,2500,10.5,3.7,2.47,2.47,"%",46,1,NA,NA
"Luis Sardinas","3B/SS","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0.242,0.281,0.11,0,0,0,6,2500,15.2,4.5,3.43,3.43,"%",35,1.4,NA,NA
"Kurt Suzuki","C","ATL","@ PIT",3.78,"Kuhl, R 4.20","R",0.257,0.306,0.143,0,0,0,8,2400,16.2,5.6,3.22,3.22,"%",42,1.3,NA,NA
"Adeiny Hechavarria","3B/SS","MIA","@ NYM",3.83,"Gsellman, R 2.36","R",0.235,0.262,0.073,0,0,0,8,2400,13.5,4.5,3.11,3.11,"%",43,1.3,NA,NA
"Martin Maldonado","C","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.207,0.307,0.144,0,0,0,9,2300,13.3,4.8,2.29,2.29,"%",43,1,NA,NA
"Jeff Mathis","C","ARI","vs CLE",4.72,"Bauer, R 4.30","R",0.243,0.274,0.11,0,0,0,8,2200,15,4.6,3.41,3.41,"%",37,1.6,NA,NA
"Drew Butera","C","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.287,0.345,0.197,0,0,0,9,2000,12.3,4.4,1.64,1.64,"%",39,0.8,NA,NA
"Miguel Rojas","2B/SS","MIA","@ NYM",3.83,"Gsellman, R 2.36","R",0.251,0.265,0.075,0,0,0,2,2000,12.6,2.3,4.68,4.68,"%",14,2.3,NA,NA
"Allen Cordoba","SS","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0,0,0,0,0,0,8,2000,2.1,0,2.09,2.09,"%",0,1,NA,NA
