"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Justin Smoak",3900,"ATL@TOR 07:07PM ET",6.378,"TOR","ATL",6.94,7,7.74,NA,"5","5",27
"OF","Rajai Davis",3900,"OAK@SEA 10:10PM ET",6.11,"OAK","SEA",6.91,7.3,8.02,NA,"1","9",6
"3B","Kyle Seager",3900,"OAK@SEA 10:10PM ET",6.529,"SEA","OAK",6.41,6.2,7.37,NA,"5","4",16
"OF","Ben Gamel",3900,"OAK@SEA 10:10PM ET",10.063,"SEA","OAK",NA,5.1,NA,NA,"x","7",6
"OF/SS","Chris Owings",3900,"NYM@ARI 09:40PM ET",8.25,"ARI","NYM",6.26,6.5,7.23,NA,"7","2",8
"OF","Yasmany Tomas",3900,"NYM@ARI 09:40PM ET",7.672,"ARI","NYM",7.04,6.8,7.74,NA,"5","5",20
"SS","Troy Tulowitzki",3800,"ATL@TOR 07:07PM ET",6,"TOR","ATL",NA,0,NA,NA,"x","x",NA
"3B","Todd Frazier",3800,"CWS@LAA 10:07PM ET",6.048,"CWS","LAA",7.85,6.4,7.55,NA,"5","5",0
"OF","Kole Calhoun",3800,"CWS@LAA 10:07PM ET",6.09,"LAA","CWS",7.09,7.2,8.46,NA,"5","1",18
"OF","Marcell Ozuna",3800,"HOU@MIA 07:10PM ET",9.724,"MIA","HOU",6.98,7.7,8.03,NA,"4","3",3
"3B","Alex Bregman",3800,"HOU@MIA 07:10PM ET",6,"HOU","MIA",5.34,7,6.91,NA,"7","7",5
"OF","Keon Broxton",3800,"MIL@SD 10:10PM ET",7.758,"MIL","SD",5.93,6.4,7.65,NA,"7","8",0
"3B","Ryan Schimpf",3800,"MIL@SD 10:10PM ET",6.638,"SD","MIL",6.92,6.5,7.07,NA,"5","4",0
"OF","Hunter Pence",3800,"LAD@SF 10:15PM ET",5.649,"SF","LAD",NA,0,7.84,NA,"x","x",NA
"OF","Ezequiel Carrera",3700,"ATL@TOR 07:07PM ET",5.646,"TOR","ATL",6.49,6.9,1.76,NA,"2","2",2
"2B","Devon Travis",3700,"ATL@TOR 07:07PM ET",4.396,"TOR","ATL",5.66,6.4,7.14,NA,"8","6",19
"OF","Melky Cabrera",3700,"CWS@LAA 10:07PM ET",5.882,"CWS","LAA",7.15,6.8,7.5,NA,"1","2",3
"OF","Cameron Maybin",3700,"CWS@LAA 10:07PM ET",6.226,"LAA","CWS",5.7,6.9,8.22,NA,"6","7",4
"OF","Avisail Garcia",3700,"CWS@LAA 10:07PM ET",8.899,"CWS","LAA",7.52,6,7.09,NA,"4","4",2
"OF","David Peralta",3700,"NYM@ARI 09:40PM ET",8.175,"ARI","NYM",NA,NA,NA,NA,"2","x",NA
"C","Evan Gattis",3700,"HOU@MIA 07:10PM ET",7.304,"HOU","MIA",5.29,7,1.85,NA,"x","5",4
"OF","Domingo Santana",3700,"MIL@SD 10:10PM ET",7.048,"MIL","SD",6.66,6.4,8.08,NA,"5","5",17
"3B","Travis Shaw",3700,"MIL@SD 10:10PM ET",9.255,"MIL","SD",NA,NA,NA,NA,"4","x",NA
"1B","Kendrys Morales",3600,"ATL@TOR 07:07PM ET",7.069,"TOR","ATL",7.74,7.6,8.59,NA,"4","4",4
"OF","Ender Inciarte",3600,"ATL@TOR 07:07PM ET",8.727,"ATL","TOR",6.83,8.7,9.03,NA,"1","1",7
"1B","CJ Cron",3600,"CWS@LAA 10:07PM ET",3.778,"LAA","CWS",5.52,7.5,NA,NA,"x","5",7
"2B","Jed Lowrie",3600,"OAK@SEA 10:10PM ET",7.064,"OAK","SEA",6.59,6.6,7.08,NA,"3","2",4
"SS","Marcus Semien",3600,"OAK@SEA 10:10PM ET",6.909,"OAK","SEA",NA,0,NA,NA,"x","x",NA
"1B/3B","Wilmer Flores",3600,"NYM@ARI 09:40PM ET",4.667,"NYM","ARI",NA,0,1.88,NA,"x","x",NA
"OF","Carlos Beltran",3600,"HOU@MIA 07:10PM ET",5.853,"HOU","MIA",6.17,0,7.68,NA,"x","x",NA
"2B","Yangervis Solarte",3600,"MIL@SD 10:10PM ET",6.316,"SD","MIL",NA,NA,NA,NA,"4","x",NA
"1B","Adrian Gonzalez",3600,"LAD@SF 10:15PM ET",4.533,"LAD","SF",NA,0,NA,NA,"x","x",NA
"1B/OF","Brandon Belt",3600,"LAD@SF 10:15PM ET",7.324,"SF","LAD",7.45,7.5,8.11,NA,"3","3",5
"C","Russell Martin",3500,"ATL@TOR 07:07PM ET",6.522,"TOR","ATL",NA,0,NA,NA,"x","x",NA
"OF","Kevin Pillar",3500,"ATL@TOR 07:07PM ET",8.396,"TOR","ATL",7.94,7.9,8.45,NA,"1","1",5
"1B/3B","Luis Valbuena",3500,"CWS@LAA 10:07PM ET",6.5,"LAA","CWS",7.47,7.4,1.87,NA,"4","4",0
"1B/3B","Ryon Healy",3500,"OAK@SEA 10:10PM ET",6.443,"OAK","SEA",6.94,6.2,7.15,NA,"6","5",5
"3B","David Wright",3500,"NYM@ARI 09:40PM ET",0,"NYM","ARI",NA,0,NA,NA,"x","x",NA
"2B","Brandon Drury",3500,"NYM@ARI 09:40PM ET",7.189,"ARI","NYM",5.92,6.1,7.03,NA,"6","6",7
