Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
142,13902,Trent Richardson,RB,10,IND,LA,0,0,0,2,0,3,33,0,0,0,0,0,6.50
143,13078,Vincent Brown,WR,10,SD,DEN,0,0,0,0,0,3,35,0,0,0,0,0,6.50
144,5282,Josh McCown,QB,10,CHI,DET,62,1,0,0,0,0,0,0,0,0,0,0,6.48
145,10949,CJ Spiller,RB,10,BUF,PIT,0,0,0,23,0,3,11,0,0,0,0,0,6.40
146,13981,DeVier Posey,WR,10,HOU,ARI,0,0,0,0,0,3,34,0,0,0,0,0,6.40
147,14687,Bernard Pierce,RB,10,BAL,CIN,0,0,0,31,0,2,12,0,0,0,0,0,6.30
148,13002,Cecil Shorts,WR,10,JAX,TEN,0,0,0,0,0,2,42,0,0,0,0,0,6.20
149,8399,Shonn Greene,RB,10,TEN,JAX,0,0,0,22,0,3,10,0,0,0,0,0,6.20
150,5412,Jason Snelling,RB,10,ATL,SEA,0,0,0,7,0,3,25,0,0,0,0,0,6.20
151,13163,Roy Helu,RB,10,WAS,MIN,0,0,0,8,0,3,23,0,0,0,0,0,6.10
152,12751,Charles Clay,TE,10,MIA,TB,0,0,0,0,0,4,21,0,0,0,0,0,6.10
153,37,Buffalo Bills,DST,10,BUF,PIT,0,0,0,0,0,0,0,0,4,1,1,0,6
154,14817,Mike Brown,WR,10,JAX,TEN,0,0,0,0,0,2,40,0,0,0,0,0,6
155,3382,Marcel Reece,FB,10,OAK,NYG,0,0,0,0,0,3,30,0,0,0,0,0,6
156,8771,Darrius Heyward-Bey,WR,10,IND,LA,0,0,0,0,0,3,30,0,0,0,0,0,6
157,1904,Mario Manningham,WR,10,SF,CAR,0,0,0,0,0,3,30,0,0,0,0,0,6
158,8564,Nate Washington,WR,10,TEN,JAX,0,0,0,0,0,3,29,0,0,0,0,0,5.90
159,9108,Tony Gonzalez,TE,10,ATL,SEA,0,0,0,0,0,3,29,0,0,0,0,0,5.90
160,12153,Ed Dickson,TE,10,BAL,CIN,0,0,0,0,0,3,28,0,0,0,0,0,5.80
161,3519,Vincent Jackson,WR,10,TB,MIA,0,0,0,0,0,3,28,0,0,0,0,0,5.80
162,7389,Eddie Royal,WR,10,SD,DEN,0,0,0,0,0,2,36,0,0,0,0,0,5.60
163,13878,Mohamed Sanu,WR,10,CIN,BAL,0,0,0,0,0,3,26,0,0,0,0,0,5.60
164,12701,Stanley Havili,FB,10,IND,LA,0,0,0,1,0,3,25,0,0,0,0,0,5.60
165,8529,Mike Wallace,WR,10,MIA,TB,0,0,0,0,0,4,15,0,0,0,0,0,5.50
166,11270,Dez Bryant,WR,10,DAL,NO,0,0,0,0,0,1,44,0,0,0,0,0,5.40
167,14465,Jarius Wright,WR,10,MIN,WAS,0,0,0,0,0,2,34,0,0,0,0,0,5.40
168,11712,Anquan Boldin,WR,10,SF,CAR,0,0,0,0,0,3,23,0,0,0,0,0,5.30
169,5571,Larry Fitzgerald,WR,10,ARI,HOU,0,0,0,0,0,3,23,0,0,0,0,0,5.30
170,12262,Jonathan Dwyer,RB,10,PIT,BUF,0,0,0,38,0,1,3,0,0,0,0,0,5.10
171,2405,Chad Henne,QB,10,JAX,TEN,180,0,2,-1,0,0,0,0,0,0,0,0,5.10
172,3931,Rashard Mendenhall,RB,10,ARI,HOU,0,0,0,42,0,1,9,0,0,0,0,0,5.10
173,14478,Michael Floyd,WR,10,ARI,HOU,0,0,0,0,0,2,31,0,0,0,0,0,5.10
174,12548,Scott Chandler,TE,10,BUF,PIT,0,0,0,0,0,3,21,0,0,0,0,0,5.10
175,4631,Wes Welker,WR,10,DEN,SD,0,0,0,0,0,3,21,0,0,0,0,0,5.10
176,49,Denver Broncos,DST,10,DEN,SD,0,0,0,0,0,0,0,0,4,0,0,0,5
177,11,Detroit Lions,DST,10,DET,CHI,0,0,0,0,0,0,0,0,2,1,0,0,5
178,12,Green Bay Packers,DST,10,GB,PHI,0,0,0,0,0,0,0,0,3,0,1,1,5
179,1652,Steven Jackson,RB,10,ATL,SEA,0,0,0,11,0,3,9,0,0,0,0,0,5
180,14787,Jeremy Ross,WR,10,DET,CHI,0,0,0,0,0,2,28,0,0,0,0,0,4.80
181,6597,Greg Jennings,WR,10,MIN,WAS,0,0,0,0,0,3,18,0,0,0,0,0,4.80
182,722,Jason Witten,TE,10,DAL,NO,0,0,0,0,0,2,27,0,0,0,0,0,4.70
183,1986,Jason Avant,WR,10,PHI,GB,0,0,0,0,0,2,25,0,0,0,0,0,4.50
184,4738,Mike Tolbert,FB,10,CAR,SF,0,0,0,7,0,2,16,0,0,0,0,0,4.30
185,13443,Colin Kaepernick,QB,10,SF,CAR,91,0,1,16,0,0,0,0,0,0,0,0,4.24
186,15072,Mychal Rivera,TE,10,OAK,NYG,0,0,0,0,0,2,22,0,0,0,0,0,4.20
187,12323,Joique Bell,RB,10,DET,CHI,0,0,0,41,0,0,0,0,0,0,0,0,4.10
188,5451,Jonathan Stewart,RB,10,CAR,SF,0,0,0,41,0,0,0,0,0,0,0,0,4.10
189,15202,Mike James,RB,10,TB,MIA,0,0,0,41,0,0,0,0,0,0,0,0,4.10
190,14152,James Hanna,TE,10,DAL,NO,0,0,0,0,0,3,11,0,0,0,0,0,4.10
191,64,Miami Dolphins,DST,10,MIA,TB,0,0,0,0,0,0,0,0,2,1,0,0,4
192,67,Minnesota Vikings,DST,10,MIN,WAS,0,0,0,0,0,0,0,0,4,0,0,0,4
193,69,New Orleans Saints,DST,10,NO,DAL,0,0,0,0,0,0,0,0,3,0,0,0,4
194,12109,Ted Ginn,WR,10,CAR,SF,0,0,0,0,0,2,19,0,0,0,0,0,3.90
195,11101,Garrett Graham,TE,10,HOU,ARI,0,0,0,0,0,2,18,0,0,0,0,0,3.80
196,5100,Jacoby Jones,WR,10,BAL,CIN,0,0,0,0,0,2,17,0,0,0,0,0,3.70
197,462,BenJarvus Green-Ellis,RB,10,CIN,BAL,0,0,0,36,0,0,0,0,0,0,0,0,3.60
198,6458,Ronnie Brown,RB,10,SD,DEN,0,0,0,36,0,0,0,0,0,0,0,0,3.60
199,15336,Joseph Fauria,TE,10,DET,CHI,0,0,0,0,0,1,25,0,0,0,0,0,3.50
200,14122,Ladarius Green,TE,10,SD,DEN,0,0,0,0,0,1,25,0,0,0,0,0,3.50
201,15256,Christine Michael,RB,10,SEA,ATL,0,0,0,33,0,0,0,0,0,0,0,0,3.30
202,13486,Marcus Easley,WR,10,BUF,PIT,0,0,0,0,0,2,13,0,0,0,0,0,3.30
203,1589,John Kuhn,FB,10,GB,PHI,0,0,0,2,0,2,10,0,0,0,0,0,3.20
204,15486,Dennis Johnson,RB,10,HOU,ARI,0,0,0,7,0,1,14,0,0,0,0,0,3.10
205,13791,Lamar Miller,RB,10,MIA,TB,0,0,0,2,0,2,9,0,0,0,0,0,3.10
206,14,Indianapolis Colts,DST,10,IND,LA,0,0,0,0,0,0,0,0,2,0,0,1,3
207,84,San Diego Chargers,DST,10,SD,DEN,0,0,0,0,0,0,0,0,2,0,1,1,3
208,204,Roddy White,WR,10,ATL,SEA,0,0,0,0,0,1,20,0,0,0,0,0,3
209,8967,Earl Bennett,WR,10,CHI,DET,0,0,0,0,0,2,10,0,0,0,0,0,3
210,15263,Luke Willson,TE,10,SEA,ATL,0,0,0,0,0,1,19,0,0,0,0,0,2.90
211,3725,Greg Jones,RB,10,HOU,ARI,0,0,0,0,0,1,19,0,0,0,0,0,2.90
212,15367,Tim Wright,TE,10,TB,MIA,0,0,0,0,0,1,19,0,0,0,0,0,2.90
213,14865,Marquise Goodwin,WR,10,BUF,PIT,0,0,0,0,0,2,9,0,0,0,0,0,2.90
214,14141,Cole Beasley,WR,10,DAL,NO,0,0,0,0,0,1,18,0,0,0,0,0,2.80
215,8534,Jared Cook,TE,10,LA,IND,0,0,0,0,0,1,17,0,0,0,0,0,2.70
216,5741,Robert Meachem,WR,10,NO,DAL,0,0,0,0,0,1,17,0,0,0,0,0,2.70
