"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual"
"QB","Chad Henne (7571818)","Chad Henne",7571818,5000,"Jax@Chi 01:00PM ET","Jax","Chad","Henne","Chi",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Matt Barkley (7571819)","Matt Barkley",7571819,5000,"Jax@Chi 01:00PM ET","Chi","Matt","Barkley","Jax",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Brandon Allen (7571821)","Brandon Allen",7571821,5000,"Jax@Chi 01:00PM ET","Jax","Brandon","Allen","Chi",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Dan Orlovsky (7571822)","Dan Orlovsky",7571822,5000,"LA@Det 01:00PM ET","Det","Dan","Orlovsky","LA",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Case Keenum (7571824)","Case Keenum",7571824,5000,"LA@Det 01:00PM ET","LA","Case","Keenum","Det",12.14,15.3,11.78,15.3,NA,NA,13.485878796712,13.1706872664908,0,4.2,10.1,14.7,19,8.8,NA,NA,NA,NA,NA,5.7,17.1,33.5
"QB","Sean Mannion (7571825)","Sean Mannion",7571825,5000,"LA@Det 01:00PM ET","LA","Sean","Mannion","Det",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Jared Goff (7571826)","Jared Goff",7571826,5000,"LA@Det 01:00PM ET","LA","Jared","Goff","Det",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Bruce Gradkowski (7571827)","Bruce Gradkowski",7571827,5000,"Pit@Mia 01:00PM ET","Pit","Bruce","Gradkowski","Mia",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Matt Moore (7571828)","Matt Moore",7571828,5000,"Pit@Mia 01:00PM ET","Mia","Matt","Moore","Pit",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Landry Jones (7571831)","Landry Jones",7571831,5000,"Pit@Mia 01:00PM ET","Pit","Landry","Jones","Mia",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,NA,-0.2,0,-0.1
"QB","Zach Mettenberger (7571832)","Zach Mettenberger",7571832,5000,"Pit@Mia 01:00PM ET","Pit","Zach","Mettenberger","Mia",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"WR","DeVante Parker (7572055)","DeVante Parker",7572055,5000,"Pit@Mia 01:00PM ET","Mia","DeVante","Parker","Pit",12.16,13,12.28,13,2,0.158940397350993,12.0078863711652,11.8516744960953,1,NA,21.6,14.1,4,9,15,24,1,2,2,4.7,19.7,7.8
"QB","AJ McCarron (7571835)","AJ McCarron",7571835,5000,"Cin@NE 01:00PM ET","Cin","AJ","McCarron","NE",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Jimmy Garoppolo (7571836)","Jimmy Garoppolo",7571836,5000,"Cin@NE 01:00PM ET","NE","Jimmy","Garoppolo","Cin",0,0,0,0,11,0.00595238095238095,0,0,0,16.1,21.4,NA,NA,-0.3,1,1,0,10,4,1.1,23.7,0
"QB","Jeff Driskel (7571837)","Jeff Driskel",7571837,5000,"Cin@NE 01:00PM ET","Cin","Jeff","Driskel","NE",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"RB","LeGarrette Blount (7571927)","LeGarrette Blount",7571927,5000,"Cin@NE 01:00PM ET","NE","LeGarrette","Blount","Cin",12,15.6,13.57,15.6,8,0.0178571428571429,13.6377553196538,13.2935168218172,1,12,21.3,25.5,8.8,9.7,3,3,0,8,4,8,23,15
"QB","Nick Foles (7571839)","Nick Foles",7571839,5000,"KC@Oak 04:05PM ET","KC","Nick","Foles","Oak",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Matt McGloin (7571840)","Matt McGloin",7571840,5000,"KC@Oak 04:05PM ET","Oak","Matt","McGloin","KC",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Tyler Bray (7571842)","Tyler Bray",7571842,5000,"KC@Oak 04:05PM ET","KC","Tyler","Bray","Oak",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Connor Cook (7571843)","Connor Cook",7571843,5000,"KC@Oak 04:05PM ET","Oak","Connor","Cook","KC",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"TE","Travis Kelce (7572183)","Travis Kelce",7572183,5000,"KC@Oak 04:05PM ET","KC","Travis","Kelce","Oak",14.37,15.6,12.76,15.6,2,0.173652694610778,14.3433682563877,14.1424857258251,1,13.4,8.4,20.9,13.3,NA,22,29,2,1,1,8.8,19.2,6.2
"QB","Matt Schaub (7571845)","Matt Schaub",7571845,5000,"Atl@Sea 04:25PM ET","Atl","Matt","Schaub","Sea",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Trevone Boykin (7571847)","Trevone Boykin",7571847,5000,"Atl@Sea 04:25PM ET","Sea","Trevone","Boykin","Atl",0,0,0,0,NA,NA,0,0,0,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,0
"QB","Mark Sanchez (7571850)","Mark Sanchez",7571850,5000,"Dal@GB 04:25PM ET","Dal","Mark","Sanchez","GB",0,1.7,0,1.7,NA,NA,1.09683036550674,0.980217830610782,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Brett Hundley (7571851)","Brett Hundley",7571851,5000,"Dal@GB 04:25PM ET","GB","Brett","Hundley","Dal",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Joe Callahan (7571853)","Joe Callahan",7571853,5000,"Dal@GB 04:25PM ET","GB","Joe","Callahan","Dal",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Scott Tolzien (7571854)","Scott Tolzien",7571854,5000,"Ind@Hou 08:30PM ET","Ind","Scott","Tolzien","Hou",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Brandon Weeden (7571855)","Brandon Weeden",7571855,5000,"Ind@Hou 08:30PM ET","Hou","Brandon","Weeden","Ind",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Tom Savage (7571858)","Tom Savage",7571858,5000,"Ind@Hou 08:30PM ET","Hou","Tom","Savage","Ind",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"RB","Ryan Mathews (7571868)","Ryan Mathews",7571868,4900,"Phi@Was 01:00PM ET","Phi","Ryan","Mathews","Was",14.47,12.2,10.77,12.2,8,0.046875,12.1794802231267,12.2178715373465,1,13.7,16.5,-0.5,NA,17.5,6,6,1,7,2,3.4,20.2,6
"TE","Jimmy Graham (7572192)","Jimmy Graham",7572192,4900,"Atl@Sea 04:25PM ET","Sea","Jimmy","Graham","Atl",16.2,11,11.07,11,2,0.17741935483871,11.9203146950634,12.145664547133,1,2.1,7.2,24,20.3,NA,16,22,1,2,2,3,23.8,14.9
"RB","DeAngelo Williams (7571917)","DeAngelo Williams",7571917,4800,"Pit@Mia 01:00PM ET","Pit","DeAngelo","Williams","Mia",3.69,6.7,5.75,6.7,4,0.117948717948718,5.42141457582845,5.18502379426899,1,38.1,23.2,8.4,7.9,NA,15,23,1,4,4,0.4,30.7,1
"RB","Tevin Coleman (7571949)","Tevin Coleman",7571949,4800,"Atl@Sea 04:25PM ET","Atl","Tevin","Coleman","Sea",11.66,9.1,10.43,9.1,4,0.123529411764706,9.34276498506376,9.4238321092147,1,16.7,15.1,29.9,6.3,29.3,17,21,1,2,4,9.4,29.5,2.7
"WR","Allen Hurns (7572032)","Allen Hurns",7572032,4700,"Jax@Chi 01:00PM ET","Jax","Allen","Hurns","Chi",12.54,12.3,10.8,12.3,2,0.159509202453988,11.6693865897689,11.5841769857965,0,11.5,11.4,8,12.7,NA,15,26,1,4,2,8.9,12.9,12.4
"RB","Arian Foster (7571918)","Arian Foster",7571918,4700,"Pit@Mia 01:00PM ET","Mia","Arian","Foster","Pit",13.1,10.2,8.69,10.2,9,0.033112582781457,10.4812055986156,10.5739199129907,0,13,0.9,NA,NA,NA,3,5,0,9,7,-1.6,15.5,3.5
"WR","Sammie Coates (7572054)","Sammie Coates",7572054,4700,"Pit@Mia 01:00PM ET","Pit","Sammie","Coates","Mia",10.16,11.1,10.7,11.1,2,0.153846153846154,10.1865631840786,10.0397074658479,0,7.6,12.3,8,13.8,34.9,19,30,2,3,3,4.1,26.6,0
"RB","Isaiah Crowell (7571878)","Isaiah Crowell",7571878,4600,"Cle@Ten 01:00PM ET","Cle","Isaiah","Crowell","Ten",13.97,11.1,11.26,11.1,6,0.0697674418604651,11.3209029684481,11.4045055773542,1,15.8,24.8,7.9,25.4,5,8,12,0,5,5,6.4,25.2,5.6
"RB","Giovani Bernard (7571930)","Giovani Bernard",7571930,4600,"Cin@NE 01:00PM ET","Cin","Giovani","Bernard","NE",10.79,10.3,9.29,10.3,2,0.178010471204188,9.85797571379839,9.8041037650175,1,5,28.7,9.4,7.2,15.6,29,34,1,2,3,3.6,22.7,13.4
"WR","Chris Hogan (7572065)","Chris Hogan",7572065,4600,"Cin@NE 01:00PM ET","NE","Chris","Hogan","Cin",12.41,7.5,9.63,7.5,4,0.125,8.53374928596574,8.76993519656488,1,15,9.9,1.3,NA,18.6,12,21,1,4,3,0.8,17.2,4.9
"WR","Corey Coleman (7572001)","Corey Coleman",7572001,4500,"Cle@Ten 01:00PM ET","Cle","Corey","Coleman","Ten",0,0,0,0,6,0.0697674418604651,0,0,1,8.9,30.4,NA,NA,NA,7,12,2,7,1,4.4,34.9,0
"RB","Rashad Jennings (7571882)","Rashad Jennings",7571882,4500,"Bal@NYG 01:00PM ET","NYG","Rashad","Jennings","Bal",9.34,8.2,7.82,8.2,9,0.0206185567010309,8.07136349782024,8.07383509007851,0,8.8,6,NA,NA,NA,3,4,0,8,5,5.4,9.4,7.5
"TE","Martellus Bennett (7572175)","Martellus Bennett",7572175,4500,"Cin@NE 01:00PM ET","NE","Martellus","Bennett","Cin",10.16,10.5,12.27,10.5,2,0.196428571428571,9.79944658448795,9.69374823151467,1,4.4,25.4,3.6,18.9,30.7,22,33,4,2,1,4.4,28.8,9.8
"RB","Darren Sproles (7571867)","Darren Sproles",7571867,4400,"Phi@Was 01:00PM ET","Phi","Darren","Sproles","Was",10.78,10.6,7.7,10.6,3,0.1328125,10.0485567438184,9.97350123490981,1,5.6,6.8,27.7,NA,10.8,14,17,1,2,2,2.5,23,3.4
"WR","Jamison Crowder (7571988)","Jamison Crowder",7571988,4400,"Phi@Was 01:00PM ET","Was","Jamison","Crowder","Phi",10.14,8,9.76,8,4,0.153846153846154,8.1805062133099,8.24508712724434,1,11.8,15.9,17.8,4.1,12.5,21,30,2,3,1,7.2,17.7,13.3
"RB","T.J. Yeldon (7571906)","T.J. Yeldon",7571906,4400,"Jax@Chi 01:00PM ET","Jax","T.J.","Yeldon","Chi",12.68,10.9,8.62,10.9,3,0.147239263803681,10.8077963009109,10.8270888341924,1,16.9,11.8,4.8,15.7,NA,19,24,0,2,6,6.8,17.8,3.6
"WR","Golden Tate (7572042)","Golden Tate",7572042,4400,"LA@Det 01:00PM ET","Det","Golden","Tate","LA",9.87,14,10.24,14,2,0.182795698924731,11.9712859252843,11.6079614941706,0,11.3,3.3,7.2,3.1,7.5,17,34,0,5,6,3.1,9.9,33.8
"RB","Latavius Murray (7571937)","Latavius Murray",7571937,4400,"KC@Oak 04:05PM ET","Oak","Latavius","Murray","KC",0,0,0,0,6,0.0597014925373134,0,0,1,14.2,22.1,10.8,4.4,NA,10,12,0,7,6,5.5,20.2,0
"WR","Cole Beasley (7572096)","Cole Beasley",7572096,4400,"Dal@GB 04:25PM ET","Dal","Cole","Beasley","GB",10.52,10.3,11.15,10.3,2,0.217391304347826,9.77758942986668,9.70738578861154,1,14.5,12.5,14.3,10.3,15.3,27,35,1,1,3,11.4,15.4,23.8
"TE","Dennis Pitta (7572138)","Dennis Pitta",7572138,4300,"Bal@NYG 01:00PM ET","Bal","Dennis","Pitta","NYG",14.35,10.9,10.54,10.9,3,0.180952380952381,11.3050003533774,11.4253074289996,1,6.9,22.2,10.2,4.7,12.9,28,38,0,1,5,4.6,18.2,9.6
"RB","Fozzy Whittaker (7571894)","Fozzy Whittaker",7571894,4300,"Car@NO 01:00PM ET","Car","Fozzy","Whittaker","NO",7.48,2.8,5.69,2.8,4,0.117647058823529,4.03354192330855,4.29392258806075,1,2.7,18.1,10.6,18.2,6.4,19,22,1,3,3,4.3,18.1,1.3
"WR","Michael Thomas (7572025)","Michael Thomas",7572025,4300,"Car@NO 01:00PM ET","NO","Michael","Thomas","Car",10.04,12.1,12.36,12.1,2,0.173410404624277,10.7960302794266,10.573320422445,1,11.8,9.6,20.1,14.4,NA,21,30,2,1,1,9.4,18.5,18.8
"WR","Mohamed Sanu (7572086)","Mohamed Sanu",7572086,4300,"Atl@Sea 04:25PM ET","Atl","Mohamed","Sanu","Sea",9.42,9.1,7.7,9.1,2,0.158823529411765,8.67585655540815,8.62143111977269,0,21,4.9,6.1,4.2,6.3,16,27,1,4,4,1.5,15.5,15.7
"WR","Phillip Dorsett (7572110)","Phillip Dorsett",7572110,4300,"Ind@Hou 08:30PM ET","Ind","Phillip","Dorsett","Hou",7.93,12.5,10.41,12.5,4,0.0995260663507109,10.4259040899096,10.0481268371244,0,13.4,4,5.7,13.7,4.6,11,21,1,6,4,3.4,13.1,3.2
"WR","Robert Woods (7571978)","Robert Woods",7571978,4200,"SF@Buf 01:00PM ET","Buf","Robert","Woods","SF",12.72,10,11.79,10,1,0.228571428571429,10.239030480626,10.3224785717898,0,6,2,11.1,15.9,4.6,20,32,0,1,6,2.4,13.5,16
"WR","Victor Cruz (7572006)","Victor Cruz",7572006,4200,"Bal@NYG 01:00PM ET","NYG","Victor","Cruz","Bal",8.86,7,9.68,7,3,0.139175257731959,7.1542213494271,7.20997355224593,0,13.4,12.1,10,10,NA,16,27,1,3,2,3.8,14.4,6.1
"TE","Julius Thomas (7572155)","Julius Thomas",7572155,4200,"Jax@Chi 01:00PM ET","Jax","Julius","Thomas","Chi",12.18,8.8,10.92,8.8,5,0.110429447852761,9.30402471358136,9.43712415031141,1,17.4,11.1,3.3,NA,NA,12,18,1,5,2,3.5,17.7,4.8
"RB","DeAndre Washington (7571941)","DeAndre Washington",7571941,4200,"KC@Oak 04:05PM ET","Oak","DeAndre","Washington","KC",9.68,12.2,6.25,12.2,6,0.0597014925373134,10.7533680007828,10.5020229929593,0,3.4,6.2,7.2,6.6,10.2,11,12,0,5,6,4.3,9.2,4.9
"RB","Thomas Rawls (7571948)","Thomas Rawls",7571948,4200,"Atl@Sea 04:25PM ET","Sea","Thomas","Rawls","Atl",0,0,0,0,7,0.0483870967741935,0,0,0,8.8,3.8,NA,NA,NA,6,6,0,5,4,2.8,9.8,0
"TE","Jason Witten (7572199)","Jason Witten",7572199,4200,"Dal@GB 04:25PM ET","Dal","Jason","Witten","GB",9.95,9,8.09,9,1,0.22360248447205,8.7691324202312,8.75362505292144,1,15.6,8.1,4.5,11.7,7.3,24,36,0,2,5,5.1,13.7,8.2
"WR","Tajae Sharpe (7572002)","Tajae Sharpe",7572002,4100,"Cle@Ten 01:00PM ET","Ten","Tajae","Sharpe","Cle",9.67,9.2,9.24,9.2,1,0.235294117647059,8.81480773305446,8.76864467401893,0,14.6,7.3,7.8,3.5,3.7,19,40,0,2,5,2.9,11.9,0.1
"WR","Cameron Meredith (7572034)","Cameron Meredith",7572034,4100,"Jax@Chi 01:00PM ET","Chi","Cameron","Meredith","Jax",13.79,12,8.23,12,5,0.112903225806452,11.8479870118796,11.8589657779167,1,NA,NA,3.4,6.8,30.6,15,21,1,5,3,-1.2,28.4,25.3
"RB","James White (7571931)","James White",7571931,4100,"Cin@NE 01:00PM ET","NE","James","White","Cin",9.95,11.6,7.26,11.6,3,0.154761904761905,10.4466376851239,10.252781735032,0,9.4,4.9,2.4,11.2,12.9,18,26,0,3,4,3.8,12.5,26.6
"TE","Tyler Eifert (7572179)","Tyler Eifert",7572179,4100,"Cin@NE 01:00PM ET","Cin","Tyler","Eifert","NE",0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,10,4,0,0,0
"WR","Jeremy Kerley (7571972)","Jeremy Kerley",7571972,4000,"SF@Buf 01:00PM ET","SF","Jeremy","Kerley","Buf",13.12,10.2,10.52,17.8994591599791,1,0.308724832214765,10.4871601381661,10.5810842075393,1,NA,5.9,4.4,20.8,27.2,27,46,2,1,1,4.6,24,3.2
"RB","Matt Jones (7571872)","Matt Jones",7571872,4000,"Phi@Was 01:00PM ET","Was","Matt","Jones","Phi",11.57,7.4,9.42,9.34331499282279,7,0.0512820512820513,8.21913919157979,8.41137495313526,1,4.3,13.5,9.9,24.8,6.6,9,10,0,7,6,3.8,19.9,22.5
"TE","Zach Ertz (7572126)","Zach Ertz",7572126,4000,"Phi@Was 01:00PM ET","Phi","Zach","Ertz","Was",11.41,10.1,10.81,10.1,6,0.1015625,9.91352757333357,9.91087715124603,1,11.8,NA,NA,NA,6.7,11,13,0,4,6,5.6,12.9,3.2
"WR","Eddie Royal (7572027)","Eddie Royal",7572027,4000,"Jax@Chi 01:00PM ET","Chi","Eddie","Royal","Jax",11.95,11.1,10.39,11.1,2,0.172043010752688,10.719494473848,10.6809118279466,1,15.7,15.2,5.1,27.1,11.3,26,32,2,1,2,6.8,22.9,9.4
"RB","Jeremy Hill (7571932)","Jeremy Hill",7571932,4000,"Cin@NE 01:00PM ET","Cin","Jeremy","Hill","NE",8.43,7.6,8.81,8.06268181923654,6,0.0418848167539267,7.41331534868204,7.40190045378448,0,9.1,8.9,21.7,7.1,1.2,4,8,0,7,4,2.1,17.1,5.1
"RB","Duke Johnson Jr. (7571880)","Duke Johnson",7571880,3900,"Cle@Ten 01:00PM ET","Cle","Duke","Johnson","Ten",9.74,9,6.89,12.2487100019209,3,0.168604651162791,8.70660975495099,8.67839996016125,0,8,9.6,13.1,13.4,4.2,21,29,0,3,5,5.8,13.5,17.4
"WR","Ted Ginn Jr. (7572016)","Ted Ginn",7572016,3900,"Car@NO 01:00PM ET","Car","Ted","Ginn","NO",7.92,10.6,6.19,12.1904656346892,5,0.0909090909090909,9.19705758809744,8.94900711446154,0,3.5,6.6,9.7,3.4,0.5,10,17,1,5,3,1.2,8.3,11
"WR","Anquan Boldin (7572038)","Anquan Boldin",7572038,3900,"LA@Det 01:00PM ET","Det","Anquan","Boldin","LA",9.38,11.1,9.73,8.97123308979506,4,0.161290322580645,9.9543361416092,9.76029997845291,0,6.5,14.8,12.2,9.1,8.8,23,30,3,3,1,7,13.5,20
"WR","Tavon Austin (7572044)","Tavon Austin",7572044,3900,"LA@Det 01:00PM ET","LA","Tavon","Austin","Det",11.5,13,10.79,9.52580912190107,1,0.285714285714286,11.8113865659988,11.6152527759919,1,5.5,10.6,21.4,2.8,15.5,23,44,1,1,2,3.6,18.7,5.6
"WR","Davante Adams (7572100)","Davante Adams",7572100,3900,"Dal@GB 04:25PM ET","GB","Davante","Adams","Dal",10.63,8,8.94,14.9928425938371,3,0.182432432432432,8.32639243229706,8.42061234368478,1,14,4.6,10.3,NA,19.5,15,27,3,3,2,5.8,18.4,5.4
"WR","Pierre Garcon (7571982)","Pierre Garcon",7571982,3800,"Phi@Was 01:00PM ET","Was","Pierre","Garcon","Phi",10.95,8.4,9.53,11.4589866219873,3,0.169230769230769,8.67974279816542,8.76588054601769,0,11.1,4.5,10.9,7.9,16.6,22,33,1,2,3,5.7,14.7,13.7
"WR","Devin Funchess (7572026)","Devin Funchess",7572026,3800,"Car@NO 01:00PM ET","Car","Devin","Funchess","NO",6.66,3.7,5.44,3.42321423501979,6,0.0855614973262032,4.37008070112411,4.51912536306841,0,1.9,9.9,NA,7.6,NA,5,16,1,6,3,0.2,9.5,12.8
"RB","Jeremy Langford (7571904)","Jeremy Langford",7571904,3800,"Jax@Chi 01:00PM ET","Chi","Jeremy","Langford","Jax",0,0,0,0,7,0.0537634408602151,0,0,1,14.3,9.4,6.6,NA,NA,6,10,0,7,5,6.2,14,0
"TE","Zach Miller (7572152)","Zach Miller",7572152,3800,"Jax@Chi 01:00PM ET","Chi","Zach","Miller","Jax",11.34,10.1,11.49,10.1,4,0.155913978494624,9.89268668490683,9.88580212032596,1,4.4,7.3,27.8,12.1,14.3,25,29,3,2,1,4.1,22.2,9.6
"RB","Jalen Richard (7571942)","Jalen Richard",7571942,3800,"KC@Oak 04:05PM ET","Oak","Jalen","Richard","KC",9.25,12.2,7.13,4.74281511789183,5,0.0746268656716418,10.6253454004471,10.3479906601646,0,17.5,3.7,5.1,3,15.7,11,15,0,5,6,2,16,3.3
"WR","Terrance Williams (7572095)","Terrance Williams",7572095,3800,"Dal@GB 04:25PM ET","Dal","Terrance","Williams","GB",10.3,7.9,8.29,9.47675929839145,4,0.130434782608696,8.16362309644877,8.24474161124419,1,6.4,NA,11.8,14.4,12,16,21,1,3,3,7.8,14.5,11.5
"RB","Orleans Darkwa (7571885)","Orleans Darkwa",7571885,3700,"Bal@NYG 01:00PM ET","NYG","Orleans","Darkwa","Bal",3.49,4.8,5.08,7.47948148979137,9,0.0206185567010309,4.13599994828654,4.01784327339457,0,NA,1.2,13.2,10.8,1.1,2,4,0,10,5,0.2,12.9,0
"RB","Cameron Artis-Payne (7571899)","Cameron Artis-Payne",7571899,3700,"Car@NO 01:00PM ET","Car","Cameron","Artis-Payne","NO",2.34,2.6,0,0,10,0.0053475935828877,2.37418639230075,2.33737914429556,0,NA,NA,6.8,1.2,20.5,1,1,0,10,7,-0.4,19.4,0
"WR","Kenny Britt (7572040)","Kenny Britt",7572040,3700,"LA@Det 01:00PM ET","LA","Kenny","Britt","Det",11.08,8.4,9.9,8.4127438837612,2,0.227272727272727,8.71844730524364,8.81244846058352,0,10.7,15.4,6.8,12.2,12.5,23,35,0,1,3,8.4,14.7,35.6
"WR","Danny Amendola (7572060)","Danny Amendola",7572060,3700,"Cin@NE 01:00PM ET","NE","Danny","Amendola","Cin",6.3,7,4.99,9.38217654489591,5,0.0892857142857143,6.39204028696355,6.2929438500265,0,7.8,20,4.3,NA,3.1,11,15,2,5,2,-0.7,14.8,5
"WR","Corey Brown (7572019)","Corey Brown",7572019,3600,"Car@NO 01:00PM ET","Car","Corey","Brown","NO",0,7.5,0,7.5,3,0.128342245989305,4.83895749488266,4.32449042916522,0,2.1,4.5,9.7,15.8,3.3,15,24,1,4,3,1.4,12.8,4.3
"WR","Markus Wheaton (7572051)","Markus Wheaton",7572051,3600,"Pit@Mia 01:00PM ET","Pit","Markus","Wheaton","Mia",0,0,0,0.606089633968355,7,0.0512820512820513,0,0,0,NA,NA,1.2,12,3.9,4,10,1,8,4,0.1,11.3,0
"WR","Tyler Lockett (7572090)","Tyler Lockett",7572090,3600,"Atl@Sea 04:25PM ET","Sea","Tyler","Lockett","Atl",8.52,9.4,8.19,3.97609631148295,3,0.153225806451613,8.60146057543111,8.47201748225278,0,4.7,13.9,NA,2.3,NA,10,19,0,4,4,-0.9,11.3,5.5
"WR","Nelson Agholor (7571991)","Nelson Agholor",7571991,3500,"Phi@Was 01:00PM ET","Phi","Nelson","Agholor","Was",8.62,7.3,8.25,7.3,2,0.1796875,7.27632517461645,7.29698163482947,1,15.7,8.2,5.1,NA,5.2,13,23,1,3,2,3.6,13.5,6.4
"TE","Coby Fleener (7572147)","Coby Fleener",7572147,3500,"Car@NO 01:00PM ET","NO","Coby","Fleener","Car",12.4,10.9,9.89,11.2352166543993,3,0.161849710982659,10.724432747204,10.7267887105122,1,1.6,4.9,26.9,4.9,NA,13,28,1,5,4,-2.1,21.2,25.6
"RB","Chris Ivory (7571900)","Chris Ivory",7571900,3500,"Jax@Chi 01:00PM ET","Jax","Chris","Ivory","Chi",8.16,5.6,7.3,5.6,9,0.0122699386503067,6.04254039944829,6.15198502960113,0,NA,NA,3.3,2.9,NA,1,2,0,9,6,2.8,3.4,11.5
"RB","Dwayne Washington (7571916)","Dwayne Washington",7571916,3500,"LA@Det 01:00PM ET","Det","Dwayne","Washington","LA",0,0,0,0.211506356844715,10,0.010752688172043,0,0,0,6.1,3.1,4.5,2.4,NA,2,2,0,8,6,2.4,5.7,0
"RB","Jay Ajayi (7571923)","Jay Ajayi",7571923,3500,"Pit@Mia 01:00PM ET","Mia","Jay","Ajayi","Pit",6.41,3,5.89,4.88315404236302,7,0.0529801324503311,3.84401292388719,4.02595257448896,0,NA,7.5,8.8,6.6,10.2,7,8,1,6,2,6.7,9.8,36.7
"WR","Brice Butler (7572094)","Brice Butler",7572094,3500,"Dal@GB 04:25PM ET","Dal","Brice","Butler","GB",9.81,12.7,6.31,7.3973683360026,5,0.105590062111801,11.1146696741865,10.8368902694695,0,2.6,NA,NA,15.1,4,9,17,2,5,1,-1.9,10.6,9
"RB","Derrick Henry (7571881)","Derrick Henry",7571881,3400,"Cle@Ten 01:00PM ET","Ten","Derrick","Henry","Cle",5.24,7.5,4.87,8.43072578035795,10,0.0176470588235294,6.39904685711275,6.20153560089561,0,6.4,5.9,4.5,0.9,5.4,3,3,0,7,5,2.4,6.8,4.7
"WR","Rishard Matthews (7571998)","Rishard Matthews",7571998,3400,"Cle@Ten 01:00PM ET","Ten","Rishard","Matthews","Cle",8.96,8.8,6.28,14.9357049493459,5,0.129411764705882,8.34534384595142,8.28367272798853,0,5.6,8,6.2,10.2,13.2,16,22,1,4,4,5.5,11.8,16
"TE","Eric Ebron (7572163)","Eric Ebron",7572163,3400,"LA@Det 01:00PM ET","Det","Eric","Ebron","LA",0,0,0,0,5,0.134408602150538,0,0,1,15.6,9.3,11.9,8.2,NA,20,25,2,4,4,8,14.5,0
"RB","Charcandrick West (7571943)","Charcandrick West",7571943,3400,"KC@Oak 04:05PM ET","KC","Charcandrick","West","Oak",5.85,3.1,0,4.40693183224774,7,0.0658682634730539,3.74180524973839,3.88301219951733,0,8.3,7.3,4.1,NA,NA,10,11,0,6,4,4.4,8.8,1.9
"RB","C.J. Spiller (7571944)","C.J. Spiller",7571944,3400,"Atl@Sea 04:25PM ET","Sea","C.J.","Spiller","Atl",3.66,3.8,4.71,3.8,13,0,3.54141920181474,3.50214105316889,0,NA,NA,NA,NA,NA,0,0,0,11,5,9.7,9.7,6.5
