Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Cody Core,WR,CIN,@ CLE,15th,3000,1.9,11.3,,7.5,7.5,100,0,2.5,1.8,0.6
Fozzy Whittaker,RB,CAR,vs SD,21st,3000,0.9,12.3,2.5,4.67,4.67,100,30,1.6,1.5,0.5
Corey Philly Brown,WR,CAR,vs SD,20th,3000,0,15.4,7.4,4.59,4.59,100,0,1.5,2.7,0.9
Zach Zenner,RB,DET,vs CHI,28th,3000,2.2,6.7,2.3,3.74,3.74,100,69,1.2,6.5,2.2
Braxton Miller,WR,HOU,@ IND,24th,3000,1.1,6.6,,4.42,4.42,100,0,1.5,,
Chester Rogers,WR,IND,vs HOU,23rd,3000,0.1,0.8,,0.5,0.5,100,0,0.2,3.1,1
Jaelen Strong,WR,HOU,@ IND,24th,3000,0,16.3,4.8,4.09,4.09,100,0,1.4,,
Bryan Walters,WR,JAC,vs MIN,12th,3000,0,10.3,6.8,1.12,1.12,100,0,0.4,13.1,4.4
Keith Mumphery,WR,HOU,@ IND,24th,3000,0,5.6,1.9,0,0,100,13,0,3.6,1.2
Deonte Thompson,WR,CHI,@ DET,6th,3000,2.1,9.3,1.7,4.46,4.46,100,0,1.5,4.8,1.6
Lance Dunbar,RB,DAL,@ NYG,18th,3000,0,13.6,13.1,2.4,2.4,100,0,0.8,4.2,1.4
Seahawks,DST,SEA,@ GB,23rd,3000,1.3,18.4,9.9,6.97,6.97,100,34,2.3,-3,
Jeff Janis,WR,GB,vs SEA,5th,3000,0,21.9,1.1,1.74,1.74,100,0,0.6,7.9,2.6
Tanner McEvoy,WR,SEA,@ GB,9th,3000,0.8,4.6,,3.07,3.07,100,0,1,13.1,4.4
Paul Richardson,WR,SEA,@ GB,9th,3000,0.6,11.7,5,4.31,4.31,100,0,1.4,,
Kamar Aiken,WR,BAL,@ NE,4th,3000,0,19.7,12.6,5.33,5.33,100,0,1.8,2,0.7
Kyle Juszczyk,RB,BAL,@ NE,1st,3000,0.8,4.8,,3.2,3.2,100,0,1.1,,
Jermaine Kearse,WR,SEA,@ GB,9th,3000,1.1,24.5,9.4,8.94,8.94,100,0,3,1.7,0.6
Alex Collins,RB,SEA,@ GB,8th,3000,0.6,3.5,,2.31,2.31,100,0,0.8,7.6,2.5
Troymaine Pope,RB,SEA,@ GB,8th,3000,1.8,10.9,,7.24,7.24,100,0,2.4,1.2,0.4
Jalin Marshall,WR,NYJ,@ SF,28th,3000,1.1,6.3,,4.2,4.2,100,0,1.4,,
Chris Harper,WR,SF,vs NYJ,8th,3000,3.4,6.8,0.2,4.55,4.55,100,65,1.5,1.8,0.6
Robby Anderson,WR,NYJ,@ SF,28th,3000,1.9,11.2,,7.45,7.45,100,0,2.5,17.1,5.7
Shaun Draughn,RB,SF,vs NYJ,27th,3000,0,16.8,7.1,3.59,3.59,100,0,1.2,9.7,3.2
Vance McDonald,TE,SF,vs NYJ,28th,3000,1,19,5.8,6.96,6.96,100,31,2.3,,
Pharoh Cooper,WR,LA,vs ATL,11th,3000,0.6,3.6,,2.37,2.37,100,0,0.8,5.2,1.7
Justin Hardy,WR,ATL,@ LA,19th,3000,2.2,7.9,4.5,4.09,4.09,100,57,1.4,8.9,3
Aldrick Robinson,WR,ATL,@ LA,19th,3000,0.8,5,,3.33,3.33,100,0,1.1,7.2,2.4
Brittan Golden,WR,ARI,@ MIA,22nd,3000,0,1.2,0.4,0,0,100,40,0,7.9,2.6
Darrius Heyward-Bey,WR,PIT,@ BUF,31st,3000,0,14.5,5.9,4.54,4.54,100,17,1.5,,
Cobi Hamilton,WR,PIT,@ BUF,31st,3000,1.2,7.1,,4.74,4.74,100,0,1.6,2.5,0.8
Seth Roberts,WR,OAK,@ KC,30th,3000,0.2,23.3,7.2,7.87,7.87,100,6,2.6,3.2,1.1
Andre Holmes,WR,OAK,@ KC,30th,3000,0,18.4,4.5,3.98,3.98,100,0,1.3,0,
Justin Hunter,WR,BUF,vs PIT,13th,3000,0,13.5,6,4.06,4.06,100,23,1.4,,
Brandon Coleman,WR,NO,@ TB,18th,3000,0,14.4,5.5,3.84,3.84,100,13,1.3,9.7,3.2
Freddie Martino,WR,TB,vs NO,27th,3000,1,5.7,,3.83,3.83,100,0,1.3,0,
Ryan Grant,WR,WAS,@ PHI,32nd,3000,0,12.1,5.2,3.49,3.49,100,0,1.2,,
Kerwynn Williams,RB,ARI,@ MIA,30th,3000,0,9.2,3.8,0,0,100,0,0,3.4,1.1
Bryce Treggs,WR,PHI,vs WAS,16th,3000,1.1,6.8,,4.51,4.51,100,0,1.5,,
Travaris Cadet,RB,NO,@ TB,16th,3000,0,11.4,7.7,2.39,2.39,100,12,0.8,6.9,2.3
Sammie Coates,WR,PIT,@ BUF,31st,3000,1.2,7.4,2.1,4.94,4.94,100,0,1.6,,
Bennie Fowler,WR,DEN,@ TEN,26th,3000,0.5,8.3,2.6,3.13,3.13,100,40,1,1.5,0.5
Jordan Taylor,WR,DEN,@ TEN,26th,3000,1,5.9,,3.91,3.91,100,0,1.3,4.8,1.6
John Kuhn,RB,NO,@ TB,16th,3000,0.8,4.7,,3.16,3.16,100,0,1.1,,
Jordan Norwood,WR,DEN,@ TEN,26th,3000,1.1,7.7,4.3,3.33,3.33,100,41,1.1,,
Eagles,DST,PHI,vs WAS,22nd,2900,0,23.3,7.5,7.53,7.53,100,7,2.6,10,3.4
Panthers,DST,CAR,vs SD,11th,2900,1,25.9,10.3,9.34,9.34,100,0,3.2,18,6.2
Hunter Henry,TE,SD,@ CAR,22nd,2900,1.8,10.9,,7.26,7.26,100,0,2.5,9.3,3.2
Steelers,DST,PIT,@ BUF,3rd,2800,0.3,17.4,9.3,5.97,5.97,100,12,2.1,8,2.9
Texans,DST,HOU,@ IND,12th,2800,0.8,20.9,9.4,7.47,7.47,100,0,2.7,8,2.9
Lance Kendricks,TE,LA,vs ATL,21st,2800,4.6,16.6,4.4,8.64,8.64,100,51,3.1,2.3,0.8
Will Tye,TE,NYG,vs DAL,19th,2800,1.6,18.7,8.1,7.27,7.27,100,0,2.6,3.9,1.4
Julius Thomas,TE,JAC,vs MIN,16th,2800,0,25.7,10.4,6.74,6.74,100,0,2.4,,
Redskins,DST,WAS,@ PHI,16th,2700,2.7,16.2,7.6,7.19,7.19,100,26,2.7,9,3.3
Cowboys,DST,DAL,@ NYG,15th,2700,2.6,16.4,4.6,7.16,7.16,100,0,2.7,12,4.4
