"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","Projection_dfn_rd","Ownership.Pctg.Pred"
"QB","Brandon Allen (7608823)","Brandon Allen",7608823,5000,"Oak@Jax 01:00PM ET","Jax","Brandon","Allen","Oak",0,0,0,0,0,0,1,0,0,0,NA
"QB","Connor Cook (7608824)","Connor Cook",7608824,5000,"Oak@Jax 01:00PM ET","Oak","Connor","Cook","Jax",0,0,0,0,0,0,1,0,0,0,NA
"WR","Allen Hurns (7609016)","Allen Hurns",7609016,5000,"Oak@Jax 01:00PM ET","Jax","Allen","Hurns","Oak",11.72,21,2,0.190954773869347,12.2856362589587,12.102121887677,1,8.5,0,21,-2.44309547385788
"QB","Matt Moore (7608825)","Matt Moore",7608825,5000,"Buf@Mia 01:00PM ET","Mia","Matt","Moore","Buf",0,0,0,0,0,0,1,0,0,0,NA
"QB","EJ Manuel (7608828)","EJ Manuel",7608828,5000,"Buf@Mia 01:00PM ET","Buf","EJ","Manuel","Mia",0,0,0,0,0,0,1,0,0,0,NA
"QB","Cardale Jones (7608829)","Cardale Jones",7608829,5000,"Buf@Mia 01:00PM ET","Buf","Cardale","Jones","Mia",0,0,0,0,0,0,1,0,0,0,NA
"QB","Ryan Mallett (7608832)","Ryan Mallett",7608832,5000,"Bal@NYJ 01:00PM ET","Bal","Ryan","Mallett","NYJ",0,0,0,0,0,0,1,0,0,0,NA
"QB","Bryce Petty (7608833)","Bryce Petty",7608833,5000,"Bal@NYJ 01:00PM ET","NYJ","Bryce","Petty","Bal",0,0,0,0,0,0,1,0,0,0,NA
"QB","Geno Smith (7608834)","Geno Smith",7608834,5000,"Bal@NYJ 01:00PM ET","NYJ","Geno","Smith","Bal",13.59,13.8,0,0,12.782707257496,12.756159743842,1,8.5,0,13.75,NA
"QB","Christian Hackenberg (7608835)","Christian Hackenberg",7608835,5000,"Bal@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Bal",0,0,0,0,0,0,1,0,0,0,NA
"RB","Matt Forte (7608916)","Matt Forte",7608916,5000,"Bal@NYJ 01:00PM ET","NYJ","Matt","Forte","Bal",12.38,11.701,4,0.092511013215859,11.1207633203616,11.1632566546109,0,33.4,0,11.75,-4.92068203209688
"QB","Christian Ponder (7608837)","Christian Ponder",7608837,5000,"TB@SF 04:05PM ET","SF","Christian","Ponder","TB",0,0,0,0,0,0,1,0,0,0,NA
"QB","Blaine Gabbert (7608838)","Blaine Gabbert",7608838,5000,"TB@SF 04:05PM ET","SF","Blaine","Gabbert","TB",0,1.6,12,0.00564971751412429,0.961910963477542,0.839469597851745,1,0,0,1.5,NA
"QB","Mike Glennon (7608839)","Mike Glennon",7608839,5000,"TB@SF 04:05PM ET","TB","Mike","Glennon","SF",0,0,0,0,0,0,1,0,0,0,NA
"QB","Ryan Griffin (7608840)","Ryan Griffin",7608840,5000,"TB@SF 04:05PM ET","TB","Ryan","Griffin","SF",0,0,3,0.133928571428571,0,0,1,0,0,0,-6.46729229496216
"QB","Kellen Clemens (7608842)","Kellen Clemens",7608842,5000,"SD@Atl 04:05PM ET","SD","Kellen","Clemens","Atl",0,0,0,0,0,0,1,0,0,0,NA
"QB","Matt Schaub (7608845)","Matt Schaub",7608845,5000,"SD@Atl 04:05PM ET","Atl","Matt","Schaub","SD",0,0,0,0,0,0,1,0,0,0,NA
"QB","Bruce Gradkowski (7608847)","Bruce Gradkowski",7608847,5000,"NE@Pit 04:25PM ET","Pit","Bruce","Gradkowski","NE",0,0,0,0,0,0,1,0,0,0,NA
"QB","Landry Jones (7608849)","Landry Jones",7608849,5000,"NE@Pit 04:25PM ET","Pit","Landry","Jones","NE",14.37,15.3,0,0,13.9419863246857,13.8597388627367,1,14.2,0,15.25,NA
"QB","Zach Mettenberger (7608850)","Zach Mettenberger",7608850,5000,"NE@Pit 04:25PM ET","Pit","Zach","Mettenberger","NE",0,0,0,0,0,0,0,0,0,0,NA
"QB","Jimmy Garoppolo (7608851)","Jimmy Garoppolo",7608851,5000,"NE@Pit 04:25PM ET","NE","Jimmy","Garoppolo","Pit",0,0,11,0.0048780487804878,0,0,1,0,0,0,NA
"QB","Drew Stanton (7608853)","Drew Stanton",7608853,5000,"Sea@Ari 08:30PM ET","Ari","Drew","Stanton","Sea",0,0,0,0,0,0,1,0,0,0,NA
"QB","Trevone Boykin (7608855)","Trevone Boykin",7608855,5000,"Sea@Ari 08:30PM ET","Sea","Trevone","Boykin","Ari",0,0,0,0,0,0,1,0,0,0,NA
"TE","Delanie Walker (7609097)","Delanie Walker",7609097,4900,"Ind@Ten 01:00PM ET","Ten","Delanie","Walker","Ind",14.44,12.3,2,0.153061224489796,12.1615111242231,12.314144066718,1,21.4,0,12.25,-0.877752479594769
"WR","Golden Tate (7609007)","Golden Tate",7609007,4900,"Was@Det 01:00PM ET","Det","Golden","Tate","Was",10.6,21.75,2,0.200913242009132,12.2165077381211,11.9098849377521,0,15.3,1,21.75,-1.24527528669739
"RB","Tevin Coleman (7608936)","Tevin Coleman",7608936,4900,"SD@Atl 04:05PM ET","Atl","Tevin","Coleman","SD",13.21,9,4,0.109004739336493,9.77153171989259,10.0835214362543,1,14.4,0,9,-3.15663165626465
"RB","LeGarrette Blount (7608939)","LeGarrette Blount",7608939,4900,"NE@Pit 04:25PM ET","NE","LeGarrette","Blount","Pit",11.21,9.5,8,0.024390243902439,9.41190443718577,9.53412140120173,1,29.4,0,9.5,-3.64545580273547
"RB","Giovani Bernard (7608884)","Giovani Bernard",7608884,4800,"Cle@Cin 01:00PM ET","Cin","Giovani","Bernard","Cle",11.91,12.6,2,0.173333333333333,11.5066854895012,11.4447007465729,1,15.7,0,12.5,-3.08886113284707
"RB","Terrance West (7608919)","Terrance West",7608919,4800,"Bal@NYJ 01:00PM ET","Bal","Terrance","West","NYJ",8.41,13,7,0.0643939393939394,10.5917704274819,10.2340331483687,1,1,0,13,-4.17887831958589
"WR","Chris Hogan (7609074)","Chris Hogan",7609074,4800,"NE@Pit 04:25PM ET","NE","Chris","Hogan","Pit",9.62,11.85,4,0.117073170731707,7.92511502896735,8.04932304726688,0,3.5,1,11.75,-4.94891177165854
"WR","Michael Thomas (7608964)","Michael Thomas",7608964,4700,"NO@KC 01:00PM ET","NO","Michael","Thomas","KC",12.17,18.3,2,0.16289592760181,11.352036928275,11.3403588040796,1,26,1,18.25,-4.23330637304797
"RB","Frank Gore (7608867)","Frank Gore",7608867,4700,"Ind@Ten 01:00PM ET","Ind","Frank","Gore","Ten",12.43,10.601,6,0.0942622950819672,10.4759551444406,10.6064146631974,1,19.3,0,10.5,-4.41416953254014
