Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,2016 Avg,FC Proj,My Proj,Exposure,Consistency,Value
Cody Parkey,K,CLE,@ CIN,11th,5000,0.7,13.9,5.7,8.3,5.1,5.1,100,47,1
Ricardo Louis,WR,CLE,@ CIN,10th,5000,1.2,7.1,,5.5,4.75,4.75,100,0,1
Rashard Higgins,WR,CLE,@ CIN,10th,5000,0.9,5.3,,0.6,3.56,3.56,100,0,0.7
Robby Anderson,WR,NYJ,vs BAL,26th,5000,1,5.9,,4.3,3.92,3.92,100,0,0.8
Kyle Juszczyk,RB,BAL,@ NYJ,4th,5000,1,5.8,,,3.86,3.86,100,0,0.8
Charone Peake,WR,NYJ,vs BAL,26th,5000,1.1,6.7,,5.6,4.44,4.44,100,0,0.9
John Kuhn,RB,NO,@ KC,21st,5000,0.9,5.4,,,3.62,3.62,100,0,0.7
Travaris Cadet,RB,NO,@ KC,21st,5000,0.6,13.5,7.5,6.1,4.86,4.86,100,30,1
Wil Lutz,K,NO,@ KC,10th,5000,1.4,8.6,,9,5.72,5.72,100,0,1.1
James Wright,WR,CIN,vs CLE,32nd,5000,1.1,9.5,,1.6,3.93,3.93,100,0,0.8
Chiefs,DST,KC,vs NO,4th,5000,0,22.4,10.9,10.2,7.17,7.17,100,25,1.4
Will Tye,TE,NYG,@ LA,17th,4900,0,16.3,8,4.9,4.67,4.67,100,0,1
Lance Kendricks,TE,LA,vs NYG,10th,4900,2.9,14.9,4.4,7.1,6.91,6.91,100,44,1.4
Bengals,DST,CIN,vs CLE,19th,4900,3.8,19.4,8.6,4.8,8.96,8.96,100,0,1.8
Vernon Davis,TE,WAS,@ DET,31st,4900,1.3,16,6,6.5,6.18,6.18,100,25,1.3
Vance McDonald,TE,SF,vs TB,12th,4900,0,17.9,5.8,7.7,5.91,5.91,100,22,1.2
Cameron Brate,TE,TB,@ SF,21st,4900,4.5,19.5,5.8,9.7,9.52,9.52,100,48,1.9
Titans,DST,TEN,vs IND,6th,4900,3.7,15.7,5.1,6.7,7.73,7.73,100,40,1.6
Giants,DST,NYG,@ LA,27th,4800,0.7,19.3,7.1,3,6.91,6.91,100,0,1.4
Dolphins,DST,MIA,vs BUF,2nd,4800,0,22.1,5.8,6.3,6.08,6.08,100,0,1.3
Jacob Tamme,TE,ATL,vs SD,15th,4700,1.4,19.4,8.7,8.1,7.39,7.39,100,26,1.6
Jets,DST,NYJ,vs BAL,29th,4700,2.8,16.6,7.1,4.7,7.41,7.41,100,2,1.6
Austin Seferian-Jenkins,TE,NYJ,vs BAL,8th,4700,0,17.2,11.3,5.7,4.15,4.15,100,0,0.9
Darren Fells,TE,ARI,vs SEA,9th,4600,0,12.6,6.4,3.8,3.55,3.55,100,0,0.8
Steelers,DST,PIT,vs NE,11th,4600,0,16.5,9.3,4.5,5.14,5.14,100,0,1.1
49ers,DST,SF,vs TB,30th,4600,2.3,17.9,4.3,5,7.48,7.48,100,0,1.6
Larry Donnell,TE,NYG,@ LA,17th,4600,0,18,7.9,7.1,5.45,5.45,100,11,1.2
Lions,DST,DET,vs WAS,3rd,4600,0.8,17,5.9,4.5,6.22,6.22,100,0,1.4
Buccaneers,DST,TB,@ SF,14th,4500,2.3,17.9,6.4,5.2,7.49,7.49,100,0,1.7
Redskins,DST,WAS,@ DET,8th,4300,2.5,16,7.6,7.5,6.98,6.98,100,40,1.6
Tyler Kroft,TE,CIN,vs CLE,28th,4200,0,12.5,5,5.4,3.87,3.87,100,20,0.9
Jack Doyle,TE,IND,@ TEN,18th,4200,6.7,16.3,3.2,9.7,9.87,9.87,100,67,2.4
Crockett Gillmore,TE,BAL,@ NYJ,24th,4200,0,15.6,9.8,4.2,3.76,3.76,100,0,0.9
Falcons,DST,ATL,vs SD,5th,4100,0,19.5,5.7,5.8,6.47,6.47,100,0,1.6
Jaguars,DST,JAC,vs OAK,17th,4100,0,18.4,5.6,4.2,5.02,5.02,100,0,1.2
Chargers,DST,SD,@ ATL,1st,4100,1.5,16.5,4.8,7.2,6.54,6.54,100,31,1.6
Bears,DST,CHI,@ GB,12th,4100,1.2,16.2,4.5,5.5,6.2,6.2,100,9,1.5
Garrett Celek,TE,SF,vs TB,12th,4000,1.6,14.5,5.6,4.9,5.93,5.93,100,12,1.5
Trey Burton,TE,PHI,vs MIN,14th,4000,0.4,8.6,2.8,5.8,3.15,3.15,100,53,0.8
Dion Sims,TE,MIA,vs BUF,4th,4000,1.6,13,2.9,3.5,5.39,5.39,100,0,1.3
Jermaine Gresham,TE,ARI,vs SEA,9th,4000,0,13.9,3.6,2,3.52,3.52,100,0,0.9
Austin Hooper,TE,ATL,vs SD,15th,4000,0.9,5.1,,6.9,3.41,3.41,100,0,0.9
Levine Toilolo,TE,ATL,vs SD,15th,4000,1,10,1.5,5,4.01,4.01,100,40,1
Colts,DST,IND,@ TEN,21st,4000,1.7,17,7.6,3,6.82,6.82,100,0,1.7
Josh Hill,TE,NO,@ KC,6th,4000,0,12.4,3.1,10.3,3.76,3.76,100,58,0.9
Marcedes Lewis,TE,JAC,vs OAK,19th,4000,0,11.5,2.6,4.7,3.72,3.72,100,17,0.9
Raiders,DST,OAK,@ JAC,28th,3900,4.4,16.4,6.7,4.3,8.37,8.37,100,7,2.1
Saints,DST,NO,@ KC,23rd,3600,1.7,15.8,4.6,2.6,6.43,6.43,100,0,1.8
Browns,DST,CLE,@ CIN,22nd,3600,0,17,5.3,4,5.45,5.45,100,0,1.5
