"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"WR","Jeremy Maclin (8080088)","Jeremy Maclin",8080088,4300,"Pit@KC 01:05PM ET","KC","Jeremy","Maclin","Pit",10.29,13.1,11.400222888181,11.689068666615,3,0.136279926335175,0
"RB","Christine Michael (8080058)","Christine Michael",8080058,4300,"GB@Dal 04:40PM ET","GB","Christine","Michael","Dal",4.29,4.5,4.20584755218186,4.29977052834461,13,0.00473186119873817,0
"RB","C.J. Prosise (8080043)","C.J. Prosise",8080043,4200,"Sea@Atl 04:35PM ET","Sea","C.J.","Prosise","Atl",0,0,0,0,7,0.0375234521575985,0
"WR","Paul Richardson (8080083)","Paul Richardson",8080083,4100,"Sea@Atl 04:35PM ET","Sea","Paul","Richardson","Atl",8.35,9.1,8.38035191681348,8.57256754267622,5,0.0694183864915572,0
"TE","Martellus Bennett (8080110)","Martellus Bennett",8080110,4000,"Hou@NE 08:15PM ET","NE","Martellus","Bennett","Hou",10.7,8.1,8.71296511400967,8.86113321101291,3,0.13573883161512,0
"WR","Mohamed Sanu (8080080)","Mohamed Sanu",8080080,4000,"Sea@Atl 04:35PM ET","Atl","Mohamed","Sanu","Sea",9.35,10,9.27599638086023,9.48600034845224,2,0.156648451730419,0
"RB","Dion Lewis (8080027)","Dion Lewis",8080027,3900,"Hou@NE 08:15PM ET","NE","Dion","Lewis","Hou",7.92,11.5,9.58077396403588,9.84215097780903,8,0.0412371134020619,0
"WR","Chris Hogan (8080070)","Chris Hogan",8080070,3900,"Hou@NE 08:15PM ET","NE","Chris","Hogan","Hou",8.33,6.8,7.06418886658816,7.19315626942081,4,0.109965635738832,0
"WR","Eli Rogers (8080094)","Eli Rogers",8080094,3900,"Pit@KC 01:05PM ET","Pit","Eli","Rogers","KC",8.35,8.6,8.09589745560744,8.2743329639865,3,0.10983606557377,0
"WR","Geronimo Allison (8080109)","Geronimo Allison",8080109,3900,"GB@Dal 04:40PM ET","GB","Geronimo","Allison","Dal",6.43,10.4,8.38337076290754,8.6248851641312,8,0.0347003154574132,0
"TE","Jared Cook (8080134)","Jared Cook",8080134,3900,"GB@Dal 04:40PM ET","GB","Jared","Cook","Dal",12.86,7.7,9.3140346422167,9.43602436659171,5,0.083596214511041,0
"WR","Michael Floyd (8080067)","Michael Floyd",8080067,3800,"Hou@NE 08:15PM ET","NE","Michael","Floyd","Hou",6.28,6.4,6.0501911081778,6.18251694999326,10,0.0120274914089347,0
"TE","Ladarius Green (8080126)","Ladarius Green",8080126,3800,"Pit@KC 01:05PM ET","Pit","Ladarius","Green","KC",0,10.2,5.80287100860332,6.08398540527031,6,0.0540983606557377,0
"WR","Will Fuller V (8080072)","Will Fuller V",8080072,3600,"Hou@NE 08:15PM ET","Hou","Will","Fuller V","NE",0,0,0,0,0,0,0
"TE","C.J. Fiedorowicz (8080113)","C.J. Fiedorowicz",8080113,3600,"Hou@NE 08:15PM ET","Hou","C.J.","Fiedorowicz","NE",10.28,9.2,9.17764182643511,9.3590728471938,3,0.149328859060403,0
"WR","Danny Amendola (8080065)","Danny Amendola",8080065,3500,"Hou@NE 08:15PM ET","NE","Danny","Amendola","Hou",0,0,0,0,7,0.0515463917525773,0
"RB","Alex Collins (8080044)","Alex Collins",8080044,3500,"Sea@Atl 04:35PM ET","Sea","Alex","Collins","Atl",5.54,5.2,5.08361684021515,5.18806214367837,9,0.0206378986866792,0
"TE","Jason Witten (8080133)","Jason Witten",8080133,3500,"GB@Dal 04:40PM ET","Dal","Jason","Witten","GB",9.15,8.2,8.17523503374329,8.33703375234234,3,0.19758064516129,0
"RB","James White (8080031)","James White",8080031,3400,"Hou@NE 08:15PM ET","NE","James","White","Hou",6.67,7.4,6.76871433980148,6.92586422738516,2,0.161512027491409,0
"WR","Aldrick Robinson (8080077)","Aldrick Robinson",8080077,3400,"Sea@Atl 04:35PM ET","Atl","Aldrick","Robinson","Sea",2.69,1.1,1.65775492177937,1.66919849063926,6,0.0619307832422587,0
"RB","Charcandrick West (8080053)","Charcandrick West",8080053,3400,"Pit@KC 01:05PM ET","KC","Charcandrick","West","Pit",5.22,3.9,4.22127478223916,4.29213685856205,7,0.0662983425414365,0
"RB","Alfred Blue (8080029)","Alfred Blue",8080029,3300,"Hou@NE 08:15PM ET","Hou","Alfred","Blue","NE",2.8,5.7,4.31693487260133,4.45438377663949,10,0.0285234899328859,0
"WR","Jermaine Kearse (8080079)","Jermaine Kearse",8080079,3300,"Sea@Atl 04:35PM ET","Sea","Jermaine","Kearse","Atl",8.93,11.3,9.85445487776808,10.103233816109,3,0.168855534709193,0
"RB","DeAngelo Williams (8080045)","DeAngelo Williams",8080045,3200,"Pit@KC 01:05PM ET","Pit","DeAngelo","Williams","KC",2.66,3.4,2.9547366503109,3.02977923568794,8,0.0442622950819672,0
"RB","Aaron Ripkowski (8080061)","Aaron Ripkowski",8080061,3200,"GB@Dal 04:40PM ET","GB","Aaron","Ripkowski","Dal",4.71,1.9,2.88780745613829,2.90712715609456,0,0,0
"WR","Brice Butler (8080101)","Brice Butler",8080101,3200,"GB@Dal 04:40PM ET","Dal","Brice","Butler","GB",3.51,1.9,2.42745573548725,2.45519447913313,6,0.0645161290322581,0
"WR","Terrance Williams (8080102)","Terrance Williams",8080102,3100,"GB@Dal 04:40PM ET","Dal","Terrance","Williams","GB",8.68,7.3,7.48291257965075,7.62320454555761,4,0.131048387096774,0
"RB","James Develin (8080023)","James Develin",8080023,3000,"Hou@NE 08:15PM ET","NE","James","Develin","Hou",0,0,0,0,0,0,0
"RB","Jonathan Grimes (8080025)","Jonathan Grimes",8080025,3000,"Hou@NE 08:15PM ET","Hou","Jonathan","Grimes","NE",2.95,0,1.1316979799338,1.11100116419685,8,0.0318791946308725,0
"RB","Brandon Bolden (8080026)","Brandon Bolden",8080026,3000,"Hou@NE 08:15PM ET","NE","Brandon","Bolden","Hou",0,0,0,0,12,0.00687285223367698,0
"RB","Jay Prosch (8080030)","Jay Prosch",8080030,3000,"Hou@NE 08:15PM ET","Hou","Jay","Prosch","NE",0,0,0,0,0,0,0
