"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
160,120,2400,12.5,3,"Austin Romine","NYY",NA,"C",9,0,0,0,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,121,4400,6.81818181818182,3,"Yoenis Cespedes","NYM",NA,"OF",3,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,122,3200,9.375,3,"Jason Heyward","CHC",NA,"OF",5,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,123,3800,7.89473684210526,3,"Josh Bell","PIT",NA,"1B",9,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,124,2700,11.1111111111111,3,"Sandy Leon","BOS",NA,"C",9,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,125,2400,12.5,3,"J.J. Hardy","BAL",NA,"SS",9,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,126,3200,9.375,3,"Pablo Sandoval","BOS",NA,"3B",8,0,0,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,127,4600,6.52173913043478,3,"Neil Walker","NYM",NA,"2B",2,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,41,4000,7.25,2.9,"Juan Minaya","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.666666666666667,0,0,0,0,1,0
169,42,4100,6.70731707317073,2.75,"Ryan Buchter","SD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.333333333333333,0,0,0,0,0,0
170,43,4200,5.83333333333333,2.45,"Tony Watson","PIT",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,3,0,0
171,44,4300,5.23255813953488,2.25,"Tony Zych","SEA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0
172,128,3000,6.66666666666667,2,"Daniel Santana","ATL",NA,"2B/OF",9,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,129,4300,4.65116279069767,2,"Eugenio Suarez","CIN",NA,"3B",5,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,130,3200,6.25,2,"Raimel Tapia","COL",NA,"OF",7,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,131,2400,8.33333333333333,2,"Deven Marrero","BOS",NA,"3B",8,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,132,3900,5.12820512820513,2,"Billy Hamilton","CIN",NA,"OF",1,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,133,3500,5.71428571428571,2,"Albert Pujols","LAA",NA,"1B",3,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,134,4500,4.44444444444444,2,"Anthony Rendon","WAS",NA,"3B",4,0,0,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,135,3800,5.26315789473684,2,"Chris Carter","NYY",NA,"1B",8,0,0,0,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,136,3500,5.71428571428571,2,"Javier Baez","CHC",NA,"2B/SS",7,0,0,0,0,2,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,45,4000,5,2,"Alex Wimmers","MIN",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1.33333333333333,0,0,1,3,2,0
182,137,4900,4.08163265306122,2,"Mark Reynolds","COL",NA,"1B",4,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,46,4200,4.28571428571429,1.8,"Anthony Swarzak","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.33333333333333,0,0,1,2,0,0
184,47,4200,3.92857142857143,1.65,"Casey Fien","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2.33333333333333,0,0,1,5,1,0
185,48,4200,3.92857142857143,1.65,"Pat Neshek","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0
186,49,4000,4.125,1.65,"Joe Kelly","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0
187,50,4100,3.65853658536585,1.5,"Shawn Kelley","WAS",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.666666666666667,0,0,0,0,0,0
188,51,5500,1.90909090909091,1.05,"Mike Pelfrey","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3.66666666666667,0,0,2,6,5,1
189,52,4200,2.5,1.05,"Joaquin Benoit","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,2,0,0
190,53,5400,1.94444444444444,1.05,"Wade LeBlanc","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,2,0,0
191,54,4000,2.625,1.05,"Tony Sipp","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,2,1,1,0
192,55,5300,1.60377358490566,0.85,"Jacob Turner","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2.33333333333333,0,0,2,3,1,0
