"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed"
"WR","Kevin White (7498910)","Kevin White",7498910,3400,"Det@Chi 01:00PM ET","Chi","Kevin","White","Det",10.14,11.5,10.18,11.5
"WR","Vincent Jackson (7498911)","Vincent Jackson",7498911,3400,"Den@TB 04:05PM ET","TB","Vincent","Jackson","Den",9.64,10,8.71,9.11090090755441
"RB","Chris Johnson (7498795)","Chris Johnson",7498795,3400,"LA@Ari 04:25PM ET","Ari","Chris","Johnson","LA",4.11,3.1,4.14,0.201177399252087
"WR","Jeremy Kerley (7498946)","Jeremy Kerley",7498946,3400,"Dal@SF 04:25PM ET","SF","Jeremy","Kerley","Dal",9.02,7.9,9.01,12.0798528137285
"RB","Charcandrick West (7498832)","Charcandrick West",7498832,3400,"KC@Pit 08:30PM ET","KC","Charcandrick","West","Pit",0,0,0,0
"RB","Bilal Powell (7498744)","Bilal Powell",7498744,3300,"Sea@NYJ 01:00PM ET","NYJ","Bilal","Powell","Sea",6.75,5.6,5.76,5.6
"RB","DeAndre Washington (7498776)","DeAndre Washington",7498776,3300,"Oak@Bal 01:00PM ET","Oak","DeAndre","Washington","Bal",6.53,4.3,4.96,3.8908059606835
"RB","Kenneth Dixon (7498777)","Kenneth Dixon",7498777,3300,"Oak@Bal 01:00PM ET","Bal","Kenneth","Dixon","Oak",0,6,0,6
"WR","Jaron Brown (7498927)","Jaron Brown",7498927,3300,"LA@Ari 04:25PM ET","Ari","Jaron","Brown","LA",4.08,2.5,3.59,1.16566042583507
"RB","Tim Hightower (7498803)","Tim Hightower",7498803,3300,"NO@SD 04:25PM ET","NO","Tim","Hightower","SD",3.1,5.4,4.29,6.31598461714135
"WR","Dontrelle Inman (7498935)","Dontrelle Inman",7498935,3300,"NO@SD 04:25PM ET","SD","Dontrelle","Inman","NO",9.23,8.8,9.46,9.71596052014773
"RB","Shaun Draughn (7498813)","Shaun Draughn",7498813,3300,"Dal@SF 04:25PM ET","SF","Shaun","Draughn","Dal",4.84,7.3,5.81,7.12356901806527
"WR","Andre Johnson (7498833)","Andre Johnson",7498833,3200,"Ten@Hou 01:00PM ET","Ten","Andre","Johnson","Hou",4.5,2.1,3.64,4.59852701369835
"WR","Jermaine Kearse (7498859)","Jermaine Kearse",7498859,3200,"Sea@NYJ 01:00PM ET","Sea","Jermaine","Kearse","NYJ",8.12,7.6,8.24,8.84439825511132
"RB","Andre Ellington (7498797)","Andre Ellington",7498797,3200,"LA@Ari 04:25PM ET","Ari","Andre","Ellington","LA",0,4.1,0,3.3942297943118
"RB","Benny Cunningham (7498798)","Benny Cunningham",7498798,3200,"LA@Ari 04:25PM ET","LA","Benny","Cunningham","Ari",2.84,5.4,3.53,2.43992989205631
"TE","Coby Fleener (7499031)","Coby Fleener",7499031,3200,"NO@SD 04:25PM ET","NO","Coby","Fleener","SD",11.57,11.1,9.28,8.78746431483454
"RB","Alfred Blue (7498730)","Alfred Blue",7498730,3100,"Ten@Hou 01:00PM ET","Hou","Alfred","Blue","Ten",2.58,1.7,1.96,3.13524345341899
"WR","Rishard Matthews (7498838)","Rishard Matthews",7498838,3100,"Ten@Hou 01:00PM ET","Ten","Rishard","Matthews","Hou",8.95,11.5,6.49,9.09309439544558
"WR","Jaelen Strong (7498842)","Jaelen Strong",7498842,3100,"Ten@Hou 01:00PM ET","Hou","Jaelen","Strong","Ten",3.46,6.3,3.83,5.79291018105369
"RB","C.J. Prosise (7498748)","C.J. Prosise",7498748,3100,"Sea@NYJ 01:00PM ET","Sea","C.J.","Prosise","NYJ",0,0,0,0
"RB","Ka'Deem Carey (7498783)","Ka'Deem Carey",7498783,3100,"Det@Chi 01:00PM ET","Chi","Ka'Deem","Carey","Det",0,0,6.79,0
"RB","Travaris Cadet (7498806)","Travaris Cadet",7498806,3100,"NO@SD 04:25PM ET","NO","Travaris","Cadet","SD",7.33,5.6,6.93,8.23638518849413
"WR","Terrance Williams (7498948)","Terrance Williams",7498948,3100,"Dal@SF 04:25PM ET","Dal","Terrance","Williams","SF",8.94,9.9,7.03,11.6717778294152
"TE","Jesse James (7499050)","Jesse James",7499050,3100,"KC@Pit 08:30PM ET","Pit","Jesse","James","KC",9.58,9.1,8.08,15.3323202751766
"RB","Jonathan Grimes (7498728)","Jonathan Grimes",7498728,3000,"Ten@Hou 01:00PM ET","Hou","Jonathan","Grimes","Ten",4.64,0,0,0
"RB","Jay Prosch (7498731)","Jay Prosch",7498731,3000,"Ten@Hou 01:00PM ET","Hou","Jay","Prosch","Ten",0,0,0,0
"RB","Jalston Fowler (7498732)","Jalston Fowler",7498732,3000,"Ten@Hou 01:00PM ET","Ten","Jalston","Fowler","Hou",0,0,0,0
"RB","Antonio Andrews (7498733)","Antonio Andrews",7498733,3000,"Ten@Hou 01:00PM ET","Ten","Antonio","Andrews","Hou",0,0,0,0
"RB","Tyler Ervin (7498734)","Tyler Ervin",7498734,3000,"Ten@Hou 01:00PM ET","Hou","Tyler","Ervin","Ten",0,0,0,0
"WR","Harry Douglas (7498834)","Harry Douglas",7498834,3000,"Ten@Hou 01:00PM ET","Ten","Harry","Douglas","Hou",0,1.6,0,2.01968482938791
"WR","Marc Mariani (7498835)","Marc Mariani",7498835,3000,"Ten@Hou 01:00PM ET","Ten","Marc","Mariani","Hou",0,0,0,0
"WR","Kendall Wright (7498836)","Kendall Wright",7498836,3000,"Ten@Hou 01:00PM ET","Ten","Kendall","Wright","Hou",8.54,5.4,4.4,6.49278007899446
"WR","Keith Mumphery (7498837)","Keith Mumphery",7498837,3000,"Ten@Hou 01:00PM ET","Hou","Keith","Mumphery","Ten",0,2.3,0,2.3
"WR","Braxton Miller (7498840)","Braxton Miller",7498840,3000,"Ten@Hou 01:00PM ET","Hou","Braxton","Miller","Ten",0,0,5.3,0
"RB","Malcolm Johnson (7498737)","Malcolm Johnson",7498737,3000,"Cle@Was 01:00PM ET","Cle","Malcolm","Johnson","Was",0,0,0,0
"RB","George Atkinson III (7498740)","George Atkinson III",7498740,3000,"Cle@Was 01:00PM ET","Cle","George","Atkinson III","Was",0,0,0,0
"WR","Andrew Hawkins (7498844)","Andrew Hawkins",7498844,3000,"Cle@Was 01:00PM ET","Cle","Andrew","Hawkins","Was",7.9,9,8.06,11.5207028831586
"WR","Ryan Grant (7498848)","Ryan Grant",7498848,3000,"Cle@Was 01:00PM ET","Was","Ryan","Grant","Cle",0,1.3,0,1.3
"WR","Josh Doctson (7498849)","Josh Doctson",7498849,3000,"Cle@Was 01:00PM ET","Was","Josh","Doctson","Cle",0,0,5.37,0
"WR","Rashad Ross (7498850)","Rashad Ross",7498850,3000,"Cle@Was 01:00PM ET","Was","Rashad","Ross","Cle",0,0,0,0
"WR","Jordan Payton (7498852)","Jordan Payton",7498852,3000,"Cle@Was 01:00PM ET","Cle","Jordan","Payton","Was",0,0,0,0
"WR","Ricardo Louis (7498853)","Ricardo Louis",7498853,3000,"Cle@Was 01:00PM ET","Cle","Ricardo","Louis","Was",7.06,6.8,5.32,6.72535194460914
"WR","Rashard Higgins (7498855)","Rashard Higgins",7498855,3000,"Cle@Was 01:00PM ET","Cle","Rashard","Higgins","Was",3.75,4.2,3.6,4.2
"RB","Terrence Magee (7498746)","Terrence Magee",7498746,3000,"Sea@NYJ 01:00PM ET","Sea","Terrence","Magee","NYJ",0,0,6.9,0
"RB","Troymaine Pope (7498749)","Troymaine Pope",7498749,3000,"Sea@NYJ 01:00PM ET","NYJ","Troymaine","Pope","Sea",0,0,0,0
"RB","Alex Collins (7498750)","Alex Collins",7498750,3000,"Sea@NYJ 01:00PM ET","Sea","Alex","Collins","NYJ",3.32,3.4,0,3.4
"WR","Paul Richardson (7498861)","Paul Richardson",7498861,3000,"Sea@NYJ 01:00PM ET","Sea","Paul","Richardson","NYJ",4.6,2.3,2.92,1.4408039042072
"WR","Charone Peake (7498862)","Charone Peake",7498862,3000,"Sea@NYJ 01:00PM ET","NYJ","Charone","Peake","Sea",0,2.9,0,2.9
"WR","Tanner McEvoy (7498863)","Tanner McEvoy",7498863,3000,"Sea@NYJ 01:00PM ET","Sea","Tanner","McEvoy","NYJ",0,0,0,0
"WR","Robby Anderson (7498865)","Robby Anderson",7498865,3000,"Sea@NYJ 01:00PM ET","NYJ","Robby","Anderson","Sea",3.77,8.7,7.56,8.7
"WR","Jalin Marshall (7498866)","Jalin Marshall",7498866,3000,"Sea@NYJ 01:00PM ET","NYJ","Jalin","Marshall","Sea",0,0,0,0
"RB","Reggie Bush (7498751)","Reggie Bush",7498751,3000,"Buf@NE 01:00PM ET","Buf","Reggie","Bush","NE",0,0,0,0
"RB","Jerome Felton (7498752)","Jerome Felton",7498752,3000,"Buf@NE 01:00PM ET","Buf","Jerome","Felton","NE",0,0,0,0
"RB","James Develin (7498753)","James Develin",7498753,3000,"Buf@NE 01:00PM ET","NE","James","Develin","Buf",0,0,0,0
"RB","Brandon Bolden (7498756)","Brandon Bolden",7498756,3000,"Buf@NE 01:00PM ET","NE","Brandon","Bolden","Buf",0,0,3.37,0
"RB","Mike Gillislee (7498757)","Mike Gillislee",7498757,3000,"Buf@NE 01:00PM ET","Buf","Mike","Gillislee","NE",4.54,2.4,3.27,2.4
"RB","D.J. Foster (7498759)","D.J. Foster",7498759,3000,"Buf@NE 01:00PM ET","NE","D.J.","Foster","Buf",0,2,0,2
"RB","Jonathan Williams (7498760)","Jonathan Williams",7498760,3000,"Buf@NE 01:00PM ET","Buf","Jonathan","Williams","NE",0,1.9,0,1.9
"WR","Matthew Slater (7498867)","Matthew Slater",7498867,3000,"Buf@NE 01:00PM ET","NE","Matthew","Slater","Buf",0,0,0,0
"WR","Brandon Tate (7498869)","Brandon Tate",7498869,3000,"Buf@NE 01:00PM ET","Buf","Brandon","Tate","NE",0,5.2,0,5.2
"WR","Greg Salas (7498870)","Greg Salas",7498870,3000,"Buf@NE 01:00PM ET","Buf","Greg","Salas","NE",0,0,5.34,0
"WR","Marquise Goodwin (7498872)","Marquise Goodwin",7498872,3000,"Buf@NE 01:00PM ET","Buf","Marquise","Goodwin","NE",7.84,10.4,5.33,10.4
"WR","Walt Powell (7498873)","Walt Powell",7498873,3000,"Buf@NE 01:00PM ET","Buf","Walt","Powell","NE",0,4.7,0,4.7
"WR","Malcolm Mitchell (7498877)","Malcolm Mitchell",7498877,3000,"Buf@NE 01:00PM ET","NE","Malcolm","Mitchell","Buf",4.83,1.7,3.75,2.90817423459285
"RB","Mike Tolbert (7498761)","Mike Tolbert",7498761,3000,"Car@Atl 01:00PM ET","Car","Mike","Tolbert","Atl",0,5.4,3.92,5.4
"RB","Patrick DiMarco (7498764)","Patrick DiMarco",7498764,3000,"Car@Atl 01:00PM ET","Atl","Patrick","DiMarco","Car",0,0,0,0
"WR","Eric Weems (7498878)","Eric Weems",7498878,3000,"Car@Atl 01:00PM ET","Atl","Eric","Weems","Car",0,0,0,0
"WR","Aldrick Robinson (7498880)","Aldrick Robinson",7498880,3000,"Car@Atl 01:00PM ET","Atl","Aldrick","Robinson","Car",3.54,1.3,1.79,4.35134521052497
"WR","Brenton Bersin (7498882)","Brenton Bersin",7498882,3000,"Car@Atl 01:00PM ET","Car","Brenton","Bersin","Atl",0,0,0,0
"WR","Justin Hardy (7498884)","Justin Hardy",7498884,3000,"Car@Atl 01:00PM ET","Atl","Justin","Hardy","Car",5.74,4.8,5.04,4.61804619474107
"WR","Corey Brown (7498885)","Corey Brown",7498885,3000,"Car@Atl 01:00PM ET","Car","Corey","Brown","Atl",0,5,0,5
"WR","Damiere Byrd (7498886)","Damiere Byrd",7498886,3000,"Car@Atl 01:00PM ET","Car","Damiere","Byrd","Atl",0,0,0,0
"WR","Taylor Gabriel (7498889)","Taylor Gabriel",7498889,3000,"Car@Atl 01:00PM ET","Atl","Taylor","Gabriel","Car",0,0,7.56,0.692241910444638
"RB","Marcel Reece (7498769)","Marcel Reece",7498769,3000,"Oak@Bal 01:00PM ET","Oak","Marcel","Reece","Bal",0,0,0,0
"RB","Taiwan Jones (7498770)","Taiwan Jones",7498770,3000,"Oak@Bal 01:00PM ET","Oak","Taiwan","Jones","Bal",0,0,0,0
"RB","Kyle Juszczyk (7498772)","Kyle Juszczyk",7498772,3000,"Oak@Bal 01:00PM ET","Bal","Kyle","Juszczyk","Oak",0,1.9,0,1.9
"RB","Jamize Olawale (7498773)","Jamize Olawale",7498773,3000,"Oak@Bal 01:00PM ET","Oak","Jamize","Olawale","Bal",0,1.1,0,1.1
"RB","Javorius Allen (7498775)","Javorius Allen",7498775,3000,"Oak@Bal 01:00PM ET","Bal","Javorius","Allen","Oak",5.51,2.3,4.9,1.89865084189054
"WR","Devin Hester (7498891)","Devin Hester",7498891,3000,"Oak@Bal 01:00PM ET","Bal","Devin","Hester","Oak",0,0,0,0
"WR","Kamar Aiken (7498894)","Kamar Aiken",7498894,3000,"Oak@Bal 01:00PM ET","Bal","Kamar","Aiken","Oak",3.64,3.2,3.11,3.92710556869195
"WR","Andre Holmes (7498895)","Andre Holmes",7498895,3000,"Oak@Bal 01:00PM ET","Oak","Andre","Holmes","Bal",3.46,2.4,3.47,0
"WR","Chris Moore (7498896)","Chris Moore",7498896,3000,"Oak@Bal 01:00PM ET","Bal","Chris","Moore","Oak",0,1.3,7.56,1.3
"WR","Breshad Perriman (7498898)","Breshad Perriman",7498898,3000,"Oak@Bal 01:00PM ET","Bal","Breshad","Perriman","Oak",5.4,8.5,6.68,8.9762622352849
"WR","Johnny Holton (7498900)","Johnny Holton",7498900,3000,"Oak@Bal 01:00PM ET","Oak","Johnny","Holton","Bal",0,1.7,7.56,1.7
"RB","Michael Burton (7498780)","Michael Burton",7498780,3000,"Det@Chi 01:00PM ET","Det","Michael","Burton","Chi",0,0,0,0
"RB","Zach Zenner (7498782)","Zach Zenner",7498782,3000,"Det@Chi 01:00PM ET","Det","Zach","Zenner","Chi",2.23,2.5,1.14,0.488287122696455
"RB","Raheem Mostert (7498784)","Raheem Mostert",7498784,3000,"Det@Chi 01:00PM ET","Chi","Raheem","Mostert","Det",3.06,0,0,0
"WR","Andre Roberts (7498903)","Andre Roberts",7498903,3000,"Det@Chi 01:00PM ET","Det","Andre","Roberts","Chi",2.22,1.2,0.64,1.2
"WR","Deonte Thompson (7498904)","Deonte Thompson",7498904,3000,"Det@Chi 01:00PM ET","Chi","Deonte","Thompson","Det",2.63,0,0,0
"WR","Joshua Bellamy (7498908)","Joshua Bellamy",7498908,3000,"Det@Chi 01:00PM ET","Chi","Joshua","Bellamy","Det",0,0,7.56,0
"WR","Cameron Meredith (7498909)","Cameron Meredith",7498909,3000,"Det@Chi 01:00PM ET","Chi","Cameron","Meredith","Det",0,0,3.01,0
"RB","Jacquizz Rodgers (7498788)","Jacquizz Rodgers",7498788,3000,"Den@TB 04:05PM ET","TB","Jacquizz","Rodgers","Den",5,2.9,5.28,2.9
"RB","Kapri Bibbs (7498790)","Kapri Bibbs",7498790,3000,"Den@TB 04:05PM ET","Den","Kapri","Bibbs","TB",0,0,0,0
"RB","Andy Janovich (7498792)","Andy Janovich",7498792,3000,"Den@TB 04:05PM ET","Den","Andy","Janovich","TB",0,0,0,0
"RB","Devontae Booker (7498793)","Devontae Booker",7498793,3000,"Den@TB 04:05PM ET","Den","Devontae","Booker","TB",4.33,5.1,5.43,5.35048004763611
"RB","Peyton Barber (7498794)","Peyton Barber",7498794,3000,"Den@TB 04:05PM ET","TB","Peyton","Barber","Den",0,0,0,0
"WR","Jordan Norwood (7498912)","Jordan Norwood",7498912,3000,"Den@TB 04:05PM ET","Den","Jordan","Norwood","TB",3.41,1.8,3.73,1.83084420117328
"WR","Russell Shepard (7498915)","Russell Shepard",7498915,3000,"Den@TB 04:05PM ET","TB","Russell","Shepard","Den",0,0,7.56,0
"WR","Bennie Fowler (7498916)","Bennie Fowler",7498916,3000,"Den@TB 04:05PM ET","Den","Bennie","Fowler","TB",2.33,1.9,3.59,2.10953037775724
"WR","Jordan Taylor (7498917)","Jordan Taylor",7498917,3000,"Den@TB 04:05PM ET","Den","Jordan","Taylor","TB",0,0,0,0
"WR","Cecil Shorts III (7498918)","Cecil Shorts III",7498918,3000,"Den@TB 04:05PM ET","TB","Cecil","Shorts III","Den",0,0,3.02,0
"WR","Freddie Martino (7498919)","Freddie Martino",7498919,3000,"Den@TB 04:05PM ET","TB","Freddie","Martino","Den",0,0,7.56,0
"WR","Adam Humphries (7498921)","Adam Humphries",7498921,3000,"Den@TB 04:05PM ET","TB","Adam","Humphries","Den",10.81,7.8,7.77,6.37209526453807
"WR","Cody Latimer (7498922)","Cody Latimer",7498922,3000,"Den@TB 04:05PM ET","Den","Cody","Latimer","TB",0,1.3,3.09,1.19942125619605
"TE","Virgil Green (7499016)","Virgil Green",7499016,3000,"Den@TB 04:05PM ET","Den","Virgil","Green","TB",0,0,8.88,0
"RB","Chase Reynolds (7498796)","Chase Reynolds",7498796,3000,"LA@Ari 04:25PM ET","LA","Chase","Reynolds","Ari",0,0,0,0
"RB","Stepfan Taylor (7498799)","Stepfan Taylor",7498799,3000,"LA@Ari 04:25PM ET","Ari","Stepfan","Taylor","LA",0,0,0,0
"RB","Malcolm Brown (7498801)","Malcolm Brown",7498801,3000,"LA@Ari 04:25PM ET","LA","Malcolm","Brown","Ari",0,1.3,0,1.3
"WR","Brian Quick (7498925)","Brian Quick",7498925,3000,"LA@Ari 04:25PM ET","LA","Brian","Quick","Ari",4.68,3.2,4.59,0
"WR","J.J. Nelson (7498930)","J.J. Nelson",7498930,3000,"LA@Ari 04:25PM ET","Ari","J.J.","Nelson","LA",0,2.3,1.47,2.3
"WR","Bradley Marquez (7498931)","Bradley Marquez",7498931,3000,"LA@Ari 04:25PM ET","LA","Bradley","Marquez","Ari",2.11,1.3,0,1.3
"WR","Nelson Spruce (7498932)","Nelson Spruce",7498932,3000,"LA@Ari 04:25PM ET","LA","Nelson","Spruce","Ari",0,0,0,0
"WR","Pharoh Cooper (7498933)","Pharoh Cooper",7498933,3000,"LA@Ari 04:25PM ET","LA","Pharoh","Cooper","Ari",0,5.8,5.14,5.8
"WR","Mike Thomas (7498934)","Mike Thomas",7498934,3000,"LA@Ari 04:25PM ET","LA","Mike","Thomas","Ari",0,1.4,7.56,1.4
"RB","John Kuhn (7498804)","John Kuhn",7498804,3000,"NO@SD 04:25PM ET","NO","John","Kuhn","SD",0,2.2,0,2.2
"RB","Marcus Murphy (7498808)","Marcus Murphy",7498808,3000,"NO@SD 04:25PM ET","NO","Marcus","Murphy","SD",0,0,0,0
"RB","Derek Watt (7498810)","Derek Watt",7498810,3000,"NO@SD 04:25PM ET","SD","Derek","Watt","NO",0,0,0,0
"RB","Daniel Lasco (7498811)","Daniel Lasco",7498811,3000,"NO@SD 04:25PM ET","NO","Daniel","Lasco","SD",0,0,0,0
"RB","Kenneth Farrow (7498812)","Kenneth Farrow",7498812,3000,"NO@SD 04:25PM ET","SD","Kenneth","Farrow","NO",1.27,3.6,3.91,3.6
"WR","Griff Whalen (7498936)","Griff Whalen",7498936,3000,"NO@SD 04:25PM ET","SD","Griff","Whalen","NO",0,4,0,4
"WR","Brandon Coleman (7498938)","Brandon Coleman",7498938,3000,"NO@SD 04:25PM ET","NO","Brandon","Coleman","SD",5.17,1.3,3.26,1.42823265377306
"WR","Tommylee Lewis (7498941)","Tommylee Lewis",7498941,3000,"NO@SD 04:25PM ET","NO","Tommylee","Lewis","SD",0,0,0,0
"RB","DuJuan Harris (7498815)","DuJuan Harris",7498815,3000,"Dal@SF 04:25PM ET","SF","DuJuan","Harris","Dal",0,0,0,0
"RB","Lance Dunbar (7498816)","Lance Dunbar",7498816,3000,"Dal@SF 04:25PM ET","Dal","Lance","Dunbar","SF",5.36,6.7,3.08,0.98238691224746
"RB","Rod Smith (7498818)","Rod Smith",7498818,3000,"Dal@SF 04:25PM ET","Dal","Rod","Smith","SF",0,0,0,0
"RB","Keith Smith (7498819)","Keith Smith",7498819,3000,"Dal@SF 04:25PM ET","Dal","Keith","Smith","SF",0,0,6.9,0
"RB","Mike Davis (7498820)","Mike Davis",7498820,3000,"Dal@SF 04:25PM ET","SF","Mike","Davis","Dal",0,1.2,0,1.2
"RB","Darius Jackson (7498821)","Darius Jackson",7498821,3000,"Dal@SF 04:25PM ET","Dal","Darius","Jackson","SF",0,0,0,0
"WR","Brice Butler (7498947)","Brice Butler",7498947,3000,"Dal@SF 04:25PM ET","Dal","Brice","Butler","SF",4.89,7.1,2.66,7.84484511756444
"WR","Rod Streater (7498950)","Rod Streater",7498950,3000,"Dal@SF 04:25PM ET","SF","Rod","Streater","Dal",2.68,3.8,0,3.8
"WR","Quinton Patton (7498951)","Quinton Patton",7498951,3000,"Dal@SF 04:25PM ET","SF","Quinton","Patton","Dal",6.05,6.7,7.53,7.14544757846898
"WR","Aaron Burbridge (7498952)","Aaron Burbridge",7498952,3000,"Dal@SF 04:25PM ET","SF","Aaron","Burbridge","Dal",0,1.5,0,1.5
"WR","Lucky Whitehead (7498953)","Lucky Whitehead",7498953,3000,"Dal@SF 04:25PM ET","Dal","Lucky","Whitehead","SF",0,4.4,0,4.4
"RB","Anthony Sherman (7498825)","Anthony Sherman",7498825,3000,"KC@Pit 08:30PM ET","KC","Anthony","Sherman","Pit",0,0,0,0
"RB","Knile Davis (7498826)","Knile Davis",7498826,3000,"KC@Pit 08:30PM ET","KC","Knile","Davis","Pit",0,1.7,0.22,1.7
"RB","Fitzgerald Toussaint (7498827)","Fitzgerald Toussaint",7498827,3000,"KC@Pit 08:30PM ET","Pit","Fitzgerald","Toussaint","KC",0,1.4,0,1.4
"RB","Roosevelt Nix (7498830)","Roosevelt Nix",7498830,3000,"KC@Pit 08:30PM ET","Pit","Roosevelt","Nix","KC",0,0,0,0
"RB","Daryl Richardson (7498831)","Daryl Richardson",7498831,3000,"KC@Pit 08:30PM ET","Pit","Daryl","Richardson","KC",0,0,0,0
"WR","Darrius Heyward-Bey (7498954)","Darrius Heyward-Bey",7498954,3000,"KC@Pit 08:30PM ET","Pit","Darrius","Heyward-Bey","KC",4.44,2.6,1.52,3.37854109224758
"WR","Albert Wilson (7498958)","Albert Wilson",7498958,3000,"KC@Pit 08:30PM ET","KC","Albert","Wilson","Pit",3.75,5.9,4.86,4.30339530614985
"WR","Chris Conley (7498959)","Chris Conley",7498959,3000,"KC@Pit 08:30PM ET","KC","Chris","Conley","Pit",6.25,6.4,6.97,5.40988392938759
"WR","De'Anthony Thomas (7498962)","De'Anthony Thomas",7498962,3000,"KC@Pit 08:30PM ET","KC","De'Anthony","Thomas","Pit",0,0,0,0
"WR","Demarcus Robinson (7498963)","Demarcus Robinson",7498963,3000,"KC@Pit 08:30PM ET","KC","Demarcus","Robinson","Pit",0,0,0,0
"WR","Tyreek Hill (7498964)","Tyreek Hill",7498964,3000,"KC@Pit 08:30PM ET","KC","Tyreek","Hill","Pit",4.42,0,3.72,0
"TE","Cameron Brate (7499019)","Cameron Brate",7499019,2800,"Den@TB 04:05PM ET","TB","Cameron","Brate","Den",10.34,7.2,6.26,7.2
"TE","Clive Walford (7499004)","Clive Walford",7499004,2700,"Oak@Bal 01:00PM ET","Oak","Clive","Walford","Bal",9.13,8.1,7.56,8.1
"TE","Zach Miller (7499006)","Zach Miller",7499006,2700,"Det@Chi 01:00PM ET","Chi","Zach","Miller","Det",13.02,9.8,9.6,9.8
"TE","Hunter Henry (7499035)","Hunter Henry",7499035,2700,"NO@SD 04:25PM ET","SD","Hunter","Henry","NO",10.1,12.1,10.49,12.1
"TE","Vance McDonald (7499039)","Vance McDonald",7499039,2700,"Dal@SF 04:25PM ET","SF","Vance","McDonald","Dal",7.87,6.4,6.8,6.4
"TE","Ryan Griffin (7498968)","Ryan Griffin",7498968,2600,"Ten@Hou 01:00PM ET","Hou","Ryan","Griffin","Ten",8.02,5.7,5.33,5.7
"TE","Jace Amaro (7498970)","Jace Amaro",7498970,2600,"Ten@Hou 01:00PM ET","Ten","Jace","Amaro","Hou",4.83,0,3.44,0
"TE","Charles Clay (7498990)","Charles Clay",7498990,2600,"Buf@NE 01:00PM ET","Buf","Charles","Clay","NE",7.36,7.9,7.24,7.9
"TE","Lance Kendricks (7499023)","Lance Kendricks",7499023,2600,"LA@Ari 04:25PM ET","LA","Lance","Kendricks","Ari",4.37,5.8,5.29,5.8
"TE","Anthony Fasano (7498965)","Anthony Fasano",7498965,2500,"Ten@Hou 01:00PM ET","Ten","Anthony","Fasano","Hou",0,0,0,0
"TE","Beau Brinkley (7498967)","Beau Brinkley",7498967,2500,"Ten@Hou 01:00PM ET","Ten","Beau","Brinkley","Hou",0,0,0,0
"TE","C.J. Fiedorowicz (7498969)","C.J. Fiedorowicz",7498969,2500,"Ten@Hou 01:00PM ET","Hou","C.J.","Fiedorowicz","Ten",2.21,1.3,2.66,1.3
"TE","Stephen Anderson (7498971)","Stephen Anderson",7498971,2500,"Ten@Hou 01:00PM ET","Hou","Stephen","Anderson","Ten",0,0,4.7,0
"TE","Phillip Supernaw (7498972)","Phillip Supernaw",7498972,2500,"Ten@Hou 01:00PM ET","Ten","Phillip","Supernaw","Hou",0,0,0,0
"TE","Vernon Davis (7498973)","Vernon Davis",7498973,2500,"Cle@Was 01:00PM ET","Was","Vernon","Davis","Cle",4.4,3.4,3.69,3.4
"TE","Niles Paul (7498975)","Niles Paul",7498975,2500,"Cle@Was 01:00PM ET","Was","Niles","Paul","Cle",0,0,0,0
"TE","Randall Telfer (7498977)","Randall Telfer",7498977,2500,"Cle@Was 01:00PM ET","Cle","Randall","Telfer","Was",0,0,0,0
"TE","Seth DeValve (7498978)","Seth DeValve",7498978,2500,"Cle@Was 01:00PM ET","Cle","Seth","DeValve","Was",0,0,0,0
"TE","Kellen Davis (7498979)","Kellen Davis",7498979,2500,"Sea@NYJ 01:00PM ET","NYJ","Kellen","Davis","Sea",2.46,2.5,0,2.5
"TE","Luke Willson (7498981)","Luke Willson",7498981,2500,"Sea@NYJ 01:00PM ET","Sea","Luke","Willson","NYJ",3.43,2.5,3.29,2.5
"TE","Brandon Bostick (7498982)","Brandon Bostick",7498982,2500,"Sea@NYJ 01:00PM ET","NYJ","Brandon","Bostick","Sea",0,3.1,0,3.1
"TE","Brandon Williams (7498983)","Brandon Williams",7498983,2500,"Sea@NYJ 01:00PM ET","Sea","Brandon","Williams","NYJ",0,0,0,0
"TE","Nick Vannett (7498984)","Nick Vannett",7498984,2500,"Sea@NYJ 01:00PM ET","Sea","Nick","Vannett","NYJ",0,0,0,0
"TE","Braedon Bowman (7498985)","Braedon Bowman",7498985,2500,"Sea@NYJ 01:00PM ET","NYJ","Braedon","Bowman","Sea",0,0,0,0
"TE","Clay Harbor (7498986)","Clay Harbor",7498986,2500,"Buf@NE 01:00PM ET","NE","Clay","Harbor","Buf",0,0,0,0
"TE","Jim Dray (7498988)","Jim Dray",7498988,2500,"Buf@NE 01:00PM ET","Buf","Jim","Dray","NE",0,0,0,0
"TE","A.J. Derby (7498991)","A.J. Derby",7498991,2500,"Buf@NE 01:00PM ET","NE","A.J.","Derby","Buf",0,0,0,0
"TE","Nick O'Leary (7498992)","Nick O'Leary",7498992,2500,"Buf@NE 01:00PM ET","Buf","Nick","O'Leary","NE",0,0,0,0
"TE","Ed Dickson (7498995)","Ed Dickson",7498995,2500,"Car@Atl 01:00PM ET","Car","Ed","Dickson","Atl",2.35,2.4,2.15,2.4
"TE","Levine Toilolo (7498996)","Levine Toilolo",7498996,2500,"Car@Atl 01:00PM ET","Atl","Levine","Toilolo","Car",0,1,0,1
"TE","Scott Simonson (7498997)","Scott Simonson",7498997,2500,"Car@Atl 01:00PM ET","Car","Scott","Simonson","Atl",0,0,0,0
