"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"C","James McCann",2500,"Bos@Det 01:10PM ET",8.333,"Det","Bos",5.48,0,1.43,1.8,"x","x",NA
"2B/3B","Marco Hernandez",2500,"Bos@Det 01:10PM ET",0,"Bos","Det",NA,5.3,5.35,5.8,"x","9",NA
"2B/SS","Dixon Machado",2500,"Bos@Det 01:10PM ET",0,"Det","Bos",NA,0,1.4,2,"x","x",NA
"3B/SS","JaCoby Jones",2500,"Bos@Det 01:10PM ET",10.667,"Det","Bos",5.9,0,1.49,2.1,"x","x",NA
"OF","Steve Selsky",2500,"Bos@Det 01:10PM ET",0,"Bos","Det",NA,6.4,6.09,6.9,"x","6",NA
"OF","Mikie Mahtook",2500,"Bos@Det 01:10PM ET",3.667,"Det","Bos",5.68,0,1.5,1.7,"x","x",NA
"OF","Tyler Collins",2500,"Bos@Det 01:10PM ET",7.333,"Det","Bos",5.88,6.3,6.02,6.5,"6","6",NA
"C","Chris Gimenez",2500,"Min@CWS 02:10PM ET",5,"Min","CWS",4.35,0,1.35,2,"x","x",NA
"C","Omar Narvaez",2500,"Min@CWS 02:10PM ET",2,"CWS","Min",4.87,5,5.37,5,"9","8",NA
"SS","Eduardo Escobar",2500,"Min@CWS 02:10PM ET",17,"Min","CWS",5.56,0,1.53,2.1,"x","x",NA
"C","Caleb Joseph",2500,"NYY@Bal 01:35PM ET",0,"Bal","NYY",NA,5.8,5.2,5.1,"x","9",NA
"C","Devin Mesoraco",2500,"Cin@StL 02:15PM ET",0,"Cin","StL",NA,0,NA,0,"x","x",NA
"C","Tucker Barnhart",2500,"Cin@StL 02:15PM ET",4.333,"Cin","StL",4.22,0,1.27,1.8,"x","x",NA
"C","Carson Kelly",2500,"Cin@StL 02:15PM ET",0,"StL","Cin",NA,0,NA,0,"x","x",NA
"2B/3B","Phil Gosselin",2500,"Atl@Pit 01:35PM ET",0,"Pit","Atl",NA,4.8,NA,5.7,"x","7",NA
"3B","Rio Ruiz",2500,"Atl@Pit 01:35PM ET",0,"Atl","Pit",NA,0,NA,0,"x","x",NA
"C","Derek Norris",2500,"Tor@TB 01:10PM ET",7,"TB","Tor",5.15,0,1.65,1.9,"x","x",NA
"C","Curt Casali",2500,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,0,NA,0,"x","x",NA
"OF","Peter Bourjos",2500,"Tor@TB 01:10PM ET",6.5,"TB","Tor",NA,0,1.57,1.9,"x","x",NA
"OF","Ezequiel Carrera",2500,"Tor@TB 01:10PM ET",3.25,"Tor","TB",5.18,5.4,5.7,5.8,"8","9",NA
"C","Jett Bandy",2500,"ChC@Mil 02:10PM ET",3.25,"Mil","ChC",4.49,4.3,4.76,4.7,"8","8",NA
"2B/OF","Nick Franklin",2500,"ChC@Mil 02:10PM ET",0,"Mil","ChC",NA,0,1.44,2,"x","x",NA
"1B","Ryan O'Hearn",2500,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,NA,0,"x","x",NA
"OF","Terrance Gore",2500,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,1.55,1.9,"x","x",NA
"2B/SS","Andres Blanco",2500,"Was@Phi 01:35PM ET",3,"Phi","Was",4.37,0,1.42,2,"x","x",NA
"OF","Chris Heisey",2500,"Was@Phi 01:35PM ET",0,"Was","Phi",NA,0,1.52,2.3,"x","x",NA
"C","Christian Vazquez",2400,"Bos@Det 01:10PM ET",0,"Bos","Det",NA,0,1.35,2.1,"x","x",NA
"2B/3B","Josh Rutledge",2400,"Bos@Det 01:10PM ET",0,"Bos","Det",NA,0,NA,0,"x","x",NA
"3B","Deven Marrero",2400,"Bos@Det 01:10PM ET",0,"Bos","Det",NA,0,1.26,2.2,"x","x",NA
