"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Justin Turner","3B","LAD","vs COL",4.35,"Freeland, L 5.91","R",0.37,0.437,0.174,0,0,0,3,3600,20.9,8.2,9.11,9.11,"%",64,2.5,7,1.9
"Ryan Schimpf","3B","SD","vs ARI",3.89,"Miller, R 5.06","L",0.139,0.341,0.25,0,0,0,4,3600,21.7,6.8,7.58,7.58,"%",48,2.1,2,0.6
"David Peralta","OF","ARI","@ SD",4.11,"Cosart, R 3.86","L",0.24,0.298,0.18,0,0,0,2,3600,25.3,7.6,7.95,7.95,"%",43,2.2,10,2.8
"Anthony Rendon","3B","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","R",0.205,0.222,0.046,0,0,0,2,3600,16.9,4.1,9.23,9.23,"%",53,2.6,2,0.6
"Joe Panik","2B","SF","@ KC",4.28,"Hammel, R 6.52","L",0.302,0.353,0.14,0,0,0,8,3500,14.8,6.3,4.65,4.65,"%",60,1.3,17,4.9
"Whit Merrifield","2B/OF","KC","vs SF",4.72,"Cain, R 4.82","R",NA,0,0,0,0,0,8,3500,5.6,NA,5.58,5.58,"%",0,1.6,21,6
"Steve Pearce","OF","TOR","vs BOS",4.89,"Johnson, L","R",0.156,0.175,0,0,0,0,7,3500,12.3,2.3,5.43,5.43,"%",25,1.6,7,2
"Eddie Rosario","OF","MIN","vs CLE",4.38,"Tomlin, R 18.47","L",0.186,0.206,0.023,0,0,0,8,3500,10.9,3.9,4.46,4.46,"%",59,1.3,6,1.7
"Byron Buxton","OF","MIN","vs CLE",4.38,"Tomlin, R 18.47","R",0.093,0.141,0.047,0,0,0,9,3500,9.3,2.2,3.09,3.09,"%",29,0.9,0,NA
"Josh Harrison","2B/3B","PIT","@ STL",3.67,"Leake, R 0.60","R",0.263,0.347,0.105,0,0,0,2,3500,14.9,6.4,7.41,7.41,"%",71,2.1,3,0.9
"Tyler Saladino","3B/SS","CWS","@ NYY",2.89,"Severino, R 4.50","R",0.233,0.338,0.067,0,0,0,1,3500,14.9,5.8,5.87,5.87,"%",61,1.7,0,NA
"Nick Castellanos","3B","DET","@ TB",3.61,"Andriese, R 4.50","R",0.22,0.305,0.24,0,0,0,2,3500,19.5,7.8,7.19,7.19,"%",61,2.1,0,NA
"Brad Miller","2B","TB","vs DET",3.89,"Fulmer, R 2.25","L",0.208,0.311,0.188,0,0,0,4,3500,23.5,6.8,7.02,7.02,"%",39,2,9,2.6
"Nomar Mazara","OF","TEX","@ OAK",3.67,"Triggs, R 0.00","L",0.352,0.435,0.278,0,0,0,3,3500,27.1,12.3,8.31,8.31,"%",62,2.4,2,0.6
"Michael Conforto","OF","NYM","vs PHI",4.45,"Eflin, R","L",0.353,0.456,0.412,0,0,0,1,3500,22.7,5.6,7.81,7.81,"%",34,2.2,4,1.1
"Mitch Haniger","OF","SEA","vs MIA",4.19,"Chen, L 7.00","R",0.291,0.413,0.273,0,0,0,2,3500,20.6,11.3,7.68,7.68,"%",71,2.2,7,2
"C.J. Cron","1B","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.276,0.258,0.035,0,0,0,5,3500,13.1,4,6.34,6.34,"%",58,1.8,0,NA
"Josh Reddick","OF","HOU","vs LAA",4.72,"Nolasco, R 5.40","L",0.324,0.323,0.054,0,0,0,2,3500,18.6,5,8.05,8.05,"%",48,2.3,0,NA
"Mark Reynolds","1B","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.306,0.408,0.306,0,0,0,5,3500,21.8,8.9,5.74,5.74,"%",55,1.6,5,1.4
"Brandon Crawford","SS","SF","@ KC",4.28,"Hammel, R 6.52","L",0.298,0.357,0.234,0,0,0,5,3400,19.5,7.6,7.09,7.09,"%",59,2.1,5,1.5
"Yangervis Solarte","2B","SD","vs ARI",3.89,"Miller, R 5.06","B",0.245,0.3,0.151,0,0,0,3,3500,22.2,6.9,7.13,7.13,"%",46,2,0,NA
"Salvador Perez","C","KC","vs SF",4.72,"Cain, R 4.82","R",0.289,0.383,0.356,0,0,0,5,3400,20.6,8.7,7.66,7.66,"%",63,2.3,3,0.9
"Travis Shaw","3B","MIL","@ CHC",3.82,"Anderson, L 0.84","L",0.2,0.31,0.26,0,0,0,4,3400,20.1,7.5,8.05,8.05,"%",60,2.4,35,10.3
"Yadier Molina","C","STL","vs PIT",4.33,"Kuhl, R 2.38","R",0.229,0.291,0.114,0,0,0,5,3400,15.8,5.7,6.94,6.94,"%",61,2,0,NA
"Kevin Pillar","OF","TOR","vs BOS",4.89,"Johnson, L","R",0.283,0.31,0.109,0,0,0,1,3400,18.5,5.2,7.82,7.82,"%",49,2.3,17,5
"Andrew Benintendi","OF","BOS","@ TOR",3.61,"Stroman, R 1.76","L",0.314,0.366,0.118,0,0,0,2,3400,19.3,8.6,7.65,7.65,"%",66,2.3,12,3.5
"Starlin Castro","2B","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.365,0.401,0.173,0,0,0,4,3400,19.3,8.2,7.56,7.56,"%",64,2.2,7,2.1
"Avisail Garcia","OF","CWS","@ NYY",2.89,"Severino, R 4.50","R",0.447,0.488,0.192,0,0,0,5,3400,23.8,10.7,5.87,5.87,"%",58,1.7,18,5.3
"Steven Souza Jr.","OF","TB","vs DET",3.89,"Fulmer, R 2.25","R",0.32,0.413,0.2,0,0,0,5,3400,21.3,8.9,6.21,6.21,"%",58,1.8,5,1.5
"Victor Martinez","1B","DET","@ TB",3.61,"Andriese, R 4.50","B",0.195,0.23,0,0,0,0,4,3400,12.1,3.8,6.54,6.54,"%",63,1.9,5,1.5
"Joey Gallo","3B","TEX","@ OAK",3.67,"Triggs, R 0.00","L",0.19,0.32,0.238,0,0,0,8,3400,19.1,7.9,4.24,4.24,"%",53,1.2,0,NA
"Tommy Joseph","1B","PHI","@ NYM",3.05,"Wheeler, R 7.45","R",0.167,0.211,0.111,0,0,0,6,3400,14.9,4.9,4.27,4.27,"%",46,1.3,7,2.1
"Zack Cozart","SS","CIN","vs BAL",4.1,"Jimenez, R 10.38","R",0.432,0.505,0.297,0,0,0,6,3400,15.6,10.3,5.02,5.02,"%",74,1.5,11,3.2
"Norichika Aoki","OF","HOU","vs LAA",4.72,"Nolasco, R 5.40","L",0.333,0.353,0.148,0,0,0,9,3400,17.3,6.8,3.63,3.63,"%",50,1.1,6,1.8
"Brandon Drury","2B","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.295,0.306,0.091,0,0,0,6,3400,18.4,6,5.99,5.99,"%",48,1.8,4,1.2
"Chris Owings","OF/SS","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.333,0.365,0.125,0,0,0,7,3400,23.6,8.4,5.08,5.08,"%",45,1.5,0,NA
"Ender Inciarte","OF","ATL","vs WSH",3.42,"Scherzer, R 2.13","L",0.269,0.351,0.25,0,0,0,1,3400,24.1,9.4,5.81,5.81,"%",51,1.7,0,NA
"Manuel Margot","OF","SD","vs ARI",3.89,"Miller, R 5.06","R",0.268,0.348,0.232,0,0,0,1,3400,23.3,8.4,7.02,7.02,"%",51,2.1,0,NA
"Alcides Escobar","SS","KC","vs SF",4.72,"Cain, R 4.82","R",0.244,0.253,0.049,0,0,0,7,3300,12.3,3.7,5,5,"%",51,1.5,0,NA
"Lonnie Chisenhall","3B/OF","CLE","@ MIN",4.62,"Hughes, R 3.86","L",0.375,0.49,0.438,0,0,0,6,3300,27.2,11.2,7.02,7.02,"%",55,2.1,5,1.5
"Abraham Almonte","OF","CLE","@ MIN",4.62,"Hughes, R 3.86","B",0.25,0.335,0.036,0,0,0,8,3300,14.6,4.5,4.83,4.83,"%",46,1.5,11,3.3
"Jorge Polanco","SS","MIN","vs CLE",4.38,"Tomlin, R 18.47","B",0.289,0.347,0.133,0,0,0,7,3300,14.9,7,4.83,4.83,"%",64,1.5,5,1.5
"Orlando Arcia","SS","MIL","@ CHC",3.82,"Anderson, L 0.84","R",0.19,0.211,0.048,0,0,0,8,3300,12.7,4,4.02,4.02,"%",46,1.2,14,4.2
"Jason Heyward","OF","CHC","vs MIL",5.18,"Nelson, R 1.38","L",0.283,0.305,0.044,0,0,0,5,3300,16,6.3,8.46,8.46,"%",70,2.6,8,2.4
"Pablo Sandoval","3B","BOS","@ TOR",3.61,"Stroman, R 1.76","B",0.143,0.24,0.238,0,0,0,7,3300,19.3,7,4.37,4.37,"%",47,1.3,15,4.5
"Gregory Bird","1B","NYY","vs CWS",4.11,"Gonzalez, R 4.22","L",0.133,0.255,0.167,0,0,0,6,3300,23.2,4.6,6.07,6.07,"%",7,1.8,0,NA
"Kevin Kiermaier","OF","TB","vs DET",3.89,"Fulmer, R 2.25","L",0.245,0.303,0.057,0,0,0,2,3300,20.1,6.5,6.9,6.9,"%",49,2.1,14,4.2
"Danny Valencia","1B","SEA","vs MIA",4.19,"Chen, L 7.00","R",0.163,0.211,0.082,0,0,0,7,3300,10.5,3.8,4.66,4.66,"%",62,1.4,0,NA
"Marcell Ozuna","OF","MIA","@ SEA",4.31,"Gallardo, R 6.30","R",0.373,0.461,0.314,0,0,0,6,3300,29.7,11.8,7.39,7.39,"%",53,2.2,0,NA
"J.J. Hardy","SS","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.257,0.285,0.143,0,0,0,8,3300,18.2,5.6,5.18,5.18,"%",42,1.6,0,NA
"Brian McCann","C","HOU","vs LAA",4.72,"Nolasco, R 5.40","L",0.267,0.386,0.233,0,0,0,5,3300,18.9,8.7,7.48,7.48,"%",67,2.3,6,1.8
"Hunter Renfroe","OF","SD","vs ARI",3.89,"Miller, R 5.06","R",0.236,0.282,0.2,0,0,0,5,3300,20.7,6.2,6.52,6.52,"%",43,2,6,1.8
"Jayson Werth","OF","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","R",0.3,0.383,0.225,0,0,0,6,3300,19.1,8.3,6.96,6.96,"%",63,2.1,0,NA
"Mike Moustakas","3B","KC","vs SF",4.72,"Cain, R 4.82","L",0.293,0.428,0.39,0,0,0,2,3200,21.9,9.3,8.79,8.79,"%",65,2.7,3,0.9
"Corey Dickerson","OF","TB","vs DET",3.89,"Fulmer, R 2.25","L",0.34,0.426,0.28,0,0,0,1,3200,18.3,8.1,6.9,6.9,"%",65,2.2,0,NA
"Trevor Plouffe","3B","OAK","vs TEX",3.33,"Darvish, R 2.33","R",0.214,0.278,0.143,0,0,0,7,3200,14.7,5.4,3.48,3.48,"%",48,1.1,4,1.3
"Taylor Motter","3B/SS","SEA","vs MIA",4.19,"Chen, L 7.00","R",0.321,0.476,0.464,0,0,0,6,3200,22.5,8.8,5.97,5.97,"%",53,1.9,0,NA
"Michael Saunders","OF","PHI","@ NYM",3.05,"Wheeler, R 7.45","L",0.225,0.259,0.1,0,0,0,5,3200,18.9,4.7,4.61,4.61,"%",24,1.4,8,2.5
"J.T. Realmuto","C","MIA","@ SEA",4.31,"Gallardo, R 6.30","R",0.366,0.44,0.244,0,0,0,2,3200,25.6,9.5,7.69,7.69,"%",53,2.4,3,0.9
"Yulieski Gurriel","1B","HOU","vs LAA",4.72,"Nolasco, R 5.40","R",0.243,0.241,0.027,0,0,0,8,3200,11.6,3.4,4.36,4.36,"%",47,1.4,19,5.9
"Nick Markakis","OF","ATL","vs WSH",3.42,"Scherzer, R 2.13","L",0.267,0.365,0.2,0,0,0,4,3200,15.8,8,5.62,5.62,"%",68,1.8,5,1.6
"Nick Hundley","C","SF","@ KC",4.28,"Hammel, R 6.52","R",0.259,0.274,0.148,0,0,0,7,3100,17,5.4,4.86,4.86,"%",44,1.6,7,2.3
"Miguel Montero","C","CHC","vs MIL",5.18,"Nelson, R 1.38","L",0.143,0.168,0,0,0,0,6,3100,14,3,6.57,6.57,"%",39,2.1,24,7.7
"Jon Jay","OF","CHC","vs MIL",5.18,"Nelson, R 1.38","L",0.375,0.382,0,0,0,0,9,3100,12.1,3.9,3.91,3.91,"%",48,1.3,16,5.2
"Justin Smoak","1B","TOR","vs BOS",4.89,"Johnson, L","B",0.25,0.312,0.219,0,0,0,5,3100,18.3,4.5,6.55,6.55,"%",35,2.1,21,6.8
"Josh Bell","1B","PIT","@ STL",3.67,"Leake, R 0.60","B",0.194,0.247,0.056,0,0,0,7,3100,11.5,3,3.93,3.93,"%",37,1.3,3,1
"Matt Davidson","3B","CWS","@ NYY",2.89,"Severino, R 4.50","R",0.355,0.448,0.387,0,0,0,6,3100,23.2,9.5,4.19,4.19,"%",50,1.4,0,NA
"Logan Morrison","1B","TB","vs DET",3.89,"Fulmer, R 2.25","L",0.302,0.377,0.233,0,0,0,6,3100,21.6,7.1,4.66,4.66,"%",40,1.5,5,1.6
"Jurickson Profar","2B/3B","TEX","@ OAK",3.67,"Triggs, R 0.00","B",0.19,0.283,0,0,0,0,9,3100,8.5,4.3,2.7,2.7,"%",66,0.9,2,0.6
"Yunel Escobar","3B","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.286,0.329,0.107,0,0,0,1,3100,21.3,7.1,6.92,6.92,"%",49,2.2,10,3.2
"Ryan Zimmerman","1B","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","R",0.333,0.429,0.31,0,0,0,5,3100,23,9,7.43,7.43,"%",57,2.4,12,3.9
"Brandon Phillips","2B","ATL","vs WSH",3.42,"Scherzer, R 2.13","R",0.326,0.37,0.13,0,0,0,5,3100,21.3,9.5,5.06,5.06,"%",57,1.6,3,1
"Francisco Cervelli","C","PIT","@ STL",3.67,"Leake, R 0.60","R",0.233,0.335,0.233,0,0,0,6,3000,15.2,6.6,5.15,5.15,"%",62,1.7,3,1
"Kolten Wong","2B","STL","vs PIT",4.33,"Kuhl, R 2.38","L",0.167,0.268,0.167,0,0,0,8,3000,12.5,4,3.83,3.83,"%",46,1.3,5,1.7
"Adam Frazier","2B/OF","PIT","@ STL",3.67,"Leake, R 0.60","L",0.308,0.374,0.18,0,0,0,1,3000,22.1,6.3,6.29,6.29,"%",37,2.1,5,1.7
"David Freese","3B","PIT","@ STL",3.67,"Leake, R 0.60","R",0.314,0.442,0.229,0,0,0,5,3000,18.9,7.4,5.66,5.66,"%",55,1.9,8,2.7
"Jordy Mercer","SS","PIT","@ STL",3.67,"Leake, R 0.60","R",0.182,0.237,0.023,0,0,0,8,3000,9.6,4,3.51,3.51,"%",62,1.2,9,3
"Travis d'Arnaud","C","NYM","vs PHI",4.45,"Eflin, R","R",0.323,0.446,0.323,0,0,0,8,3000,30.3,9.3,4.54,4.54,"%",31,1.5,0,NA
"Cesar Hernandez","2B","PHI","@ NYM",3.05,"Wheeler, R 7.45","B",0.346,0.427,0.269,0,0,0,1,3000,22.5,11.8,6.05,6.05,"%",65,2,11,3.7
"Freddy Galvis","SS","PHI","@ NYM",3.05,"Wheeler, R 7.45","B",0.19,0.254,0.191,0,0,0,8,3000,19.2,6.3,3.02,3.02,"%",36,1,5,1.7
"Jarrod Dyson","OF","SEA","vs MIA",4.19,"Chen, L 7.00","L",0.209,0.271,0.07,0,0,0,9,3000,11.3,6.5,3.09,3.09,"%",68,1,0,NA
"Marwin Gonzalez","1B/OF","HOU","vs LAA",4.72,"Nolasco, R 5.40","B",0.2,0.349,0.3,0,0,0,7,3000,17,6.9,4.88,4.88,"%",56,1.6,0,NA
"Andrelton Simmons","SS","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.261,0.31,0.087,0,0,0,7,3000,13.7,5.7,4.34,4.34,"%",59,1.4,17,5.7
"Austin Barnes","2B/C","LAD","vs COL",4.35,"Freeland, L 5.91","R",0.214,0.366,0.357,0,0,0,7,3000,18.6,6.7,4.08,4.08,"%",46,1.4,0,NA
"Travis Jankowski","OF","SD","vs ARI",3.89,"Miller, R 5.06","L",0.114,0.201,0,0,0,0,8,3000,11.9,4,3.74,3.74,"%",49,1.2,10,3.3
"Adonis Garcia","3B","ATL","vs WSH",3.42,"Scherzer, R 2.13","R",0.174,0.219,0.087,0,0,0,6,3000,13.5,4.3,4.13,4.13,"%",46,1.4,0,NA
"Mitch Moreland","1B","BOS","@ TOR",3.61,"Stroman, R 1.76","L",0.333,0.434,0.25,0,0,0,5,2900,20,8.7,6.68,6.68,"%",62,2.3,19,6.6
"Pete Kozma","2B/SS","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.2,0.27,0,0,0,0,9,2900,6.3,1.5,2.66,2.66,"%",40,0.9,0,NA
"Stephen Vogt","C","OAK","vs TEX",3.33,"Darvish, R 2.33","L",0.256,0.303,0.18,0,0,0,5,2900,14.5,5.9,4.58,4.58,"%",58,1.6,0,NA
"Justin Bour","1B","MIA","@ SEA",4.31,"Gallardo, R 6.30","L",0.133,0.239,0.111,0,0,0,5,2900,15.5,4.5,6.69,6.69,"%",51,2.3,19,6.6
"Danny Espinosa","2B","LAA","@ HOU",3.78,"Musgrove, R 4.35","B",0.204,0.262,0.184,0,0,0,8,2900,18.9,6.1,3.95,3.95,"%",39,1.4,3,1
"Stephen Cardullo","OF","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.105,0.181,0,0,0,0,7,2900,9,1.6,3.37,3.37,"%",13,1.2,3,1
"Matt Wieters","C","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","B",0.314,0.406,0.2,0,0,0,7,2900,19,7.1,5.36,5.36,"%",52,1.8,9,3.1
"Dansby Swanson","SS","ATL","vs WSH",3.42,"Scherzer, R 2.13","R",0.151,0.182,0.076,0,0,0,2,2900,12.7,3.9,5.04,5.04,"%",51,1.7,0,NA
"Jason Castro","C","MIN","vs CLE",4.38,"Tomlin, R 18.47","L",0.194,0.332,0.129,0,0,0,6,2800,16.6,6.9,5.19,5.19,"%",59,1.9,9,3.2
"Yandy Diaz","3B","CLE","@ MIN",4.62,"Hughes, R 3.86","R",0.25,0.278,0.021,0,0,0,7,2800,10.9,5.1,4.84,4.84,"%",70,1.7,2,0.7
"Chris Young","OF","BOS","@ TOR",3.61,"Stroman, R 1.76","R",0.286,0.321,0.048,0,0,0,6,2800,14.4,5.7,4.96,4.96,"%",59,1.8,2,0.7
"Jose Martinez","1B/OF","STL","vs PIT",4.33,"Kuhl, R 2.38","R",0.467,0.495,0.133,0,0,0,6,2800,8.8,4.1,4.74,4.74,"%",75,1.7,5,1.8
"Leury Garcia","OF","CWS","@ NYY",2.89,"Severino, R 4.50","B",0.261,0.329,0.174,0,0,0,9,2800,8.4,3.9,1.96,1.96,"%",58,0.7,14,5
"Tim Beckham","SS","TB","vs DET",3.89,"Fulmer, R 2.25","R",0.2,0.222,0.1,0,0,0,9,2800,11.9,3.8,2.39,2.39,"%",38,0.9,21,7.5
"Cameron Rupp","C","PHI","@ NYM",3.05,"Wheeler, R 7.45","R",0.167,0.281,0.167,0,0,0,7,2800,13.7,5.3,3.13,3.13,"%",50,1.1,8,2.9
"Daniel Nava","OF","PHI","@ NYM",3.05,"Wheeler, R 7.45","B",0.5,0.701,0.7,0,0,0,2,2800,25.5,8.1,4.84,4.84,"%",36,1.7,7,2.5
"Derek Dietrich","3B","MIA","@ SEA",4.31,"Gallardo, R 6.30","L",0.188,0.296,0.094,0,0,0,7,2800,15.8,4.3,4.06,4.06,"%",32,1.5,8,2.9
"Dustin Garneau","C","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.182,0.282,0.227,0,0,0,8,2800,13.6,4.4,2.95,2.95,"%",39,1.1,2,0.7
"Manny Pina","C","MIL","@ CHC",3.82,"Anderson, L 0.84","R",0.462,0.49,0.192,0,0,0,6,2700,18.7,7.5,4.89,4.89,"%",54,1.8,7,2.6
"Greg Garcia","3B/SS","STL","vs PIT",4.33,"Kuhl, R 2.38","L",0.267,0.362,0,0,0,0,7,2700,11.6,2.6,4.12,4.12,"%",28,1.5,7,2.6
"Alex Avila","C","DET","@ TB",3.61,"Andriese, R 4.50","L",0.7,0.854,0.8,0,0,0,7,2700,20.1,12.2,3.74,3.74,"%",67,1.4,0,NA
"Yonder Alonso","1B","OAK","vs TEX",3.33,"Darvish, R 2.33","L",0.273,0.353,0.152,0,0,0,2,2700,17.3,6.5,4.8,4.8,"%",52,1.8,4,1.5
"Guillermo Heredia","OF","SEA","vs MIA",4.19,"Chen, L 7.00","B",0.364,0.423,0.273,0,0,0,1,2700,25.6,7.3,6.09,6.09,"%",33,2.3,0,NA
"Tucker Barnhart","C","CIN","vs BAL",4.1,"Jimenez, R 10.38","B",0.281,0.296,0.063,0,0,0,8,2700,12.5,4.7,3.38,3.38,"%",51,1.3,7,2.6
"Enrique Hernandez","OF/SS","LAD","vs COL",4.35,"Freeland, L 5.91","R",0.235,0.374,0.353,0,0,0,5,2700,15.5,4.8,5.28,5.28,"%",47,2,4,1.5
"Austin Hedges","C","SD","vs ARI",3.89,"Miller, R 5.06","R",0.158,0.258,0.211,0,0,0,6,2700,19.3,4.8,4.47,4.47,"%",23,1.7,0,NA
"Jace Peterson","3B/OF","ATL","vs WSH",3.42,"Scherzer, R 2.13","L",0.227,0.289,0.136,0,0,0,8,2700,10.8,3.2,2.86,2.86,"%",38,1.1,2,0.7
"Roberto Perez","C","CLE","@ MIN",4.62,"Hughes, R 3.86","R",0.077,0.064,0,0,0,0,9,2600,4.5,1.8,0.38,0.38,"%",43,0.1,3,1.2
"Marco Hernandez","2B/3B","BOS","@ TOR",3.61,"Stroman, R 1.76","B",0.261,0.25,0.044,0,0,0,9,2600,11,4,2.31,2.31,"%",46,0.9,2,0.8
"Austin Romine","C","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.333,0.42,0.238,0,0,0,7,2600,16.7,8,4.49,4.49,"%",62,1.7,3,1.2
"Omar Narvaez","C","CWS","@ NYY",2.89,"Severino, R 4.50","L",0.2,0.244,0,0,0,0,8,2600,10,3,2.58,2.58,"%",39,1,0,NA
"Derek Norris","C","TB","vs DET",3.89,"Fulmer, R 2.25","R",0.167,0.185,0.028,0,0,0,7,2600,12.6,4.3,3.6,3.6,"%",47,1.4,8,3.1
"JaCoby Jones","OF","DET","@ TB",3.61,"Andriese, R 4.50","R",0.231,0.344,0.231,0,0,0,8,2600,17.5,5.5,3.15,3.15,"%",35,1.2,0,NA
"Jed Lowrie","2B","OAK","vs TEX",3.33,"Darvish, R 2.33","B",0.283,0.355,0.152,0,0,0,3,2600,17.9,6.8,4.61,4.61,"%",51,1.8,2,0.8
"Chris Iannetta","C","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.25,0.358,0.188,0,0,0,8,2600,13.9,5,3.61,3.61,"%",49,1.4,14,5.4
"Erick Aybar","SS","SD","vs ARI",3.89,"Miller, R 5.06","B",0.147,0.25,0.059,0,0,0,7,2600,11,2.7,3.44,3.44,"%",30,1.3,2,0.8
"Raul Mondesi","2B","KC","vs SF",4.72,"Cain, R 4.82","B",0.125,0.149,0.094,0,0,0,9,2500,14,4.8,2.91,2.91,"%",42,1.2,2,0.8
"Darwin Barney","2B/SS","TOR","vs BOS",4.89,"Johnson, L","R",0.5,0.435,0,0,0,0,8,2500,10.6,3.3,3.66,3.66,"%",48,1.5,3,1.2
"Carlos Sanchez","2B","CWS","@ NYY",2.89,"Severino, R 4.50","B",0.35,0.402,0.25,0,0,0,7,2500,20.6,7.3,2.83,2.83,"%",39,1.1,0,NA
"Ronald Torreyes","SS","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.25,0.285,0.175,0,0,0,8,2500,15.7,6.2,3.79,3.79,"%",52,1.5,0,NA
"Jose Iglesias","SS","DET","@ TB",3.61,"Andriese, R 4.50","R",0.256,0.304,0.205,0,0,0,9,2500,18.5,6.7,2.16,2.16,"%",39,0.9,8,3.2
"Tyler Collins","OF","DET","@ TB",3.61,"Andriese, R 4.50","L",0.355,0.365,0.097,0,0,0,6,2500,11.9,6.4,4.3,4.3,"%",70,1.7,0,NA
"Carlos Ruiz","C","SEA","vs MIA",4.19,"Chen, L 7.00","R",0.182,0.311,0.091,0,0,0,8,2500,12,5,3.31,3.31,"%",56,1.3,0,NA
"Wilmer Difo","2B/SS","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","R",0.208,0.209,0,0,0,0,8,2500,7,2.4,3.8,3.8,"%",67,1.5,7,2.8
"Christian Vazquez","C","BOS","@ TOR",3.61,"Stroman, R 1.76","R",0.667,0.741,0.417,0,0,0,8,2400,26.7,13.5,3.37,3.37,"%",57,1.4,3,1.3
"Shane Peterson","OF","TB","vs DET",3.89,"Fulmer, R 2.25","L",0.286,0.407,0.429,0,0,0,8,2300,22.8,7,3.02,3.02,"%",29,1.3,5,2.2
"Matt Joyce","OF","OAK","vs TEX",3.33,"Darvish, R 2.33","L",0.167,0.224,0.111,0,0,0,6,2300,14.7,4.3,3.35,3.35,"%",34,1.5,0,NA
"A.J. Ellis","C","MIA","@ SEA",4.31,"Gallardo, R 6.30","R",0.077,0.146,0,0,0,0,8,2300,11.1,3.7,3.4,3.4,"%",48,1.5,3,1.3
"Martin Maldonado","C","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.258,0.299,0.032,0,0,0,9,2300,8.3,3.6,2.22,2.22,"%",58,1,10,4.3
"Adam Rosales","2B/3B","OAK","vs TEX",3.33,"Darvish, R 2.33","R",0.25,0.259,0.063,0,0,0,9,2200,5.6,3.3,1.78,1.78,"%",71,0.8,19,8.6
"J.T. Riddle","2B/SS","MIA","@ SEA",4.31,"Gallardo, R 6.30","L",0.167,0.219,0.25,0,0,0,9,2200,13.5,2.7,2.43,2.43,"%",0,1.1,2,0.9
"Kurt Suzuki","C","ATL","vs WSH",3.42,"Scherzer, R 2.13","R",0.125,0.226,0,0,0,0,7,2200,7.6,3,2.69,2.69,"%",59,1.2,4,1.8
"Chris Marrero","OF","SF","@ KC",4.28,"Hammel, R 6.52","R",0.154,0.192,0.115,0,0,0,9,2100,13.1,2.8,2.39,2.39,"%",4,1.1,0,NA
"Jaff Decker","OF","OAK","vs TEX",3.33,"Darvish, R 2.33","L",0.6,0.672,0.4,0,0,0,1,2100,27.1,11.5,4.14,4.14,"%",0,2,7,3.3
