"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","Week6","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"QB","Kellen Clemens (7608842)","Kellen Clemens",7608842,5000,"SD@Atl 04:05PM ET","SD","Kellen","Clemens","Atl",0,0,NA,NA,0,0,0,NA,-0.1,NA,NA,NA,NA,"Clemens, Kellen",NA,NA,NA,NA,NA
"QB","Matt Schaub (7608845)","Matt Schaub",7608845,5000,"SD@Atl 04:05PM ET","Atl","Matt","Schaub","SD",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Schaub, Matt",NA,NA,NA,NA,NA
"QB","Bruce Gradkowski (7608847)","Bruce Gradkowski",7608847,5000,"NE@Pit 04:25PM ET","Pit","Bruce","Gradkowski","NE",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Gradkowski, Bruce",NA,NA,NA,NA,NA
"QB","Landry Jones (7608849)","Landry Jones",7608849,5000,"NE@Pit 04:25PM ET","Pit","Landry","Jones","NE",14.37,15.3,NA,NA,13.9419863246857,13.8597388627367,0,NA,NA,NA,NA,-0.2,-0.1,"Jones, Landry",NA,NA,NA,NA,NA
"QB","Zach Mettenberger (7608850)","Zach Mettenberger",7608850,5000,"NE@Pit 04:25PM ET","Pit","Zach","Mettenberger","NE",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Mettenberger, Zach",NA,NA,NA,NA,NA
"QB","Jimmy Garoppolo (7608851)","Jimmy Garoppolo",7608851,5000,"NE@Pit 04:25PM ET","NE","Jimmy","Garoppolo","Pit",0,0,11,0.0048780487804878,0,0,0,16.1,21.4,NA,NA,-0.3,NA,"Garoppolo, Jimmy",1,1,0,10,6
"QB","Drew Stanton (7608853)","Drew Stanton",7608853,5000,"Sea@Ari 08:30PM ET","Ari","Drew","Stanton","Sea",0,0,NA,NA,0,0,0,NA,0.4,NA,-0.5,12.8,0.4,"Stanton, Drew",NA,NA,NA,NA,NA
"QB","Trevone Boykin (7608855)","Trevone Boykin",7608855,5000,"Sea@Ari 08:30PM ET","Sea","Trevone","Boykin","Ari",0,0,NA,NA,0,0,0,NA,NA,5.4,NA,NA,NA,"Boykin, Trevone",NA,NA,NA,NA,NA
"TE","Delanie Walker (7609097)","Delanie Walker",7609097,4900,"Ind@Ten 01:00PM ET","Ten","Delanie","Walker","Ind",14.44,12.3,2,0.153061224489796,12.1615111242231,12.314144066718,1,7.2,20.3,NA,5.4,17.6,3.1,"Walker, Delanie",18,30,2,4,2
"WR","Golden Tate (7609007)","Golden Tate",7609007,4900,"Was@Det 01:00PM ET","Det","Golden","Tate","Was",10.6,14.5,2,0.200913242009132,12.2165077381211,11.9098849377521,0,11.3,3.3,7.2,3.1,7.5,33.8,"Tate, Golden",25,44,2,4,4
"RB","Tevin Coleman (7608936)","Tevin Coleman",7608936,4900,"SD@Atl 04:05PM ET","Atl","Tevin","Coleman","SD",13.21,9,4,0.109004739336493,9.77153171989259,10.0835214362543,1,16.7,15.1,29.9,6.3,29.3,2.7,"Coleman, Tevin",18,23,1,4,5
"RB","LeGarrette Blount (7608939)","LeGarrette Blount",7608939,4900,"NE@Pit 04:25PM ET","NE","LeGarrette","Blount","Pit",11.21,9.5,8,0.024390243902439,9.41190443718577,9.53412140120173,1,12,21.3,25.5,8.8,9.7,15,"Blount, LeGarrette",5,5,0,8,6
"RB","Giovani Bernard (7608884)","Giovani Bernard",7608884,4800,"Cle@Cin 01:00PM ET","Cin","Giovani","Bernard","Cle",11.91,12.6,2,0.173333333333333,11.5066854895012,11.4447007465729,1,5,28.7,9.4,7.2,15.6,13.4,"Bernard, Giovani",33,39,1,2,3
"RB","Terrance West (7608919)","Terrance West",7608919,4800,"Bal@NYJ 01:00PM ET","Bal","Terrance","West","NYJ",8.41,13,7,0.0643939393939394,10.5917704274819,10.2340331483687,1,5.8,6.7,6.3,20.3,10.9,28.3,"West, Terrance",11,17,0,6,5
"WR","Chris Hogan (7609074)","Chris Hogan",7609074,4800,"NE@Pit 04:25PM ET","NE","Chris","Hogan","Pit",9.62,7.9,4,0.117073170731707,7.92511502896735,8.04932304726688,1,15,9.9,1.3,NA,18.6,4.9,"Hogan, Chris",13,24,1,4,4
"WR","Michael Thomas (7608964)","Michael Thomas",7608964,4700,"NO@KC 01:00PM ET","NO","Michael","Thomas","KC",12.17,12.2,2,0.16289592760181,11.352036928275,11.3403588040796,1,11.8,9.6,20.1,14.4,NA,18.8,"Thomas, Michael",27,36,3,1,1
"RB","Frank Gore (7608867)","Frank Gore",7608867,4700,"Ind@Ten 01:00PM ET","Ind","Frank","Gore","Ten",12.43,10.6,6,0.0942622950819672,10.4759551444406,10.6064146631974,1,11.8,15.3,15.3,20.5,8.9,14.8,"Gore, Frank",17,23,1,5,4
"WR","Quincy Enunwa (7609039)","Quincy Enunwa",7609039,4600,"Bal@NYJ 01:00PM ET","NYJ","Quincy","Enunwa","Bal",11.07,8.7,2,0.198237885462555,8.88473324333145,9.05756520236917,1,18.4,15.2,7.7,12,9.1,7.2,"Enunwa, Quincy",30,45,1,1,3
"RB","James White (7608945)","James White",7608945,4600,"NE@Pit 04:25PM ET","NE","James","White","Pit",9.8,11.8,3,0.170731707317073,10.3291932037353,10.1685862776248,0,9.4,4.9,2.4,11.2,12.9,26.6,"White, James",26,35,2,3,2
"WR","John Brown (7609083)","John Brown",7609083,4600,"Sea@Ari 08:30PM ET","Ari","John","Brown","Sea",0,0,2,0.199152542372881,0,0,0,1.8,2.4,13,27.4,2.1,10.4,"Brown, John",24,47,0,2,4
"WR","Corey Coleman (7609000)","Corey Coleman",7609000,4500,"Cle@Cin 01:00PM ET","Cle","Corey","Coleman","Cin",0,0,7,0.0558139534883721,0,0,1,8.9,30.4,NA,NA,NA,NA,"Coleman, Corey",7,12,2,7,2
"RB","Jay Ajayi (7608912)","Jay Ajayi",7608912,4500,"Buf@Mia 01:00PM ET","Mia","Jay","Ajayi","Buf",10.08,9,7,0.0543478260869565,8.73828044188068,8.81315728119764,0,NA,7.5,8.8,6.6,10.2,36.7,"Ajayi, Jay",8,10,1,5,2
"WR","DeVante Parker (7609031)","DeVante Parker",7609031,4500,"Buf@Mia 01:00PM ET","Mia","DeVante","Parker","Buf",10.13,11.6,2,0.168478260869565,10.3178913690015,10.1975887348163,0,NA,21.6,14.1,4,9,7.8,"Parker, DeVante",20,31,1,2,2
"TE","Martellus Bennett (7609170)","Martellus Bennett",7609170,4500,"NE@Pit 04:25PM ET","NE","Martellus","Bennett","Pit",10.23,10.3,2,0.185365853658537,9.5693499341157,9.55610640078078,1,4.4,25.4,3.6,18.9,30.7,9.8,"Bennett, Martellus",27,38,4,2,1
"TE","Tyler Eifert (7609115)","Tyler Eifert",7609115,4400,"Cle@Cin 01:00PM ET","Cin","Tyler","Eifert","Cle",7.41,5.1,11,0,5.51222281591478,5.68328486678502,0,NA,NA,NA,NA,NA,NA,"Eifert, Tyler",0,0,0,10,4
"RB","Latavius Murray (7608900)","Latavius Murray",7608900,4400,"Oak@Jax 01:00PM ET","Oak","Latavius","Murray","Jax",9.57,9.8,7,0.0512820512820513,9.05087868662709,9.02589983760629,1,14.2,22.1,10.8,4.4,NA,NA,"Murray, Latavius",10,12,0,7,6
"WR","Mohamed Sanu (7609063)","Mohamed Sanu",7609063,4400,"SD@Atl 04:05PM ET","Atl","Mohamed","Sanu","SD",9.8,11.2,2,0.175355450236967,9.9684765924312,9.85378517843042,0,21,4.9,6.1,4.2,6.3,15.7,"Sanu, Mohamed",21,37,2,2,2
"WR","Tyrell Williams (7609065)","Tyrell Williams",7609065,4400,"SD@Atl 04:05PM ET","SD","Tyrell","Williams","Atl",12.56,13.1,2,0.173913043478261,12.0218556146959,11.9708486383255,1,9.1,15.1,12.9,9,25.7,5.8,"Williams, Tyrell",24,36,2,2,2
"RB","Jerick McKinnon (7608881)","Jerick McKinnon",7608881,4300,"Min@Phi 01:00PM ET","Min","Jerick","McKinnon","Phi",13.21,11.1,6,0.0792682926829268,11.0340398594569,11.1853252834347,0,1.9,1.1,7.7,18.5,5.6,NA,"McKinnon, Jerick",7,13,0,5,5
"WR","Jamison Crowder (7609012)","Jamison Crowder",7609012,4300,"Was@Det 01:00PM ET","Was","Jamison","Crowder","Det",10.42,12,4,0.146551724137931,10.654101656396,10.5251576055145,1,11.8,15.9,17.8,4.1,12.5,13.3,"Crowder, Jamison",24,34,3,3,1
"RB","Jacquizz Rodgers (7608925)","Jacquizz Rodgers",7608925,4300,"TB@SF 04:05PM ET","TB","Jacquizz","Rodgers","SF",14.87,15.1,6,0.0480769230769231,13.9868035689494,13.9577387341006,0,NA,NA,NA,NA,NA,NA,"Rodgers, Jacquizz",7,10,0,6,5
"RB","Matt Jones (7608896)","Matt Jones",7608896,4200,"Was@Det 01:00PM ET","Was","Matt","Jones","Det",12.16,10.7,7,0.0474137931034483,10.4469442777209,10.5492973846716,1,4.3,13.5,9.9,24.8,6.6,22.5,"Jones, Matt",9,11,0,7,7
"RB","Arian Foster (7608909)","Arian Foster",7608909,4200,"Buf@Mia 01:00PM ET","Mia","Arian","Foster","Buf",8.41,6.3,8,0.0380434782608696,6.56376826791971,6.71875420736447,0,13,0.9,NA,NA,NA,3.5,"Foster, Arian",5,7,0,9,8
"WR","Robert Woods (7609029)","Robert Woods",7609029,4200,"Buf@Mia 01:00PM ET","Buf","Robert","Woods","Mia",0,0,1,0.230769230769231,0,0,1,6,2,11.1,15.9,4.6,16,"Woods, Robert",25,39,1,1,3
"RB","Thomas Rawls (7608953)","Thomas Rawls",7608953,4200,"Sea@Ari 08:30PM ET","Sea","Thomas","Rawls","Ari",0,0,7,0.0394736842105263,0,0,0,8.8,3.8,NA,NA,NA,NA,"Rawls, Thomas",6,6,0,5,4
"WR","Phillip Dorsett (7608976)","Phillip Dorsett",7608976,4100,"Ind@Ten 01:00PM ET","Ind","Phillip","Dorsett","Ten",0,0,3,0.10655737704918,0,0,0,13.4,4,5.7,13.7,4.6,3.2,"Dorsett, Phillip",13,26,1,6,4
"RB","T.J. Yeldon (7608905)","T.J. Yeldon",7608905,4100,"Oak@Jax 01:00PM ET","Jax","T.J.","Yeldon","Oak",10.46,11.2,4,0.135678391959799,10.1863506638331,10.1216574922762,1,16.9,11.8,4.8,15.7,NA,3.6,"Yeldon, T.J.",20,27,0,3,7
"RB","Isaiah Crowell (7608886)","Isaiah Crowell",7608886,4000,"Cle@Cin 01:00PM ET","Cle","Isaiah","Crowell","Cin",11.98,13.7,6,0.0651162790697674,12.1911071329498,12.0502467950493,1,15.8,24.8,7.9,25.4,5,5.6,"Crowell, Isaiah",10,14,0,6,5
"RB","Jeremy Hill (7608888)","Jeremy Hill",7608888,4000,"Cle@Cin 01:00PM ET","Cin","Jeremy","Hill","Cle",11.06,10.8,6,0.04,10.1439402606018,10.1553103781277,0,9.1,8.9,21.7,7.1,1.2,5.1,"Hill, Jeremy",5,9,0,7,4
"WR","Anquan Boldin (7609003)","Anquan Boldin",7609003,4000,"Was@Det 01:00PM ET","Det","Anquan","Boldin","Was",10.25,10.8,3,0.178082191780822,9.87654935479036,9.82655799295327,1,6.5,14.8,12.2,9.1,8.8,20,"Boldin, Anquan",31,39,4,1,1
"TE","Dennis Pitta (7609143)","Dennis Pitta",7609143,4000,"Bal@NYJ 01:00PM ET","Bal","Dennis","Pitta","NYJ",12.22,12.9,2,0.181818181818182,11.7893785862663,11.7279201102492,1,6.9,22.2,10.2,4.7,12.9,9.6,"Pitta, Dennis",34,48,0,1,5
"WR","Jeremy Kerley (7609048)","Jeremy Kerley",7609048,4000,"TB@SF 04:05PM ET","SF","Jeremy","Kerley","TB",11.9,9.7,1,0.299435028248588,9.75992074590424,9.91910342904473,0,NA,5.9,4.4,20.8,27.2,3.2,"Kerley, Jeremy",29,53,2,1,1
"RB","Ryan Mathews (7608877)","Ryan Mathews",7608877,3900,"Min@Phi 01:00PM ET","Phi","Ryan","Mathews","Min",10.43,8.5,8,0.0394736842105263,8.55322254608282,8.69287653163569,1,13.7,16.5,-0.5,NA,17.5,6,"Mathews, Ryan",6,6,1,7,2
"RB","Duke Johnson Jr. (7608889)","Duke Johnson",7608889,3900,"Cle@Cin 01:00PM ET","Cle","Duke","Johnson","Cin",10.16,10.9,2,0.167441860465116,9.906958689362,9.84249680002184,1,8,9.6,13.1,13.4,4.2,17.4,"Johnson, Duke",25,36,0,2,5
"WR","Brandon LaFell (7608992)","Brandon LaFell",7608992,3900,"Cle@Cin 01:00PM ET","Cin","Brandon","LaFell","Cle",11.37,8.9,2,0.173333333333333,9.10400578258517,9.28425904475782,0,13.1,6.9,5.2,8.4,26.8,9.3,"LaFell, Brandon",23,39,3,3,1
"RB","DeAndre Washington (7608904)","DeAndre Washington",7608904,3900,"Oak@Jax 01:00PM ET","Oak","DeAndre","Washington","Jax",5.75,6.1,6,0.0555555555555556,5.56543086728959,5.53421390940592,0,3.4,6.2,7.2,6.6,10.2,4.9,"Washington, DeAndre",11,13,0,6,6
"TE","Julius Thomas (7609131)","Julius Thomas",7609131,3900,"Oak@Jax 01:00PM ET","Jax","Julius","Thomas","Oak",9.69,9.8,5,0.110552763819095,9.09049215415471,9.07460389466917,1,17.4,11.1,3.3,NA,NA,4.8,"Thomas, Julius",14,22,1,5,2
"RB","DeAngelo Williams (7608937)","DeAngelo Williams",7608937,3900,"NE@Pit 04:25PM ET","Pit","DeAngelo","Williams","NE",0,0,5,0.100877192982456,0,0,1,38.1,23.2,8.4,7.9,NA,1,"Williams, DeAngelo",15,23,1,5,4
"RB","C.J. Spiller (7608947)","C.J. Spiller",7608947,3900,"Sea@Ari 08:30PM ET","Sea","C.J.","Spiller","Ari",4.19,4.4,13,0,4.02842539073573,4.00912471987105,0,NA,NA,NA,NA,NA,NA,"Spiller, C.J.",0,0,0,11,5
"WR","Michael Floyd (7609080)","Michael Floyd",7609080,3900,"Sea@Ari 08:30PM ET","Ari","Michael","Floyd","Sea",10.06,11.1,3,0.148305084745763,9.99418633685702,9.90684378553425,0,9.1,8.8,10.5,12.6,NA,10.2,"Floyd, Michael",14,35,3,4,2
"TE","Coby Fleener (7609089)","Coby Fleener",7609089,3800,"NO@KC 01:00PM ET","NO","Coby","Fleener","KC",10.36,11,3,0.158371040723982,10.0331005704587,9.9761370783257,1,1.6,4.9,26.9,4.9,NA,25.6,"Fleener, Coby",19,35,2,3,3
"RB","Darren Sproles (7608875)","Darren Sproles",7608875,3800,"Min@Phi 01:00PM ET","Phi","Darren","Sproles","Min",8.55,8.8,4,0.118421052631579,8.11296986046892,8.08724685391451,0,5.6,6.8,27.7,NA,10.8,3.4,"Sproles, Darren",15,18,1,3,2
"RB","Dwayne Washington (7608897)","Dwayne Washington",7608897,3800,"Was@Det 01:00PM ET","Det","Dwayne","Washington","Was",0,0,10,0.0091324200913242,0,0,0,6.1,3.1,4.5,2.4,NA,NA,"Washington, Dwayne",2,2,0,9,8
"WR","Torrey Smith (7609047)","Torrey Smith",7609047,3800,"TB@SF 04:05PM ET","SF","Torrey","Smith","TB",8.16,10.6,2,0.163841807909605,9.06637592491641,8.87336196604337,0,3.3,14.5,6.5,1.3,NA,16.6,"Smith, Torrey",12,29,2,4,1
"WR","Kendall Wright (7608971)","Kendall Wright",7608971,3700,"Ind@Ten 01:00PM ET","Ten","Kendall","Wright","Ind",10.91,8.2,6,0.0663265306122449,8.53131811054123,8.73029221029,1,NA,NA,NA,3.4,1.9,30.3,"Wright, Kendall",11,13,1,5,5
"WR","Adam Thielen (7608989)","Adam Thielen",7608989,3700,"Min@Phi 01:00PM ET","Min","Adam","Thielen","Phi",8.86,6.4,3,0.158536585365854,6.7724382063656,6.95386127121599,0,9.4,8.1,5.9,4.1,28.7,NA,"Thielen, Adam",21,26,1,2,2
"WR","Pierre Garcon (7609006)","Pierre Garcon",7609006,3700,"Was@Det 01:00PM ET","Was","Pierre","Garcon","Det",11.4,10.1,3,0.193965517241379,9.83534237207523,9.92603725741235,0,11.1,4.5,10.9,7.9,16.6,13.7,"Garcon, Pierre",28,45,1,2,3
"RB","Bilal Powell (7608917)","Bilal Powell",7608917,3700,"Bal@NYJ 01:00PM ET","NYJ","Bilal","Powell","Bal",12.11,8.3,3,0.145374449339207,8.98757222103471,9.26979963078449,0,6.8,1.3,12.1,14,11.1,5.2,"Powell, Bilal",24,33,0,3,5
"WR","Kamar Aiken (7609038)","Kamar Aiken",7609038,3700,"Bal@NYJ 01:00PM ET","Bal","Kamar","Aiken","NYJ",6.92,11.1,6,0.0757575757575758,8.95763393655114,8.63242095905566,0,3.4,NA,1.5,3.9,NA,10.4,"Aiken, Kamar",11,20,0,6,5
"WR","Tyler Lockett (7609087)","Tyler Lockett",7609087,3700,"Sea@Ari 08:30PM ET","Sea","Tyler","Lockett","Ari",8.94,9.2,4,0.157894736842105,8.48219137080305,8.45540243883179,0,4.7,13.9,NA,2.3,NA,5.5,"Lockett, Tyler",13,24,0,4,4
"WR","Rishard Matthews (7608974)","Rishard Matthews",7608974,3600,"Ind@Ten 01:00PM ET","Ten","Rishard","Matthews","Ind",9.01,9.4,5,0.13265306122449,8.62553809729551,8.5887468385166,0,5.6,8,6.2,10.2,13.2,16,"Matthews, Rishard",19,26,2,2,2
"RB","Jalen Richard (7608906)","Jalen Richard",7608906,3600,"Oak@Jax 01:00PM ET","Oak","Jalen","Richard","Jax",4.95,5.7,5,0.0769230769230769,5.06086334290279,4.99965279619047,0,17.5,3.7,5.1,3,15.7,3.3,"Richard, Jalen",13,18,0,5,6
"TE","Hunter Henry (7609168)","Hunter Henry",7609168,3600,"SD@Atl 04:05PM ET","SD","Hunter","Henry","Atl",10.93,9.1,4,0.1256038647343,9.07899527208528,9.21061120192542,1,3,NA,11.6,16.1,16.4,20.3,"Henry, Hunter",19,26,3,3,1
"WR","Chris Conley (7608960)","Chris Conley",7608960,3500,"NO@KC 01:00PM ET","KC","Chris","Conley","NO",10.86,6.7,3,0.153439153439153,7.6130209708112,7.92299610519445,0,8.3,3.5,7.4,13,NA,5.6,"Conley, Chris",18,29,0,3,4
"WR","Tajae Sharpe (7608979)","Tajae Sharpe",7608979,3500,"Ind@Ten 01:00PM ET","Ten","Tajae","Sharpe","Ind",6.49,9.8,1,0.224489795918367,8.03413302008502,7.77582903965915,0,14.6,7.3,7.8,3.5,3.7,0.1,"Sharpe, Tajae",19,44,0,2,7
"RB","Matt Asiata (7608876)","Matt Asiata",7608876,3500,"Min@Phi 01:00PM ET","Min","Matt","Asiata","Phi",6.39,7.4,7,0.0426829268292683,6.55825535192903,6.47603792866246,0,1.3,3.5,2.9,9.8,19.1,NA,"Asiata, Matt",7,7,0,5,5
"TE","Kyle Rudolph (7609107)","Kyle Rudolph",7609107,3500,"Min@Phi 01:00PM ET","Min","Kyle","Rudolph","Phi",11.95,11.3,1,0.23780487804878,10.7383373208516,10.778866384006,1,10.5,12.1,20,16.5,3.5,NA,"Rudolph, Kyle",21,39,3,2,1
"RB","Zach Zenner (7608894)","Zach Zenner",7608894,3500,"Was@Det 01:00PM ET","Det","Zach","Zenner","Was",7.66,13.7,NA,NA,10.7650223019558,10.2969007407858,0,NA,NA,NA,4.4,5.2,9.7,"Zenner, Zach",NA,NA,NA,NA,NA
"WR","Breshad Perriman (7609044)","Breshad Perriman",7609044,3500,"Bal@NYJ 01:00PM ET","Bal","Breshad","Perriman","NYJ",8.32,10.2,4,0.113636363636364,8.87871614075051,8.72843330933094,0,4.5,5.2,4.4,5.4,3.1,7.8,"Perriman, Breshad",13,30,1,5,2
"WR","Danny Amendola (7609068)","Danny Amendola",7609068,3500,"NE@Pit 04:25PM ET","NE","Danny","Amendola","Pit",6.43,8.2,6,0.0829268292682927,7.05241532284367,6.91200741327596,0,7.8,20,4.3,NA,3.1,5,"Amendola, Danny",13,17,2,4,2
"WR","Eli Rogers (7609076)","Eli Rogers",7609076,3500,"NE@Pit 04:25PM ET","Pit","Eli","Rogers","NE",5.7,7.5,6,0.0833333333333333,6.3905973488626,6.24845645041666,1,17.9,1.9,5.2,NA,NA,7.5,"Rogers, Eli",13,19,1,6,4
"TE","Zach Ertz (7609108)","Zach Ertz",7609108,3400,"Min@Phi 01:00PM ET","Phi","Zach","Ertz","Min",9.25,9.7,5,0.105263157894737,8.88512333800278,8.84355550223956,1,11.8,NA,NA,NA,6.7,3.2,"Ertz, Zach",12,16,0,4,6
"RB","Chris Ivory (7608898)","Chris Ivory",7608898,3400,"Oak@Jax 01:00PM ET","Jax","Chris","Ivory","Oak",8.82,6.4,9,0.0201005025125628,6.75923371718973,6.93762658552836,0,NA,NA,3.3,2.9,NA,11.5,"Ivory, Chris",3,4,0,7,7
"WR","Markus Wheaton (7609072)","Markus Wheaton",7609072,3400,"NE@Pit 04:25PM ET","Pit","Markus","Wheaton","NE",0,0,8,0.043859649122807,0,0,0,NA,NA,1.2,12,3.9,NA,"Wheaton, Markus",4,10,1,8,4
"RB","Justin Forsett (7608890)","Justin Forsett",7608890,3300,"Was@Det 01:00PM ET","Det","Justin","Forsett","Was",6.57,7.8,11,0.0045662100456621,6.85815329408984,6.75896141371971,0,8.6,7.6,9.2,NA,NA,NA,"Forsett, Justin",0,1,0,12,8
"WR","Dontrelle Inman (7609058)","Dontrelle Inman",7609058,3300,"SD@Atl 04:05PM ET","SD","Dontrelle","Inman","Atl",8.73,6.9,3,0.130434782608696,7.03012079263076,7.16343279205987,0,1.6,1.7,6.2,28,1.3,2.1,"Inman, Dontrelle",14,27,1,4,5
"WR","Cordarrelle Patterson (7608985)","Cordarrelle Patterson",7608985,3200,"Min@Phi 01:00PM ET","Min","Cordarrelle","Patterson","Phi",5.34,4,4,0.0914634146341463,4.16757671367264,4.26600453392734,0,2.4,-0.2,1.8,9,14.6,NA,"Patterson, Cordarrelle",11,15,1,4,2
"TE","Gary Barnidge (7609113)","Gary Barnidge",7609113,3200,"Cle@Cin 01:00PM ET","Cle","Gary","Barnidge","Cin",12.16,8,3,0.162790697674419,8.82371952685251,9.13269243829682,1,NA,7.7,13.6,12.7,12.6,8.9,"Barnidge, Gary",25,35,0,2,5
"WR","Marqise Lee (7609018)","Marqise Lee",7609018,3200,"Oak@Jax 01:00PM ET","Jax","Marqise","Lee","Oak",9.46,8.6,3,0.150753768844221,8.29313311878529,8.35165225357651,0,4.2,12.5,9.4,6.8,NA,12.1,"Lee, Marqise",22,30,0,2,7
"RB","Dexter McCluster (7608930)","Dexter McCluster",7608930,3200,"SD@Atl 04:05PM ET","SD","Dexter","McCluster","Atl",3.07,3.6,NA,NA,3.17774421207257,3.13481872169167,0,NA,NA,NA,NA,NA,NA,"McCluster, Dexter",NA,NA,NA,NA,NA
"RB","Derrick Henry (7608874)","Derrick Henry",7608874,3100,"Ind@Ten 01:00PM ET","Ten","Derrick","Henry","Ind",4.8,6.8,9,0.0255102040816327,5.67266029588408,5.51590807338495,0,6.4,5.9,4.5,0.9,5.4,4.7,"Henry, Derrick",5,5,0,7,7
"WR","Andre Johnson (7608968)","Andre Johnson",7608968,3100,"Ind@Ten 01:00PM ET","Ten","Andre","Johnson","Ind",5.87,4.7,4,0.137755102040816,4.76337224177436,4.84838206834852,0,6,7.9,NA,6.3,9.3,NA,"Johnson, Andre",11,27,3,5,1
"WR","Nelson Agholor (7608987)","Nelson Agholor",7608987,3100,"Min@Phi 01:00PM ET","Phi","Nelson","Agholor","Min",6.56,7.6,2,0.184210526315789,6.73461330136118,6.64996904256634,0,15.7,8.2,5.1,NA,5.2,6.4,"Agholor, Nelson",16,28,1,2,2
"RB","Chris Thompson (7608892)","Chris Thompson",7608892,3100,"Was@Det 01:00PM ET","Was","Chris","Thompson","Det",8.11,8.1,5,0.0818965517241379,7.54688443301291,7.54139736229049,0,11.9,8.8,2.6,12,8.5,9.6,"Thompson, Chris",15,19,1,5,3
"WR","Kenny Stills (7609027)","Kenny Stills",7609027,3100,"Buf@Mia 01:00PM ET","Mia","Kenny","Stills","Buf",6.77,6.7,3,0.130434782608696,6.26286195257838,6.26299949363477,0,2.6,11.9,12.6,14.4,NA,3.2,"Stills, Kenny",13,24,2,3,1
"WR","Vincent Jackson (7609046)","Vincent Jackson",7609046,3100,"TB@SF 04:05PM ET","TB","Vincent","Jackson","SF",0,0,2,0.163461538461538,0,0,0,3.8,8.4,6.7,6.8,6.6,NA,"Jackson, Vincent",17,34,0,3,5
"TE","Jesse James (7609175)","Jesse James",7609175,3100,"NE@Pit 04:25PM ET","Pit","Jesse","James","NE",8.26,7,3,0.135964912280702,6.93508748003162,7.02514208509601,1,8.1,11.9,3,9.5,16.3,3.3,"James, Jesse",22,31,3,2,2
"WR","Jaron Brown (7609082)","Jaron Brown",7609082,3100,"Sea@Ari 08:30PM ET","Ari","Jaron","Brown","Sea",5.58,7,5,0.0889830508474576,6.05038670524826,5.93741814402512,0,2.8,15.8,7.9,1.7,NA,7.5,"Brown, Jaron",11,21,1,5,3
"RB","Tim Hightower (7608856)","Tim Hightower",7608856,3000,"NO@KC 01:00PM ET","NO","Tim","Hightower","KC",0,4.5,12,0.00452488687782805,2.70537458478059,2.36100824395803,0,2,0.9,1.9,1.1,NA,NA,"Hightower, Tim",1,1,0,11,9
"RB","John Kuhn (7608857)","John Kuhn",7608857,3000,"NO@KC 01:00PM ET","NO","John","Kuhn","KC",0,2,NA,NA,1.20238870434693,1.04933699731468,0,NA,3,6.3,21.2,NA,NA,"Kuhn, John",NA,NA,NA,NA,NA
"RB","Travaris Cadet (7608859)","Travaris Cadet",7608859,3000,"NO@KC 01:00PM ET","NO","Travaris","Cadet","KC",5.19,4.9,5,0.108597285067873,4.65913479621924,4.67732611139035,0,10.5,3.7,9.2,NA,NA,7,"Cadet, Travaris",17,24,1,5,5
"RB","Anthony Sherman (7608860)","Anthony Sherman",7608860,3000,"NO@KC 01:00PM ET","KC","Anthony","Sherman","NO",0,0,NA,NA,0,0,0,NA,NA,1.3,NA,NA,NA,"Sherman, Anthony",NA,NA,NA,NA,NA
"RB","Knile Davis (7608862)","Knile Davis",7608862,3000,"NO@KC 01:00PM ET","KC","Knile","Davis","NO",3.92,1.6,10,0.0158730158730159,2.2559509027129,2.43046879523903,0,NA,NA,NA,3.2,NA,NA,"Davis, Knile",2,3,0,9,4
"RB","Marcus Murphy (7608864)","Marcus Murphy",7608864,3000,"NO@KC 01:00PM ET","NO","Marcus","Murphy","KC",0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,"Murphy, Marcus",0,0,0,13,9
"RB","Daniel Lasco (7608865)","Daniel Lasco",7608865,3000,"NO@KC 01:00PM ET","NO","Daniel","Lasco","KC",0,0,10,0.0180995475113122,0,0,0,NA,NA,NA,2.9,NA,1.9,"Lasco, Daniel",2,4,0,10,9
"RB","Charcandrick West (7608866)","Charcandrick West",7608866,3000,"NO@KC 01:00PM ET","KC","Charcandrick","West","NO",5.68,4.2,7,0.0582010582010582,4.40005374210224,4.50893306200362,0,8.3,7.3,4.1,NA,NA,1.9,"West, Charcandrick",10,11,0,7,4
"WR","Brandon Coleman (7608957)","Brandon Coleman",7608957,3000,"NO@KC 01:00PM ET","NO","Brandon","Coleman","KC",5.1,1.4,7,0.0723981900452489,2.52524446296641,2.8044583232925,0,NA,3.5,14.8,3.7,NA,1.6,"Coleman, Brandon",12,16,0,7,9
"WR","Albert Wilson (7608958)","Albert Wilson",7608958,3000,"NO@KC 01:00PM ET","KC","Albert","Wilson","NO",6.97,6.2,5,0.0899470899470899,6.02828722237101,6.08183867274422,0,3.1,3.1,NA,10.2,NA,3.6,"Wilson, Albert",11,17,0,6,4
